frame,visible_nodes
0,0,
1,8373,
2,8366,
3,8366,
4,8366,
5,8387,
6,8418,
7,8408,
8,8435,
9,8430,
10,8489,
11,8484,
12,8489,
13,8522,
14,8524,
15,8545,
16,8548,
17,8569,
18,8586,
19,8581,
20,8602,
21,8600,
22,8624,
23,8640,
24,8631,
25,8666,
26,8674,
27,8709,
28,8691,
29,8748,
30,8749,
31,8776,
32,8810,
33,8754,
34,8747,
35,8750,
36,8767,
37,8794,
38,8826,
39,8848,
40,8841,
41,8860,
42,8880,
43,8900,
44,8895,
45,8908,
46,8930,
47,8936,
48,8946,
49,8957,
50,8976,
51,8991,
52,9024,
53,9022,
54,9012,
55,9038,
56,9032,
57,9028,
58,9033,
59,9017,
60,9037,
61,9029,
62,9037,
63,9025,
64,9012,
65,9011,
66,8993,
67,9006,
68,9005,
69,9008,
70,9000,
71,8994,
72,8986,
73,8980,
74,8962,
75,8965,
76,8963,
77,8962,
78,8952,
79,8958,
80,8943,
81,8933,
82,8940,
83,8938,
84,8898,
85,8918,
86,8901,
87,8902,
88,8895,
89,8907,
90,8886,
91,8898,
92,8896,
93,8885,
94,8886,
95,8877,
96,8865,
97,8830,
98,8805,
99,8801,
100,8790,
101,8756,
102,8746,
103,8712,
104,8696,
105,8685,
106,8666,
107,8645,
108,8603,
109,8577,
110,8558,
111,8534,
112,8525,
113,8514,
114,8513,
115,8503,
116,8507,
117,8491,
118,8467,
119,8451,
120,8427,
121,8411,
122,8398,
123,8376,
124,8359,
125,8338,
126,8305,
127,8267,
128,8230,
129,8217,
130,8197,
131,8172,
132,8145,
133,8112,
134,8114,
135,8101,
136,8086,
137,8085,
138,8056,
139,8047,
140,8041,
141,8030,
142,8000,
143,8000,
144,7982,
145,7986,
146,7963,
147,7953,
148,7912,
149,7908,
150,7906,
151,7852,
152,7813,
153,7795,
154,7775,
155,7761,
156,7724,
157,7714,
158,7688,
159,7697,
160,7675,
161,7645,
162,7652,
163,7639,
164,7603,
165,7603,
166,7583,
167,7570,
168,7549,
169,7555,
170,7519,
171,7531,
172,7526,
173,7506,
174,7518,
175,7510,
176,7530,
177,7527,
178,7512,
179,7513,
180,7499,
181,7510,
182,7511,
183,7480,
184,7480,
185,7480,
186,7480,
187,7458,
188,7440,
189,7430,
190,7400,
191,7399,
192,7375,
193,7373,
194,7353,
195,7319,
196,7334,
197,7323,
198,7283,
199,7272,
200,7273,
201,7251,
202,7247,
203,7250,
204,7254,
205,7217,
206,7213,
207,7204,
208,7185,
209,7207,
210,7203,
211,7200,
212,7185,
213,7192,
214,7189,
215,7183,
216,7188,
217,7172,
218,7189,
219,7186,
220,7180,
221,7157,
222,7164,
223,7176,
224,7176,
225,7169,
226,7170,
227,7162,
228,7157,
229,7167,
230,7175,
231,7179,
232,7176,
233,7177,
234,7161,
235,7170,
236,7179,
237,7181,
238,7183,
239,7182,
240,7194,
241,7194,
242,7176,
243,7183,
244,7190,
245,7180,
246,7197,
247,7210,
248,7194,
249,7189,
250,7188,
