frame,visible_nodes
1,4453,
2,4453,
3,4453,
4,4445,
5,4460,
6,4447,
7,4439,
8,4433,
9,4445,
10,4420,
11,4414,
12,4417,
13,4420,
14,4398,
15,4405,
16,4413,
17,4411,
18,4408,
19,4325,
20,4302,
21,4276,
22,4278,
23,4264,
24,4277,
25,4284,
26,4285,
27,4289,
28,4286,
29,4280,
30,4272,
31,4274,
32,4258,
33,4256,
34,4244,
35,4236,
36,4229,
37,4214,
38,4202,
39,4197,
40,4182,
41,4162,
42,4170,
43,4155,
44,4140,
45,4127,
46,4134,
47,4132,
48,4131,
49,4117,
50,4115,
51,4103,
52,4083,
53,4060,
54,4054,
55,4042,
56,4029,
57,4022,
58,4006,
59,4012,
60,3992,
61,3997,
62,3983,
63,3974,
64,3956,
65,3952,
66,3928,
67,3921,
68,3917,
69,3893,
70,3878,
71,3871,
72,3868,
73,3873,
74,3862,
75,3861,
76,3857,
77,3846,
78,3842,
79,3829,
80,3848,
81,3821,
82,3830,
83,3798,
84,3795,
85,3795,
86,3754,
87,3752,
88,3743,
89,3722,
90,3712,
91,3680,
92,3673,
93,3676,
94,3676,
95,3662,
96,3662,
97,3654,
98,3641,
99,3649,
100,3621,
101,3633,
102,3618,
103,3613,
104,3617,
105,3606,
106,3581,
107,3583,
108,3569,
109,3569,
110,3565,
111,3562,
112,3553,
113,3539,
114,3527,
115,3531,
116,3518,
117,3489,
118,3493,
119,3491,
120,3478,
121,3479,
122,3474,
123,3471,
124,3455,
125,3436,
126,3441,
127,3440,
128,3440,
129,3430,
130,3417,
131,3424,
132,3409,
133,3407,
134,3410,
135,3399,
136,3404,
137,3409,
138,3403,
139,3393,
140,3400,
141,3396,
142,3392,
143,3391,
144,3378,
145,3374,
146,3375,
147,3377,
148,3372,
149,3364,
150,3363,
151,3367,
152,3361,
153,3357,
154,3356,
155,3362,
156,3353,
157,3355,
158,3354,
159,3348,
160,3350,
161,3349,
162,3347,
163,3337,
164,3330,
165,3335,
166,3328,
167,3328,
168,3319,
169,3319,
170,3322,
171,3313,
172,3315,
173,3307,
174,3305,
175,3302,
176,3298,
177,3287,
178,3300,
179,3283,
180,3279,
181,3279,
182,3286,
183,3278,
184,3289,
185,3283,
186,3265,
187,3265,
188,3277,
189,3266,
190,3267,
191,3268,
192,3261,
193,3270,
194,3267,
195,3261,
196,3267,
197,3272,
198,3272,
199,3276,
200,3281,
201,3279,
202,3276,
203,3276,
204,3287,
205,3285,
206,3292,
207,3286,
208,3288,
209,3289,
210,3294,
211,3301,
212,3303,
213,3295,
214,3305,
215,3293,
216,3293,
217,3316,
218,3313,
219,3309,
220,3312,
221,3323,
222,3318,
223,3328,
224,3335,
225,3329,
226,3329,
227,3333,
228,3335,
229,3337,
230,3331,
231,3342,
232,3345,
233,3337,
234,3337,
235,3338,
236,3343,
237,3347,
238,3347,
239,3343,
240,3347,
241,3333,
242,3346,
243,3349,
244,3361,
245,3348,
246,3351,
247,3352,
248,3342,
249,3349,
250,3351,
251,3351,
252,3351,
253,3357,
254,3360,
255,3365,
256,3365,
257,3364,
258,3361,
259,3358,
260,3362,
261,3361,
262,3365,
263,3365,
264,3366,
265,3375,
266,3367,
267,3372,
268,3372,
269,3383,
270,3385,
271,3393,
272,3393,
273,3386,
274,3395,
275,3400,
276,3398,
277,3398,
278,3395,
279,3411,
280,3403,
281,3402,
282,3406,
283,3404,
284,3406,
285,3402,
286,3409,
287,3405,
288,3410,
289,3408,
290,3412,
291,3417,
292,3419,
293,3416,
294,3416,
295,3418,
296,3418,
297,3427,
298,3427,
