frame,visible_voxels
0,0,
1,370087,
2,369761,
3,369761,
4,369761,
5,370787,
6,372877,
7,372268,
8,373816,
9,373605,
10,377134,
11,377048,
12,377743,
13,379398,
14,379586,
15,380571,
16,380564,
17,381886,
18,382675,
19,382495,
20,383430,
21,383406,
22,384757,
23,385419,
24,384965,
25,386996,
26,386991,
27,388986,
28,388133,
29,391412,
30,391396,
31,393436,
32,395081,
33,391596,
34,391701,
35,392019,
36,393251,
37,395008,
38,397049,
39,398788,
40,398593,
41,400127,
42,401394,
43,402773,
44,402969,
45,403868,
46,405158,
47,405960,
48,406078,
49,407014,
50,408249,
51,408789,
52,410593,
53,410409,
54,410009,
55,411844,
56,411501,
57,411955,
58,412466,
59,411546,
60,412932,
61,412673,
62,413973,
63,413574,
64,413071,
65,413482,
66,412396,
67,413434,
68,413616,
69,414064,
70,413691,
71,413905,
72,413853,
73,414030,
74,412851,
75,413558,
76,413603,
77,413849,
78,413604,
79,413953,
80,413534,
81,412915,
82,413240,
83,413111,
84,411115,
85,412474,
86,411588,
87,411979,
88,411588,
89,412381,
90,411091,
91,412008,
92,411868,
93,411304,
94,411231,
95,410930,
96,410238,
97,408782,
98,407345,
99,407165,
100,406638,
101,404639,
102,403792,
103,401738,
104,400854,
105,400120,
106,399171,
107,398072,
108,395536,
109,393944,
110,392735,
111,391537,
112,391092,
113,390340,
114,390090,
115,389687,
116,390022,
117,389195,
118,388056,
119,387176,
120,385578,
121,384920,
122,384365,
123,382962,
124,382132,
125,381137,
126,379480,
127,377499,
128,375752,
129,374914,
130,374171,
131,372940,
132,371292,
133,369772,
134,370010,
135,369748,
136,369297,
137,369097,
138,367953,
139,367180,
140,367059,
141,366492,
142,365181,
143,365073,
144,364107,
145,363929,
146,362910,
147,362203,
148,360109,
149,359870,
150,359553,
151,356516,
152,354360,
153,353538,
154,352465,
155,352110,
156,350210,
157,349430,
158,348732,
159,349412,
160,348286,
161,346480,
162,346831,
163,345999,
164,344614,
165,344364,
166,343712,
167,343184,
168,342728,
169,343443,
170,341578,
171,342170,
172,342447,
173,341494,
174,342315,
175,341675,
176,342628,
177,342172,
178,341251,
179,341784,
180,341265,
181,342337,
182,342614,
183,340895,
184,341092,
185,340947,
186,341035,
187,339583,
188,338975,
189,338283,
190,337265,
191,337196,
192,335647,
193,335852,
194,334489,
195,332911,
196,333411,
197,332904,
198,330414,
199,329840,
200,329791,
201,328789,
202,328294,
203,328125,
204,328258,
205,326102,
206,325221,
207,325071,
208,323999,
209,325087,
210,324794,
211,324703,
212,323812,
213,324295,
214,323938,
215,323691,
216,323761,
217,323330,
218,324169,
219,323964,
220,323843,
221,322409,
222,322674,
223,323539,
224,323458,
225,323375,
226,323149,
227,322604,
228,322303,
229,322728,
230,323140,
231,323093,
232,323181,
233,323200,
234,322322,
235,322856,
236,323071,
237,323012,
238,323358,
239,323082,
240,324085,
241,324264,
242,322975,
243,323286,
244,323698,
245,322863,
246,323419,
247,324243,
248,323007,
249,322738,
250,322839,
251,322384,
252,321873,
253,319630,
254,319346,
255,319746,
256,320063,
257,319401,
258,318398,
259,316447,
260,314142,
261,312030,
262,310346,
263,308789,
264,306252,
265,304722,
266,302851,
267,299588,
268,296969,
269,294294,
270,291762,
271,289663,
272,286923,
273,284172,
274,280385,
275,277965,
276,276818,
277,275041,
278,272931,
279,272530,
280,271186,
281,269768,
282,270061,
283,269097,
284,267169,
285,267272,
286,268317,
287,266257,
288,267245,
