frame,visible_voxels
1,184968,
2,184968,
3,184968,
4,185462,
5,185321,
6,185510,
7,186269,
8,186698,
9,187234,
10,187711,
11,188203,
12,188464,
13,188730,
14,188838,
15,189162,
16,189460,
17,190004,
18,190560,
19,189895,
20,189894,
21,190447,
22,190870,
23,191480,
24,192284,
25,192523,
26,192675,
27,193173,
28,193751,
29,194125,
30,194594,
31,194837,
32,194658,
33,194348,
34,194058,
35,193767,
36,193388,
37,193100,
38,192906,
39,192557,
40,192334,
41,191962,
42,191805,
43,191546,
44,191311,
45,191033,
46,190795,
47,190594,
48,190317,
49,189979,
50,189733,
51,189261,
52,188981,
53,188714,
54,188317,
55,187901,
56,187454,
57,187101,
58,186498,
59,186015,
60,185571,
61,184994,
62,184291,
63,183570,
64,182896,
65,182431,
66,181723,
67,181135,
68,180876,
69,180311,
70,179742,
71,179073,
72,178905,
73,178443,
74,178132,
75,177739,
76,177611,
77,177290,
78,177014,
79,176705,
80,176341,
81,175887,
82,175731,
83,175352,
84,174959,
85,174441,
86,173898,
87,173475,
88,172838,
89,172341,
90,171788,
91,171175,
92,170635,
93,170357,
94,170041,
95,169698,
96,169360,
97,168975,
98,168749,
99,168541,
100,167980,
101,167677,
102,167190,
103,166721,
104,166533,
105,165832,
106,165389,
107,164811,
108,164381,
109,163899,
110,163567,
111,163243,
112,162933,
113,162583,
114,162262,
115,161731,
116,161298,
117,160863,
118,160521,
119,160132,
120,159830,
121,159691,
122,159149,
123,159073,
124,158822,
125,158580,
126,158504,
127,158420,
128,158248,
129,158123,
130,157841,
131,157634,
132,157480,
133,157389,
134,157274,
135,157347,
136,156990,
137,157169,
138,157093,
139,157035,
140,156955,
141,156727,
142,156552,
143,156561,
144,156433,
145,156353,
146,156304,
147,156277,
148,156001,
149,156066,
150,155926,
151,155935,
152,155804,
153,155824,
154,155638,
155,155535,
156,155415,
157,155477,
158,155271,
159,155127,
160,155135,
161,155074,
162,154981,
163,154927,
164,154752,
165,154612,
166,154386,
167,154386,
168,154243,
169,154058,
170,154050,
171,153818,
172,153740,
173,153610,
174,153455,
175,153210,
176,153240,
177,153135,
178,152902,
179,152861,
180,152775,
181,152819,
182,152748,
183,152571,
184,152553,
185,152524,
186,152316,
187,152261,
188,152285,
189,152166,
190,151983,
191,152032,
192,151911,
193,151891,
194,151858,
195,151772,
196,151820,
197,151789,
198,151713,
199,151778,
200,151863,
201,151740,
202,151769,
203,151812,
204,151928,
205,151939,
206,151893,
207,151927,
208,151967,
209,151956,
210,151992,
211,152024,
212,152145,
213,152071,
214,152101,
215,152111,
216,152111,
217,152231,
218,152183,
219,152226,
220,152221,
221,152233,
222,152242,
223,152296,
224,152439,
225,152475,
226,152475,
227,152453,
228,152515,
229,152530,
230,152502,
231,152508,
232,152486,
233,152398,
234,152398,
235,152361,
236,152435,
237,152404,
238,152404,
239,152500,
240,152549,
241,152565,
242,152607,
243,152673,
244,152682,
245,152661,
246,152725,
247,152736,
248,152569,
249,152636,
250,152562,
251,152709,
252,152709,
253,152688,
254,152752,
255,152833,
256,152904,
257,152985,
258,152867,
259,152879,
260,152908,
261,152851,
262,152883,
263,152883,
264,152841,
265,152901,
266,152836,
267,152880,
268,152880,
269,152853,
270,152904,
271,152775,
272,152775,
273,152607,
274,152547,
275,152385,
276,152170,
277,152170,
278,152070,
279,151916,
280,151886,
281,151766,
282,151568,
283,151290,
284,151181,
285,150924,
286,150769,
287,150599,
288,150439,
289,150310,
290,150262,
291,149920,
292,149704,
293,149403,
294,149208,
295,148606,
296,148606,
297,148443,
298,148049,
299,147438,
300,147075,
301,147075,
302,146969,
303,146726,
304,146416,
305,146121,
306,145721,
307,145594,
308,145421,
309,145136,
310,144990,
311,144715,
312,144488,
313,144213,
314,143787,
315,143677,
316,143417,
317,142980,
318,142467,
319,142342,
320,142126,
321,141542,
322,141101,
323,140554,
324,140107,
325,139659,
326,139709,
327,139685,
328,139489,
329,139359,
330,139317,
331,139259,
332,139115,
333,139078,
334,138784,
335,138944,
336,139102,
337,138971,
338,139132,
339,138960,
340,139532,
341,139422,
342,139223,
343,139683,
344,139863,
345,140074,
346,140535,
347,140880,
348,141773,
349,142127,
350,142402,
351,143242,
352,144343,
353,144868,
354,145250,
355,147029,
356,148179,
357,149113,
358,149880,
359,150444,
360,151278,
361,151836,
362,152491,
363,152771,
364,152946,
365,153275,
366,153560,
367,153690,
368,154060,
369,154411,
370,154583,
371,154844,
372,155100,
373,155293,
374,155575,
375,155911,
376,156374,
377,156592,
378,156825,
379,156887,
380,157022,
381,157133,
382,157282,
383,157453,
384,157562,
385,157710,
386,158027,
387,158283,
388,158729,
389,159314,
390,159855,
391,160124,
392,160350,
393,160849,
394,161164,
395,161535,
396,161831,
397,162195,
398,162541,
399,162931,
400,163201,
401,163657,
402,164029,
403,164521,
404,164741,
405,165077,
406,165319,
407,165761,
408,166074,
409,166397,
410,166694,
411,166927,
412,167316,
413,167655,
414,167958,
415,168425,
416,168778,
417,168937,
418,169402,
419,169767,
420,170149,
421,170447,
422,170979,
423,171324,
424,171596,
425,172141,
426,172184,
427,172493,
428,172765,
429,172834,
430,173271,
431,173286,
432,173482,
433,173547,
434,173767,
435,174064,
436,174192,
437,174407,
438,174798,
439,174771,
440,175024,
441,175173,
442,175503,
443,175481,
444,175885,
445,176172,
446,176463,
447,176413,
448,176855,
449,177207,
450,177330,
451,177509,
452,177959,
453,178198,
454,178404,
455,178577,
456,178959,
457,179222,
458,179513,
459,179681,
460,179972,
461,180308,
462,180516,
463,180888,
464,180967,
465,181201,
466,181625,
467,181654,
468,181936,
469,182122,
470,182234,
471,182617,
472,182770,
473,183144,
474,183385,
475,183567,
476,183865,
477,184246,
478,184441,
479,184798,
480,185045,
481,185462,
482,185654,
483,186063,
484,186483,
485,186498,
486,187010,
487,187162,
488,187319,
489,187659,
490,188080,
491,188255,
492,188656,
493,188617,
494,189024,
495,189371,
496,189586,
497,189804,
498,190070,
499,190479,
500,190581,
501,190822,
502,191407,
503,191442,
504,192057,
505,192194,
506,192608,
507,192909,
508,193306,
509,193789,
510,194146,
511,194383,
512,195046,
513,195086,
514,195122,
515,195318,
516,195379,
517,195733,
518,195749,
519,195823,
520,195933,
521,195974,
522,196000,
523,196110,
524,196326,
525,196359,
526,196381,
527,196566,
528,196611,
529,196669,
530,196707,
531,196778,
532,196862,
533,196941,
534,196995,
535,197067,
536,197181,
537,197318,
538,197397,
539,197351,
540,197426,
541,197647,
542,197803,
543,197784,
544,197918,
545,197986,
546,198092,
547,198236,
548,198284,
549,198415,
550,198481,
551,198601,
552,198692,
553,198796,
554,198922,
555,199060,
556,199109,
557,199291,
558,199302,
559,199500,
560,199520,
561,199606,
562,199741,
563,199940,
564,199981,
565,200051,
566,200142,
567,200331,
568,200604,
569,200697,
570,200809,
571,200918,
572,201005,
573,201296,
574,201329,
575,201493,
576,201761,
577,201761,
578,201847,
579,202006,
580,202171,
581,202210,
582,202401,
583,202471,
584,202580,
585,202667,
586,202868,
587,202931,
588,203151,
589,203237,
590,203291,
591,203429,
592,203521,
593,203743,
594,203857,
595,203987,
596,204135,
597,204209,
598,204405,
599,204458,
600,204601,
601,204733,
602,204902,
603,205066,
604,205281,
605,205436,
606,205563,
607,205856,
608,205856,
609,205938,
610,205985,
611,206103,
612,206031,
613,206217,
614,206146,
615,206134,
616,206087,
617,205903,
618,205903,
619,205879,
620,205814,
621,205696,
622,205680,
623,205574,
624,205628,
625,205459,
626,205459,
627,205611,
628,205626,
629,205662,
630,205627,
631,205454,
632,205588,
633,205671,
634,205662,
635,205565,
636,205545,
637,205538,
638,205341,
639,205344,
640,205183,
641,205200,
642,205147,
643,205295,
644,205208,
645,205260,
646,205178,
647,205371,
648,205323,
649,205354,
650,205354,
651,205410,
652,205410,
653,205432,
654,205440,
655,205593,
656,205437,
657,205517,
658,205548,
659,205375,
660,205335,
661,205380,
662,205380,
663,205262,
664,205177,
665,205177,
666,205247,
667,205240,
668,205322,
669,205209,
670,205285,
671,205068,
672,205252,
673,205387,
674,205387,
675,205172,
676,205271,
677,205301,
678,205076,
679,204989,
680,204838,
681,205107,
682,205107,
683,205155,
684,204858,
685,204934,
686,204989,
687,204791,
688,204867,
689,204931,
690,204657,
691,204789,
692,204741,
693,204774,
694,205051,
695,204837,
696,204758,
697,204931,
698,204931,
699,204803,
700,204826,
701,204776,
702,204604,
703,204631,
704,204942,
705,204712,
706,204800,
707,204865,
708,204666,
709,204522,
710,204430,
711,204728,
712,204881,
713,204682,
714,204297,
715,204654,
716,204972,
717,204469,
718,204338,
719,204753,
720,204953,
721,204581,
722,205039,
723,204780,
724,204972,
725,204972,
726,204785,
727,204963,
728,204906,
729,205078,
730,204687,
731,204976,
732,205030,
733,205156,
734,205039,
735,205330,
736,205400,
737,205041,
738,205025,
739,205171,
740,205143,
741,205268,
742,205130,
743,205302,
744,205335,
745,205372,
746,205451,
747,205494,
748,205645,
749,205614,
750,205703,
751,205774,
752,205733,
753,205823,
754,205956,
755,206082,
756,206136,
757,206331,
758,206545,
759,206665,
760,206786,
761,207122,
762,207347,
763,207206,
764,207790,
765,207818,
766,208107,
767,208249,
768,208524,
769,208623,
770,209020,
771,209180,
772,209610,
773,209753,
774,209957,
775,210102,
776,210419,
777,210883,
778,211150,
779,211428,
780,211729,
781,211907,
782,211991,
783,212282,
784,212707,
785,212679,
786,212559,
787,212366,
788,212373,
789,212109,
790,211970,
791,211804,
792,211744,
793,211547,
794,211442,
795,211127,
796,210707,
797,210402,
798,210098,
799,209687,
800,209321,
801,209030,
802,208786,
803,208582,
804,208273,
805,207984,
806,207658,
807,207391,
808,207157,
809,206766,
810,206545,
811,206344,
812,205916,
813,205657,
814,205393,
815,205144,
816,204882,
817,204493,
818,204301,
819,204104,
820,203816,
821,203579,
822,203234,
823,202887,
824,202648,
825,202315,
826,201967,
827,201587,
828,201385,
829,200887,
830,200868,
831,200383,
832,199825,
833,199358,
834,198910,
835,198631,
836,198015,
837,197680,
838,197257,
839,196673,
840,196188,
841,195904,
842,195703,
843,195238,
844,194769,
845,194668,
846,194404,
847,193913,
848,193601,
849,193285,
850,193143,
851,192981,
852,192560,
853,192062,
854,191984,
855,191796,
856,191459,
857,191339,
858,191003,
859,190656,
860,190354,
861,190219,
862,189908,
863,189757,
864,189298,
865,189094,
866,189072,
867,188637,
868,188571,
869,188238,
870,187832,
871,187546,
872,187341,
873,186988,
874,186387,
875,186387,
876,185906,
877,185906,
878,185592,
879,185142,
880,185025,
881,184637,
882,184208,
883,183976,
884,183812,
885,183454,
886,183061,
887,182908,
888,182658,
889,182355,
890,182355,
891,182263,
892,181989,
893,181798,
894,181616,
895,181337,
896,181091,
897,181002,
898,180830,
899,180744,
900,180633,
901,180533,
902,180315,
903,180057,
904,180225,
905,180187,
906,180047,
907,179898,
908,179749,
909,179742,
910,179604,
911,179407,
912,179298,
913,179358,
914,179416,
915,179248,
916,179132,
917,179217,
918,179047,
919,178973,
920,178961,
921,178897,
922,178904,
923,178891,
924,178832,
925,178716,
926,178641,
927,178615,
928,178585,
929,178456,
930,178310,
931,178505,
932,178436,
933,178116,
934,178274,
935,178309,
936,178348,
937,178253,
938,178415,
939,178259,
940,178232,
941,178272,
942,178220,
943,178297,
944,178400,
945,178267,
946,178282,
947,178389,
948,178380,
949,178271,
950,178275,
951,178290,
952,178291,
953,178197,
954,178169,
955,178036,
956,178134,
957,177975,
958,178028,
959,178028,
960,177863,
961,177863,
962,177893,
963,177742,
964,177653,
965,177594,
966,177541,
967,177627,
968,177348,
969,177411,
970,177213,
971,177213,
972,177472,
973,177201,
974,177319,
975,177162,
976,177220,
977,177353,
978,177235,
979,177276,
980,177300,
981,177210,
982,177177,
983,177281,
984,177223,
985,177158,
986,177114,
987,176954,
988,177149,
989,177149,
990,177076,
991,177089,
992,177129,
993,177147,
994,177170,
995,177185,
996,177037,
997,177184,
998,177209,
999,177207,
1000,177261,
1001,177096,
1002,177116,
1003,177152,
1004,177152,
1005,177179,
1006,177140,
1007,177223,
1008,177130,
1009,177277,
1010,177262,
1011,177262,
1012,177273,
1013,177269,
1014,177362,
1015,177307,
1016,177428,
1017,177365,
1018,177473,
1019,177473,
1020,177441,
1021,177552,
1022,177566,
1023,177526,
1024,177691,
1025,177542,
1026,177720,
1027,177720,
1028,177757,
1029,177683,
1030,177854,
1031,177854,
1032,177958,
1033,177958,
1034,177999,
1035,178167,
1036,178098,
1037,178252,
1038,178435,
1039,178427,
1040,178544,
1041,178544,
1042,178642,
1043,178651,
1044,178810,
1045,178917,
1046,178869,
1047,178980,
1048,179090,
1049,179127,
1050,179110,
1051,179312,
1052,179385,
1053,179527,
1054,179590,
1055,179582,
1056,179575,
1057,179576,
1058,179651,
1059,179612,
1060,179792,
1061,179704,
1062,179535,
1063,179443,
1064,179485,
1065,179426,
1066,179326,
1067,179405,
1068,179171,
1069,179252,
1070,179099,
1071,179087,
1072,179062,
1073,179033,
1074,178940,
1075,179078,
1076,178946,
1077,178938,
1078,178932,
1079,178741,
1080,178841,
1081,178637,
1082,178444,
1083,178444,
1084,178402,
1085,178313,
1086,177992,
1087,177992,
1088,177875,
1089,177555,
1090,177420,
1091,177060,
1092,177060,
1093,176876,
1094,176634,
1095,176396,
1096,176077,
1097,176077,
1098,175564,
1099,175463,
1100,175396,
1101,174716,
1102,174539,
1103,174539,
1104,174133,
1105,173772,
1106,173195,
1107,173090,
1108,171758,
1109,171758,
1110,171605,
1111,171189,
1112,171029,
1113,170414,
1114,169630,
1115,169724,
1116,168721,
1117,169353,
1118,168347,
1119,168347,
1120,167931,
1121,167931,
1122,167364,
1123,167364,
1124,166826,
1125,167128,
1126,166187,
1127,166187,
1128,166269,
1129,166073,
1130,165566,
1131,165566,
1132,165828,
1133,165652,
1134,165579,
1135,165579,
1136,165224,
1137,165153,
1138,165060,
1139,165322,
1140,165298,
1141,165162,
1142,165152,
1143,165152,
1144,165258,
1145,165569,
1146,165690,
1147,165780,
1148,165780,
1149,166282,
1150,166404,
1151,166476,
1152,166970,
1153,166844,
1154,166844,
1155,167110,
1156,167326,
1157,167514,
1158,167624,
1159,168245,
1160,168245,
1161,168576,
1162,168663,
1163,169114,
1164,169412,
1165,169464,
1166,169586,
1167,170082,
1168,170082,
1169,170514,
1170,170829,
1171,170936,
1172,171412,
1173,171565,
1174,172043,
1175,172600,
1176,172600,
1177,172756,
1178,173189,
1179,173781,
1180,173846,
1181,174091,
1182,174763,
1183,175034,
1184,175443,
1185,175407,
1186,175869,
1187,176100,
1188,176140,
1189,176787,
1190,176843,
1191,177101,
1192,177362,
1193,177545,
1194,178231,
1195,178086,
1196,178557,
1197,178938,
1198,179336,
1199,180335,
1200,180618,
1201,181366,
1202,181807,
1203,182449,
1204,182659,
1205,182863,
1206,183195,
1207,183512,
1208,183770,
1209,184049,
1210,184286,
1211,184534,
1212,184651,
1213,184940,
1214,184961,
1215,184842,
1216,184839,
1217,185094,
1218,184844,
1219,184795,
1220,184772,
1221,184714,
1222,184741,
1223,184711,
1224,184502,
1225,184469,
1226,184222,
1227,184065,
1228,183848,
1229,183593,
1230,183530,
1231,183342,
1232,183320,
1233,183337,
1234,183038,
1235,183052,
1236,182948,
1237,182791,
1238,182753,
1239,182534,
1240,182333,
1241,182364,
1242,182381,
1243,182258,
1244,182140,
1245,182229,
1246,182249,
1247,182139,
1248,182112,
1249,182030,
1250,182023,
1251,181900,
1252,181603,
1253,181630,
1254,181475,
1255,181355,
1256,181332,
1257,181362,
1258,181418,
1259,181368,
1260,181265,
1261,181437,
1262,181320,
1263,181344,
1264,181337,
1265,181235,
1266,181647,
1267,181581,
1268,181644,
1269,181710,
1270,181727,
1271,181734,
1272,181747,
1273,181778,
1274,181961,
1275,181917,
1276,181641,
1277,181192,
1278,181213,
1279,181139,
1280,181254,
1281,180982,
1282,180768,
1283,180773,
1284,180818,
1285,180789,
1286,180799,
1287,180708,
1288,180527,
1289,180558,
1290,180672,
1291,180691,
1292,180680,
1293,180816,
1294,180863,
1295,180720,
1296,180765,
1297,180734,
1298,180619,
1299,180575,
1300,180614,
1301,180458,
1302,180461,
1303,180478,
1304,180467,
1305,180410,
1306,180611,
1307,180436,
1308,180571,
1309,180507,
1310,180538,
1311,180514,
1312,180420,
1313,180534,
1314,180500,
1315,180406,
1316,180583,
1317,180801,
1318,180763,
1319,180601,
1320,180711,
1321,181007,
1322,181154,
1323,181227,
1324,181287,
1325,181221,
1326,181371,
1327,181676,
1328,181746,
1329,181551,
1330,181758,
1331,181801,
1332,181996,
1333,181863,
1334,182040,
1335,181996,
1336,182268,
1337,182268,
1338,182170,
1339,182357,
1340,182337,
1341,182430,
1342,182169,
1343,182608,
1344,182479,
1345,182519,
1346,182705,
1347,182753,
1348,182527,
1349,182662,
1350,182742,
1351,182683,
1352,182801,
1353,182806,
1354,182717,
1355,182650,
1356,182719,
1357,182940,
1358,182978,
1359,183071,
1360,182929,
1361,182846,
1362,182852,
1363,183029,
1364,182896,
1365,183027,
1366,183035,
1367,183022,
1368,183187,
1369,183259,
1370,183325,
1371,183411,
1372,183602,
1373,183602,
1374,183621,
1375,183631,
1376,183788,
1377,183919,
1378,183967,
1379,184113,
1380,184113,
1381,184216,
1382,184325,
1383,184447,
1384,184570,
1385,184674,
1386,184735,
1387,184811,
1388,185033,
1389,185091,
1390,185276,
1391,185287,
1392,185439,
1393,185558,
1394,185627,
1395,185777,
1396,185826,
1397,185913,
1398,186082,
1399,186211,
1400,186244,
1401,186382,
1402,186473,
1403,186612,
1404,186660,
1405,187002,
1406,187301,
1407,187656,
1408,187948,
1409,188199,
1410,188456,
1411,188684,
1412,188883,
1413,188974,
1414,189245,
1415,189268,
1416,189429,
1417,189518,
1418,189552,
1419,189739,
1420,189921,
1421,189946,
1422,190143,
1423,190141,
1424,190311,
1425,190457,
1426,190640,
1427,190793,
1428,190998,
1429,191122,
1430,191399,
1431,191580,
1432,191743,
1433,191996,
1434,192226,
1435,192365,
1436,192602,
1437,192908,
1438,193025,
1439,193321,
1440,193447,
1441,193566,
1442,193502,
1443,193619,
1444,193689,
1445,193754,
1446,193876,
1447,193694,
1448,193555,
1449,193110,
1450,192640,
1451,192214,
1452,191657,
1453,191215,
1454,190766,
1455,190211,
1456,189866,
1457,189489,
1458,188859,
1459,188345,
1460,187833,
1461,187407,
1462,186892,
1463,186542,
1464,186357,
1465,186088,
1466,185871,
1467,185463,
1468,185188,
1469,185126,
1470,185037,
1471,184850,
1472,184777,
1473,184804,
1474,184564,
1475,184427,
1476,184432,
1477,184309,
1478,184188,
1479,184150,
1480,184072,
1481,184163,
1482,183917,
1483,183865,
1484,183933,
1485,183790,
1486,183850,
1487,184023,
1488,184047,
1489,184386,
1490,184659,
