frame,time
1,0.0029153,
2,0.0026746,
3,0.0008965,
4,0.000726,
5,0.001101,
6,0.0005214,
7,0.0007136,
8,0.000444,
9,0.0010684,
10,0.0005952,
11,0.0004704,
12,0.0009853,
13,0.0005256,
14,0.0005448,
15,0.0005078,
16,0.0004562,
17,0.0013419,
18,0.0004477,
19,0.000463,
20,0.0007075,
21,0.0006189,
22,0.0005543,
23,0.0006675,
24,0.0009931,
25,0.000461,
26,0.0005778,
27,0.0004634,
28,0.0005608,
29,0.0008184,
30,0.0004668,
31,0.0005593,
32,0.0005611,
33,0.0006423,
34,0.0005736,
35,0.0006535,
36,0.0005524,
37,0.0005927,
38,0.0006002,
39,0.0006142,
40,0.0006096,
41,0.0006619,
42,0.0006105,
43,0.0008444,
44,0.0008405,
45,0.0005876,
46,0.0006111,
47,0.0006046,
48,0.0006086,
49,0.0006173,
50,0.0006204,
51,0.0005817,
52,0.000589,
53,0.0006116,
54,0.0006062,
55,0.0006046,
56,0.0006115,
57,0.0006013,
58,0.0006062,
59,0.0006163,
60,0.0006054,
61,0.0006038,
62,0.0006013,
63,0.0006108,
64,0.0006066,
65,0.0006141,
66,0.0005991,
67,0.0006439,
68,0.0006407,
69,0.0005882,
70,0.0005635,
71,0.0018645,
72,0.000599,
73,0.0006034,
74,0.0006133,
75,0.0006177,
76,0.0006473,
77,0.000634,
78,0.0005556,
79,0.0005825,
80,0.0005978,
81,0.000606,
82,0.0006017,
83,0.0006098,
84,0.0006101,
85,0.0006004,
86,0.0006045,
87,0.0006089,
88,0.0006065,
89,0.0006044,
90,0.0006059,
91,0.0006359,
92,0.0006372,
93,0.0005435,
94,0.0006014,
95,0.0008971,
96,0.0011323,
97,0.0005637,
98,0.0005937,
99,0.0006153,
100,0.0006091,
101,0.0006083,
102,0.0006061,
103,0.0006113,
104,0.0006027,
105,0.0006051,
106,0.0006053,
107,0.000606,
108,0.0006107,
109,0.0006047,
110,0.0006107,
111,0.0006075,
112,0.0006017,
113,0.0006003,
114,0.0006046,
115,0.0006082,
116,0.0006104,
117,0.0006049,
118,0.0006101,
119,0.0006125,
120,0.0006512,
121,0.0005503,
122,0.000625,
123,0.001127,
124,0.0006257,
125,0.0005989,
126,0.000604,
127,0.0005774,
128,0.0006613,
129,0.0005629,
130,0.0006189,
131,0.0006063,
132,0.0006087,
133,0.0006084,
134,0.0005954,
135,0.0006129,
136,0.0006078,
137,0.0006077,
138,0.0006066,
139,0.0006077,
140,0.0006058,
141,0.0006059,
142,0.0006082,
143,0.0006127,
144,0.0006024,
145,0.0006043,
146,0.0006094,
147,0.0006069,
148,0.0008761,
149,0.001189,
150,0.0005526,
151,0.0005937,
152,0.0006121,
153,0.0006003,
154,0.0006066,
155,0.0006039,
156,0.0006215,
157,0.0006572,
158,0.0005501,
159,0.0006031,
160,0.0006078,
161,0.0006066,
162,0.0006039,
163,0.0006071,
164,0.0006173,
165,0.0006571,
166,0.0006108,
167,0.0005997,
168,0.0005452,
169,0.0006111,
170,0.0006037,
171,0.0006045,
172,0.0006071,
173,0.0006015,
174,0.0006485,
175,0.0011358,
176,0.0006075,
177,0.0006248,
178,0.0006077,
179,0.0005927,
180,0.0006315,
181,0.0006007,
182,0.000637,
183,0.0006014,
184,0.0005894,
185,0.0005885,
186,0.0005838,
187,0.0007466,
188,0.000504,
189,0.0006048,
190,0.0005871,
191,0.0006186,
192,0.0005817,
193,0.0006317,
194,0.0006342,
195,0.0007655,
196,0.0005041,
197,0.0005426,
198,0.0006038,
199,0.0006848,
200,0.0005611,
201,0.0007775,
202,0.0010568,
203,0.0005298,
204,0.0006327,
205,0.0005803,
206,0.0006406,
207,0.0006271,
208,0.0005854,
209,0.0006178,
210,0.0006186,
211,0.0006233,
212,0.00056,
213,0.0006195,
214,0.0006412,
215,0.0005976,
216,0.0006145,
217,0.0006165,
218,0.0006053,
219,0.000612,
220,0.0005725,
221,0.0005784,
222,0.0006337,
223,0.0006259,
224,0.00066,
225,0.0005411,
226,0.0006141,
227,0.0006376,
228,0.0010346,
229,0.0008768,
230,0.0006188,
231,0.0006372,
232,0.000603,
233,0.0005616,
234,0.0006199,
235,0.0006094,
236,0.0006149,
237,0.0005719,
238,0.0006388,
239,0.0005976,
240,0.000652,
241,0.0005982,
242,0.000618,
243,0.0006102,
244,0.0006315,
245,0.0005469,
246,0.0006503,
247,0.0006223,
248,0.0005996,
249,0.0006376,
250,0.0005719,
251,0.0006571,
252,0.0005876,
253,0.000586,
254,0.0011067,
255,0.0007877,
256,0.0005967,
257,0.0006054,
258,0.0006257,
259,0.0006439,
260,0.0005539,
261,0.0006152,
262,0.0006974,
263,0.0005536,
264,0.0005826,
265,0.0005836,
266,0.0006117,
267,0.0006341,
268,0.0005769,
269,0.0006198,
270,0.0006404,
271,0.0006043,
272,0.0006018,
273,0.0005914,
274,0.0007412,
275,0.0004968,
276,0.0005958,
277,0.0006297,
278,0.0005871,
279,0.0006752,
280,0.0007551,
281,0.0009499,
282,0.0006512,
283,0.0005957,
284,0.0006145,
285,0.0005814,
286,0.0005936,
287,0.0006436,
288,0.0006188,
289,0.0005695,
290,0.0006293,
291,0.0006061,
292,0.0006135,
293,0.0005996,
294,0.0006174,
295,0.0005973,
296,0.0006371,
297,0.0005806,
298,0.000628,
299,0.0006619,
300,0.0005547,
301,0.0005675,
302,0.0006099,
303,0.0006536,
304,0.0006019,
305,0.0006066,
306,0.0006153,
307,0.0010665,
308,0.0008695,
309,0.0006172,
310,0.0005945,
311,0.0006852,
312,0.0005398,
313,0.0006053,
314,0.0006496,
315,0.0005968,
316,0.0006158,
317,0.0006072,
318,0.0006251,
319,0.0005966,
320,0.0006305,
321,0.0005885,
322,0.0006559,
323,0.0006169,
324,0.0005419,
325,0.0005729,
326,0.0005729,
327,0.0005858,
328,0.0005341,
329,0.0006,
330,0.0005694,
331,0.0006085,
332,0.0005621,
333,0.0005803,
334,0.0011648,
335,0.0005985,
336,0.0005643,
337,0.0005716,
338,0.0006161,
339,0.000513,
340,0.0005941,
341,0.000599,
342,0.0005965,
343,0.0005955,
344,0.0005862,
345,0.0005697,
346,0.0005808,
347,0.0005357,
348,0.000613,
349,0.0005939,
350,0.0005489,
351,0.0005843,
352,0.0005757,
353,0.0005896,
354,0.0005732,
355,0.0005586,
356,0.0005651,
357,0.0005974,
358,0.0006154,
359,0.0005513,
360,0.0005316,
361,0.0007044,
362,0.0010367,
363,0.0005675,
364,0.0005714,
365,0.0005852,
366,0.0006234,
367,0.0005113,
368,0.0005938,
369,0.0005699,
370,0.0006196,
371,0.0004974,
372,0.0006037,
373,0.0006831,
