frame,time
1,0.0029128,
2,0.0028825,
3,0.0010412,
4,0.0007622,
5,0.0013653,
6,0.0011723,
7,0.0010538,
8,0.0004817,
9,0.000706,
10,0.0010508,
11,0.0005094,
12,0.0012372,
13,0.0006346,
14,0.0012155,
15,0.0005599,
16,0.0009639,
17,0.0008934,
18,0.0008843,
19,0.0009108,
20,0.000883,
21,0.0008375,
22,0.0010989,
23,0.0007895,
24,0.0012931,
25,0.0011779,
26,0.0008791,
27,0.0008837,
28,0.0009472,
29,0.0008915,
30,0.0008575,
31,0.0009628,
32,0.0008926,
33,0.0008542,
34,0.0008751,
35,0.0008986,
36,0.0009041,
37,0.0008968,
38,0.000997,
39,0.0008981,
40,0.000866,
41,0.0010354,
42,0.0012849,
43,0.0009075,
44,0.0008524,
45,0.0008849,
46,0.0008968,
47,0.0008991,
48,0.0009149,
49,0.0008973,
50,0.0008914,
51,0.0009196,
52,0.000909,
53,0.0008985,
54,0.0008961,
55,0.0009347,
56,0.0009435,
57,0.0008481,
58,0.0008885,
59,0.0011626,
60,0.0017647,
61,0.0008716,
62,0.0008884,
63,0.0009066,
64,0.0009152,
65,0.000899,
66,0.0009017,
67,0.0009351,
68,0.0009057,
69,0.0009008,
70,0.0009021,
71,0.0009851,
72,0.0009258,
73,0.0008578,
74,0.0008906,
75,0.0009193,
76,0.0009136,
77,0.0014294,
78,0.0008461,
79,0.0009155,
80,0.0009169,
81,0.0008971,
82,0.0009041,
83,0.0009256,
84,0.0009561,
85,0.0008565,
86,0.0008971,
87,0.0009311,
88,0.0008871,
89,0.0009011,
90,0.0009152,
91,0.0009004,
92,0.0009172,
93,0.000899,
94,0.0011329,
95,0.0014273,
96,0.0009026,
97,0.0008535,
98,0.0008914,
99,0.000922,
100,0.0008942,
101,0.0009007,
102,0.0009005,
103,0.0009265,
104,0.0009265,
105,0.0009761,
106,0.0008852,
107,0.0008993,
108,0.0008829,
109,0.0008852,
110,0.0008977,
111,0.0009095,
112,0.0014065,
113,0.0009005,
114,0.0009081,
115,0.0009109,
116,0.0008959,
117,0.0009135,
118,0.0008993,
119,0.0009201,
120,0.0010328,
121,0.0010028,
122,0.0008737,
123,0.0008714,
124,0.0009546,
125,0.0008783,
126,0.0008651,
127,0.000928,
128,0.0008856,
129,0.0008817,
130,0.0012571,
131,0.0010479,
132,0.0008303,
133,0.0008606,
134,0.0008161,
135,0.0008878,
136,0.000829,
137,0.0008492,
138,0.0008474,
139,0.0008512,
140,0.0008196,
141,0.0008647,
142,0.0008182,
143,0.0008773,
144,0.0008121,
145,0.0008932,
146,0.0008377,
147,0.000848,
148,0.0008267,
149,0.0012862,
150,0.0010399,
151,0.0008496,
152,0.0008188,
153,0.0008548,
154,0.0008399,
155,0.0008977,
156,0.0007418,
157,0.0009158,
158,0.0008195,
159,0.0008604,
160,0.0008451,
161,0.0008626,
162,0.0008431,
163,0.0008682,
164,0.000822,
165,0.0008677,
166,0.0008125,
167,0.0008131,
168,0.0013362,
169,0.0010387,
170,0.0008516,
171,0.000857,
172,0.0008685,
173,0.0008299,
174,0.0008383,
175,0.0008556,
176,0.000847,
177,0.0008176,
178,0.0008617,
179,0.0008364,
180,0.0008654,
181,0.0008453,
182,0.0008102,
183,0.0008653,
184,0.0008523,
185,0.0008405,
186,0.0008614,
187,0.0013016,
188,0.0009986,
189,0.0008658,
190,0.0011296,
191,0.0006153,
192,0.0008179,
193,0.0008353,
194,0.0008448,
195,0.0008586,
196,0.0008606,
197,0.0008545,
198,0.0008337,
199,0.0008706,
200,0.0008486,
201,0.0008465,
202,0.0008111,
203,0.0008796,
204,0.0008589,
205,0.000848,
206,0.0012939,
207,0.0010864,
208,0.0008495,
209,0.0008435,
210,0.0008542,
211,0.0008306,
212,0.0008459,
213,0.0008149,
214,0.0008608,
215,0.0008422,
216,0.0008473,
217,0.00083,
218,0.0008642,
219,0.0008388,
220,0.0008626,
221,0.0008427,
222,0.0008591,
223,0.0008465,
224,0.0008498,
225,0.0012666,
226,0.0010234,
227,0.0008867,
228,0.0008177,
229,0.0008873,
230,0.0008425,
231,0.0008746,
232,0.0008214,
233,0.0008672,
234,0.0008149,
235,0.0008974,
236,0.0008548,
237,0.0008438,
238,0.0008448,
