frame,time
0,0.0015805,
1,0.0018072,
2,0.0001008,
3,0.0003083,
4,0.00068,
5,8.77e-05,
6,9.71e-05,
7,8.1e-05,
8,9.28e-05,
9,0.0002344,
10,9.11e-05,
11,9.3e-05,
12,9.86e-05,
13,9.29e-05,
14,9.11e-05,
15,6.36e-05,
16,0.0003842,
17,8.1e-05,
18,9.85e-05,
19,0.0001003,
20,9.57e-05,
21,9.05e-05,
22,0.0002852,
23,6.92e-05,
24,9.49e-05,
25,0.0001027,
26,9.53e-05,
27,9.24e-05,
28,9.08e-05,
29,9.13e-05,
30,9.17e-05,
31,0.0001047,
32,0.0001802,
33,7.32e-05,
34,9.06e-05,
35,7.35e-05,
36,5.35e-05,
37,5.03e-05,
38,4.74e-05,
39,4.7e-05,
40,9.17e-05,
41,9.11e-05,
42,7.5e-05,
43,5.03e-05,
44,5.15e-05,
45,4.89e-05,
46,4.81e-05,
47,4.83e-05,
48,4.78e-05,
49,9.02e-05,
50,6.74e-05,
51,5.15e-05,
52,5.27e-05,
53,4.76e-05,
54,4.72e-05,
55,4.76e-05,
56,4.73e-05,
57,4.73e-05,
58,4.76e-05,
59,4.78e-05,
60,4.69e-05,
61,4.69e-05,
62,4.76e-05,
63,4.69e-05,
64,4.62e-05,
65,4.61e-05,
66,4.66e-05,
67,9.11e-05,
68,7.4e-05,
69,4.74e-05,
70,5.17e-05,
71,5.4e-05,
72,4.77e-05,
73,0.0001007,
74,5.46e-05,
75,9.11e-05,
76,7.74e-05,
77,9.58e-05,
78,5.67e-05,
79,6.15e-05,
80,4.94e-05,
81,4.79e-05,
82,4.6e-05,
83,9.6e-05,
84,5.72e-05,
85,4.91e-05,
86,4.7e-05,
87,4.71e-05,
88,4.74e-05,
89,4.54e-05,
90,4.61e-05,
91,9.06e-05,
92,7.38e-05,
93,5.22e-05,
94,4.88e-05,
95,9.54e-05,
96,7.7e-05,
97,5.5e-05,
98,6.03e-05,
99,5.08e-05,
100,4.91e-05,
101,4.83e-05,
102,4.77e-05,
103,4.78e-05,
104,4.82e-05,
105,4.62e-05,
106,4.75e-05,
107,4.59e-05,
108,4.65e-05,
109,4.63e-05,
110,9.22e-05,
111,5.52e-05,
112,4.84e-05,
113,4.7e-05,
114,4.72e-05,
115,4.59e-05,
116,4.67e-05,
117,4.77e-05,
118,5.11e-05,
119,9.04e-05,
120,7.36e-05,
121,5.26e-05,
122,8.85e-05,
123,9.4e-05,
124,9.15e-05,
125,9.11e-05,
126,5.52e-05,
127,9.85e-05,
128,7.42e-05,
129,5.23e-05,
130,4.91e-05,
131,4.81e-05,
132,4.68e-05,
133,4.68e-05,
134,4.69e-05,
135,4.58e-05,
136,4.67e-05,
137,4.61e-05,
138,4.7e-05,
139,5.22e-05,
140,4.65e-05,
141,4.6e-05,
142,4.59e-05,
143,4.53e-05,
144,4.64e-05,
145,4.59e-05,
146,4.86e-05,
147,9.42e-05,
148,9.81e-05,
149,7.4e-05,
150,5.19e-05,
151,4.86e-05,
152,4.73e-05,
153,4.64e-05,
154,4.7e-05,
155,4.71e-05,
156,9.13e-05,
157,7.39e-05,
158,5.16e-05,
159,4.88e-05,
160,4.74e-05,
161,4.72e-05,
162,4.62e-05,
163,4.7e-05,
164,9.14e-05,
165,9.08e-05,
166,9.14e-05,
167,7.37e-05,
168,5.15e-05,
169,5.31e-05,
170,4.88e-05,
171,4.69e-05,
172,9.16e-05,
173,5.33e-05,
174,9.3e-05,
175,9.4e-05,
176,9.8e-05,
177,9.56e-05,
178,8.15e-05,
179,8.03e-05,
180,8.76e-05,
181,4.89e-05,
182,8.07e-05,
183,9.07e-05,
184,9.02e-05,
185,9.14e-05,
186,9.02e-05,
187,0.0001029,
188,8.93e-05,
189,9.06e-05,
190,9.15e-05,
191,9.11e-05,
192,9.13e-05,
193,5.91e-05,
194,8.38e-05,
195,9.47e-05,
196,0.0001136,
197,4.91e-05,
198,9.03e-05,
199,9.52e-05,
200,0.0001053,
201,9.28e-05,
202,9.98e-05,
203,8.97e-05,
204,9.04e-05,
205,6.49e-05,
206,9.11e-05,
207,9.18e-05,
208,0.0001011,
209,8.98e-05,
210,9.17e-05,
211,9.1e-05,
212,9.15e-05,
213,9.1e-05,
214,9.18e-05,
215,7.48e-05,
216,8.93e-05,
217,8.98e-05,
218,9.17e-05,
219,9.05e-05,
220,8.43e-05,
221,4.65e-05,
222,8.38e-05,
223,6.97e-05,
224,7.86e-05,
225,9.1e-05,
226,5.1e-05,
227,9.24e-05,
228,9.14e-05,
229,5.4e-05,
230,9.23e-05,
231,8.03e-05,
232,9e-05,
233,4.82e-05,
234,8.31e-05,
235,0.0001124,
236,0.0001024,
237,9.97e-05,
238,9.16e-05,
239,7.4e-05,
240,0.0001018,
241,9.14e-05,
242,8.29e-05,
243,9.05e-05,
244,9.08e-05,
245,8.92e-05,
246,8.28e-05,
247,8.08e-05,
248,0.0001009,
249,9.02e-05,
250,6.66e-05,
251,7.58e-05,
252,9.11e-05,
253,9.13e-05,
254,9.07e-05,
255,8.95e-05,
256,4.84e-05,
257,6.5e-05,
258,7.88e-05,
259,9.63e-05,
260,9.22e-05,
261,9.1e-05,
262,0.0001104,
263,8.99e-05,
264,9.24e-05,
265,8.05e-05,
266,6.24e-05,
267,9.05e-05,
268,9.16e-05,
269,9.88e-05,
270,8.95e-05,
271,8.9e-05,
272,5.95e-05,
273,8.64e-05,
274,9.07e-05,
275,5.74e-05,
276,6.38e-05,
277,4.22e-05,
278,9.09e-05,
279,9.03e-05,
280,7.59e-05,
281,4.74e-05,
282,9.34e-05,
283,8.97e-05,
284,6.19e-05,
285,9.08e-05,
286,6.58e-05,
287,9.09e-05,
288,9e-05,
289,9.17e-05,
290,0.0001107,
291,9.03e-05,
292,8.26e-05,
293,4.69e-05,
294,7.83e-05,
295,8.41e-05,
296,7.03e-05,
297,4.58e-05,
298,9.06e-05,
299,0.0001078,
300,7.52e-05,
301,8.95e-05,
302,8.25e-05,
303,9.09e-05,
304,9.14e-05,
305,4.97e-05,
306,8.2e-05,
307,9.13e-05,
308,9.01e-05,
309,8.99e-05,
310,9.05e-05,
311,8.58e-05,
312,7.61e-05,
313,4.73e-05,
314,8.99e-05,
315,8.52e-05,
316,8.65e-05,
317,8.94e-05,
318,9.18e-05,
319,8.21e-05,
320,9.02e-05,
321,9.39e-05,
322,8.23e-05,
323,4.53e-05,
324,7.85e-05,
325,9.51e-05,
326,6.61e-05,
327,9.09e-05,
328,8.94e-05,
329,9.33e-05,
330,5.93e-05,
331,9.32e-05,
332,9.82e-05,
333,9.62e-05,
334,0.0001069,
335,9.09e-05,
336,4.83e-05,
337,6.54e-05,
338,0.0001206,
339,9.14e-05,
340,6.03e-05,
341,7.65e-05,
342,9.02e-05,
343,5.11e-05,
344,8.39e-05,
345,8.14e-05,
346,7.93e-05,
347,9e-05,
348,9.62e-05,
349,0.000105,
350,5.12e-05,
351,8.96e-05,
352,9.38e-05,
353,9.14e-05,
354,6.09e-05,
355,7.84e-05,
356,4.76e-05,
357,9.04e-05,
358,0.000107,
359,9.85e-05,
360,9.39e-05,
361,9.23e-05,
362,8.11e-05,
363,4.57e-05,
364,5.34e-05,
365,0.0001028,
366,0.0001028,
367,8.92e-05,
368,5.21e-05,
369,9.17e-05,
370,0.0001014,
371,8.03e-05,
372,5.11e-05,
373,9.79e-05,
374,9.94e-05,
375,8.98e-05,
376,6.97e-05,
377,9.99e-05,
378,8.43e-05,
379,6.69e-05,
380,4.97e-05,
381,8.71e-05,
382,9.02e-05,
383,5.69e-05,
384,5.55e-05,
385,8.29e-05,
386,0.0001122,
387,9.66e-05,
388,0.0001249,
389,9.23e-05,
390,8.92e-05,
391,8.95e-05,
392,5.15e-05,
393,0.0001055,
394,5.51e-05,
395,5e-05,
396,9.2e-05,
397,0.0001093,
398,0.0001058,
399,0.0001164,
400,8.41e-05,
401,9.45e-05,
402,0.0001021,
403,9.12e-05,
404,0.0001114,
405,8.54e-05,
406,7.87e-05,
407,9.43e-05,
408,6.18e-05,
409,7.38e-05,
410,9.5e-05,
411,7.74e-05,
412,0.0001042,
413,6.8e-05,
414,0.0001103,
415,8.54e-05,
416,6.57e-05,
417,9.18e-05,
418,8.92e-05,
419,8.96e-05,
420,4.81e-05,
421,0.000115,
422,9.52e-05,
423,8.91e-05,
424,8.91e-05,
425,9.55e-05,
426,8.93e-05,
427,8.4e-05,
428,4.49e-05,
429,5.08e-05,
430,6.04e-05,
431,9.61e-05,
432,9.46e-05,
433,6.43e-05,
434,6.4e-05,
435,6.76e-05,
436,6.75e-05,
437,5.39e-05,
438,9.1e-05,
439,9.72e-05,
440,9.1e-05,
441,7.92e-05,
442,9.03e-05,
443,7.08e-05,
444,9.73e-05,
445,5.52e-05,
446,9.45e-05,
447,5.58e-05,
448,5.35e-05,
449,9.21e-05,
450,0.0001072,
451,7.56e-05,
452,4.58e-05,
453,9.47e-05,
454,0.0001008,
455,9.15e-05,
456,6.37e-05,
457,9.19e-05,
458,0.0001127,
459,5.57e-05,
460,9.1e-05,
461,6.73e-05,
462,0.0001004,
463,8.86e-05,
464,4.72e-05,
465,8.05e-05,
466,9.31e-05,
467,4.77e-05,
468,5.45e-05,
