frame,time
0,0.001789,
1,0.000598,
2,0.0020485,
3,0.0008083,
4,0.0002544,
5,0.0001121,
6,0.0001983,
7,9.85e-05,
8,0.0002004,
9,0.000131,
10,9.13e-05,
11,0.000159,
12,0.0001082,
13,0.0001196,
14,0.00012,
15,0.0001025,
16,7.99e-05,
17,0.0001515,
18,6.59e-05,
19,0.0001047,
20,0.0001942,
21,0.0001135,
22,0.0001043,
23,0.0001526,
24,0.0001024,
25,0.0001067,
26,9.71e-05,
27,0.0001014,
28,0.000192,
29,0.0001049,
30,0.000104,
31,0.0001633,
32,0.0001041,
33,0.0001072,
34,0.0001036,
35,0.0001016,
36,9.59e-05,
37,0.0001027,
38,0.0001012,
39,0.0001028,
40,0.0001046,
41,0.0001062,
42,8.68e-05,
43,4.36e-05,
44,9.31e-05,
45,0.0001274,
46,8.88e-05,
47,0.0001153,
48,9.35e-05,
49,9.68e-05,
50,8.82e-05,
51,0.0001026,
52,0.0001062,
53,0.0001028,
54,0.0001028,
55,0.0001201,
56,0.0001065,
57,9.26e-05,
58,8.82e-05,
59,0.0001004,
60,0.0001939,
61,8.59e-05,
62,0.0001033,
63,0.0001011,
64,0.0001459,
65,0.0001461,
66,0.0001201,
67,0.0001022,
68,0.0001454,
69,0.0001064,
70,0.0001143,
71,0.000178,
72,0.0002001,
73,9.77e-05,
74,0.0001191,
75,0.0001783,
76,0.0001761,
77,8.07e-05,
78,9.53e-05,
79,9.98e-05,
80,8.76e-05,
81,0.0001685,
82,9.44e-05,
83,9.6e-05,
84,9.37e-05,
85,9.81e-05,
86,9.76e-05,
87,8.87e-05,
88,0.0001707,
89,9.88e-05,
90,9.93e-05,
91,0.0001766,
92,9.48e-05,
93,9.89e-05,
94,0.0001756,
95,9.28e-05,
96,9.46e-05,
97,0.0001826,
98,8.9e-05,
99,9.72e-05,
100,0.0001799,
101,0.0001834,
102,9.41e-05,
103,9.25e-05,
104,0.0001866,
105,0.000146,
106,0.0001771,
107,0.000197,
108,6.32e-05,
109,0.0001574,
110,9.5e-05,
111,0.0001488,
112,9.9e-05,
113,0.0001796,
114,0.0001792,
115,0.0001197,
116,9.76e-05,
117,9.94e-05,
118,9.65e-05,
119,9.73e-05,
120,9.25e-05,
121,0.0001067,
122,9.69e-05,
123,0.0001011,
124,9.38e-05,
125,0.0001741,
126,9.52e-05,
127,8.5e-05,
128,0.0001021,
129,9.44e-05,
130,9.52e-05,
131,0.0001657,
132,0.0001774,
133,9.42e-05,
134,0.0001849,
135,8.15e-05,
136,9.66e-05,
137,9.38e-05,
138,8.13e-05,
139,9.42e-05,
140,0.0001507,
141,7.76e-05,
142,9.9e-05,
143,9.42e-05,
144,9.71e-05,
145,9.73e-05,
146,0.0001017,
147,9.24e-05,
148,7.9e-05,
149,0.0001844,
150,9.71e-05,
151,9.59e-05,
152,0.0001503,
153,0.0001471,
154,8.07e-05,
155,0.0001006,
156,0.0001555,
157,6.93e-05,
158,8e-05,
159,0.0001998,
160,0.000105,
161,9.03e-05,
162,9.29e-05,
163,9.65e-05,
164,0.0001196,
165,0.00011,
166,9.42e-05,
167,0.0001511,
168,9.87e-05,
169,7.85e-05,
170,9.84e-05,
171,0.0001772,
172,8.26e-05,
173,9.5e-05,
174,9.52e-05,
175,8.05e-05,
176,8.32e-05,
177,0.0001281,
178,8.74e-05,
179,9.49e-05,
180,8.9e-05,
181,8.3e-05,
182,0.0001111,
183,0.0001409,
184,6.63e-05,
185,9.58e-05,
186,9.42e-05,
187,7.93e-05,
188,0.0001019,
189,9.37e-05,
190,8.15e-05,
191,0.0001006,
192,0.0001784,
193,0.0001806,
194,0.0001129,
195,0.0001053,
196,0.0001146,
197,0.0001321,
198,9.3e-05,
199,0.0001017,
200,0.0001776,
201,0.0001469,
202,9.61e-05,
203,0.000149,
204,0.0001049,
205,0.0001792,
206,0.0001515,
207,0.0001697,
208,9.39e-05,
209,8.39e-05,
210,0.0001523,
211,9.42e-05,
212,0.0001763,
213,0.000111,
214,9.69e-05,
215,9.59e-05,
216,0.0001127,
217,0.0001059,
218,8.75e-05,
219,9.75e-05,
220,0.0001854,
221,8.75e-05,
222,9.5e-05,
223,9.47e-05,
224,0.0001734,
225,0.0001,
226,0.0001787,
227,9.57e-05,
228,9.87e-05,
229,0.0001008,
230,9.45e-05,
231,0.0001504,
232,9.36e-05,
233,9.51e-05,
234,0.0001273,
235,0.0001247,
236,9.31e-05,
237,9.43e-05,
238,0.0001767,
239,9.44e-05,
240,0.0001601,
241,0.0001717,
242,8.2e-05,
243,9.57e-05,
244,0.0001716,
245,7.98e-05,
246,0.0001026,
247,9.18e-05,
248,0.0001608,
249,8.41e-05,
250,9.54e-05,
251,8.16e-05,
252,0.0001258,
253,0.0001042,
254,8.62e-05,
255,9.47e-05,
256,0.0001632,
257,8.41e-05,
258,0.0001809,
259,0.0001534,
260,0.0001349,
261,0.0001009,
262,9.41e-05,
263,8.48e-05,
264,0.0001517,
265,0.0001789,
266,0.0001771,
267,9.5e-05,
268,0.0001567,
269,0.000147,
270,9.63e-05,
271,0.0001643,
272,0.0001503,
273,0.0001915,
274,0.0001772,
275,0.0001575,
276,0.000176,
277,0.0002001,
278,0.000185,
279,9.64e-05,
280,9.55e-05,
281,8.63e-05,
282,0.0001556,
283,9.21e-05,
284,0.0001627,
285,8.37e-05,
286,7.16e-05,
287,0.0001275,
288,9.79e-05,
289,0.0001136,
290,0.0001628,
291,8.3e-05,
292,8.26e-05,
293,9.54e-05,
294,9.59e-05,
295,0.0001496,
296,0.0001194,
297,0.0001301,
298,0.0001041,
299,6.49e-05,
300,8.13e-05,
301,0.0001023,
302,0.0001762,
303,9.84e-05,
304,9.98e-05,
305,9.46e-05,
306,9.84e-05,
307,9.21e-05,
308,0.000101,
309,9.76e-05,
310,8.57e-05,
311,9.51e-05,
312,0.000144,
313,0.0001146,
314,8.08e-05,
315,9.61e-05,
316,0.0001005,
317,9.69e-05,
318,9.7e-05,
319,0.0001152,
320,0.0002076,
321,8.4e-05,
322,9.47e-05,
323,9.85e-05,
324,0.0001804,
325,0.0001104,
326,0.0001534,
327,0.0001,
328,9.41e-05,
329,9.42e-05,
330,0.0001315,
331,0.0001731,
332,8.29e-05,
333,9.24e-05,
334,9.89e-05,
335,9.77e-05,
336,9.87e-05,
337,8.87e-05,
338,0.0001127,
339,0.0001006,
340,0.0001367,
341,9.6e-05,
342,0.0001032,
343,0.000113,
344,0.0001043,
345,9.81e-05,
346,8.31e-05,
347,9.62e-05,
348,7.89e-05,
349,8.15e-05,
350,9.84e-05,
351,0.0001512,
352,0.0004492,
353,0.0001137,
354,0.000101,
355,9.07e-05,
356,9.54e-05,
357,9.87e-05,
358,0.0001474,
359,9.56e-05,
360,9.77e-05,
361,0.0001818,
362,9.63e-05,
363,0.0001125,
364,0.0001157,
365,0.0001426,
366,0.0001507,
367,9.22e-05,
368,0.0001064,
369,0.0001067,
370,0.0001017,
371,0.0001097,
372,9.29e-05,
373,0.0001034,
374,0.0001099,
375,0.0001028,
376,0.0001768,
377,9.57e-05,
378,9.69e-05,
379,0.0001506,
380,0.0001845,
381,9.15e-05,
382,0.000154,
383,0.0001473,
384,9.86e-05,
385,9.61e-05,
386,9.77e-05,
387,0.0001135,
388,0.0001794,
389,0.0001746,
390,0.000211,
391,8.81e-05,
392,9.88e-05,
393,0.0001114,
394,0.0001558,
