frame,time
0,0.0015668,
1,0.0019733,
2,9.86e-05,
3,0.0003256,
4,0.0008494,
5,0.0001062,
6,9.68e-05,
7,7.8e-05,
8,0.0003257,
9,0.0006701,
10,0.0001179,
11,9.89e-05,
12,0.0002415,
13,0.0001079,
14,0.0002002,
15,0.0002604,
16,0.0001074,
17,9.44e-05,
18,9.75e-05,
19,8.43e-05,
20,7.37e-05,
21,5.42e-05,
22,8.83e-05,
23,5.4e-05,
24,9.12e-05,
25,7.44e-05,
26,5.18e-05,
27,5.65e-05,
28,0.0001013,
29,8.56e-05,
30,9.15e-05,
31,9.65e-05,
32,7.33e-05,
33,5.39e-05,
34,5.64e-05,
35,5.27e-05,
36,5.54e-05,
37,5.38e-05,
38,9.88e-05,
39,9.14e-05,
40,5.59e-05,
41,9.86e-05,
42,7.53e-05,
43,4.38e-05,
44,5.15e-05,
45,5.67e-05,
46,5.32e-05,
47,5.87e-05,
48,5.62e-05,
49,5.32e-05,
50,5.26e-05,
51,5.13e-05,
52,5.54e-05,
53,5.23e-05,
54,5.13e-05,
55,9.76e-05,
56,8.77e-05,
57,5.51e-05,
58,5.45e-05,
59,0.0001374,
60,6.73e-05,
61,5.98e-05,
62,5.44e-05,
63,5.47e-05,
64,5.57e-05,
65,5.32e-05,
66,5.19e-05,
67,5e-05,
68,5.5e-05,
69,5.24e-05,
70,5.11e-05,
71,8.58e-05,
72,8.75e-05,
73,5.36e-05,
74,5.46e-05,
75,5.36e-05,
76,5.73e-05,
77,8.21e-05,
78,5.28e-05,
79,4.9e-05,
80,5.65e-05,
81,5.44e-05,
82,5.22e-05,
83,9.68e-05,
84,8.68e-05,
85,5.35e-05,
86,5.43e-05,
87,4.99e-05,
88,6.4e-05,
89,5.79e-05,
90,5.53e-05,
91,5.31e-05,
92,5.53e-05,
93,5.18e-05,
94,0.0001006,
95,9.88e-05,
96,8.45e-05,
97,5.26e-05,
98,5.53e-05,
99,5.26e-05,
100,5.49e-05,
101,5.34e-05,
102,5.19e-05,
103,5.03e-05,
104,0.0001065,
105,9.86e-05,
106,8.98e-05,
107,9.68e-05,
108,6.55e-05,
109,5.9e-05,
110,5.33e-05,
111,5.15e-05,
112,5.55e-05,
113,5.32e-05,
114,4.77e-05,
115,5.23e-05,
116,5.47e-05,
117,5.3e-05,
118,5.23e-05,
119,5.27e-05,
120,0.000106,
121,0.0001822,
122,0.0001017,
123,9.74e-05,
124,0.0001063,
125,9.11e-05,
126,5.85e-05,
