frame,time
0,3.44e-05,
1,2.6e-05,
2,4.42e-05,
3,1.24e-05,
4,1.15e-05,
5,5.55e-05,
6,3.01e-05,
7,2.84e-05,
8,1.21e-05,
9,1.1e-05,
10,1.18e-05,
11,1.08e-05,
12,5.24e-05,
13,2.77e-05,
14,1.14e-05,
15,9.4e-06,
16,1.13e-05,
17,2.24e-05,
18,1.21e-05,
19,2.71e-05,
20,1.11e-05,
21,1.84e-05,
22,1.11e-05,
23,1.16e-05,
24,1.22e-05,
25,1.94e-05,
26,2.14e-05,
27,1.2e-05,
28,1.09e-05,
29,1.2e-05,
30,1.2e-05,
31,1.23e-05,
32,1.11e-05,
33,1.08e-05,
34,1.43e-05,
35,1.09e-05,
36,1.56e-05,
37,1.35e-05,
38,8.4e-06,
39,8.2e-06,
40,1.87e-05,
41,2.06e-05,
42,1.07e-05,
43,8.6e-06,
44,9.4e-06,
45,9.2e-06,
46,8.5e-06,
47,8.4e-06,
48,8.8e-06,
49,1.19e-05,
50,1.05e-05,
51,8.9e-06,
52,8.2e-06,
53,8.8e-06,
54,7.9e-06,
55,8.8e-06,
56,8.3e-06,
57,8.6e-06,
58,7.8e-06,
59,7.9e-06,
60,8.2e-06,
61,8.1e-06,
62,7.9e-06,
63,8.7e-06,
64,8.4e-06,
65,7.7e-06,
66,8.4e-06,
67,1.49e-05,
68,1.21e-05,
69,8.8e-06,
70,8.4e-06,
71,8.7e-06,
72,8.5e-06,
73,7.8e-06,
74,7.3e-06,
75,1.53e-05,
76,1.13e-05,
77,1.2e-05,
78,9.3e-06,
79,9.6e-06,
80,8.8e-06,
81,8.4e-06,
82,8.1e-06,
83,8.5e-06,
84,7.2e-06,
85,8.2e-06,
86,8.5e-06,
87,8.1e-06,
88,7.9e-06,
89,8.4e-06,
90,8.1e-06,
91,2.32e-05,
92,1.07e-05,
93,8.4e-06,
94,8.7e-06,
95,1.15e-05,
96,1.14e-05,
97,9.1e-06,
98,9e-06,
99,8.6e-06,
100,8.4e-06,
101,8.4e-06,
102,8.6e-06,
103,8.4e-06,
104,8.7e-06,
105,7.8e-06,
106,8.2e-06,
107,7.6e-06,
108,8.2e-06,
109,8.6e-06,
110,1.38e-05,
111,7.5e-06,
112,8.4e-06,
113,8.7e-06,
114,8.3e-06,
115,8.3e-06,
116,8.2e-06,
117,7.8e-06,
118,8.9e-06,
119,1.43e-05,
120,1.16e-05,
121,9.2e-06,
122,8.7e-06,
123,3.84e-05,
124,8.5e-06,
125,1.22e-05,
126,8.7e-06,
127,2.16e-05,
128,1.07e-05,
129,9.1e-06,
130,9.1e-06,
131,7.6e-06,
132,9.2e-06,
133,8.6e-06,
134,8.7e-06,
135,8.3e-06,
136,7.8e-06,
137,8e-06,
138,7.5e-06,
139,8.3e-06,
140,7.6e-06,
141,8.2e-06,
142,7.9e-06,
143,8.6e-06,
144,8.2e-06,
145,8.4e-06,
146,1.22e-05,
147,8.2e-06,
148,1.1e-05,
149,1.19e-05,
150,9.1e-06,
151,9e-06,
152,8.1e-06,
153,8.6e-06,
154,8.1e-06,
155,8.1e-06,
156,1.45e-05,
157,1.12e-05,
158,8.7e-06,
159,8.5e-06,
160,8e-06,
161,8.7e-06,
162,8.4e-06,
163,8.5e-06,
164,1.42e-05,
165,1.16e-05,
166,1.42e-05,
167,1.09e-05,
168,9.8e-06,
169,9.5e-06,
170,8.4e-06,
171,7.8e-06,
172,1.34e-05,
173,7.4e-06,
174,2.87e-05,
175,1.09e-05,
176,1.18e-05,
177,1.93e-05,
178,1.57e-05,
