frame,time
0,1.85e-05,
1,2.42e-05,
2,1.33e-05,
3,2.66e-05,
4,1.28e-05,
5,3.13e-05,
6,2.41e-05,
7,1.29e-05,
8,2.58e-05,
9,2.38e-05,
10,1.29e-05,
11,2.73e-05,
12,1.28e-05,
13,2.44e-05,
14,2.96e-05,
15,1.37e-05,
16,1.01e-05,
17,2.3e-05,
18,1.03e-05,
19,1.3e-05,
20,2.41e-05,
21,1.33e-05,
22,1.31e-05,
23,2.33e-05,
24,1.97e-05,
25,1.56e-05,
26,1.8e-05,
27,1.27e-05,
28,2.85e-05,
29,2.76e-05,
30,2.42e-05,
31,2.89e-05,
32,1.3e-05,
33,1.52e-05,
34,1.25e-05,
35,1.19e-05,
36,1.61e-05,
37,1.29e-05,
38,1.23e-05,
39,2.53e-05,
40,1.32e-05,
41,1.32e-05,
42,1.68e-05,
43,8.3e-06,
44,1.25e-05,
45,2.47e-05,
46,1.86e-05,
47,1.23e-05,
48,1.56e-05,
49,1.71e-05,
50,1.58e-05,
51,1.18e-05,
52,1.24e-05,
53,1.67e-05,
54,1.21e-05,
55,2.42e-05,
56,1.24e-05,
57,2.71e-05,
58,1.33e-05,
59,1.23e-05,
60,2.4e-05,
61,1.21e-05,
62,1.62e-05,
63,1.25e-05,
64,1.73e-05,
65,1.88e-05,
66,2.96e-05,
67,1.66e-05,
68,2.49e-05,
69,1.83e-05,
70,1.38e-05,
71,2.47e-05,
72,3.41e-05,
73,1.34e-05,
74,2.45e-05,
75,2.41e-05,
76,3.15e-05,
77,1.26e-05,
78,4.37e-05,
79,2.99e-05,
80,1.34e-05,
81,4.5e-05,
82,1.53e-05,
83,1.79e-05,
84,1.56e-05,
85,1.58e-05,
86,1.39e-05,
87,1.3e-05,
88,2.43e-05,
89,1.38e-05,
90,3.46e-05,
91,1.72e-05,
92,1.55e-05,
93,4.63e-05,
94,2.41e-05,
95,1.32e-05,
96,3.32e-05,
97,2.45e-05,
98,1.69e-05,
99,2.65e-05,
100,2.37e-05,
101,2.43e-05,
102,1.58e-05,
103,1.22e-05,
104,2.39e-05,
105,2.89e-05,
106,3.61e-05,
107,2.43e-05,
108,8.8e-06,
109,2.49e-05,
110,1.24e-05,
111,4.99e-05,
112,1.55e-05,
113,3.85e-05,
114,3.19e-05,
115,2.41e-05,
116,1.29e-05,
117,1.27e-05,
118,3.69e-05,
119,1.23e-05,
120,1.3e-05,
121,1.66e-05,
122,1.37e-05,
123,1.21e-05,
124,1.21e-05,
125,2.36e-05,
126,1.27e-05,
127,1.19e-05,
128,3.85e-05,
129,1.26e-05,
130,1.74e-05,
131,2.33e-05,
132,4.1e-05,
133,1.3e-05,
134,2.33e-05,
135,2.51e-05,
136,1.26e-05,
137,1.29e-05,
138,1.22e-05,
139,1.56e-05,
140,2.32e-05,
141,1.25e-05,
142,1.23e-05,
143,1.2e-05,
144,1.26e-05,
145,1.23e-05,
146,1.23e-05,
147,1.19e-05,
148,1.2e-05,
149,3.12e-05,
150,1.22e-05,
151,1.22e-05,
152,2.3e-05,
153,2.56e-05,
154,1.28e-05,
155,1.16e-05,
156,5.15e-05,
157,1.14e-05,
158,1.22e-05,
159,4.01e-05,
160,1.15e-05,
161,1.22e-05,
162,1.23e-05,
163,1.58e-05,
164,1.89e-05,
165,1.81e-05,
166,1.56e-05,
167,2e-05,
168,6.3e-05,
169,1.28e-05,
170,2.24e-05,
171,2.35e-05,
172,1.21e-05,
173,1.71e-05,
174,1.2e-05,
175,1.7e-05,
176,1.28e-05,
177,1.94e-05,
178,1.21e-05,
179,1.62e-05,
180,1.41e-05,
181,1.22e-05,
182,3.66e-05,
183,2.35e-05,
184,1.01e-05,
185,2.99e-05,
186,1.57e-05,
187,1.21e-05,
188,1.22e-05,
189,3.52e-05,
190,1.26e-05,
191,2.37e-05,
192,6.1e-05,
193,2.34e-05,
194,2.28e-05,
195,2.14e-05,
196,1.35e-05,
197,2.37e-05,
198,1.37e-05,
199,1.27e-05,
200,3.08e-05,
201,4.89e-05,
202,2.23e-05,
203,2.36e-05,
204,2.37e-05,
205,3.75e-05,
206,2.36e-05,
207,3.71e-05,
208,1.18e-05,
209,3.39e-05,
210,5.94e-05,
211,1.19e-05,
212,2.97e-05,
213,4.14e-05,
214,1.31e-05,
215,2.1e-05,
216,6.86e-05,
217,1.91e-05,
218,1.89e-05,
219,1.87e-05,
220,2.33e-05,
221,2.36e-05,
222,1.29e-05,
223,1.19e-05,
224,2.31e-05,
225,1.24e-05,
226,4.03e-05,
227,2.09e-05,
228,2.89e-05,
229,1.21e-05,
230,1.22e-05,
231,2.32e-05,
232,1.56e-05,
233,1.29e-05,
234,2.36e-05,
235,2.03e-05,
236,1.57e-05,
237,1.28e-05,
238,2.28e-05,
239,1.28e-05,
240,4.64e-05,
241,2.33e-05,
242,1.58e-05,
243,2.74e-05,
244,5.15e-05,
245,1.24e-05,
246,2.33e-05,
247,2.71e-05,
248,2.35e-05,
249,1.09e-05,
250,1.53e-05,
251,1.24e-05,
252,2.43e-05,
253,1.27e-05,
254,1.21e-05,
255,6.31e-05,
256,4.75e-05,
257,1.61e-05,
258,2.32e-05,
259,2.31e-05,
260,2.27e-05,
261,2.4e-05,
262,2.02e-05,
263,1.32e-05,
264,2.2e-05,
265,2.33e-05,
266,2.37e-05,
267,1.52e-05,
268,2.45e-05,
269,2.59e-05,
270,1.33e-05,
271,3.06e-05,
272,2.31e-05,
273,2.33e-05,
274,2.36e-05,
275,2.4e-05,
276,3.33e-05,
277,2.34e-05,
278,2.38e-05,
279,1.57e-05,
280,1.77e-05,
281,1.29e-05,
282,2.6e-05,
283,2.07e-05,
284,2.35e-05,
285,1.25e-05,
286,1.16e-05,
287,2.11e-05,
288,1.27e-05,
289,1.26e-05,
290,5.23e-05,
291,1.31e-05,
292,1.23e-05,
293,1.23e-05,
294,2.17e-05,
295,1.93e-05,
296,2.33e-05,
297,2.12e-05,
298,2.11e-05,
299,1.19e-05,
300,1.23e-05,
301,2.02e-05,
302,2.42e-05,
303,2.39e-05,
304,1.5e-05,
