frame,time
0,3.04e-05,
1,4.67e-05,
2,2.97e-05,
3,1.98e-05,
4,2.32e-05,
5,3.56e-05,
6,2.73e-05,
7,1.23e-05,
8,1.93e-05,
9,9.6e-06,
10,1.53e-05,
11,1.26e-05,
12,1.12e-05,
13,2.22e-05,
14,1.17e-05,
15,1.13e-05,
16,1.25e-05,
17,1.59e-05,
18,1.13e-05,
19,1.12e-05,
20,1.14e-05,
21,8.9e-06,
22,1.18e-05,
23,9.7e-06,
24,1.18e-05,
25,1.56e-05,
26,9.6e-06,
27,8.7e-06,
28,1.17e-05,
29,1.09e-05,
30,1.51e-05,
31,1.41e-05,
32,1.17e-05,
33,8.9e-06,
34,8.2e-06,
35,8.7e-06,
36,8.5e-06,
37,7.8e-06,
38,1.74e-05,
39,1.08e-05,
40,1.21e-05,
41,1.26e-05,
42,1.16e-05,
43,8.4e-06,
44,9.2e-06,
45,8.6e-06,
46,8.3e-06,
47,8.1e-06,
48,8.1e-06,
49,8.5e-06,
50,8.2e-06,
51,8.3e-06,
52,9.1e-06,
53,8.6e-06,
54,9e-06,
55,2.97e-05,
56,1.18e-05,
57,9.6e-06,
58,8.7e-06,
59,1.17e-05,
60,1.08e-05,
61,8.9e-06,
62,8.1e-06,
63,8.3e-06,
64,8.2e-06,
65,8.4e-06,
66,8.6e-06,
67,8e-06,
68,8.7e-06,
69,8e-06,
70,8e-06,
71,1.1e-05,
72,1.2e-05,
73,9e-06,
74,8.3e-06,
75,8.7e-06,
76,8.1e-06,
77,1.18e-05,
78,8.9e-06,
79,8e-06,
80,8.9e-06,
81,8.4e-06,
82,8.2e-06,
83,1.2e-05,
84,1.18e-05,
85,8.9e-06,
86,9e-06,
87,7.9e-06,
88,1.56e-05,
89,9.2e-06,
90,7.8e-06,
91,8.6e-06,
92,8.4e-06,
93,8.2e-06,
94,1.18e-05,
95,1.47e-05,
96,1.14e-05,
97,9.6e-06,
98,9e-06,
99,7.8e-06,
100,8.2e-06,
101,8e-06,
102,8.4e-06,
103,8e-06,
104,1.66e-05,
105,1.08e-05,
106,1.5e-05,
107,1.09e-05,
108,8.1e-06,
109,8.6e-06,
110,8.5e-06,
111,8.4e-06,
112,8.7e-06,
113,8.7e-06,
114,8.1e-06,
115,8.7e-06,
116,8e-06,
117,8.2e-06,
118,8e-06,
119,8.8e-06,
120,2.91e-05,
121,2.12e-05,
122,1.52e-05,
123,2.8e-05,
124,3e-05,
125,2e-05,
126,8.7e-06,
127,1.13e-05,
128,2.08e-05,
129,1.11e-05,
130,8.6e-06,
131,1.07e-05,
132,1.22e-05,
133,1.11e-05,
134,8.3e-06,
135,2.85e-05,
136,2.54e-05,
137,1.1e-05,
138,1.09e-05,
139,2.59e-05,
140,3.03e-05,
141,1.08e-05,
142,1.07e-05,
143,1.08e-05,
144,1.09e-05,
145,1.09e-05,
146,1.07e-05,
147,1.77e-05,
148,2.78e-05,
149,1.07e-05,
150,1.07e-05,
151,1.64e-05,
152,1.42e-05,
153,1.07e-05,
154,1.09e-05,
155,1.32e-05,
156,5.26e-05,
157,1.16e-05,
158,9.8e-06,
159,2.23e-05,
160,1.15e-05,
161,1.1e-05,
162,1.1e-05,
163,2.94e-05,
164,2.11e-05,
165,1.17e-05,
166,1.1e-05,
167,8.9e-06,
168,1.18e-05,
169,1.08e-05,
170,8.7e-06,
171,3.27e-05,
172,1.51e-05,
173,1.05e-05,
174,2.06e-05,
175,2.73e-05,
176,1.11e-05,
177,1.18e-05,
178,8.2e-06,
179,2.51e-05,
180,1.06e-05,
181,1.09e-05,
182,1.07e-05,
183,1.44e-05,
184,1.13e-05,
185,8.4e-06,
186,1.12e-05,
187,2.13e-05,
188,9.5e-06,
189,1.17e-05,
190,2.22e-05,
191,2.55e-05,
192,1.06e-05,
193,1.3e-05,
194,1.08e-05,
195,1.09e-05,
196,1.07e-05,
197,1.6e-05,
198,1.06e-05,
199,1.11e-05,
200,1.07e-05,
201,1.07e-05,
202,2.21e-05,
203,1.13e-05,
204,1.12e-05,
205,1.13e-05,
206,1.11e-05,
207,1.09e-05,
208,6.09e-05,
209,1.08e-05,
210,1.13e-05,
211,1.07e-05,
212,1.09e-05,
213,9.8e-06,
214,1.07e-05,
215,8.8e-06,
216,1.13e-05,
217,1.59e-05,
218,1.09e-05,
219,8.2e-06,
220,1.15e-05,
221,2.5e-05,
222,1.11e-05,
223,2.28e-05,
224,2.78e-05,
225,1.5e-05,
226,1.16e-05,
227,1.08e-05,
228,1.33e-05,
229,1.08e-05,
230,1.82e-05,
231,1.12e-05,
232,3.07e-05,
233,1.06e-05,
234,9.3e-06,
235,2.33e-05,
236,3.12e-05,
237,1.07e-05,
238,1.12e-05,
239,1.06e-05,
240,4.34e-05,
241,1.08e-05,
242,8.1e-06,
243,1.82e-05,
244,1.16e-05,
245,1.2e-05,
246,1.98e-05,
247,1.09e-05,
248,2.76e-05,
249,1.21e-05,
250,1.07e-05,
251,1.18e-05,
252,1.92e-05,
253,1.07e-05,
254,1.17e-05,
255,1.06e-05,
256,1.5e-05,
257,1.1e-05,
258,1.08e-05,
259,1.07e-05,
260,1.06e-05,
261,1.16e-05,
262,1.07e-05,
263,2.32e-05,
264,2.42e-05,
265,1.23e-05,
266,2.51e-05,
267,3.02e-05,
268,1.09e-05,
269,2.08e-05,
270,2.13e-05,
271,2.57e-05,
272,1.1e-05,
273,1.08e-05,
274,8.2e-06,
275,1.12e-05,
276,1.12e-05,
277,1.07e-05,
278,1.2e-05,
279,1.1e-05,
280,1.15e-05,
281,1.08e-05,
282,2.09e-05,
283,2.13e-05,
284,1.08e-05,
285,9e-06,
286,1.17e-05,
287,1.09e-05,
288,1.13e-05,
289,1.13e-05,
290,2.41e-05,
291,2.19e-05,
292,1.06e-05,
293,8.5e-06,
294,3.1e-05,
295,2.49e-05,
296,1.14e-05,
297,1.07e-05,
298,1.07e-05,
299,1.41e-05,
300,1.18e-05,
301,1.06e-05,
302,8.5e-06,
303,1.09e-05,
304,1.16e-05,
305,1.11e-05,
306,1.09e-05,
307,3.19e-05,
308,1.13e-05,
309,1.07e-05,
310,8.7e-06,
311,1.88e-05,
312,1.14e-05,
313,1.08e-05,
314,2.83e-05,
315,8.8e-06,
316,1.11e-05,
317,8.4e-06,
318,1.14e-05,
319,1.07e-05,
320,1.11e-05,
321,1.1e-05,
322,1.08e-05,
323,1.09e-05,
324,8.5e-06,
325,3.04e-05,
326,3.05e-05,
327,1.06e-05,
328,9.7e-06,
329,2.88e-05,
330,1.89e-05,
331,1.24e-05,
332,1.45e-05,
333,1.07e-05,
334,2.81e-05,
335,1.08e-05,
336,9e-06,
337,1.1e-05,
338,1.55e-05,
339,1.07e-05,
340,1.1e-05,
341,2.34e-05,
342,1.13e-05,
343,1.06e-05,
344,2.39e-05,
345,1.86e-05,
346,1.38e-05,
347,2.05e-05,
348,1.09e-05,
349,2.52e-05,
350,1.18e-05,
351,8.6e-06,
352,1.77e-05,
353,3.1e-05,
354,1.09e-05,
355,8.5e-06,
356,1.14e-05,
357,1.1e-05,
358,1.15e-05,
359,1.14e-05,
360,3.74e-05,
361,1.01e-05,
362,1.06e-05,
363,8.1e-06,
364,1.58e-05,
365,1.04e-05,
366,1.08e-05,
367,1.08e-05,
368,3.09e-05,
369,1.12e-05,
370,1.78e-05,
371,2.32e-05,
372,3.17e-05,
373,1.13e-05,
374,8.4e-06,
375,1.09e-05,
376,2.25e-05,
377,1.81e-05,
378,3.1e-05,
379,3.32e-05,
380,1.19e-05,
381,1.83e-05,
382,1.21e-05,
383,1.19e-05,
384,1.78e-05,
385,1.21e-05,
386,3.89e-05,
387,1.36e-05,
388,1.18e-05,
389,4.09e-05,
390,1.88e-05,
391,1.8e-05,
392,4.99e-05,
393,1.78e-05,
394,1.89e-05,
395,1.19e-05,
396,2.23e-05,
397,1.24e-05,
398,1.92e-05,
399,2.24e-05,
400,1.85e-05,
401,1.18e-05,
402,1.16e-05,
403,1.81e-05,
404,1.85e-05,
405,1.8e-05,
406,1.52e-05,
407,2.07e-05,
408,1.91e-05,
409,1.81e-05,
410,1.37e-05,
411,1.85e-05,
412,1.86e-05,
413,1.55e-05,
414,1.78e-05,
415,1.81e-05,
416,3.7e-05,
417,1.21e-05,
418,1.77e-05,
419,3.07e-05,
420,1.22e-05,
421,2.26e-05,
422,2.24e-05,
423,1.13e-05,
