frame,time
0,1.64121,
1,0.0031673,
2,0.0025131,
3,0.001739,
4,0.0007199,
5,0.0012454,
6,0.0011615,
7,0.0010574,
8,0.000905,
9,0.0006132,
10,0.0012814,
11,0.001264,
12,0.0010129,
13,0.0012115,
14,0.0011692,
15,0.0018663,
16,0.0011967,
17,0.0011712,
18,0.0011314,
19,0.0011825,
20,0.0011917,
21,0.00117,
22,0.0011756,
23,0.0011934,
24,0.0011925,
25,0.0011796,
26,0.0011868,
27,0.0011911,
28,0.0011903,
29,0.0018263,
30,0.0013088,
31,0.0011865,
32,0.0012748,
33,0.0011586,
34,0.0011412,
35,0.0011872,
36,0.0011986,
37,0.0011785,
38,0.0011837,
39,0.0012008,
40,0.0011884,
41,0.0011876,
42,0.0014327,
43,0.0018256,
44,0.0011841,
45,0.0012011,
46,0.0011586,
47,0.0011881,
48,0.0012027,
49,0.0011842,
50,0.0011866,
51,0.0011962,
52,0.0011889,
53,0.0011821,
54,0.0011817,
55,0.0012089,
56,0.0016429,
57,0.001243,
58,0.0011392,
59,0.00119,
60,0.0011895,
61,0.0011849,
62,0.001188,
63,0.0011921,
64,0.0011902,
65,0.001185,
66,0.0011854,
67,0.0011967,
68,0.0011906,
69,0.0019831,
70,0.0011134,
71,0.0011396,
72,0.0011916,
73,0.0011837,
74,0.0011898,
75,0.0011921,
76,0.0012027,
77,0.0011864,
78,0.0011832,
79,0.0012032,
80,0.0011967,
81,0.0011834,
82,0.0012643,
83,0.001652,
84,0.0011453,
85,0.0011893,
86,0.001239,
87,0.0011419,
88,0.0011806,
89,0.0012086,
90,0.0011573,
91,0.0011966,
92,0.0011947,
93,0.0011863,
94,0.0011893,
95,0.0013202,
96,0.0018479,
97,0.0011634,
98,0.0012292,
99,0.0011667,
100,0.0011837,
101,0.0012114,
102,0.0012073,
103,0.0011858,
104,0.0012108,
105,0.0011515,
106,0.0011826,
107,0.0012287,
108,0.0011954,
109,0.0011551,
110,0.0018842,
111,0.0013103,
112,0.0012203,
113,0.001208,
114,0.0011478,
115,0.0012189,
116,0.0011934,
117,0.0011994,
118,0.001189,
119,0.0011993,
120,0.0011805,
121,0.0011994,
122,0.0012146,
123,0.0018812,
124,0.0012953,
125,0.0012359,
126,0.0011889,
127,0.0011872,
128,0.0012159,
129,0.0011905,
130,0.0011419,
131,0.0013196,
132,0.001149,
133,0.0011772,
134,0.0012165,
135,0.0011856,
136,0.0018535,
137,0.0011833,
138,0.0012066,
139,0.0011954,
140,0.001204,
141,0.0011904,
142,0.0011827,
143,0.0011923,
144,0.001217,
145,0.0011901,
