frame,time
1,0.0030495,
2,0.0033769,
3,0.0008432,
4,0.0014068,
5,0.0014553,
6,0.0006509,
7,0.0007642,
8,0.0019416,
9,0.0017222,
10,0.0011304,
11,0.0013552,
12,0.0013504,
13,0.0013359,
14,0.0013769,
15,0.0013516,
16,0.0013549,
17,0.001361,
18,0.0013395,
19,0.0013984,
20,0.001942,
21,0.0016551,
22,0.0012552,
23,0.001367,
24,0.001344,
25,0.0013472,
26,0.0013586,
27,0.0013793,
28,0.0013868,
29,0.0013287,
30,0.0013597,
31,0.0020023,
32,0.0013497,
33,0.0013614,
34,0.0013445,
35,0.0013732,
36,0.0013399,
37,0.0013798,
38,0.0013397,
39,0.0013657,
40,0.0013738,
41,0.0013538,
42,0.0013637,
43,0.0014025,
44,0.0019616,
45,0.0013656,
46,0.0013442,
47,0.0013774,
48,0.0013802,
49,0.0013222,
50,0.0013482,
51,0.0013759,
52,0.0013583,
53,0.0013682,
54,0.0013461,
55,0.0020093,
56,0.0015163,
57,0.0013997,
58,0.0013506,
59,0.001375,
60,0.0013566,
61,0.0013627,
62,0.0013426,
63,0.0013858,
64,0.0013778,
65,0.0013652,
66,0.001367,
67,0.0019941,
68,0.0011891,
69,0.001406,
70,0.0014163,
71,0.0013745,
72,0.0013509,
73,0.0013626,
74,0.0013539,
75,0.0013768,
76,0.0013876,
77,0.0013521,
78,0.0015498,
79,0.0018317,
80,0.0013133,
81,0.0014116,
82,0.0013079,
83,0.0013557,
84,0.0014177,
85,0.0013282,
86,0.0013508,
87,0.0014054,
88,0.0013983,
89,0.0013209,
90,0.0020672,
91,0.0013783,
92,0.0013818,
93,0.0013686,
94,0.0013633,
95,0.0013584,
96,0.0013539,
97,0.0013934,
98,0.0013578,
99,0.0013849,
100,0.0013825,
101,0.0013199,
102,0.0020753,
103,0.001533,
104,0.0013486,
105,0.001417,
106,0.0013426,
107,0.0013805,
108,0.0013916,
109,0.0013028,
110,0.0013562,
111,0.0014513,
112,0.0013326,
113,0.0015859,
114,0.0018119,
115,0.0013345,
116,0.0013594,
117,0.0012927,
118,0.0013379,
119,0.0012474,
120,0.001324,
121,0.0012954,
122,0.0012792,
123,0.001278,
124,0.0012581,
125,0.0013516,
126,0.0018831,
127,0.0014108,
128,0.0013044,
129,0.0012764,
130,0.0012502,
131,0.0012738,
132,0.0013591,
133,0.0012737,
134,0.0012652,
135,0.0012862,
136,0.0013026,
137,0.0012714,
138,0.0019017,
139,0.0012858,
140,0.0012818,
141,0.0012785,
142,0.0012819,
143,0.0012893,
144,0.0012732,
145,0.0012745,
146,0.0012645,
147,0.0013478,
148,0.0012881,
149,0.0012828,
150,0.0012757,
151,0.0019058,
152,0.0013839,
153,0.0013266,
154,0.0012738,
155,0.0012394,
156,0.001355,
157,0.0012341,
158,0.0013099,
159,0.0013055,
160,0.0013108,
161,0.0012644,
162,0.0012647,
163,0.0019049,
164,0.0014505,
165,0.0012825,
166,0.0012804,
167,0.0012849,
168,0.0013143,
169,0.0012646,
170,0.0012537,
171,0.0013809,
172,0.0012606,
173,0.0012777,
174,0.0013,
175,0.0014707,
176,0.0016447,
177,0.0012759,
178,0.0012877,
179,0.0012969,
180,0.0012678,
181,0.001298,
182,0.0012176,
183,0.00141,
184,0.0012663,
185,0.001273,
186,0.0012581,
187,0.0013439,
188,0.0019298,
189,0.0014013,
190,0.0012411,
191,0.0013519,
192,0.0012782,
193,0.0012623,
194,0.0012766,
195,0.001341,
196,0.0013274,
197,0.001237,
198,0.0013507,
199,0.0012616,
200,0.001951,
201,0.0012729,
202,0.0013098,
203,0.0012701,
204,0.0012894,
205,0.001285,
206,0.0013206,
207,0.0013653,
208,0.0012809,
209,0.0012517,
210,0.0013354,
211,0.001298,
212,0.0013269,
213,0.001901,
214,0.0013696,
215,0.0013474,
216,0.0013246,
217,0.001251,
218,0.0013581,
219,0.001332,
220,0.0012995,
221,0.0012484,
222,0.0013513,
223,0.0012875,
224,0.0013124,
225,0.0018967,
226,0.0013998,
227,0.0012787,
228,0.0013544,
229,0.0013203,
230,0.0012383,
231,0.0013398,
232,0.001333,
233,0.0012491,
234,0.0013396,
235,0.0013319,
236,0.0013004,
237,0.0018982,
238,0.0014036,
239,0.0012791,
240,0.0013657,
241,0.0012976,
242,0.0013003,
243,0.0013314,
244,0.0013005,
245,0.0012966,
246,0.0013077,
247,0.0012665,
248,0.0013036,
249,0.0015077,
250,0.0352042,
251,0.0330321,
252,0.03462,
253,0.0321802,
254,0.0321116,
255,0.0232148,
256,0.0012884,
257,0.0153793,
258,0.0167062,
259,0.0166487,
260,0.0167745,
261,0.0167201,
262,0.0166824,
263,0.0167714,
264,0.0166847,
265,0.0166332,
266,0.0167527,
267,0.0167487,
268,0.0165427,
269,0.0167789,
270,0.0168614,
271,0.0166938,
272,0.0166461,
273,0.0168064,
274,0.0166243,
275,0.0168012,
276,0.0166538,
277,0.0166448,
278,0.016749,
279,0.0167968,
280,0.0165481,
281,0.0167603,
282,0.0168277,
283,0.0166582,
284,0.0165809,
285,0.0168097,
286,0.0168924,
287,0.0165841,
288,0.016689,
289,0.0165821,
290,0.0168348,
291,0.0167272,
292,0.0166821,
293,0.0166903,
294,0.0167461,
295,0.016711,
296,0.0167219,
297,0.0167437,
298,0.0166094,
299,0.0167988,
300,0.0166437,
301,0.0167755,
302,0.0167037,
303,0.0167172,
304,0.0166307,
305,0.0166426,
306,0.0169366,
307,0.0166053,
308,0.0166934,
309,0.0167439,
310,0.0166514,
311,0.0167208,
312,0.0167237,
313,0.0166168,
314,0.0167614,
315,0.0167642,
316,0.0167033,
317,0.0166574,
318,0.0167613,
319,0.0167349,
320,0.016548,
321,0.0168838,
322,0.0166455,
323,0.0166849,
324,0.0166544,
325,0.0167292,
326,0.0167715,
327,0.0167013,
328,0.0167806,
329,0.0166807,
330,0.0167288,
331,0.0166207,
332,0.0168558,
333,0.016663,
334,0.0168557,
335,0.0164667,
336,0.0167441,
337,0.0168852,
338,0.016481,
339,0.0168391,
340,0.0166911,
341,0.0167001,
342,0.0168794,
343,0.0164582,
344,0.0168228,
345,0.0166926,
346,0.0167669,
347,0.0165362,
348,0.0169722,
349,0.0164743,
350,0.0167185,
351,0.0168189,
352,0.0166228,
353,0.0168013,
354,0.0169598,
355,0.0166459,
356,0.0167249,
357,0.0167925,
358,0.0166573,
359,0.0168585,
360,0.0166336,
361,0.0166555,
362,0.0166404,
363,0.0169002,
364,0.016494,
365,0.0167972,
366,0.0168446,
