frame,time
0,0.0020021,
1,0.001764,
2,0.0003406,
3,0.0003202,
4,0.0006174,
5,7.84e-05,
6,8.51e-05,
7,0.0004993,
8,0.0001497,
9,0.0006215,
10,9.48e-05,
11,8.82e-05,
12,0.0002918,
13,6.71e-05,
14,6.88e-05,
15,0.0001061,
16,8.98e-05,
17,7.37e-05,
18,5.87e-05,
19,5.39e-05,
20,6.73e-05,
21,5.52e-05,
22,5.32e-05,
23,5.19e-05,
24,5.48e-05,
25,5.22e-05,
26,5.2e-05,
27,5.16e-05,
28,5.4e-05,
29,5.86e-05,
30,4.75e-05,
31,4.68e-05,
32,0.0001036,
33,7.81e-05,
34,5.66e-05,
35,5.27e-05,
36,5.82e-05,
37,5.43e-05,
38,5.3e-05,
39,5.18e-05,
40,5.41e-05,
41,5.18e-05,
42,6.32e-05,
43,6.7e-05,
44,0.000101,
45,7.53e-05,
46,5.6e-05,
47,5.28e-05,
48,5.91e-05,
49,5.24e-05,
50,5.21e-05,
51,5.14e-05,
52,5.34e-05,
53,5.27e-05,
54,5.13e-05,
55,5.49e-05,
56,0.0001139,
57,7.33e-05,
58,5.13e-05,
59,5.58e-05,
60,5.63e-05,
61,5.22e-05,
62,5.22e-05,
63,5.11e-05,
64,5.27e-05,
65,5.6e-05,
66,5.18e-05,
67,5.12e-05,
68,5.37e-05,
69,9.99e-05,
70,7.28e-05,
71,5.13e-05,
72,5.74e-05,
73,5.44e-05,
74,5.22e-05,
75,5.16e-05,
76,5.42e-05,
77,5.16e-05,
78,5.13e-05,
79,5.26e-05,
80,5.34e-05,
81,5.22e-05,
82,8.66e-05,
83,8.2e-05,
84,5.27e-05,
85,4.89e-05,
86,9.98e-05,
87,7.84e-05,
88,5.9e-05,
89,5.63e-05,
90,5.34e-05,
91,5.22e-05,
92,5.49e-05,
93,5.24e-05,
94,5.18e-05,
95,9.96e-05,
96,9.91e-05,
97,4.86e-05,
98,9.56e-05,
99,0.0001009,
100,5.63e-05,
101,9.18e-05,
102,0.0001014,
103,9.86e-05,
104,0.0001014,
105,9.81e-05,
106,5.42e-05,
107,9.2e-05,
108,7.46e-05,
109,5.06e-05,
110,9.72e-05,
111,4.83e-05,
112,5.57e-05,
113,9.96e-05,
114,9.78e-05,
115,5.35e-05,
116,0.0001021,
117,9.83e-05,
118,5.43e-05,
119,9.04e-05,
120,9.99e-05,
121,9.94e-05,
122,9.82e-05,
123,9.67e-05,
124,4.84e-05,
125,9.97e-05,
126,9.38e-05,
127,5.07e-05,
128,8.86e-05,
129,9.77e-05,
130,5.12e-05,
131,0.0001176,
132,0.0001017,
133,5.13e-05,
134,9e-05,
135,9.61e-05,
136,9.91e-05,
137,6.9e-05,
138,9.11e-05,
139,5.26e-05,
140,9.47e-05,
141,9.73e-05,
142,5.19e-05,
143,9.59e-05,
144,0.0001002,
145,5.39e-05,
146,9.21e-05,
147,9.66e-05,
148,5.42e-05,
149,8.43e-05,
150,0.0001012,
151,4.94e-05,
152,8.42e-05,
153,9.79e-05,
154,5.81e-05,
155,9.04e-05,
156,7.62e-05,
157,5.68e-05,
158,9.09e-05,
159,9.62e-05,
160,5.38e-05,
161,9.83e-05,
162,5.61e-05,
163,0.0001026,
164,9.22e-05,
165,9.08e-05,
166,5.54e-05,
167,9.82e-05,
168,9.06e-05,
169,9.95e-05,
170,9.62e-05,
171,9.61e-05,
172,5.98e-05,
173,9.97e-05,
174,9.2e-05,
175,4.98e-05,
176,9e-05,
177,8.93e-05,
178,9.1e-05,
179,9.88e-05,
180,9.96e-05,
181,5.07e-05,
182,9.94e-05,
183,6.82e-05,
184,0.0001,
185,8.79e-05,
186,9.65e-05,
187,5.11e-05,
188,9.33e-05,
189,8.33e-05,
190,9.93e-05,
191,8.11e-05,
192,9.94e-05,
193,5.63e-05,
194,9.85e-05,
195,9.62e-05,
196,6.11e-05,
197,9.99e-05,
198,9.68e-05,
199,5.66e-05,
200,0.0001016,
201,9.74e-05,
202,5.4e-05,
203,8.47e-05,
204,4.79e-05,
205,5.26e-05,
206,9.93e-05,
207,9.62e-05,
