frame,time
0,0.0016965,
1,0.0024842,
2,0.0003455,
3,0.0006566,
4,0.0001033,
5,0.0003286,
6,0.0002599,
7,9.73e-05,
8,0.0001837,
9,6.77e-05,
10,0.0001506,
11,9.73e-05,
12,8.85e-05,
13,6.32e-05,
14,7.68e-05,
15,0.0001503,
16,0.0001898,
17,9.85e-05,
18,5.06e-05,
19,9.16e-05,
20,0.0001646,
21,9.95e-05,
22,9.3e-05,
23,9.97e-05,
24,0.0001404,
25,0.0001309,
26,9.71e-05,
27,7.73e-05,
28,0.0001512,
29,8.18e-05,
30,9.01e-05,
31,9.2e-05,
32,0.0001537,
33,5.33e-05,
34,0.0001492,
35,0.0001525,
36,0.0001534,
37,0.0001507,
38,8.22e-05,
39,0.0001416,
40,0.000102,
41,9.37e-05,
42,0.0001836,
43,9.44e-05,
44,9.69e-05,
45,9.65e-05,
46,9.78e-05,
47,0.0001831,
48,0.0001016,
49,9.26e-05,
50,9.5e-05,
51,9.74e-05,
52,7.7e-05,
53,7.48e-05,
54,0.0001002,
55,9.73e-05,
56,0.0001006,
57,0.000183,
58,9.79e-05,
59,7.17e-05,
60,4.84e-05,
61,9.97e-05,
62,6.22e-05,
63,0.0001519,
64,0.0001016,
65,0.0001196,
66,0.0001814,
67,0.000103,
68,0.0001856,
69,8.08e-05,
70,0.0001733,
71,0.0001802,
72,0.0001013,
73,0.0001044,
74,0.0001037,
75,4.41e-05,
76,0.0001013,
77,9.89e-05,
78,7.43e-05,
79,0.000169,
80,0.0001681,
81,0.0001841,
82,0.000104,
83,0.0001812,
84,7.04e-05,
85,7.26e-05,
86,3.91e-05,
87,0.0001822,
88,0.0001011,
89,9.82e-05,
90,4.26e-05,
91,0.0001058,
92,6.88e-05,
93,3.59e-05,
94,0.0001506,
95,9.82e-05,
96,0.0001014,
97,8.18e-05,
98,0.000151,
99,9.19e-05,
100,9.24e-05,
101,7.02e-05,
102,6.7e-05,
103,0.0001162,
104,0.0001515,
105,9.89e-05,
106,8.08e-05,
107,6.95e-05,
108,6.74e-05,
109,6.7e-05,
110,0.0001,
111,4.42e-05,
112,5.94e-05,
113,8.26e-05,
114,0.000105,
115,4.09e-05,
116,0.0001358,
117,6.76e-05,
118,0.0001448,
119,9.87e-05,
120,0.0001017,
121,4.97e-05,
122,0.0001843,
123,0.0001006,
124,0.0001517,
125,9.92e-05,
126,8e-05,
127,9.82e-05,
128,0.0001858,
129,0.0001726,
130,0.0001871,
131,0.0001705,
132,0.000168,
133,0.0001426,
134,0.0001495,
135,0.0001433,
136,9.53e-05,
137,8.47e-05,
138,0.0001492,
139,0.0001497,
140,9.07e-05,
141,5.4e-05,
142,0.0001126,
143,0.0001431,
144,0.0001084,
145,9.39e-05,
146,9.57e-05,
147,8.98e-05,
148,9.04e-05,
149,9.13e-05,
150,8.46e-05,
151,9.19e-05,
152,0.0001775,
153,0.0001718,
154,0.0001297,
155,0.0001488,
156,0.000105,
157,0.0001025,
158,0.0001058,
159,0.0001013,
160,0.0001084,
161,0.0001122,
162,0.0001042,
163,9.67e-05,
164,0.0001796,
165,0.0001699,
166,0.0001398,
167,9.33e-05,
168,0.0001346,
169,9.55e-05,
170,9.46e-05,
171,9.55e-05,
172,9.76e-05,
173,0.0001583,
174,9.28e-05,
175,9.2e-05,
176,0.0001167,
177,7.83e-05,
178,8.3e-05,
179,0.0001038,
180,9.36e-05,
181,9.27e-05,
182,0.0001437,
183,9.09e-05,
184,8.66e-05,
185,8.37e-05,
186,9.55e-05,
187,0.0001751,
188,9.68e-05,
189,9.17e-05,
190,7.57e-05,
191,7.66e-05,
192,0.000205,
193,9.1e-05,
194,8.89e-05,
195,9.82e-05,
196,0.0002086,
197,0.0001494,
198,0.0001726,
199,9.49e-05,
200,7.23e-05,
201,9.39e-05,
202,0.0002224,
203,0.0001121,
204,0.0001149,
205,0.000111,
206,0.0001579,
207,0.0001308,
208,0.0001039,
209,9.91e-05,
210,0.0001195,
211,0.0001021,
212,9.3e-05,
213,0.0001081,
214,9.59e-05,
215,9.15e-05,
216,0.000155,
217,0.0001715,
218,0.0001511,
219,9.07e-05,
220,0.0001744,
221,0.0002931,
222,8.65e-05,
223,9.23e-05,
224,8.02e-05,
225,9.18e-05,
226,0.0001933,
227,0.0001724,
228,0.0001728,
229,0.0001322,
230,0.0001399,
231,6.39e-05,
232,0.0001231,
233,9.95e-05,
234,0.0001052,
235,0.0001434,
236,9.51e-05,
237,8.69e-05,
238,0.0001404,
239,0.0001716,
240,9.05e-05,
241,0.000144,
242,0.0001453,
243,9.02e-05,
244,0.0001387,
245,0.0001514,
246,0.0001458,
247,0.000135,
248,0.0001674,
249,0.000179,
250,9.65e-05,
251,0.0001435,
252,0.0001435,
253,0.0001823,
254,7.38e-05,
255,9.79e-05,
256,9.84e-05,
257,8.08e-05,
258,9.06e-05,
259,0.0001725,
260,0.0001471,
261,0.0001159,
262,0.0001724,
263,0.0001255,
264,0.0001721,
265,9.26e-05,
266,9.28e-05,
267,0.0001721,
268,0.0001019,
269,9.14e-05,
270,8.93e-05,
271,7.67e-05,
272,0.000172,
273,9.39e-05,
274,0.000134,
275,5.37e-05,
276,9.14e-05,
277,0.0001747,
278,8.16e-05,
279,0.0001779,
280,9.29e-05,
281,9.11e-05,
282,0.0001407,
283,9.47e-05,
284,0.0001532,
285,0.0001712,
286,9.59e-05,
287,9.38e-05,
288,8.79e-05,
289,9.1e-05,
290,9.59e-05,
291,0.000168,
292,0.0001498,
293,8.96e-05,
294,0.0001097,
295,9.06e-05,
296,7.75e-05,
297,0.0001048,
298,0.0001784,
299,8.86e-05,
300,9.18e-05,
301,0.0001772,
302,0.0001072,
303,0.0001233,
304,9.14e-05,
305,0.0001164,
306,9.43e-05,
307,0.0001018,
308,0.0001406,
309,9.58e-05,
310,0.0001874,
311,0.0001699,
312,0.000147,
313,0.000122,
314,0.0001852,
315,9.09e-05,
316,8.49e-05,
317,9.62e-05,
318,7.76e-05,
319,7.75e-05,
320,0.000171,
321,0.0001537,
322,9.12e-05,
323,0.000112,
324,9.3e-05,
325,0.0001034,
326,5.68e-05,
327,0.0001425,
328,0.00012,
329,0.0001196,
330,8.69e-05,
331,9.29e-05,
332,9.21e-05,
333,0.0001003,
334,0.0001402,
335,9.03e-05,
336,9.46e-05,
337,0.0001396,
338,9.32e-05,
339,0.0001395,
340,0.0001635,
341,7.35e-05,
342,0.000137,
343,8.11e-05,
344,0.0001559,
345,8.38e-05,
346,9.16e-05,
347,9.41e-05,
348,0.0001439,
349,0.0001932,
350,8.06e-05,
351,0.0001465,
352,0.0001395,
353,9.22e-05,
354,0.0001422,
355,0.0001519,
356,0.0001768,
357,0.0001155,
358,0.0001235,
359,0.0001015,
360,0.0001438,
361,0.000116,
362,9.69e-05,
363,0.0001163,
364,0.000146,
365,0.0001069,
366,0.000151,
367,0.0001452,
368,0.0001454,
369,0.00017,
370,0.0001228,
371,6.61e-05,
372,0.0001344,
373,9.13e-05,
374,0.000158,
375,0.0001546,
376,0.0001702,
377,8.54e-05,
378,0.0001015,
379,8.94e-05,
380,0.0001715,
381,8.18e-05,
382,0.000156,
383,9.19e-05,
384,0.0001083,
385,0.0001028,
386,0.0001722,
387,9.53e-05,
388,0.0001339,
389,0.0001812,
390,0.0001712,
391,8.96e-05,
392,0.0001722,
393,9.8e-05,
394,0.0001035,
395,0.0001433,
396,0.0001707,
397,9.76e-05,
398,9.32e-05,
399,0.0001564,
400,8.07e-05,
401,9.07e-05,
402,0.0001443,
403,8.48e-05,
404,0.0001451,
405,0.0001721,
406,8.64e-05,
407,7.64e-05,
408,0.0001224,
409,0.0001714,
410,0.0001443,
411,0.0001303,
412,0.0001519,
413,9.25e-05,
414,0.0001394,
415,0.0001442,
416,9.83e-05,
417,0.0001387,
418,0.0001061,
419,9.94e-05,
420,9.66e-05,
421,0.0001253,
