frame,time
0,0.0016749,
1,0.0019706,
2,0.0003066,
3,0.0007507,
4,7.54e-05,
5,0.0002328,
6,0.000357,
7,0.0007627,
8,0.0001183,
9,9.54e-05,
10,8.16e-05,
11,9.95e-05,
12,0.000108,
13,7.14e-05,
14,9.98e-05,
15,5.25e-05,
16,6.44e-05,
17,9.81e-05,
18,5.62e-05,
19,8.43e-05,
20,0.0001003,
21,8.04e-05,
22,4.02e-05,
23,9.73e-05,
24,5.21e-05,
25,9.73e-05,
26,5.31e-05,
27,5.12e-05,
28,9.99e-05,
29,5.04e-05,
30,9.65e-05,
31,9.67e-05,
32,5.87e-05,
33,9.15e-05,
34,5.02e-05,
35,9.69e-05,
36,5.18e-05,
37,8.76e-05,
38,9.74e-05,
39,4.82e-05,
40,0.0001001,
41,5.49e-05,
42,9.67e-05,
43,0.0001149,
44,7.78e-05,
45,9.09e-05,
46,5.52e-05,
47,9.74e-05,
48,0.0001005,
49,9.85e-05,
50,4.96e-05,
51,9.61e-05,
52,5.18e-05,
53,9.72e-05,
54,8.23e-05,
55,6.53e-05,
56,9.09e-05,
57,4.75e-05,
58,5.21e-05,
59,9.7e-05,
60,5.75e-05,
61,9.77e-05,
62,4.93e-05,
63,9.62e-05,
64,5.22e-05,
65,9.79e-05,
66,9.81e-05,
67,9.56e-05,
68,4.74e-05,
69,9.13e-05,
70,9.8e-05,
71,9.7e-05,
72,5.37e-05,
73,9.75e-05,
74,5.1e-05,
75,5.05e-05,
76,9.93e-05,
77,4.91e-05,
78,9.59e-05,
79,7.59e-05,
80,9.15e-05,
81,9.89e-05,
82,8.28e-05,
83,6.93e-05,
84,7.68e-05,
85,6.49e-05,
86,9.82e-05,
87,8.19e-05,
88,8.81e-05,
89,9.93e-05,
90,9.38e-05,
91,5.16e-05,
92,9.14e-05,
93,9.79e-05,
94,9.66e-05,
95,9.86e-05,
96,0.0001002,
97,5.43e-05,
98,4.7e-05,
99,7.51e-05,
100,5.21e-05,
101,5.04e-05,
102,9.39e-05,
103,8.26e-05,
104,5.48e-05,
105,9.8e-05,
106,5.55e-05,
107,8.23e-05,
108,5.73e-05,
109,5.87e-05,
110,5.98e-05,
111,9.83e-05,
112,6.71e-05,
113,0.0001057,
114,9.23e-05,
115,6.98e-05,
116,0.0001007,
117,6.34e-05,
118,8.39e-05,
119,0.0001054,
120,0.000113,
121,5.8e-05,
122,8.1e-05,
123,4.93e-05,
124,8.53e-05,
125,8.24e-05,
126,9.79e-05,
127,4.8e-05,
128,9.21e-05,
129,0.0001039,
130,6.39e-05,
131,5.81e-05,
132,9.19e-05,
133,9.85e-05,
134,5.92e-05,
135,9.87e-05,
136,0.0001091,
137,5.7e-05,
138,9.39e-05,
139,9.1e-05,
140,5.66e-05,
141,8.72e-05,
142,9.71e-05,
143,5.78e-05,
144,0.0001192,
145,7.11e-05,
146,6.21e-05,
147,8.23e-05,
148,0.0001087,
149,0.0001043,
150,9.92e-05,
151,5.7e-05,
152,5e-05,
153,9.88e-05,
154,8.37e-05,
155,5.93e-05,
156,0.0001003,
157,5.57e-05,
158,4.65e-05,
159,9.68e-05,
160,0.0001036,
161,9.98e-05,
162,8.4e-05,
163,9.89e-05,
164,9.16e-05,
165,9.36e-05,
166,8.01e-05,
167,8.37e-05,
168,0.0001014,
169,9.94e-05,
170,0.000111,
171,9.98e-05,
172,0.0001021,
173,8.26e-05,
174,8.71e-05,
175,8.16e-05,
176,9.51e-05,
177,8.46e-05,
178,9.79e-05,
179,9.79e-05,
180,0.0001023,
181,0.0001009,
182,0.0001033,
183,8.21e-05,
184,0.0001025,
185,9.98e-05,
186,9.93e-05,
187,8.08e-05,
188,0.0001027,
189,7.73e-05,
190,0.0001026,
191,9.78e-05,
192,0.0001017,
193,6.56e-05,
194,5.84e-05,
195,9.84e-05,
196,8.59e-05,
197,6.21e-05,
198,8.21e-05,
199,9.85e-05,
200,0.0001002,
201,6.44e-05,
202,8.49e-05,
203,9.95e-05,
204,9.52e-05,
205,6.17e-05,
206,0.000104,
207,9.83e-05,
208,5.69e-05,
209,6.1e-05,
210,9.26e-05,
211,5.16e-05,
212,0.0001108,
213,9.91e-05,
214,4.96e-05,
215,8.23e-05,
216,8.54e-05,
217,0.00011,
218,9.83e-05,
219,9.95e-05,
220,9.91e-05,
221,5.42e-05,
222,9.07e-05,
223,9.66e-05,
224,6.38e-05,
225,9.59e-05,
226,5.06e-05,
227,5.53e-05,
228,0.0001002,
229,8.95e-05,
230,9.81e-05,
231,6.5e-05,
232,8.43e-05,
233,0.0001035,
234,6.65e-05,
235,6.87e-05,
236,5.3e-05,
237,9.24e-05,
238,4.81e-05,
239,5.63e-05,
240,8.41e-05,
241,9.82e-05,
242,5.22e-05,
243,8.92e-05,
244,0.0001,
245,5.63e-05,
246,9.89e-05,
247,6.51e-05,
248,6.18e-05,
249,9.85e-05,
250,0.0001243,
251,0.0001378,
252,0.0001636,
253,0.0001467,
254,0.000162,
255,0.0001436,
256,9.14e-05,
257,9.43e-05,
258,0.000105,
259,9.68e-05,
260,0.0001412,
261,7.86e-05,
262,0.0001496,
263,0.0001447,
264,7.77e-05,
265,0.0001432,
266,0.0001039,
267,8.11e-05,
268,9.18e-05,
269,9.7e-05,
270,0.0001486,
271,7.82e-05,
272,0.0001012,
273,0.0001234,
274,0.0001497,
275,0.0001298,
276,0.0001439,
277,0.000149,
278,0.0001438,
279,0.0001156,
280,0.000113,
281,0.0001837,
282,0.0001413,
283,0.0001739,
284,9.06e-05,
285,0.0001422,
286,8e-05,
287,0.0001441,
288,0.0001423,
289,0.0001025,
290,0.000143,
291,0.000142,
292,8.68e-05,
293,0.0001435,
294,0.000141,
295,9.34e-05,
296,0.000124,
297,0.0001086,
298,0.0001444,
299,0.0001397,
300,0.0001417,
301,8.45e-05,
302,0.0001152,
303,0.0001212,
304,0.0001501,
305,0.0001438,
306,0.0001438,
307,0.0001482,
308,9.99e-05,
309,0.0001367,
310,8.47e-05,
311,0.0001774,
312,0.0001227,
313,9.25e-05,
314,0.0001007,
315,0.0001518,
316,0.0001181,
317,9.31e-05,
318,0.0001446,
319,0.00013,
320,9.23e-05,
321,0.0001439,
322,8.24e-05,
323,0.0001066,
324,9.04e-05,
325,9.28e-05,
326,0.0001275,
327,0.0001437,
328,0.0001193,
329,0.0001439,
330,0.0001266,
331,9.22e-05,
332,0.0001726,
333,0.0001533,
334,0.0001574,
335,0.0001504,
336,0.0001252,
337,0.0001171,
338,0.0001502,
339,8.84e-05,
340,0.0001457,
341,8.74e-05,
342,0.0001813,
343,0.0001172,
344,0.0001467,
345,7.99e-05,
346,0.0001532,
347,9.3e-05,
348,0.0001731,
349,0.0001491,
350,0.0001506,
351,0.0001198,
352,0.0001394,
353,0.0001504,
354,0.000144,
355,9.95e-05,
356,9.26e-05,
357,0.000131,
358,0.0001435,
359,9.32e-05,
360,0.0001717,
361,0.0001486,
362,0.000119,
363,0.0001731,
364,0.0001486,
365,9.17e-05,
366,0.0001705,
367,7.71e-05,
368,0.000128,
369,0.0001761,
370,0.0001071,
371,8.47e-05,
372,0.0001233,
373,0.0001454,
374,9.39e-05,
375,0.00014,
376,0.0001501,
377,9.29e-05,
378,0.000144,
379,8.74e-05,
380,9.07e-05,
381,0.0001451,
382,0.0001393,
383,0.0001032,
384,0.0001382,
385,8.56e-05,
386,0.0001462,
387,9.07e-05,
388,9.16e-05,
389,0.000124,
390,9.06e-05,
391,0.0001516,
392,0.0001428,
393,0.0001318,
394,9.42e-05,
395,0.0001433,
396,0.0001727,
397,0.0001,
398,0.0001312,
399,9.56e-05,
400,0.0001445,
401,0.0001471,
402,8.07e-05,
403,0.0001479,
404,8.47e-05,
405,7.95e-05,
406,0.0001153,
407,9.35e-05,
408,0.0001442,
409,0.000144,
410,0.0001012,
411,0.00017,
412,9.28e-05,
413,9.26e-05,
414,0.0001294,
415,9.49e-05,
416,0.0001637,
417,0.0001489,
418,8.58e-05,
419,6.86e-05,
420,0.0001437,
421,8.7e-05,
422,0.0001248,
423,0.0001447,
424,0.0001094,
425,0.0001508,
426,9.93e-05,
427,0.0001715,
428,0.0001516,
429,0.0001754,
430,0.0001113,
431,0.0001194,
432,0.0001341,
433,8.35e-05,
434,0.0001445,
435,0.0001434,
436,9.99e-05,
437,9.48e-05,
438,0.0001456,
439,0.000148,
440,0.0001591,
441,0.0001675,
442,8.06e-05,
443,6.75e-05,
444,0.0001262,
445,9.11e-05,
446,9.28e-05,
447,0.0001423,
448,0.0001431,
449,0.0001718,
450,7.68e-05,
451,0.0001467,
452,8.89e-05,
453,0.0001197,
454,8.92e-05,
455,0.0001273,
456,0.00012,
457,0.0001475,
458,0.0001734,
459,0.0001796,
460,0.000149,
461,0.0001441,
462,9.32e-05,
463,0.0001266,
464,8.51e-05,
465,8.09e-05,
466,0.0001099,
467,0.0001429,
468,0.0001662,
469,8.38e-05,
470,0.0001811,
471,9.31e-05,
472,0.0001481,
473,0.0001171,
474,0.0001255,
475,0.0001217,
476,0.0001434,
477,0.0001078,
478,0.0001358,
479,9.66e-05,
480,5.97e-05,
481,0.0001435,
482,0.0001796,
483,7.32e-05,
484,0.0001163,
485,0.000144,
486,0.0001898,
487,7.71e-05,
488,9.69e-05,
489,0.0001446,
490,0.0001276,
491,0.0001206,
492,0.0001415,
493,0.0001205,
494,0.0001421,
495,0.0001438,
496,5.51e-05,
497,0.000153,
498,0.0001018,
499,0.0001389,
500,9.23e-05,
501,0.000128,
502,7.36e-05,
503,0.0001475,
504,0.0001426,
505,9.57e-05,
506,9.25e-05,
507,0.0001204,
508,7.17e-05,
509,0.0001623,
510,0.0001335,
511,8.46e-05,
512,9.17e-05,
513,9.13e-05,
514,0.0001406,
515,7.29e-05,
516,7.54e-05,
517,6.59e-05,
518,9.19e-05,
519,0.0001447,
520,8.48e-05,
521,9.2e-05,
522,0.0001439,
523,8.35e-05,
524,0.0001403,
525,0.0001653,
526,0.0001197,
527,9.73e-05,
528,0.0001101,
529,7.47e-05,
530,9.89e-05,
531,8.28e-05,
532,0.0001508,
533,7.58e-05,
534,0.0001081,
535,0.0001281,
536,0.0001031,
537,8.09e-05,
538,0.000151,
539,8.89e-05,
540,0.0001355,
541,8.43e-05,
542,9.82e-05,
543,9.32e-05,
544,0.0001194,
545,9.19e-05,
546,0.0001162,
547,0.00015,
548,9.38e-05,
549,0.0001196,
550,6.76e-05,
551,0.0001437,
552,8.48e-05,
553,0.0001155,
554,0.0001086,
555,0.0001387,
556,0.0001186,
557,9.22e-05,
558,9.4e-05,
559,0.0001262,
560,9.38e-05,
561,0.0001193,
562,0.0001793,
563,6.99e-05,
564,0.0001193,
565,0.0001237,
566,9.68e-05,
567,0.0001439,
568,0.0001018,
569,0.0001235,
570,0.0001435,
571,0.00016,
572,9.43e-05,
573,9.3e-05,
574,8.58e-05,
575,9.34e-05,
576,0.0001181,
577,0.0001147,
578,0.0001172,
579,0.000143,
580,9.22e-05,
581,8.63e-05,
582,0.0001426,
583,0.0001446,
584,8.27e-05,
585,9.03e-05,
586,0.00014,
587,0.0001037,
588,0.0001484,
589,0.0001449,
590,9.35e-05,
591,0.0001448,
592,8.71e-05,
593,8.05e-05,
594,0.0001453,
595,8.51e-05,
596,7.83e-05,
597,0.0001454,
598,0.0001734,
599,0.0001249,
600,0.0001198,
601,9.14e-05,
602,0.0001427,
603,0.0001283,
604,0.0001113,
605,0.0001447,
606,0.00015,
607,0.0001448,
608,9.56e-05,
609,9.24e-05,
610,8.03e-05,
611,0.0001428,
612,0.0001763,
613,0.0001187,
614,9.8e-05,
615,0.0001412,
616,0.0001181,
617,9.41e-05,
618,0.0001501,
619,8.16e-05,
620,0.0001087,
621,0.0001421,
622,9.2e-05,
623,0.0001414,
624,0.0001339,
625,0.0001614,
626,6.04e-05,
627,0.0001216,
628,0.0001439,
629,0.0001194,
630,0.0001263,
631,0.000124,
