frame,time
0,2.51e-05,
1,5.78e-05,
2,2.7e-05,
3,2.57e-05,
4,3.4e-05,
5,1.74e-05,
6,1.23e-05,
7,1.05e-05,
8,1.21e-05,
9,1.23e-05,
10,1.24e-05,
11,1.21e-05,
12,4.46e-05,
13,1.22e-05,
14,1.56e-05,
15,1.99e-05,
16,1.13e-05,
17,1.1e-05,
18,8.5e-06,
19,8.2e-06,
20,1.02e-05,
21,8.1e-06,
22,8.8e-06,
23,8.4e-06,
24,7.7e-06,
25,8e-06,
26,8.1e-06,
27,8.4e-06,
28,8.3e-06,
29,8.8e-06,
30,8.2e-06,
31,7.7e-06,
32,1.78e-05,
33,1.06e-05,
34,8.3e-06,
35,8e-06,
36,9.2e-06,
37,8.1e-06,
38,8.1e-06,
39,8.2e-06,
40,8e-06,
41,7.8e-06,
42,9.2e-06,
43,9.9e-06,
44,1.26e-05,
45,9.9e-06,
46,8.9e-06,
47,8.2e-06,
48,8e-06,
49,8.5e-06,
50,8.2e-06,
51,8e-06,
52,7.8e-06,
53,8.6e-06,
54,8.2e-06,
55,8.7e-06,
56,8.4e-06,
57,1.09e-05,
58,8.8e-06,
59,8.4e-06,
60,8.4e-06,
61,8.1e-06,
62,8.8e-06,
63,7.8e-06,
64,7.9e-06,
65,8.4e-06,
66,8.1e-06,
67,7.5e-06,
68,8.3e-06,
69,1.2e-05,
70,1.07e-05,
71,8.4e-06,
72,8.3e-06,
73,8.1e-06,
74,8.5e-06,
75,7.8e-06,
76,7.6e-06,
77,7.8e-06,
78,8e-06,
79,8.4e-06,
80,8e-06,
81,8.6e-06,
82,1.16e-05,
83,1.15e-05,
84,8.4e-06,
85,8.1e-06,
86,1.09e-05,
87,7.6e-06,
88,8.6e-06,
89,8.5e-06,
90,8.4e-06,
91,7.5e-06,
92,7.8e-06,
93,8.4e-06,
94,8.3e-06,
95,1.63e-05,
96,1.14e-05,
97,8.1e-06,
98,1.08e-05,
99,1.12e-05,
100,7.8e-06,
101,1.13e-05,
102,1.18e-05,
103,1.65e-05,
104,1.11e-05,
105,1.12e-05,
106,1e-05,
107,1.97e-05,
108,9.3e-06,
109,7.4e-06,
110,1.06e-05,
111,8.2e-06,
112,7.5e-06,
113,1.09e-05,
114,1.18e-05,
115,8.2e-06,
116,1.52e-05,
117,1.11e-05,
118,8.3e-06,
119,9.9e-06,
120,1.1e-05,
121,1.15e-05,
122,1.15e-05,
123,1.16e-05,
124,7.6e-06,
125,1.8e-05,
126,1.13e-05,
127,7.9e-06,
128,8.4e-06,
129,1.12e-05,
130,7.6e-06,
131,1.11e-05,
132,1.61e-05,
133,7.4e-06,
134,1.09e-05,
135,1.13e-05,
136,1.08e-05,
137,9.7e-06,
138,1.07e-05,
139,7.5e-06,
140,2.33e-05,
141,1.1e-05,
142,7.6e-06,
143,1.1e-05,
144,1.12e-05,
145,9.8e-06,
146,1.44e-05,
147,1.07e-05,
148,2.04e-05,
149,1.09e-05,
150,1.15e-05,
151,7.7e-06,
152,1.08e-05,
153,1.12e-05,
154,7.6e-06,
155,2.58e-05,
156,1.04e-05,
157,8.4e-06,
158,1.09e-05,
159,1.12e-05,
160,7.5e-06,
161,1.08e-05,
162,8.4e-06,
163,1.07e-05,
164,2.39e-05,
165,1.14e-05,
166,8e-06,
167,1.45e-05,
168,1.14e-05,
169,1.1e-05,
170,1.19e-05,
171,1.13e-05,
172,7.4e-06,
173,1.09e-05,
174,1.17e-05,
175,7.7e-06,
176,1.12e-05,
177,1.58e-05,
178,2.17e-05,
179,1.51e-05,
180,1.17e-05,
181,7.4e-06,
182,2.68e-05,
183,1.08e-05,
184,1.87e-05,
185,1.16e-05,
186,1.12e-05,
187,7.7e-06,
188,1.08e-05,
189,1.09e-05,
190,3.7e-05,
191,1.1e-05,
192,1.15e-05,
193,8.3e-06,
194,2.15e-05,
195,1.2e-05,
196,1.17e-05,
197,1.11e-05,
198,1.15e-05,
199,7.9e-06,
200,1.1e-05,
201,1.2e-05,
202,7.4e-06,
203,1.03e-05,
204,7.7e-06,
205,7.3e-06,
206,1.1e-05,
207,1.22e-05,
208,7.3e-06,
209,1.13e-05,
210,1.17e-05,
211,7.4e-06,
212,1.12e-05,
213,1.13e-05,
214,7.7e-06,
215,1.21e-05,
216,1.21e-05,
217,8.1e-06,
218,1.1e-05,
219,1.14e-05,
220,1.55e-05,
221,1.39e-05,
222,9.2e-06,
223,7.9e-06,
224,2.46e-05,
225,1.08e-05,
226,7.9e-06,
227,1.47e-05,
228,1.01e-05,
229,7.9e-06,
230,1.15e-05,
231,1.19e-05,
232,8.2e-06,
233,1.47e-05,
234,1.09e-05,
235,8e-06,
236,7.4e-06,
237,1.1e-05,
238,1.21e-05,
239,8.5e-06,
240,1.92e-05,
241,1.08e-05,
242,7.5e-06,
243,1.09e-05,
244,1.11e-05,
245,1.43e-05,
246,1.83e-05,
247,1.05e-05,
248,8.1e-06,
249,1.12e-05,
250,1.15e-05,
251,7.8e-06,
252,1.1e-05,
253,1.13e-05,
254,7.5e-06,
255,1.09e-05,
256,1.09e-05,
257,7.7e-06,
258,1.07e-05,
259,1.18e-05,
260,1.15e-05,
261,8e-06,
262,1.09e-05,
263,1.14e-05,
264,2.55e-05,
265,9.8e-06,
266,1.1e-05,
267,1.08e-05,
268,1.71e-05,
269,1.2e-05,
270,8.1e-06,
271,1.07e-05,
272,1.12e-05,
273,1.12e-05,
274,1.18e-05,
275,2.67e-05,
276,3.06e-05,
277,2.58e-05,
278,2.68e-05,
279,3.18e-05,
280,1.3e-05,
281,1.85e-05,
282,1.8e-05,
283,1.85e-05,
284,2.39e-05,
285,1.91e-05,
286,1.83e-05,
287,1.48e-05,
288,3.03e-05,
289,2.49e-05,
290,1.17e-05,
291,1.85e-05,
292,1.84e-05,
293,1.16e-05,
294,1.84e-05,
295,3.11e-05,
296,2.9e-05,
297,1.87e-05,
298,1.84e-05,
299,1.84e-05,
300,2.19e-05,
301,1.99e-05,
302,1.83e-05,
303,1.8e-05,
304,1.26e-05,
305,1.78e-05,
306,1.69e-05,
307,3.87e-05,
308,1.86e-05,
309,1.56e-05,
310,3.46e-05,
311,1.86e-05,
312,4.47e-05,
313,1.9e-05,
314,1.85e-05,
315,1.83e-05,
316,6.52e-05,
317,1.5e-05,
318,1.23e-05,
319,1.89e-05,
320,2.29e-05,
321,1.55e-05,
322,5.75e-05,
323,1.85e-05,
324,1.82e-05,
325,1.83e-05,
326,1.87e-05,
327,1.85e-05,
328,1.59e-05,
329,1.86e-05,
330,1.85e-05,
331,1.85e-05,
332,1.22e-05,
333,1.9e-05,
334,1.9e-05,
335,1.88e-05,
336,1.9e-05,
337,1.85e-05,
338,2.62e-05,
339,2.24e-05,
340,1.83e-05,
341,1.84e-05,
342,1.83e-05,
343,1.68e-05,
344,1.85e-05,
345,1.85e-05,
346,1.56e-05,
347,1.9e-05,
348,1.92e-05,
349,1.19e-05,
350,1.85e-05,
351,1.98e-05,
352,1.21e-05,
353,1.23e-05,
354,1.85e-05,
355,1.54e-05,
356,1.85e-05,
357,1.65e-05,
358,1.23e-05,
359,1.79e-05,
360,2.28e-05,
361,4.06e-05,
362,1.83e-05,
363,1.82e-05,
364,4.73e-05,
365,2.24e-05,
366,1.88e-05,
367,4.75e-05,
368,1.21e-05,
369,1.86e-05,
370,1.84e-05,
371,1.22e-05,
372,1.85e-05,
373,1.86e-05,
374,1.25e-05,
375,1.75e-05,
376,1.82e-05,
377,1.84e-05,
378,1.17e-05,
379,1.85e-05,
380,1.82e-05,
381,1.82e-05,
382,1.87e-05,
383,1.82e-05,
384,2.52e-05,
385,1.85e-05,
386,1.86e-05,
387,2.38e-05,
388,1.82e-05,
389,1.86e-05,
390,1.81e-05,
391,2.59e-05,
392,1.86e-05,
393,1.86e-05,
394,1.85e-05,
395,2.24e-05,
396,1.82e-05,
397,1.87e-05,
398,1.86e-05,
399,1.17e-05,
400,1.85e-05,
401,1.86e-05,
402,2.3e-05,
403,1.07e-05,
404,1.85e-05,
405,1.28e-05,
406,2.08e-05,
407,1.85e-05,
408,1.61e-05,
409,1.39e-05,
410,2.11e-05,
411,1.83e-05,
412,1.82e-05,
413,1.83e-05,
414,2.37e-05,
415,3.83e-05,
416,1.9e-05,
417,1.82e-05,
418,4.48e-05,
419,1.84e-05,
420,2.34e-05,
421,1.27e-05,
422,1.16e-05,
423,1.91e-05,
424,1.14e-05,
425,1.15e-05,
426,2.78e-05,
427,1.26e-05,
428,1.84e-05,
429,1.82e-05,
430,2.44e-05,
431,1.17e-05,
432,1.86e-05,
433,1.87e-05,
434,1.83e-05,
435,2.28e-05,
436,1.87e-05,
437,1.21e-05,
438,1.79e-05,
439,1.85e-05,
440,1.88e-05,
441,1.74e-05,
442,2.92e-05,
443,1.21e-05,
444,2.26e-05,
445,3.68e-05,
446,1.89e-05,
447,1.18e-05,
448,1.87e-05,
449,1.81e-05,
450,1.8e-05,
451,2.42e-05,
452,1.9e-05,
453,1.83e-05,
454,1.81e-05,
455,1.27e-05,
456,1.89e-05,
457,2.22e-05,
458,1.85e-05,
459,1.63e-05,
460,1.87e-05,
461,1.17e-05,
462,1.76e-05,
463,1.83e-05,
464,1.87e-05,
465,1.86e-05,
466,1.81e-05,
467,2.3e-05,
468,1.02e-05,
469,3.42e-05,
470,1.91e-05,
471,1.81e-05,
472,1.82e-05,
473,1.85e-05,
474,1.21e-05,
475,1.87e-05,
476,1.52e-05,
477,1.83e-05,
478,1.79e-05,
479,2.33e-05,
480,1.84e-05,
481,4.68e-05,
482,1.16e-05,
483,1.78e-05,
484,1.14e-05,
485,1.85e-05,
486,1.83e-05,
487,2.89e-05,
488,1.83e-05,
489,1.85e-05,
490,1.87e-05,
491,2.27e-05,
492,1.81e-05,
493,1.9e-05,
494,2.61e-05,
495,2.29e-05,
496,6.99e-05,
497,1.85e-05,
498,1.85e-05,
499,2.99e-05,
500,1.87e-05,
501,3.68e-05,
502,1.27e-05,
503,1.8e-05,
504,1.81e-05,
505,1.55e-05,
506,1.73e-05,
507,1.88e-05,
508,1.85e-05,
509,1.04e-05,
510,1.84e-05,
511,2.24e-05,
512,1.9e-05,
513,1.83e-05,
514,1.87e-05,
515,1.85e-05,
516,1.87e-05,
517,1.85e-05,
518,2.07e-05,
519,1.7e-05,
520,3.19e-05,
521,1.56e-05,
522,1.83e-05,
523,1.73e-05,
524,1.78e-05,
525,1.18e-05,
526,1.14e-05,
527,1.12e-05,
528,1.21e-05,
529,9.62e-05,
530,1.13e-05,
531,2.22e-05,
532,1.34e-05,
533,1.76e-05,
534,1.3e-05,
535,2.28e-05,
536,1.24e-05,
537,1.11e-05,
538,1.17e-05,
539,3.44e-05,
540,1.78e-05,
541,1.1e-05,
542,1.15e-05,
543,1.07e-05,
544,1.19e-05,
545,1.18e-05,
546,1.77e-05,
547,1.69e-05,
548,1.17e-05,
549,1.76e-05,
550,1.16e-05,
551,1.87e-05,
552,1.17e-05,
553,1.76e-05,
554,1.74e-05,
555,1.27e-05,
556,1.52e-05,
557,3.35e-05,
558,1.91e-05,
559,1.81e-05,
560,1.4e-05,
561,1.9e-05,
562,2.34e-05,
563,1.54e-05,
564,1.61e-05,
565,1.11e-05,
566,1.21e-05,
567,3.61e-05,
568,1.83e-05,
569,1.74e-05,
570,2.52e-05,
571,1.87e-05,
572,1.88e-05,
573,1.85e-05,
574,1.16e-05,
575,1.19e-05,
576,1.84e-05,
577,2.35e-05,
578,1.72e-05,
579,3.49e-05,
580,1.33e-05,
581,1.12e-05,
582,1.86e-05,
583,2.36e-05,
584,1.86e-05,
585,1.87e-05,
586,2.3e-05,
587,2.32e-05,
588,1.79e-05,
589,1.84e-05,
590,1.86e-05,
591,3.74e-05,
592,1.86e-05,
593,1.77e-05,
594,1.83e-05,
595,1.21e-05,
596,1.38e-05,
597,1.29e-05,
598,1.8e-05,
599,1.26e-05,
600,1.82e-05,
601,2.62e-05,
602,1.12e-05,
603,3.38e-05,
604,1.8e-05,
605,2.27e-05,
606,1.83e-05,
607,1.8e-05,
608,2.34e-05,
609,2.82e-05,
610,1.78e-05,
611,2.44e-05,
612,1.15e-05,
613,1.17e-05,
614,5.6e-05,
615,3.09e-05,
616,1.17e-05,
617,1.16e-05,
618,2.77e-05,
619,1.16e-05,
620,3.15e-05,
621,1.38e-05,
622,1.09e-05,
623,1.86e-05,
624,1.17e-05,
625,1.1e-05,
626,1.2e-05,
627,1.07e-05,
628,1.16e-05,
629,1.78e-05,
630,1.09e-05,
631,1.51e-05,
632,1.9e-05,
633,1.84e-05,
634,1.27e-05,
635,1.82e-05,
636,1.24e-05,
637,1.22e-05,
638,1.75e-05,
639,3.1e-05,
640,1.8e-05,
641,1.9e-05,
642,4.54e-05,
643,1.26e-05,
644,1.84e-05,
645,2.91e-05,
646,1.21e-05,
647,1.11e-05,
648,1.81e-05,
649,1.82e-05,
650,1.88e-05,
651,1.85e-05,
652,1.79e-05,
653,1.71e-05,
654,4.68e-05,
655,1.86e-05,
656,1.78e-05,
657,1.86e-05,
658,2.99e-05,
659,1.87e-05,
660,1.56e-05,
661,2.25e-05,
662,1.85e-05,
663,1.31e-05,
664,1.89e-05,
665,1.85e-05,
666,2.32e-05,
667,1.83e-05,
668,1.88e-05,
669,1.23e-05,
670,1.84e-05,
671,1.16e-05,
672,1.88e-05,
673,1.89e-05,
674,2.29e-05,
675,1.12e-05,
676,1.79e-05,
677,1.9e-05,
678,1.85e-05,
679,3.07e-05,
680,1.2e-05,
681,1.83e-05,
682,1.86e-05,
683,1.85e-05,
684,1.84e-05,
685,1.14e-05,
686,1.83e-05,
687,1.92e-05,
688,1.87e-05,
689,3.69e-05,
690,1.84e-05,
691,1.82e-05,
692,1.83e-05,
693,1.89e-05,
694,1.82e-05,
695,1.89e-05,
696,1.83e-05,
697,1.2e-05,
698,1.84e-05,
699,1.24e-05,
700,1.74e-05,
701,1.9e-05,
702,3.58e-05,
703,1.22e-05,
704,2.08e-05,
705,1.23e-05,
706,1.19e-05,
707,1.86e-05,
708,1.9e-05,
709,1.87e-05,
710,2.33e-05,
711,1.39e-05,
712,1.4e-05,
713,3.31e-05,
714,1.95e-05,
715,1.31e-05,
716,1.83e-05,
717,1.74e-05,
718,1.24e-05,
719,1.9e-05,
720,1.9e-05,
721,1.19e-05,
722,2.32e-05,
723,3.89e-05,
724,1.77e-05,
725,1.87e-05,
726,1.8e-05,
727,1.84e-05,
728,1.86e-05,
729,1.86e-05,
730,1.93e-05,
731,2.11e-05,
732,3.52e-05,
733,1.2e-05,
734,1.2e-05,
735,3.74e-05,
736,1.78e-05,
737,1.86e-05,
738,1.79e-05,
739,1.84e-05,
740,1.85e-05,
741,4.2e-05,
742,1.36e-05,
743,2.26e-05,
744,3.86e-05,
745,2.23e-05,
746,2.33e-05,
747,3.8e-05,
748,1.82e-05,
749,1.75e-05,
750,1.89e-05,
751,1.83e-05,
752,1.84e-05,
753,1.22e-05,
754,1.22e-05,
755,1.86e-05,
756,3.26e-05,
757,1.88e-05,
758,1.2e-05,
759,1.25e-05,
760,1.29e-05,
761,1.17e-05,
762,1.22e-05,
763,1.77e-05,
764,1.86e-05,
765,1.19e-05,
766,1.89e-05,
767,1.91e-05,
768,1.88e-05,
769,1.85e-05,
770,1.88e-05,
771,1.82e-05,
772,1.88e-05,
773,1.82e-05,
774,1.21e-05,
775,1.77e-05,
776,1.19e-05,
777,1.86e-05,
778,2.44e-05,
779,1.56e-05,
780,5.03e-05,
781,1.45e-05,
782,1.45e-05,
783,4.42e-05,
784,1.85e-05,
785,1.94e-05,
786,5.86e-05,
787,1.79e-05,
788,1.85e-05,
789,5.12e-05,
790,1.23e-05,
791,1.87e-05,
792,1.82e-05,
793,1.87e-05,
794,1.94e-05,
795,1.91e-05,
796,1.22e-05,
797,1.91e-05,
798,3.49e-05,
799,1.22e-05,
800,1.9e-05,
801,1.85e-05,
802,1.92e-05,
803,1.72e-05,
804,1.88e-05,
805,1.9e-05,
806,1.76e-05,
807,1.37e-05,
808,1.79e-05,
809,1.84e-05,
810,1.95e-05,
811,2.45e-05,
812,1.81e-05,
813,1.82e-05,
814,1.88e-05,
815,1.87e-05,
816,1.81e-05,
817,1.89e-05,
818,1.83e-05,
819,3.04e-05,
820,1.75e-05,
821,2.35e-05,
822,1.22e-05,
823,1.42e-05,
824,1.88e-05,
825,1.82e-05,
826,1.25e-05,
827,1.86e-05,
828,1.28e-05,
829,1.88e-05,
830,1.78e-05,
831,1.83e-05,
832,1.59e-05,
833,1.77e-05,
834,2.25e-05,
835,1.86e-05,
836,2.29e-05,
837,1.2e-05,
838,1.35e-05,
839,2.3e-05,
840,5.82e-05,
841,1.45e-05,
842,1.17e-05,
843,1.22e-05,
844,1.27e-05,
845,1.88e-05,
846,1.19e-05,
847,1.2e-05,
848,1.79e-05,
849,2.6e-05,
850,1.52e-05,
851,1.3e-05,
852,2.34e-05,
853,2.3e-05,
854,1.86e-05,
855,2.21e-05,
856,2.48e-05,
857,1.84e-05,
858,4.29e-05,
859,1.87e-05,
860,1.51e-05,
861,1.74e-05,
862,1.85e-05,
863,1.19e-05,
864,1.58e-05,
865,1.09e-05,
866,1.21e-05,
867,2.88e-05,
868,1.83e-05,
869,3.37e-05,
870,2.76e-05,
871,1.84e-05,
872,1.84e-05,
873,1.86e-05,
874,1.79e-05,
875,1.84e-05,
876,1.87e-05,
877,1.87e-05,
878,1.86e-05,
879,3.89e-05,
880,1.86e-05,
881,1.27e-05,
882,5.36e-05,
883,1.2e-05,
884,1.11e-05,
885,1.83e-05,
886,1.2e-05,
887,1.77e-05,
888,1.85e-05,
889,1.83e-05,
890,1.87e-05,
891,1.94e-05,
892,1.23e-05,
893,1.76e-05,
894,1.89e-05,
895,2.57e-05,
896,1.86e-05,
897,1.85e-05,
898,1.87e-05,
899,1.76e-05,
900,1.84e-05,
901,1.2e-05,
902,1.85e-05,
903,1.2e-05,
904,2.33e-05,
905,1.15e-05,
906,1.15e-05,
907,1.78e-05,
908,1.88e-05,
909,1.83e-05,
910,1.88e-05,
911,1.24e-05,
912,1.87e-05,
913,2.02e-05,
914,1.56e-05,
915,3.64e-05,
916,1.49e-05,
917,1.69e-05,
918,4.48e-05,
919,1.78e-05,
920,1.28e-05,
921,3.82e-05,
922,1.88e-05,
923,1.83e-05,
924,3.24e-05,
925,2.2e-05,
926,1.85e-05,
927,5.32e-05,
928,1.22e-05,
929,1.57e-05,
930,1.9e-05,
931,2.26e-05,
932,1.48e-05,
933,3.63e-05,
934,1.87e-05,
935,2.27e-05,
936,3.57e-05,
937,1.19e-05,
938,1.87e-05,
939,2.57e-05,
940,1.77e-05,
941,1.84e-05,
942,3.38e-05,
943,1.89e-05,
944,2.04e-05,
945,1.17e-05,
946,1.89e-05,
947,1.27e-05,
948,1.81e-05,
949,1.84e-05,
950,1.89e-05,
951,1.73e-05,
952,1.86e-05,
953,2.13e-05,
954,1.85e-05,
955,2.52e-05,
956,1.76e-05,
957,3.73e-05,
958,1.19e-05,
959,1.88e-05,
960,1.8e-05,
961,1.24e-05,
962,1.88e-05,
963,1.86e-05,
964,1.18e-05,
