frame,time
0,3.2e-05,
1,7.98e-05,
2,1.3e-05,
3,1.95e-05,
4,4.24e-05,
5,1.26e-05,
6,1.24e-05,
7,1.2e-05,
8,1.62e-05,
9,1.95e-05,
10,1.77e-05,
11,1.16e-05,
12,1.22e-05,
13,9.1e-06,
14,1.27e-05,
15,1.72e-05,
16,3.5e-05,
17,1.55e-05,
18,8.9e-06,
19,1.14e-05,
20,3.85e-05,
21,1.52e-05,
22,1.36e-05,
23,1.21e-05,
24,1.75e-05,
25,1.8e-05,
26,1.11e-05,
27,1.31e-05,
28,1.78e-05,
29,1.93e-05,
30,1.14e-05,
31,1.27e-05,
32,1.8e-05,
33,8.4e-06,
34,1.73e-05,
35,1.87e-05,
36,2.31e-05,
37,2.34e-05,
38,1.2e-05,
39,2.25e-05,
40,1.45e-05,
41,1.2e-05,
42,2.35e-05,
43,2.66e-05,
44,1.06e-05,
45,1.29e-05,
46,4.83e-05,
47,2.22e-05,
48,1.5e-05,
49,3.24e-05,
50,1.25e-05,
51,2.73e-05,
52,2.17e-05,
53,1.33e-05,
54,1.93e-05,
55,5.38e-05,
56,1.49e-05,
57,2.17e-05,
58,1.79e-05,
59,1.24e-05,
60,1.43e-05,
61,1.2e-05,
62,9.1e-06,
63,2.73e-05,
64,2.07e-05,
65,2.88e-05,
66,2.2e-05,
67,2.86e-05,
68,2.18e-05,
69,1.39e-05,
70,2.99e-05,
71,2.12e-05,
72,1.45e-05,
73,3.59e-05,
74,1.25e-05,
75,1.23e-05,
76,3.67e-05,
77,1.11e-05,
78,1.38e-05,
79,5.74e-05,
80,1.14e-05,
81,3.8e-05,
82,1.18e-05,
83,2.17e-05,
84,7.7e-06,
85,1.39e-05,
86,7.8e-06,
87,2.91e-05,
88,2.81e-05,
89,1.49e-05,
90,6e-06,
91,2.26e-05,
92,1.11e-05,
93,7e-06,
94,2.94e-05,
95,1.45e-05,
96,1.23e-05,
97,1.42e-05,
98,2.24e-05,
99,1.11e-05,
100,2.61e-05,
101,1.41e-05,
102,1.37e-05,
103,1.24e-05,
104,2.21e-05,
105,1.19e-05,
106,1.42e-05,
107,1.32e-05,
108,1.28e-05,
109,1.24e-05,
110,2.37e-05,
111,7.9e-06,
112,1.38e-05,
113,1.2e-05,
114,1.49e-05,
115,7.6e-06,
116,1.11e-05,
117,1.22e-05,
118,4.13e-05,
119,1.13e-05,
120,2.12e-05,
121,6.3e-06,
122,2.3e-05,
123,2.61e-05,
124,3.8e-05,
125,1.17e-05,
126,1.41e-05,
127,2.54e-05,
128,2.12e-05,
129,2.21e-05,
130,2.33e-05,
131,2.31e-05,
132,2.37e-05,
133,1.91e-05,
134,1.89e-05,
135,5.02e-05,
136,1.62e-05,
137,1.13e-05,
138,1.89e-05,
139,1.99e-05,
140,1.47e-05,
141,1e-05,
142,2.33e-05,
143,1.94e-05,
144,3.86e-05,
145,1.23e-05,
146,1.15e-05,
147,1.12e-05,
148,1.14e-05,
149,1.13e-05,
150,1.25e-05,
151,1.18e-05,
152,2.84e-05,
153,2.36e-05,
154,2.33e-05,
155,2.81e-05,
156,1.73e-05,
157,1.31e-05,
158,1.43e-05,
159,2.06e-05,
160,2.42e-05,
161,1.61e-05,
162,1.39e-05,
163,1.79e-05,
164,2.89e-05,
165,2.3e-05,
166,3.4e-05,
167,1.48e-05,
168,2.29e-05,
169,3.43e-05,
170,1.43e-05,
171,1.09e-05,
172,2.26e-05,
173,2.37e-05,
174,1.2e-05,
175,4.79e-05,
176,1.58e-05,
177,1.62e-05,
178,1.62e-05,
179,1.83e-05,
180,1.21e-05,
181,1.53e-05,
182,2.4e-05,
183,2.91e-05,
184,4.25e-05,
185,1.24e-05,
186,3.55e-05,
187,1.67e-05,
188,2.89e-05,
189,1.2e-05,
190,1.21e-05,
191,1.87e-05,
192,2.36e-05,
193,3.72e-05,
194,1.42e-05,
195,2.52e-05,
196,3.66e-05,
197,2.32e-05,
198,2.97e-05,
199,5.12e-05,
200,9.8e-06,
201,1.58e-05,
202,2.67e-05,
203,1.07e-05,
204,2.45e-05,
205,1.46e-05,
206,2.35e-05,
207,1.64e-05,
208,1.59e-05,
209,2.58e-05,
210,2.31e-05,
211,1.47e-05,
212,1.8e-05,
213,2.38e-05,
214,5.58e-05,
215,1.19e-05,
216,2.31e-05,
217,3.7e-05,
218,2.45e-05,
219,1.46e-05,
220,7.52e-05,
221,3.76e-05,
222,1.57e-05,
223,3.53e-05,
224,9.6e-06,
225,1.46e-05,
226,1.81e-05,
227,2.41e-05,
228,2.36e-05,
229,3.73e-05,
230,1.87e-05,
231,1.64e-05,
232,2.41e-05,
233,1.72e-05,
234,1.37e-05,
235,1.85e-05,
236,1.16e-05,
237,1.21e-05,
238,1.88e-05,
239,2.36e-05,
240,1.24e-05,
241,1.74e-05,
242,1.91e-05,
243,1.15e-05,
244,1.73e-05,
245,1.88e-05,
246,1.89e-05,
247,3.05e-05,
248,1.36e-05,
249,2.41e-05,
250,1.9e-05,
251,2.38e-05,
252,2.45e-05,
253,1.98e-05,
254,1.31e-05,
255,1.51e-05,
256,3.41e-05,
257,1.2e-05,
258,1.42e-05,
259,4.7e-05,
260,1.8e-05,
261,1.87e-05,
262,2.36e-05,
263,1.89e-05,
264,2.2e-05,
265,1.39e-05,
