frame,time
0,5.54e-05,
1,5.1e-05,
2,4.59e-05,
3,1.93e-05,
4,1.23e-05,
5,1.54e-05,
6,1.11e-05,
7,1.34e-05,
8,1.19e-05,
9,3.35e-05,
10,1.07e-05,
11,1.16e-05,
12,1.84e-05,
13,9.9e-06,
14,1.74e-05,
15,1.45e-05,
16,1e-05,
17,1.17e-05,
18,8.1e-06,
19,1.28e-05,
20,1.12e-05,
21,1.68e-05,
22,7.7e-06,
23,1.16e-05,
24,8.9e-06,
25,1.2e-05,
26,2.77e-05,
27,8.5e-06,
28,1.17e-05,
29,8.2e-06,
30,1.18e-05,
31,1.13e-05,
32,8.7e-06,
33,1.18e-05,
34,8.3e-06,
35,1.13e-05,
36,8e-06,
37,1.19e-05,
38,1.1e-05,
39,8.1e-06,
40,1.17e-05,
41,8e-06,
42,1.19e-05,
43,1.23e-05,
44,1.07e-05,
45,1.15e-05,
46,8.1e-06,
47,1.2e-05,
48,1.21e-05,
49,1.15e-05,
50,8.6e-06,
51,1.14e-05,
52,8e-06,
53,1.16e-05,
54,1.22e-05,
55,9.4e-06,
56,1.12e-05,
57,8.9e-06,
58,8.1e-06,
59,1.13e-05,
60,9.2e-06,
61,1.13e-05,
62,8.2e-06,
63,1.12e-05,
64,8.3e-06,
65,1.12e-05,
66,2.83e-05,
67,2.06e-05,
68,8e-06,
69,1.18e-05,
70,1.25e-05,
71,1.32e-05,
72,9.2e-06,
73,1.15e-05,
74,8.5e-06,
75,8.1e-06,
76,1.19e-05,
77,7.6e-06,
78,1.18e-05,
79,1.3e-05,
80,1.14e-05,
81,1.22e-05,
82,1.16e-05,
83,1.68e-05,
84,9.8e-06,
85,9.6e-06,
86,1.18e-05,
87,1.24e-05,
88,1.21e-05,
89,1.72e-05,
90,1.13e-05,
91,8.7e-06,
92,1.11e-05,
93,1.17e-05,
94,1.12e-05,
95,1.57e-05,
96,1.19e-05,
97,9.3e-06,
98,7.7e-06,
99,1.06e-05,
100,8.5e-06,
101,8e-06,
102,1.23e-05,
103,1.11e-05,
104,8.6e-06,
105,1.46e-05,
106,9.6e-06,
107,1.17e-05,
108,8.7e-06,
109,9.4e-06,
110,8.5e-06,
111,1.14e-05,
112,9.7e-06,
113,1.16e-05,
114,2.83e-05,
115,1.42e-05,
116,1.23e-05,
117,9.4e-06,
