frame,time
1,0.0042092,
2,0.0014589,
3,0.0009308,
4,0.0010872,
5,0.0006328,
6,0.0007611,
7,0.0005665,
8,0.000629,
9,0.0005559,
10,0.0005849,
11,0.0005677,
12,0.0005319,
13,0.0005787,
14,0.0004789,
15,0.0006275,
16,0.0005129,
17,0.0004773,
18,0.0005372,
19,0.0004856,
20,0.0008111,
21,0.0012916,
22,0.0005008,
23,0.0005097,
24,0.000645,
25,0.0005007,
26,0.0005388,
27,0.0005924,
28,0.0005067,
29,0.0004645,
30,0.0005643,
31,0.0005355,
32,0.0005036,
33,0.0005378,
34,0.0006872,
35,0.0006014,
36,0.0005522,
37,0.0005167,
38,0.0005598,
39,0.000509,
40,0.0005956,
41,0.0005202,
42,0.0005534,
43,0.0005569,
44,0.0005232,
45,0.0005157,
46,0.0005275,
47,0.0005306,
48,0.0005792,
49,0.0004903,
50,0.0010267,
51,0.000447,
52,0.0004731,
53,0.0005761,
54,0.0004827,
55,0.0005181,
56,0.0004512,
57,0.0004019,
58,0.0004486,
59,0.0004593,
60,0.0005631,
61,0.0004972,
62,0.0004203,
63,0.0005387,
64,0.000565,
65,0.0004704,
66,0.0004051,
67,0.0004127,
68,0.0005153,
69,0.0005201,
70,0.0004957,
71,0.0004823,
72,0.0004037,
73,0.0003866,
74,0.0005179,
75,0.0004344,
76,0.0004752,
77,0.0005112,
78,0.0005221,
79,0.0005823,
80,0.000477,
81,0.0004925,
82,0.0006482,
83,0.0005581,
84,0.001304,
85,0.0006733,
86,0.0004683,
87,0.0004741,
88,0.0004813,
89,0.0004973,
90,0.0004501,
91,0.000572,
92,0.0004447,
93,0.0004877,
94,0.0004897,
95,0.0004165,
96,0.0004296,
97,0.0004973,
98,0.0004961,
99,0.0005065,
100,0.0004656,
101,0.0004913,
102,0.0004645,
103,0.0005437,
104,0.0005379,
105,0.0004691,
106,0.0005978,
107,0.0006289,
108,0.0004502,
109,0.0005214,
110,0.0005892,
111,0.0004509,
112,0.0004386,
113,0.0005133,
114,0.0004547,
115,0.0005773,
116,0.0004628,
117,0.0005059,
118,0.0004474,
119,0.0004804,
120,0.0005135,
121,0.0005086,
122,0.0005027,
123,0.0005011,
124,0.000441,
125,0.0004475,
126,0.0004786,
127,0.0005027,
128,0.000476,
129,0.0004306,
130,0.0005524,
131,0.0004438,
132,0.0004836,
133,0.0004351,
134,0.0004799,
135,0.0004355,
136,0.0004757,
137,0.0005155,
138,0.0004957,
139,0.000516,
140,0.0005347,
141,0.0003929,
142,0.0005171,
143,0.0004891,
144,0.0004853,
145,0.0004703,
146,0.0005115,
147,0.0005065,
148,0.0005244,
149,0.000441,
150,0.0004762,
151,0.0009507,
152,0.0005099,
153,0.0005267,
154,0.0004756,
155,0.0004744,
156,0.00047,
157,0.0005132,
158,0.0004903,
159,0.0004791,
160,0.0004872,
161,0.0005179,
162,0.0004373,
163,0.0004361,
164,0.0004704,
165,0.0004297,
166,0.0004994,
167,0.0004821,
168,0.0004734,
169,0.0004662,
170,0.0004247,
171,0.0003859,
172,0.0005305,
173,0.0004437,
174,0.0004987,
175,0.0004845,
176,0.0004175,
177,0.0004667,
178,0.0005221,
179,0.0004918,
180,0.0004975,
181,0.0005407,
182,0.0004475,
183,0.000503,
184,0.0012144,
185,0.0004526,
186,0.0004227,
187,0.0003982,
188,0.0005343,
189,0.0004816,
190,0.000501,
191,0.0005475,
192,0.0005097,
193,0.0004937,
194,0.0004793,
195,0.0004721,
196,0.0005183,
197,0.0004746,
198,0.000539,
199,0.0004902,
200,0.0004697,
201,0.0004584,
202,0.0005109,
203,0.0005475,
204,0.0005112,
205,0.0004824,
206,0.0004933,
207,0.0004122,
208,0.0005261,
209,0.0004805,
210,0.0004273,
211,0.0003854,
212,0.0004239,
213,0.0004357,
214,0.0004262,
215,0.0005104,
216,0.0004874,
217,0.0005447,
218,0.0004892,
219,0.0005267,
220,0.0004782,
221,0.0004644,
222,0.000519,
223,0.0005238,
224,0.0005151,
225,0.0005172,
226,0.0004898,
227,0.0005148,
228,0.0004474,
229,0.0004948,
230,0.0004801,
231,0.0004214,
232,0.0005251,
233,0.0004918,
234,0.000473,
235,0.0004962,
236,0.0005306,
237,0.0004455,
238,0.0005718,
239,0.0005041,
240,0.0004833,
241,0.000488,
242,0.0004732,
243,0.0005311,
244,0.0004871,
245,0.0004589,
246,0.0004836,
247,0.0004221,
248,0.0004331,
249,0.000465,
250,0.0005686,
251,0.0005014,
252,0.000481,
253,0.0005891,
254,0.0005518,
255,0.0004386,
256,0.0004307,
257,0.0005592,
258,0.0005337,
259,0.0004869,
260,0.0004107,
261,0.0004278,
262,0.0004767,
263,0.0004759,
264,0.0005025,
265,0.0004959,
266,0.0005307,
267,0.0004862,
268,0.0005221,
269,0.0004817,
270,0.000471,
271,0.0005527,
272,0.000554,
273,0.0004256,
274,0.0004849,
275,0.0005647,
276,0.0005503,
277,0.0004486,
278,0.0005154,
279,0.0005861,
280,0.000482,
281,0.0004892,
282,0.0004323,
283,0.000483,
284,0.0005211,
285,0.0005039,
286,0.0005548,
287,0.0004551,
288,0.0004666,
289,0.0004394,
290,0.0004948,
291,0.0004716,
292,0.0005054,
293,0.0005084,
294,0.000534,
