frame,time
0,1.63867,
1,0.003949,
2,0.0013586,
3,0.0016265,
4,0.0005886,
5,0.0007334,
6,0.0004646,
7,0.0004828,
8,0.0005175,
9,0.0005002,
10,0.0005001,
11,0.0004944,
12,0.0004767,
13,0.0004901,
14,0.0004498,
15,0.0004806,
16,0.0004827,
17,0.0004514,
18,0.0004872,
19,0.0004659,
20,0.0005117,
21,0.0004457,
22,0.0005304,
23,0.0004906,
24,0.0004373,
25,0.0004589,
26,0.0005009,
27,0.0004797,
28,0.000566,
29,0.0010855,
30,0.0004818,
31,0.0005126,
32,0.0004537,
33,0.000396,
34,0.0004227,
35,0.0004879,
36,0.0004458,
37,0.000507,
38,0.0004777,
39,0.0004948,
40,0.0004395,
41,0.0004443,
42,0.0004444,
43,0.0004342,
44,0.0003806,
45,0.0004253,
46,0.0004438,
47,0.0004361,
48,0.0004404,
49,0.000451,
50,0.0004384,
51,0.0003747,
52,0.0003864,
53,0.0004381,
54,0.0003848,
55,0.0003636,
56,0.0004292,
57,0.0004445,
58,0.0004492,
59,0.0004732,
60,0.0004341,
61,0.0003761,
62,0.0003861,
63,0.0004878,
64,0.0004357,
65,0.0004318,
66,0.0009569,
67,0.0006323,
68,0.0004371,
69,0.0004355,
70,0.0004351,
71,0.0003873,
72,0.0004439,
73,0.0004551,
74,0.0004363,
75,0.0003962,
76,0.0004387,
77,0.000434,
78,0.0004449,
79,0.000436,
80,0.0004125,
81,0.0003833,
82,0.0003809,
83,0.0004037,
84,0.0004148,
85,0.0004468,
86,0.000441,
87,0.0004369,
88,0.000448,
89,0.0004788,
90,0.0004593,
91,0.0004795,
92,0.0004658,
93,0.0004431,
94,0.0004337,
95,0.0004228,
96,0.0004534,
97,0.000446,
98,0.0004375,
99,0.0003947,
100,0.0003822,
101,0.0004607,
102,0.0006759,
103,0.0005748,
104,0.0007081,
105,0.0004725,
106,0.0004546,
107,0.0004608,
108,0.0004374,
109,0.0003951,
110,0.0004793,
111,0.0004661,
112,0.0003894,
113,0.0004387,
114,0.0004421,
115,0.0004231,
116,0.0004558,
117,0.0004385,
118,0.0003986,
119,0.0004352,
120,0.0003816,
121,0.0004362,
122,0.0004449,
123,0.0004725,
124,0.0004633,
125,0.0003973,
126,0.0003767,
127,0.0003863,
128,0.0004519,
129,0.0004365,
130,0.0004741,
131,0.0004342,
132,0.0003863,
133,0.0004446,
134,0.0004391,
135,0.0003777,
136,0.0003814,
