frame,time
0,0.0017128,
1,0.0002757,
2,9.96e-05,
3,0.0001159,
4,9.68e-05,
5,0.0003068,
6,9.87e-05,
7,9.86e-05,
8,9.18e-05,
9,9.69e-05,
10,0.0001057,
11,9.67e-05,
12,9.69e-05,
13,9.8e-05,
14,9.88e-05,
15,9.71e-05,
16,9.15e-05,
17,9.82e-05,
18,9.63e-05,
19,0.0001256,
20,9.89e-05,
21,9.4e-05,
22,9.41e-05,
23,9.72e-05,
24,8.44e-05,
25,0.0001069,
26,9.82e-05,
27,9.68e-05,
28,9.59e-05,
29,9.81e-05,
30,9.82e-05,
31,9.65e-05,
32,9.73e-05,
33,9.79e-05,
34,0.0001076,
35,8.8e-05,
36,6.76e-05,
37,9.89e-05,
38,9.88e-05,
39,9.78e-05,
40,9.74e-05,
41,9.72e-05,
42,9.7e-05,
43,9.75e-05,
44,9.76e-05,
45,7.1e-05,
46,0.0001035,
47,9.79e-05,
48,9.82e-05,
49,9.43e-05,
50,8.46e-05,
51,6.17e-05,
52,9.63e-05,
53,9.66e-05,
54,9.61e-05,
55,8.8e-05,
56,6.05e-05,
57,5.72e-05,
58,9.81e-05,
59,9.63e-05,
60,9.7e-05,
61,6.29e-05,
62,9.75e-05,
63,9.64e-05,
64,9.6e-05,
65,6.01e-05,
66,5.71e-05,
67,9.59e-05,
68,9.75e-05,
69,9.63e-05,
70,9.6e-05,
71,6.35e-05,
72,6.29e-05,
73,9.63e-05,
74,6.49e-05,
75,9.56e-05,
76,9.64e-05,
77,9.66e-05,
78,9.77e-05,
79,9.62e-05,
80,9.52e-05,
81,9.61e-05,
82,9.59e-05,
83,0.0001117,
84,0.0003027,
85,6.55e-05,
86,9.88e-05,
87,9.67e-05,
88,9.85e-05,
89,6.88e-05,
90,9.62e-05,
91,8.53e-05,
92,9.84e-05,
93,9.54e-05,
94,6.46e-05,
95,6.45e-05,
96,9.63e-05,
97,9.76e-05,
98,9.72e-05,
99,9.61e-05,
100,6.41e-05,
101,9.68e-05,
102,9.76e-05,
