frame,time
0,0.0016764,
1,0.0002755,
2,0.0003356,
3,0.0003078,
4,9.99e-05,
5,7.34e-05,
6,0.0002502,
7,9.41e-05,
8,9.75e-05,
9,9.94e-05,
10,9.17e-05,
11,0.0007252,
12,9.06e-05,
13,9.23e-05,
14,9.45e-05,
15,0.0001,
16,0.0008194,
17,6.82e-05,
18,0.0001012,
19,9.57e-05,
20,9.46e-05,
21,5.32e-05,
22,0.0003196,
23,0.000101,
24,9.19e-05,
25,7.01e-05,
26,6.17e-05,
27,5.13e-05,
28,4.61e-05,
29,9.05e-05,
30,7.34e-05,
31,9.02e-05,
32,4.84e-05,
33,8.93e-05,
34,4.54e-05,
35,4.34e-05,
36,4.01e-05,
37,4e-05,
38,9.04e-05,
39,5.85e-05,
40,0.0001283,
41,5.91e-05,
42,4.75e-05,
43,9.76e-05,
44,4.47e-05,
45,8.95e-05,
46,4.54e-05,
47,9.17e-05,
48,7.85e-05,
49,4.67e-05,
50,7.72e-05,
51,9e-05,
52,9e-05,
53,4.43e-05,
54,8.91e-05,
55,4.51e-05,
56,9e-05,
57,4.54e-05,
58,9e-05,
59,4.54e-05,
60,9.13e-05,
61,5.39e-05,
62,5.28e-05,
63,4.42e-05,
64,4.4e-05,
65,4.82e-05,
66,4.64e-05,
67,4.66e-05,
68,9.08e-05,
69,9.3e-05,
70,4.74e-05,
71,4.49e-05,
72,0.0001056,
73,9.02e-05,
74,4.73e-05,
75,9.16e-05,
76,4.51e-05,
77,8.85e-05,
78,9.15e-05,
79,4.73e-05,
80,8.04e-05,
81,9.63e-05,
82,5.07e-05,
83,7.8e-05,
84,9.1e-05,
85,4.73e-05,
86,7.83e-05,
87,9.05e-05,
88,5.05e-05,
89,8.92e-05,
90,9.7e-05,
91,8.33e-05,
92,9.99e-05,
93,4.77e-05,
94,4.6e-05,
95,5.25e-05,
96,0.0001011,
97,4.54e-05,
98,4.57e-05,
99,4.44e-05,
100,5.25e-05,
101,4.39e-05,
102,4.18e-05,
103,9.05e-05,
104,4.52e-05,
105,4.53e-05,
106,4.28e-05,
107,9.04e-05,
108,4.4e-05,
109,4.47e-05,
110,4.27e-05,
111,9e-05,
112,4.54e-05,
113,4.57e-05,
114,7.42e-05,
115,9.21e-05,
116,8.46e-05,
117,7.64e-05,
118,5.08e-05,
119,9.11e-05,
120,9.2e-05,
121,8.23e-05,
122,9.03e-05,
123,4.66e-05,
124,9.14e-05,
125,9.26e-05,
126,5.22e-05,
127,9.44e-05,
128,9.14e-05,
129,4.77e-05,
130,8.74e-05,
131,9.14e-05,
132,5.05e-05,
133,7.71e-05,
134,9.6e-05,
135,5.31e-05,
136,7.56e-05,
137,8.98e-05,
138,4.87e-05,
139,5.43e-05,
140,4.87e-05,
141,4.4e-05,
142,4.9e-05,
143,4.86e-05,
144,5.2e-05,
145,9.15e-05,
146,9.24e-05,
147,5.2e-05,
148,4.7e-05,
149,4.26e-05,
150,4.05e-05,
151,3.99e-05,
152,4.11e-05,
153,4.55e-05,
154,4.03e-05,
155,4.04e-05,
156,7.37e-05,
157,9.16e-05,
158,9.79e-05,
159,9.34e-05,
160,9.21e-05,
161,6.77e-05,
162,9.11e-05,
163,8.34e-05,
164,4.75e-05,
165,4.45e-05,
166,0.0001022,
167,9.3e-05,
168,9.17e-05,
169,8.07e-05,
170,9.17e-05,
171,9.63e-05,
172,5.59e-05,
173,9.96e-05,
174,8.69e-05,
175,9.2e-05,
176,4.37e-05,
177,8.2e-05,
178,8.01e-05,
179,0.0001223,
180,9.04e-05,
181,9.11e-05,
182,8.12e-05,
183,9.05e-05,
184,9.15e-05,
185,9.47e-05,
186,8.61e-05,
187,9.07e-05,
188,9.15e-05,
189,9.03e-05,
190,9.38e-05,
191,0.0001229,
192,9.19e-05,
193,9.02e-05,
194,9.12e-05,
195,9.04e-05,
196,8.37e-05,
197,9.36e-05,
198,9.17e-05,
199,9.26e-05,
200,8.84e-05,
201,9.14e-05,
202,9e-05,
203,9.13e-05,
204,9.14e-05,
205,7.15e-05,
206,8.08e-05,
207,9.21e-05,
208,9.21e-05,
209,9.07e-05,
210,0.0001098,
211,7.24e-05,
212,0.0001024,
213,0.0001085,
214,9.07e-05,
215,0.000103,
216,5.7e-05,
217,9.27e-05,
218,0.000111,
219,6.79e-05,
220,3.91e-05,
221,9.14e-05,
222,9.13e-05,
223,4.24e-05,
224,9.46e-05,
225,9.09e-05,
226,7.87e-05,
227,9.23e-05,
228,9.23e-05,
229,4.43e-05,
230,9.12e-05,
231,9.19e-05,
232,5.33e-05,
233,9.38e-05,
234,0.0001172,
235,7.36e-05,
236,9.16e-05,
237,9.48e-05,
238,9.24e-05,
239,9.1e-05,
240,9.21e-05,
241,7.55e-05,
242,9.09e-05,
243,9.13e-05,
244,4.29e-05,
245,9.26e-05,
246,6.91e-05,
247,7.94e-05,
248,9.1e-05,
249,8.2e-05,
250,9.14e-05,
251,9.27e-05,
252,5.41e-05,
253,9.94e-05,
254,9.8e-05,
255,0.000114,
256,0.0001012,
257,7.09e-05,
258,9.55e-05,
259,9.84e-05,
260,9.18e-05,
261,9.05e-05,
262,8.31e-05,
263,9.36e-05,
264,7.48e-05,
265,5.31e-05,
266,9.19e-05,
267,9.12e-05,
268,9.15e-05,
269,8.38e-05,
270,0.0001043,
271,9.07e-05,
272,9.13e-05,
273,0.0001012,
274,9.12e-05,
275,9.28e-05,
276,0.0001031,
277,7.49e-05,
278,9.21e-05,
279,9.09e-05,
280,6.58e-05,
281,6.07e-05,
282,9.87e-05,
283,9.13e-05,
284,9.46e-05,
285,9.92e-05,
286,4.33e-05,
287,7.59e-05,
288,9.38e-05,
289,9.4e-05,
290,9.15e-05,
291,4.25e-05,
292,4.46e-05,
293,0.0001,
294,0.0001045,
295,9.27e-05,
296,7.99e-05,
297,0.0001055,
298,6.23e-05,
299,4.12e-05,
300,9.21e-05,
301,7.2e-05,
302,9.15e-05,
303,6.1e-05,
304,0.0001009,
305,9.25e-05,
306,6.85e-05,
307,9.86e-05,
308,0.000116,
309,8.28e-05,
310,4.38e-05,
311,9.93e-05,
312,0.000102,
313,7.57e-05,
314,7.7e-05,
315,9.81e-05,
316,8.03e-05,
317,9.09e-05,
318,9.15e-05,
319,7.25e-05,
320,9.17e-05,
321,8.54e-05,
322,9.78e-05,
323,9.11e-05,
324,9.19e-05,
325,4.29e-05,
326,3.8e-05,
327,0.0001003,
328,0.0001051,
329,9.21e-05,
330,5e-05,
331,9.28e-05,
332,9.13e-05,
333,9.12e-05,
334,9.14e-05,
335,9.21e-05,
336,7.18e-05,
337,9.13e-05,
338,4.4e-05,
339,0.0001002,
340,0.000102,
341,9.91e-05,
342,8.72e-05,
343,9.26e-05,
344,0.0001011,
345,9.1e-05,
346,9.03e-05,
347,9.52e-05,
348,9.08e-05,
