frame,time
0,0.0015971,
1,0.000266,
2,0.0003386,
3,0.0001187,
4,0.0002958,
5,8.85e-05,
6,9.82e-05,
7,9.77e-05,
8,9.81e-05,
9,9.81e-05,
10,9.77e-05,
11,9.83e-05,
12,9.75e-05,
13,9.82e-05,
14,8.67e-05,
15,9.71e-05,
16,6.47e-05,
17,0.0001027,
18,9.83e-05,
19,9.76e-05,
20,9.88e-05,
21,9.95e-05,
22,9.88e-05,
23,6.16e-05,
24,9.71e-05,
25,8.8e-05,
26,9.85e-05,
27,9.6e-05,
28,9.69e-05,
29,0.0001016,
30,0.000103,
31,9.82e-05,
32,6.77e-05,
33,6.18e-05,
34,9.87e-05,
35,9.84e-05,
36,9.8e-05,
37,9.67e-05,
38,9.73e-05,
39,9.8e-05,
40,6.46e-05,
41,9.6e-05,
42,9.87e-05,
43,6.17e-05,
44,6.56e-05,
45,9.56e-05,
46,9.89e-05,
47,6.37e-05,
48,9.82e-05,
49,9.78e-05,
50,6.05e-05,
51,5.31e-05,
52,9.9e-05,
53,6.2e-05,
54,4.84e-05,
55,6.17e-05,
56,9.83e-05,
57,9.87e-05,
58,9.7e-05,
59,9.71e-05,
60,6.15e-05,
61,5.4e-05,
62,0.000101,
63,9.64e-05,
64,7.26e-05,
65,0.0001007,
66,0.0002781,
67,9.64e-05,
68,5.93e-05,
69,9.69e-05,
70,6.17e-05,
71,9.79e-05,
72,9.57e-05,
73,9.59e-05,
74,6.49e-05,
75,9.83e-05,
76,6.59e-05,
77,9.81e-05,
78,9.68e-05,
79,8.27e-05,
80,6.42e-05,
81,6.65e-05,
82,5.36e-05,
83,5.09e-05,
84,9.93e-05,
85,9.67e-05,
86,9.82e-05,
87,9.54e-05,
88,9.71e-05,
89,9.67e-05,
90,9.83e-05,
91,9.76e-05,
92,9.74e-05,
93,9.66e-05,
94,6.34e-05,
95,9.74e-05,
96,9.62e-05,
97,9.65e-05,
98,6.02e-05,
99,5.67e-05,
100,0.0001005,
101,9.93e-05,
102,0.0001738,
103,9.16e-05,
104,0.0001215,
105,0.0001032,
106,9.78e-05,
107,9.7e-05,
108,6.25e-05,
109,9.86e-05,
110,9.72e-05,
111,5.34e-05,
112,9.52e-05,
113,9.78e-05,
114,6.18e-05,
115,0.0001072,
116,9.71e-05,
117,5.99e-05,
118,9.88e-05,
119,5.94e-05,
120,6.37e-05,
121,9.66e-05,
122,0.0001193,
123,9.77e-05,
124,5.07e-05,
125,5.53e-05,
126,5.83e-05,
127,0.0001004,
128,9.84e-05,
129,8.81e-05,
130,9.78e-05,
131,5.96e-05,
132,9.8e-05,
133,9.63e-05,
134,6.15e-05,
135,5.84e-05,
136,0.0001046,
137,9.73e-05,
138,9.75e-05,
139,9.3e-05,
140,8.38e-05,
141,7.84e-05,
142,6.43e-05,
143,4.95e-05,
144,5.96e-05,
145,5.93e-05,
146,0.0001037,
147,6.6e-05,
148,5.94e-05,
149,9.95e-05,
150,9.9e-05,
151,6.46e-05,
152,9.95e-05,
153,9.7e-05,
154,9.77e-05,
155,6.34e-05,
156,9.75e-05,
157,6.07e-05,
158,5.88e-05,
159,0.0001025,
160,6.32e-05,
161,5.22e-05,
162,9.9e-05,
163,8.93e-05,
164,9.95e-05,
165,9.74e-05,
166,6.72e-05,
167,9.67e-05,
168,9.74e-05,
169,6.16e-05,
170,8.77e-05,
171,9.73e-05,
172,9.83e-05,
173,9.62e-05,
174,9.77e-05,
175,6.04e-05,
176,8.27e-05,
177,9.95e-05,
178,9.7e-05,
179,6.46e-05,
180,9.67e-05,
181,9.75e-05,
182,9.66e-05,
183,6.06e-05,
184,5.71e-05,
185,5.74e-05,
186,0.0001052,
187,9.79e-05,
188,0.0001194,
189,9.82e-05,
190,9.77e-05,
191,9.72e-05,
192,6.29e-05,
193,9.75e-05,
194,5.95e-05,
195,8.84e-05,
196,6.51e-05,
197,8.85e-05,
198,6.25e-05,
199,5.64e-05,
200,9.93e-05,
201,9.77e-05,
202,7.02e-05,
203,9.7e-05,
204,6.34e-05,
205,9.88e-05,
206,9.79e-05,
207,5.99e-05,
208,9.76e-05,
209,9.86e-05,
210,5.25e-05,
211,9.71e-05,
212,6.37e-05,
213,6.75e-05,
214,8.36e-05,
215,9.65e-05,
216,9.84e-05,
217,9.77e-05,
218,6.2e-05,
219,9.57e-05,
220,6.39e-05,
221,8.4e-05,
222,9.8e-05,
223,5.28e-05,
224,9.83e-05,
225,9.76e-05,
226,6.45e-05,
227,9.73e-05,
228,9.84e-05,
229,7.01e-05,
230,9.86e-05,
231,6.19e-05,
232,9.88e-05,
233,9.85e-05,
234,9.82e-05,
235,6.4e-05,
236,9.76e-05,
237,7.15e-05,
238,5.3e-05,
239,9.98e-05,
240,9.82e-05,
241,9.91e-05,
242,0.0001023,
243,6.83e-05,
244,9.75e-05,
245,6.56e-05,
246,9.75e-05,
247,9.62e-05,
248,0.0001004,
249,9.67e-05,
250,9.28e-05,
251,9.42e-05,
252,6.07e-05,
253,0.0001081,
254,0.0003062,
255,9.82e-05,
256,8.68e-05,
257,6.17e-05,
258,9.69e-05,
259,9.68e-05,
260,9.71e-05,
261,9.6e-05,
262,9.64e-05,
263,9.67e-05,
264,9.78e-05,
265,9.64e-05,
266,9.65e-05,
267,6.31e-05,
268,9.85e-05,
269,9.89e-05,
270,9.77e-05,
271,0.000105,
272,0.0001007,
273,7.75e-05,
274,0.0001,
275,9.7e-05,
276,7.36e-05,
277,6.13e-05,
278,9.86e-05,
279,9.83e-05,
280,0.0001033,
281,9.73e-05,
282,8.66e-05,
283,7.97e-05,
284,9.55e-05,
285,9.33e-05,
286,0.0001149,
287,9.34e-05,
288,9.76e-05,
289,9.7e-05,
290,9.88e-05,
291,9.83e-05,
292,9.5e-05,
293,6.29e-05,
294,6.19e-05,
295,9.7e-05,
296,9.69e-05,
297,9.6e-05,
298,9.74e-05,
299,9.76e-05,
300,6.6e-05,
301,9.8e-05,
302,9.79e-05,
303,9.65e-05,
304,9.78e-05,
305,9.71e-05,
306,6.27e-05,
307,8.68e-05,
308,6.61e-05,
309,9.86e-05,
310,7.93e-05,
311,9.72e-05,
312,9.79e-05,
313,9.57e-05,
314,9.68e-05,
315,8.69e-05,
316,5.94e-05,
317,0.0001052,
318,0.0001046,
319,9.53e-05,
320,6.1e-05,
321,9.36e-05,
322,0.0001053,
323,5.32e-05,
324,9.77e-05,
325,7.45e-05,
326,9.79e-05,
327,8.45e-05,
328,0.000104,
329,9.74e-05,
330,6.51e-05,
331,9.79e-05,
332,9.41e-05,
333,9.75e-05,
334,9.08e-05,
335,8.22e-05,
336,9.7e-05,
337,8.81e-05,
338,6.2e-05,
339,7.38e-05,
340,9.74e-05,
341,6.99e-05,
342,4.34e-05,
343,5.42e-05,
344,8.93e-05,
345,6.24e-05,
346,9.87e-05,
347,9.81e-05,
348,9.81e-05,
349,6.83e-05,
350,6.31e-05,
351,9.66e-05,
352,5.59e-05,
353,9.84e-05,
354,9.42e-05,
355,5.95e-05,
356,9.33e-05,
357,9.37e-05,
358,9.44e-05,
359,9.95e-05,
360,9.79e-05,
361,9.7e-05,
362,9.74e-05,
363,9.81e-05,
364,9.38e-05,
365,6.06e-05,
366,9.9e-05,
367,6.66e-05,
368,9.66e-05,
369,5.63e-05,
370,9.69e-05,
371,9.65e-05,
372,9.84e-05,
373,9.68e-05,
374,8.49e-05,
375,9.78e-05,
376,0.000101,
377,5.39e-05,
378,9.81e-05,
379,9.8e-05,
380,9.9e-05,
381,9.88e-05,
382,7.26e-05,
383,8.51e-05,
384,6.59e-05,
385,0.0001009,
386,9.79e-05,
387,5.59e-05,
388,9.53e-05,
389,9.4e-05,
390,8.56e-05,
391,0.0001011,
392,0.0001175,
393,0.0001781,
394,9.79e-05,
395,9.79e-05,
396,9.89e-05,
397,9.67e-05,
398,9.85e-05,
399,9.67e-05,
400,9.79e-05,
401,9.85e-05,
402,7.78e-05,
403,9.78e-05,
404,6.97e-05,
405,6.07e-05,
406,9.82e-05,
407,9.96e-05,
408,6.41e-05,
409,6.29e-05,
410,9.91e-05,
411,9.78e-05,
412,9.77e-05,
413,9.66e-05,
414,9.78e-05,
415,5.16e-05,
416,9.74e-05,
417,9.46e-05,
418,9.31e-05,
419,9.76e-05,
420,8.41e-05,
421,9.49e-05,
422,9.49e-05,
423,7.17e-05,
424,9.81e-05,
425,9.77e-05,
426,9.64e-05,
427,0.0001061,
428,7.74e-05,
429,9.78e-05,
430,9.7e-05,
431,9.67e-05,
432,9.85e-05,
433,9.63e-05,
434,8.51e-05,
435,7.7e-05,
436,9.86e-05,
437,6.81e-05,
438,9.84e-05,
439,9.19e-05,
440,9.75e-05,
441,9.73e-05,
442,9.6e-05,
443,9.88e-05,
444,9.69e-05,
445,8.96e-05,
446,9.7e-05,
447,9.69e-05,
448,6.28e-05,
449,9.69e-05,
450,9.58e-05,
451,9.2e-05,
452,9.36e-05,
453,5.95e-05,
454,8.86e-05,
455,0.0001015,
456,9.71e-05,
457,9.53e-05,
458,6.31e-05,
459,9.73e-05,
460,6.38e-05,
461,9.7e-05,
462,9.72e-05,
463,0.0001027,
464,9.79e-05,
465,0.0001004,
466,9.74e-05,
467,9.78e-05,
468,6.07e-05,
469,9.6e-05,
470,9.69e-05,
471,9.78e-05,
472,6.42e-05,
473,5.85e-05,
474,9.72e-05,
475,9.63e-05,
476,6.51e-05,
477,5.74e-05,
478,9.74e-05,
479,9.67e-05,
480,5.33e-05,
481,9.6e-05,
482,6.29e-05,
483,9.9e-05,
484,9.94e-05,
485,9.62e-05,
486,9.51e-05,
487,6.06e-05,
488,0.0001025,
489,9.41e-05,
490,0.0001219,
491,6.84e-05,
492,6.01e-05,
493,9.82e-05,
494,9.96e-05,
495,8.83e-05,
496,9.65e-05,
497,9.67e-05,
498,9.87e-05,
499,6.37e-05,
500,9.81e-05,
501,6.53e-05,
502,9.73e-05,
503,9.84e-05,
504,9.76e-05,
505,9.69e-05,
506,9.84e-05,
507,9.74e-05,
508,9.79e-05,
509,9.72e-05,
510,9.81e-05,
511,9.85e-05,
512,9.7e-05,
513,9.78e-05,
514,9.86e-05,
515,6.3e-05,
516,9.93e-05,
517,6.76e-05,
518,9.21e-05,
519,9.5e-05,
520,9.38e-05,
521,9.41e-05,
522,9.41e-05,
523,9.69e-05,
524,9.81e-05,
525,9.72e-05,
526,6.34e-05,
527,9.92e-05,
528,9.72e-05,
529,9.74e-05,
530,9.74e-05,
531,9.75e-05,
532,9.74e-05,
533,9.72e-05,
534,9.78e-05,
535,8.59e-05,
536,5.46e-05,
537,9.86e-05,
538,9.76e-05,
539,8.71e-05,
540,6.15e-05,
541,9.64e-05,
542,9.8e-05,
543,9.78e-05,
544,9.63e-05,
545,6.14e-05,
546,9.66e-05,
547,0.0001012,
548,8.1e-05,
549,6.49e-05,
550,9.79e-05,
551,0.0001065,
552,5.15e-05,
553,8.47e-05,
554,5.83e-05,
555,9.65e-05,
556,8.57e-05,
557,0.0001069,
558,6.32e-05,
559,6.49e-05,
560,9.73e-05,
561,9.79e-05,
562,9.75e-05,
563,9.77e-05,
564,9.66e-05,
565,9.61e-05,
566,9.72e-05,
567,8.66e-05,
568,9.97e-05,
569,9.76e-05,
570,9.63e-05,
571,9.81e-05,
572,9.69e-05,
573,9.65e-05,
574,9.56e-05,
575,8.1e-05,
576,9.74e-05,
577,6.26e-05,
578,5.99e-05,
579,9.74e-05,
580,8.81e-05,
581,9.86e-05,
582,9.71e-05,
583,9.76e-05,
