frame,time
0,4.25e-05,
1,8.72e-05,
2,2.5e-05,
3,2.23e-05,
4,3.74e-05,
5,4.27e-05,
6,2.87e-05,
7,3.7e-05,
8,2.57e-05,
9,2.6e-05,
10,9.1e-06,
11,2.94e-05,
12,1.14e-05,
13,2.03e-05,
14,4.35e-05,
15,1.77e-05,
16,1.04e-05,
17,2.6e-05,
18,1.18e-05,
19,3.44e-05,
20,3.49e-05,
21,1.79e-05,
22,3.28e-05,
23,1.05e-05,
24,2.22e-05,
25,1.21e-05,
26,1.95e-05,
27,1.46e-05,
28,1.89e-05,
29,4.66e-05,
30,1.14e-05,
31,1.77e-05,
32,1.19e-05,
33,8.14e-05,
34,2.4e-05,
35,1.47e-05,
36,1.07e-05,
37,1.17e-05,
38,1.49e-05,
39,3.17e-05,
40,2.2e-05,
41,2.81e-05,
42,1.7e-05,
43,1.07e-05,
44,2.68e-05,
45,1.04e-05,
46,1.06e-05,
47,3.02e-05,
48,1.19e-05,
49,1.97e-05,
50,9.9e-06,
51,8.7e-06,
52,1.07e-05,
53,1.1e-05,
54,1.09e-05,
55,1.19e-05,
56,8.5e-06,
57,8.2e-06,
58,2.37e-05,
59,1.17e-05,
60,2.63e-05,
61,8.8e-06,
62,2.96e-05,
63,1.11e-05,
64,1.55e-05,
65,8.1e-06,
66,8e-06,
67,3.13e-05,
68,1.53e-05,
69,1.61e-05,
70,1.82e-05,
71,1.03e-05,
72,8.4e-06,
73,2.58e-05,
74,1.54e-05,
75,1.07e-05,
76,1.12e-05,
77,1.07e-05,
78,1.57e-05,
79,1.48e-05,
80,1.06e-05,
81,2.21e-05,
82,2.12e-05,
83,1.23e-05,
84,1.07e-05,
85,9.6e-06,
86,2.24e-05,
87,1.16e-05,
88,1.66e-05,
89,9e-06,
90,1.06e-05,
91,1.13e-05,
92,1.11e-05,
93,1.07e-05,
94,8.5e-06,
95,7.7e-06,
96,1.88e-05,
97,2.42e-05,
98,2.35e-05,
99,1.07e-05,
100,9.2e-06,
101,1.1e-05,
102,1.13e-05,
103,1.53e-05,
104,1.4e-05,
105,1.94e-05,
106,1.95e-05,
107,1.11e-05,
108,1.08e-05,
109,2.32e-05,
110,9.1e-06,
111,1.18e-05,
112,1.13e-05,
113,1.08e-05,
114,1.09e-05,
115,1.09e-05,
116,1.19e-05,
117,9.6e-06,
118,1.13e-05,
119,1.13e-05,
120,1.08e-05,
121,1.11e-05,
122,1.17e-05,
123,1.1e-05,
124,8.2e-06,
125,3.05e-05,
126,9.2e-06,
127,1.11e-05,
128,8.9e-06,
129,1.18e-05,
130,1.09e-05,
131,2.59e-05,
132,1.04e-05,
133,1.18e-05,
134,9.5e-06,
135,2.9e-05,
136,1.09e-05,
137,1.07e-05,
138,1.12e-05,
139,1.14e-05,
140,1.47e-05,
141,1.91e-05,
142,2.94e-05,
143,1.1e-05,
144,1.08e-05,
145,1.14e-05,
146,1.07e-05,
147,1.31e-05,
148,1.46e-05,
149,1.13e-05,
150,1.11e-05,
151,2.71e-05,
152,1.21e-05,
153,1.17e-05,
154,2.16e-05,
155,1.12e-05,
156,1.2e-05,
157,1.12e-05,
158,1.07e-05,
159,1.09e-05,
160,1e-05,
161,1.12e-05,
162,9.3e-06,
163,1.14e-05,
164,8.7e-06,
165,2.19e-05,
166,1.21e-05,
167,1.13e-05,
168,9.6e-06,
169,9.8e-06,
170,2.43e-05,
171,1.2e-05,
172,1.11e-05,
173,1.72e-05,
174,1.06e-05,
175,9.5e-06,
176,1.16e-05,
177,1.22e-05,
178,1.17e-05,
179,1.2e-05,
180,1.12e-05,
181,1.1e-05,
182,3.91e-05,
183,1.03e-05,
184,1.08e-05,
185,8.8e-06,
186,1.35e-05,
187,1.08e-05,
188,1.09e-05,
189,1.83e-05,
190,1.97e-05,
191,1.15e-05,
192,1.5e-05,
193,9.8e-06,
194,1.16e-05,
195,1.57e-05,
196,1.18e-05,
197,3.1e-05,
198,1.4e-05,
199,1.15e-05,
200,8.4e-06,
201,4.94e-05,
202,1.18e-05,
203,1.44e-05,
204,1.75e-05,
205,1.84e-05,
206,1.11e-05,
207,1.13e-05,
208,1.65e-05,
209,9e-06,
210,8.1e-06,
211,1.87e-05,
212,2.53e-05,
213,8.1e-06,
214,1.06e-05,
215,1.45e-05,
216,1.17e-05,
217,1.52e-05,
218,1.15e-05,
219,1.42e-05,
220,1.12e-05,
221,1.59e-05,
222,1.06e-05,
223,1.42e-05,
224,1.13e-05,
225,2.41e-05,
226,2.3e-05,
227,1.06e-05,
228,2.64e-05,
229,1.07e-05,
230,8.5e-06,
231,1.07e-05,
232,1.21e-05,
233,1.17e-05,
