frame,time
0,4.62e-05,
1,4.03e-05,
2,1.31e-05,
3,3.25e-05,
4,1.25e-05,
5,2.28e-05,
6,1.61e-05,
7,2.4e-05,
8,1.17e-05,
9,1.88e-05,
10,1.92e-05,
11,1.37e-05,
12,1.21e-05,
13,2.38e-05,
14,1.14e-05,
15,2.42e-05,
16,1.1e-05,
17,1.42e-05,
18,1.19e-05,
19,1.15e-05,
20,1.12e-05,
21,9.4e-06,
22,1.17e-05,
23,2.15e-05,
24,1.24e-05,
25,9.9e-06,
26,8.8e-06,
27,8.7e-06,
28,9.2e-06,
29,1.16e-05,
30,1.13e-05,
31,1.15e-05,
32,8.9e-06,
33,1.16e-05,
34,8.4e-06,
35,8.3e-06,
36,7.8e-06,
37,7.9e-06,
38,1.22e-05,
39,7.8e-06,
40,1.27e-05,
41,8.8e-06,
42,8.6e-06,
43,1.16e-05,
44,8.2e-06,
45,1.14e-05,
46,7.7e-06,
47,1.19e-05,
48,1.53e-05,
49,8.4e-06,
50,1.27e-05,
51,1.13e-05,
52,1.13e-05,
53,7.6e-06,
54,1.13e-05,
55,8.3e-06,
56,1.17e-05,
57,7.9e-06,
58,1.21e-05,
59,8.5e-06,
60,1.11e-05,
61,8.5e-06,
62,8e-06,
63,9.2e-06,
64,7.7e-06,
65,7.6e-06,
66,7.8e-06,
67,7.7e-06,
68,1.13e-05,
69,1.56e-05,
70,8.5e-06,
71,7.6e-06,
72,1.29e-05,
73,1.74e-05,
74,8.4e-06,
75,1.16e-05,
76,7.9e-06,
77,1.22e-05,
78,1.11e-05,
79,8.5e-06,
80,1.19e-05,
81,1.11e-05,
82,9.1e-06,
83,1.14e-05,
84,1.11e-05,
85,9.5e-06,
86,1.14e-05,
87,1.22e-05,
88,8.4e-06,
89,1.21e-05,
90,1.27e-05,
91,1.24e-05,
92,1.11e-05,
93,9.2e-06,
94,8.3e-06,
95,7.7e-06,
96,1.17e-05,
97,8.3e-06,
98,8.7e-06,
99,7.6e-06,
100,8.2e-06,
101,7.6e-06,
102,8.3e-06,
103,1.15e-05,
104,8.4e-06,
105,8.1e-06,
106,9e-06,
107,1.16e-05,
108,7.8e-06,
109,7.9e-06,
110,8.5e-06,
111,1.12e-05,
112,7.8e-06,
113,8.6e-06,
114,1.17e-05,
115,1.15e-05,
116,1.2e-05,
117,1.05e-05,
118,9e-06,
119,1.23e-05,
120,1.14e-05,
121,1.16e-05,
122,1.23e-05,
123,9e-06,
124,1.21e-05,
125,1.09e-05,
126,8.5e-06,
127,1.24e-05,
128,1.12e-05,
129,8.6e-06,
130,1.13e-05,
131,1.1e-05,
132,9.2e-06,
133,1.18e-05,
134,1.1e-05,
135,9.9e-06,
136,1.15e-05,
137,1.22e-05,
138,8.7e-06,
139,8.6e-06,
140,7.7e-06,
141,7.6e-06,
142,8.4e-06,
143,8.3e-06,
144,7.6e-06,
