frame,time
0,3.05e-05,
1,4.06e-05,
2,1.56e-05,
3,7.03e-05,
4,2.41e-05,
5,1.46e-05,
6,1.19e-05,
7,1.6e-05,
8,2.15e-05,
9,8e-06,
10,3.45e-05,
11,1.23e-05,
12,1.18e-05,
13,1.09e-05,
14,1.89e-05,
15,1.69e-05,
16,2.76e-05,
17,3.96e-05,
18,2.32e-05,
19,1.61e-05,
20,1.13e-05,
21,2.35e-05,
22,1.38e-05,
23,8.7e-06,
24,1.14e-05,
25,1.09e-05,
26,2.17e-05,
27,1.09e-05,
28,1.19e-05,
29,1.14e-05,
30,1.71e-05,
31,1.14e-05,
32,9.7e-06,
33,8.9e-06,
34,1.97e-05,
35,1.09e-05,
36,1.13e-05,
37,1.13e-05,
38,1.19e-05,
39,1.22e-05,
40,9.3e-06,
41,1.49e-05,
42,1.12e-05,
43,8.6e-06,
44,8.6e-06,
45,1.14e-05,
46,1.22e-05,
47,8.7e-06,
48,1.59e-05,
49,1.14e-05,
50,8.9e-06,
51,1.14e-05,
52,1.13e-05,
53,9.4e-06,
54,8.6e-06,
55,8.3e-06,
56,1.16e-05,
57,1.11e-05,
58,1.38e-05,
59,1.17e-05,
60,8.4e-06,
61,9.2e-06,
62,1.15e-05,
63,1.12e-05,
64,8.4e-06,
65,1.11e-05,
66,1.51e-05,
67,1.13e-05,
68,8.6e-06,
69,1.17e-05,
70,1.21e-05,
71,1.14e-05,
72,1.11e-05,
73,1.48e-05,
74,9e-06,
75,1.16e-05,
76,8.3e-06,
77,1.08e-05,
78,1.11e-05,
79,1.11e-05,
80,8.6e-06,
81,7.6e-06,
82,7.8e-06,
83,7.3e-06,
84,1.09e-05,
85,1.15e-05,
86,1.14e-05,
87,8.8e-06,
88,1.09e-05,
89,1.07e-05,
90,1.15e-05,
91,1.17e-05,
92,1.09e-05,
93,1.08e-05,
94,8.5e-06,
95,1.07e-05,
96,1.44e-05,
97,1.16e-05,
98,7.9e-06,
99,7.7e-06,
