frame,time
0,1.42607,
1,0.0035998,
2,0.0011725,
3,0.0012361,
4,0.0005852,
5,0.0006964,
6,0.0005671,
7,0.0004769,
8,0.0004765,
9,0.0004381,
10,0.0007255,
11,0.0005433,
12,0.0004809,
13,0.0004599,
14,0.0004403,
15,0.0010456,
16,0.0009757,
17,0.000451,
18,0.0009732,
19,0.0004539,
20,0.000471,
21,0.0004407,
22,0.0005027,
23,0.0004636,
24,0.0004728,
25,0.0005173,
26,0.0004434,
27,0.001044,
28,0.0004705,
29,0.000488,
30,0.0004616,
31,0.0004962,
32,0.000452,
33,0.0004609,
34,0.0003875,
35,0.0006607,
36,0.0004527,
37,0.0004404,
38,0.0004435,
39,0.0003774,
40,0.0003781,
41,0.0004343,
42,0.0004553,
43,0.0010162,
44,0.0004356,
45,0.0003702,
46,0.0004281,
47,0.0004175,
48,0.0005462,
49,0.0008891,
50,0.0005042,
51,0.0004597,
52,0.0005312,
53,0.0004765,
54,0.0005164,
55,0.0005148,
56,0.0004656,
57,0.000915,
58,0.0003822,
59,0.0003555,
60,0.0004268,
61,0.000429,
62,0.0004974,
63,0.0004475,
64,0.00079,
65,0.0003664,
66,0.0003626,
67,0.0005468,
68,0.0004736,
69,0.0005172,
70,0.0004918,
71,0.0004934,
72,0.0004925,
73,0.0005028,
74,0.0004924,
75,0.0005848,
76,0.0004397,
77,0.0004395,
78,0.0005124,
79,0.0004736,
80,0.0005271,
81,0.0006635,
82,0.0010706,
83,0.0004953,
84,0.0004997,
85,0.000499,
86,0.0004998,
87,0.0005178,
88,0.0005069,
89,0.0004302,
90,0.0005482,
91,0.0004966,
92,0.0004999,
93,0.0004956,
94,0.0004924,
95,0.0004974,
96,0.0004928,
97,0.0005035,
98,0.0004906,
99,0.0004974,
100,0.0004972,
101,0.0004958,
102,0.0004942,
103,0.0004951,
104,0.0004975,
105,0.0004855,
106,0.0004957,
107,0.0004906,
108,0.0005085,
109,0.0004286,
110,0.0005324,
111,0.0005318,
112,0.0004997,
113,0.0004488,
114,0.0008709,
115,0.0004517,
116,0.0005324,
117,0.0004924,
118,0.0004998,
119,0.0005016,
120,0.0004944,
121,0.0005021,
122,0.0004951,
123,0.0004977,
124,0.0005884,
125,0.0004215,
126,0.0004743,
127,0.0005029,
128,0.0004937,
129,0.0004915,
130,0.0004923,
131,0.000498,
132,0.0004948,
133,0.0004991,
134,0.0005349,
135,0.0004347,
136,0.0004971,
137,0.0004912,
138,0.0005254,
139,0.0004969,
140,0.0005042,
141,0.0004938,
142,0.0005054,
143,0.0004993,
144,0.0005138,
145,0.0004993,
146,0.0009524,
