frame,time
1,0.00299,
2,0.0026508,
3,0.0017067,
4,0.0006324,
5,0.0008201,
6,0.0013161,
7,0.0007579,
8,0.0013504,
9,0.0010785,
10,0.0006373,
11,0.0007587,
12,0.000674,
13,0.0005881,
14,0.0005735,
15,0.0011145,
16,0.0005492,
17,0.0008294,
18,0.001182,
19,0.0006735,
20,0.0009301,
21,0.0008654,
22,0.0006002,
23,0.0008134,
24,0.0008054,
25,0.000902,
26,0.0008123,
27,0.0012727,
28,0.0012693,
29,0.0006647,
30,0.0008389,
31,0.000834,
32,0.0008366,
33,0.0008353,
34,0.0008041,
35,0.0009634,
36,0.000674,
37,0.0009921,
38,0.0007158,
39,0.0008094,
40,0.0008885,
41,0.0008258,
42,0.0008192,
43,0.0008535,
44,0.0008311,
45,0.0007922,
46,0.0014842,
47,0.0009938,
48,0.0009522,
49,0.0006773,
50,0.0007877,
51,0.0008472,
52,0.0007984,
53,0.0008158,
54,0.0009013,
55,0.0008381,
56,0.0007746,
57,0.0008164,
58,0.0008692,
59,0.0008551,
60,0.000791,
61,0.0008292,
62,0.0008631,
63,0.0010244,
64,0.0006982,
65,0.0010922,
66,0.0015024,
67,0.0007942,
68,0.0008281,
69,0.0010311,
70,0.0007064,
71,0.0008389,
72,0.0008511,
73,0.0008344,
74,0.0008511,
75,0.0008346,
76,0.0008251,
77,0.0008331,
78,0.000839,
79,0.0007913,
80,0.000838,
81,0.0008856,
82,0.000842,
83,0.0008294,
84,0.0013039,
85,0.0011301,
86,0.0007988,
87,0.0009739,
88,0.0006832,
89,0.0008829,
90,0.0008223,
91,0.0007844,
92,0.0008763,
93,0.0008587,
94,0.0007795,
95,0.0008908,
96,0.0008616,
97,0.0008188,
98,0.0007845,
99,0.0008253,
100,0.0008732,
101,0.0008728,
102,0.000798,
103,0.0013064,
104,0.0011448,
105,0.0008393,
106,0.0007822,
107,0.0009156,
108,0.000816,
109,0.0007888,
110,0.0008508,
111,0.0008653,
112,0.0008571,
113,0.0007903,
114,0.000843,
115,0.0008275,
116,0.0007974,
117,0.0007697,
118,0.0008078,
119,0.0008289,
120,0.000871,
121,0.0009932,
122,0.0007588,
123,0.0011591,
124,0.0008588,
125,0.0006803,
126,0.0008423,
127,0.0007829,
128,0.0008062,
129,0.0007504,
130,0.00084,
131,0.0007923,
132,0.0008093,
133,0.0007888,
134,0.0010028,
135,0.00069,
136,0.0007858,
137,0.0007536,
138,0.0008464,
139,0.0008309,
140,0.0007479,
141,0.0007999,
142,0.0010676,
143,0.0012778,
144,0.0007607,
145,0.000796,
146,0.0008485,
147,0.0008324,
148,0.000767,
149,0.0007998,
150,0.0008583,
151,0.0008153,
152,0.0007466,
153,0.0007986,
154,0.0008449,
155,0.0008392,
156,0.0007642,
157,0.0007911,
158,0.0008702,
159,0.0008378,
160,0.0007604,
161,0.0007581,
162,0.0012364,
163,0.0012466,
164,0.0006172,
165,0.0010031,
166,0.0006277,
167,0.0007997,
168,0.0008134,
169,0.000765,
170,0.0008047,
171,0.0008223,
172,0.0008362,
173,0.0008036,
174,0.0008114,
175,0.0007464,
176,0.0009,
177,0.0008843,
178,0.0006557,
179,0.0008547,
180,0.000766,
181,0.0007958,
182,0.0013859,
183,0.0009259,
184,0.0007714,
185,0.000865,
186,0.0008366,
187,0.0007795,
188,0.0008223,
189,0.0007824,
190,0.0007818,
191,0.0010045,
192,0.0006477,
193,0.0009128,
194,0.000866,
195,0.0006774,
196,0.0008393,
197,0.0007556,
198,0.0007617,
199,0.0008282,
200,0.0008338,
201,0.0007918,
202,0.001237,
203,0.0011363,
204,0.0006303,
205,0.0009092,
206,0.0007015,
207,0.0008509,
208,0.0008099,
209,0.0008105,
210,0.0008132,
211,0.0008171,
212,0.0007682,
213,0.0009627,
214,0.0006618,
215,0.0008309,
216,0.0008075,
217,0.0007667,
218,0.0008618,
219,0.0008129,
220,0.0009367,
221,0.0007016,
222,0.0011834,
223,0.001048,
224,0.000762,
225,0.0008452,
226,0.0008288,
227,0.0009401,
228,0.0006663,
229,0.001025,
230,0.0006349,
231,0.000829,
232,0.0007734,
233,0.0007644,
234,0.0009348,
235,0.000694,
236,0.0008454,
237,0.0007602,
238,0.0008069,
239,0.0008497,
240,0.0008301,
241,0.0009861,
242,0.0010644,
243,0.00105,
244,0.0007596,
245,0.0008527,
246,0.0009677,
247,0.0006542,
248,0.0008892,
249,0.0007387,
250,0.0008262,
251,0.0008319,
252,0.0008265,
253,0.0009528,
254,0.000669,
255,0.0008673,
256,0.0007481,
257,0.0007695,
258,0.0010075,
259,0.000639,
260,0.0008573,
261,0.0009709,
262,0.0012122,
263,0.000794,
264,0.0008415,
265,0.0007561,
266,0.0008169,
267,0.0009943,
268,0.0006833,
269,0.0007881,
270,0.0008426,
271,0.0008193,
272,0.0008206,
273,0.0007957,
274,0.0008273,
275,0.0008175,
276,0.0007985,
277,0.0009559,
278,0.0006443,
279,0.0010011,
280,0.0006364,
281,0.0012411,
282,0.0010135,
283,0.0007656,
284,0.0008766,
285,0.0007814,
286,0.0008325,
287,0.0007832,
288,0.000845,
289,0.0008326,
290,0.0007478,
291,0.0008192,
292,0.0008828,
293,0.0009632,
294,0.0006495,
295,0.0008489,
296,0.0008274,
297,0.0008026,
298,0.0008153,
299,0.0007897,
300,0.0008398,
301,0.0011987,
302,0.0010915,
303,0.0008277,
304,0.000812,
305,0.0008061,
306,0.0008173,
307,0.0007762,
308,0.0008563,
309,0.0008093,
310,0.0007656,
311,0.0008749,
312,0.0009609,
313,0.0006397,
314,0.0008461,
315,0.0008188,
316,0.0007987,
317,0.0008242,
318,0.0008271,
319,0.0008129,
320,0.000791,
321,0.0012118,
322,0.0011221,
323,0.0007619,
324,0.000871,
325,0.0007528,
326,0.000873,
327,0.0007935,
328,0.0009731,
329,0.0006434,
330,0.0008281,
331,0.0008738,
332,0.0007934,
333,0.0009104,
334,0.0007364,
335,0.0007933,
336,0.0008361,
337,0.0008273,
338,0.0008032,
339,0.0007787,
340,0.0010082,
341,0.0013302,
342,0.0008109,
343,0.0007898,
344,0.0008736,
345,0.0007979,
346,0.0007611,
347,0.0008835,
348,0.0007599,
349,0.0008482,
350,0.000797,
351,0.0008628,
352,0.0008049,
353,0.0008039,
354,0.000766,
355,0.000875,
356,0.000757,
357,0.0009681,
358,0.0006545,
359,0.000865,
360,0.0011498,
361,0.0009437,
362,0.0008431,
363,0.000729,
364,0.000874,
365,0.0007957,
366,0.0007896,
367,0.0008071,
368,0.0008104,
369,0.0007624,
370,0.0008029,
371,0.0008337,
372,0.0008152,
373,0.0008194,
374,0.0007388,
375,0.0008667,
376,0.0008084,
377,0.0007789,
378,0.0007617,
379,0.0009771,
380,0.0010631,
381,0.0009282,
382,0.000804,
383,0.0008603,
384,0.0008153,
385,0.0008016,
386,0.0007946,
387,0.0008077,
388,0.0009513,
389,0.0006565,
390,0.0008017,
391,0.0008195,
392,0.0007873,
393,0.0008024,
394,0.0008057,
395,0.0007981,
396,0.0007931,
397,0.0008275,
398,0.0007641,
399,0.0008372,
400,0.0009718,
401,0.034205,
402,0.0338069,
403,0.0330733,
404,0.033681,
405,0.0325935,
406,0.0235563,
407,0.0007796,
408,0.0160277,
409,0.0168196,
410,0.0165933,
411,0.0169653,
412,0.0164277,
413,0.0170727,
414,0.0167137,
415,0.0165823,
416,0.0165655,
417,0.0169821,
418,0.0165732,
419,0.0170959,
420,0.0163849,
421,0.016766,
422,0.016795,
423,0.0164879,
424,0.0168847,
425,0.0167644,
426,0.0165026,
427,0.0177159,
428,0.0158353,
429,0.0164317,
430,0.0168911,
431,0.016706,
432,0.0168943,
433,0.0166955,
434,0.0167242,
435,0.0166132,
436,0.0167968,
437,0.01683,
438,0.0166015,
439,0.0166847,
440,0.0167685,
441,0.0167264,
442,0.0165877,
443,0.016704,
444,0.0166598,
445,0.0168333,
446,0.0166617,
447,0.0167107,
448,0.0169538,
449,0.0164194,
450,0.0168067,
451,0.0168857,
452,0.016707,
453,0.0167186,
454,0.0167165,
455,0.0167042,
456,0.0166581,
457,0.0166967,
458,0.0168204,
459,0.0168175,
460,0.0165174,
461,0.0166338,
462,0.0169041,
463,0.0165256,
464,0.0167954,
465,0.0165762,
466,0.0168526,
467,0.0167856,
468,0.0165578,
469,0.0168594,
470,0.0166566,
471,0.0166854,
472,0.0167972,
473,0.0166846,
474,0.0167517,
475,0.016719,
476,0.0166935,
477,0.0167091,
478,0.0166587,
479,0.0168175,
480,0.0166941,
481,0.0165869,
482,0.0167511,
483,0.0167976,
484,0.0167473,
485,0.016597,
486,0.016778,
487,0.0166239,
488,0.0168071,
489,0.0165569,
490,0.0168331,
491,0.0166643,
492,0.0167688,
493,0.0167603,
494,0.0164467,
495,0.016849,
496,0.0168099,
497,0.0167694,
498,0.016596,
499,0.0167962,
500,0.016766,
501,0.0166516,
502,0.0165984,
503,0.016889,
504,0.0166697,
505,0.0167007,
506,0.0167486,
507,0.0165182,
508,0.0168928,
509,0.0166734,
510,0.0166685,
511,0.0166761,
512,0.0166789,
513,0.016803,
514,0.0167243,
515,0.0167197,
516,0.0166361,
517,0.0167225,
