frame,time
0,0.0016181,
1,0.0002727,
2,0.0003368,
3,9.58e-05,
4,0.0003062,
5,0.0001019,
6,9.48e-05,
7,9.68e-05,
8,8.97e-05,
9,9.85e-05,
10,8.06e-05,
11,5.86e-05,
12,9.87e-05,
13,9.64e-05,
14,0.0006551,
15,0.0003435,
16,8.96e-05,
17,5.8e-05,
18,9.58e-05,
19,0.0001018,
20,5.53e-05,
21,9.24e-05,
22,9.73e-05,
23,5.47e-05,
24,9.5e-05,
25,8.12e-05,
26,9.34e-05,
27,8.88e-05,
28,8.82e-05,
29,7.48e-05,
30,0.0001106,
31,0.0001036,
32,9.64e-05,
33,5.35e-05,
34,0.000323,
35,9.25e-05,
36,9.13e-05,
37,9.36e-05,
38,7.2e-05,
39,5.39e-05,
40,9.52e-05,
41,0.0001112,
42,0.0006444,
43,7.56e-05,
44,5.7e-05,
45,9.33e-05,
46,9.34e-05,
47,5.4e-05,
48,0.0002721,
49,7.13e-05,
50,0.0001088,
51,8.97e-05,
52,0.0001038,
53,6.76e-05,
54,0.0001832,
55,6.43e-05,
56,4.33e-05,
57,6.96e-05,
58,5.11e-05,
59,9.36e-05,
60,9.9e-05,
61,5.12e-05,
62,5.29e-05,
63,5.25e-05,
64,6.29e-05,
65,5.63e-05,
66,4.68e-05,
67,0.0001319,
68,9.33e-05,
69,0.0001087,
70,0.0001023,
71,9.72e-05,
72,0.0001097,
73,0.000103,
74,9.94e-05,
75,9.46e-05,
76,9.82e-05,
77,5.96e-05,
78,9.96e-05,
79,5.52e-05,
80,9.86e-05,
81,9.22e-05,
82,0.0001031,
83,9.95e-05,
84,9.8e-05,
85,0.0001012,
86,0.000103,
87,9.53e-05,
88,8.88e-05,
89,9e-05,
90,9.73e-05,
91,0.0001002,
92,0.0001018,
93,9.61e-05,
94,0.000103,
95,0.0001046,
96,7.95e-05,
97,0.0001023,
98,9.64e-05,
99,0.0001043,
100,8.45e-05,
101,0.0001033,
102,8.25e-05,
103,9.9e-05,
104,8.77e-05,
105,9.72e-05,
106,9.15e-05,
107,0.0001011,
108,9.73e-05,
109,5.2e-05,
110,5.59e-05,
111,0.0001047,
112,9.64e-05,
113,5.42e-05,
114,0.0001077,
115,9.08e-05,
116,9.53e-05,
117,0.0001065,
118,0.000104,
119,0.0001098,
120,9.92e-05,
121,0.0001055,
122,0.0001,
123,0.0001045,
124,9.45e-05,
125,6.37e-05,
126,0.0001028,
127,9.67e-05,
128,0.0001035,
129,0.000103,
130,7.71e-05,
131,9.52e-05,
132,9.83e-05,
133,9.65e-05,
134,0.0001067,
135,5.43e-05,
136,9.21e-05,
137,8.99e-05,
138,9.97e-05,
139,9.97e-05,
140,0.0001051,
141,0.0001051,
142,0.0001012,
143,0.0001086,
144,9.94e-05,
145,9.78e-05,
146,9.1e-05,
147,4.79e-05,
148,0.0001141,
149,5.49e-05,
150,5.9e-05,
151,0.0001163,
152,8.97e-05,
153,0.0001047,
154,8.97e-05,
155,9.94e-05,
156,0.0001051,
157,7.83e-05,
158,0.0001039,
159,7.67e-05,
160,0.0001007,
161,0.0001002,
162,0.0001043,
163,8.31e-05,
164,9.97e-05,
165,9.43e-05,
166,8.47e-05,
167,0.0001018,
168,9.08e-05,
169,4.99e-05,
170,0.0001206,
171,9.26e-05,
172,5.37e-05,
173,9.75e-05,
174,0.0001148,
175,0.000107,
176,0.0001008,
177,9.75e-05,
178,9.02e-05,
179,0.0001,
180,0.0001004,
181,9.59e-05,
182,0.0001004,
183,0.0001097,
184,0.000105,
185,8.97e-05,
186,0.0001087,
187,0.0001032,
188,9.63e-05,
189,8.44e-05,
190,9.83e-05,
191,8.18e-05,
192,9.87e-05,
193,9.81e-05,
194,0.0001048,
195,9.73e-05,
196,0.0001084,
197,7.32e-05,
198,0.0001137,
199,9.2e-05,
200,9.45e-05,
201,9.8e-05,
202,7.23e-05,
203,9.93e-05,
204,5.06e-05,
205,9.59e-05,
206,9.08e-05,
207,9.87e-05,
208,9.71e-05,
209,9.44e-05,
210,9.17e-05,
211,8.14e-05,
212,6.65e-05,
213,5.49e-05,
214,9.04e-05,
215,8.81e-05,
216,0.0001056,
217,5.66e-05,
218,5.01e-05,
219,9.69e-05,
220,9.01e-05,
221,9.84e-05,
222,7.25e-05,
223,0.0001095,
224,9.81e-05,
225,9.38e-05,
226,0.0001002,
227,9.78e-05,
228,0.0001174,
229,6.69e-05,
230,9.3e-05,
231,0.0001,
232,0.0001,
233,0.000103,
234,0.0001128,
235,9.66e-05,
236,8.05e-05,
237,5.62e-05,
238,9.15e-05,
239,9.15e-05,
240,8.77e-05,
241,5.55e-05,
242,0.0001123,
243,8.18e-05,
244,0.0001015,
245,7.05e-05,
246,5.13e-05,
247,9.84e-05,
248,8.29e-05,
249,0.0001113,
250,8.04e-05,
251,0.0001023,
252,8.29e-05,
253,9.93e-05,
254,0.0001091,
255,8.6e-05,
256,9.43e-05,
257,9.11e-05,
258,9.97e-05,
259,9.54e-05,
260,9.55e-05,
261,6.25e-05,
262,9.88e-05,
263,8.51e-05,
264,9.7e-05,
265,9.83e-05,
266,9.36e-05,
267,0.0001027,
268,9.3e-05,
269,9.77e-05,
270,0.0001114,
271,0.0001143,
272,9.71e-05,
273,8.67e-05,
274,9.31e-05,
275,5.51e-05,
276,8.31e-05,
277,0.0001001,
278,9.08e-05,
279,9.93e-05,
280,0.0001096,
281,8.67e-05,
282,0.000103,
283,0.0001153,
284,9.76e-05,
285,6.87e-05,
286,9.8e-05,
287,7.2e-05,
288,0.0001007,
289,9.3e-05,
290,0.0001052,
291,7.33e-05,
292,9.96e-05,
293,9.68e-05,
294,7.43e-05,
295,0.0001031,
296,0.0001018,
297,9.69e-05,
298,9.83e-05,
299,9.97e-05,
300,0.0001055,
301,0.0001052,
302,9.96e-05,
303,9.94e-05,
304,0.0001001,
305,9.42e-05,
306,0.0001022,
307,8.66e-05,
308,9.23e-05,
309,5.68e-05,
310,8.57e-05,
311,8.86e-05,
312,9.46e-05,
313,0.0001075,
314,9.89e-05,
315,5.71e-05,
316,0.0001037,
317,9.73e-05,
318,6.91e-05,
319,0.000127,
320,8.97e-05,
321,9.72e-05,
322,8.52e-05,
323,0.0001154,
324,7.97e-05,
325,0.0001149,
326,9.38e-05,
327,8.59e-05,
328,0.000101,
329,6.3e-05,
330,4.54e-05,
331,9.83e-05,
332,9.56e-05,
333,9.23e-05,
334,6.81e-05,
335,0.0001103,
336,8.51e-05,
337,7.01e-05,
338,0.0001043,
339,9.81e-05,
340,9.21e-05,
341,9.5e-05,
342,0.0001007,
343,5.72e-05,
344,9.56e-05,
345,0.0001112,
346,9.37e-05,
347,9.05e-05,
348,0.0001015,
349,8.4e-05,
350,7.09e-05,
351,9.79e-05,
352,0.0001053,
353,0.0001013,
354,9.98e-05,
355,7.56e-05,
356,0.0001007,
357,0.0001042,
358,8.22e-05,
359,9.46e-05,
360,0.0001021,
361,0.0001204,
362,0.0001216,
363,5.54e-05,
364,9.7e-05,
365,9.16e-05,
366,9.76e-05,
367,5.63e-05,
368,0.0001169,
369,8.9e-05,
370,0.0001055,
371,9.41e-05,
372,9.02e-05,
373,9.35e-05,
374,9.42e-05,
375,8.18e-05,
376,6.53e-05,
377,5.31e-05,
378,7.64e-05,
379,0.0001023,
380,9.69e-05,
381,9.07e-05,
382,0.0001094,
383,0.0001013,
384,0.0001013,
385,7.37e-05,
386,4.46e-05,
387,4.89e-05,
388,0.0001024,
389,8.39e-05,
390,0.0001008,
391,8.51e-05,
392,4.43e-05,
393,8.23e-05,
394,0.0001019,
395,0.0001072,
396,5.86e-05,
397,0.0001025,
