frame,time
0,0.0019836,
1,0.001869,
2,0.0004882,
3,0.0011353,
4,0.0001259,
5,0.0001256,
6,0.0005762,
7,0.0010185,
8,0.0001567,
9,0.000139,
10,0.0003132,
11,0.0001356,
12,0.0001196,
13,0.0001097,
14,0.0001144,
15,0.0001142,
16,7.49e-05,
17,0.0001337,
18,0.0001362,
19,0.0001198,
20,0.0001199,
21,0.0001198,
22,0.0001213,
23,0.0001717,
24,0.0001102,
25,0.0001262,
26,0.0001089,
27,6.66e-05,
28,0.0001197,
29,9.8e-05,
30,0.0001052,
31,0.0001204,
32,8.8e-05,
33,0.0001162,
34,0.0001294,
35,0.000149,
36,0.0001216,
37,0.0001155,
38,0.0001305,
39,0.0001143,
40,0.0001171,
41,0.0001313,
42,0.0001123,
43,0.0001155,
44,0.0001119,
45,0.0001274,
46,0.0001584,
47,0.0001388,
48,0.0001565,
49,9.83e-05,
50,7.67e-05,
51,0.0001178,
52,0.0001168,
53,0.0001189,
54,9.01e-05,
55,0.0001181,
56,8.83e-05,
57,8.96e-05,
58,0.0001165,
59,0.0001075,
60,0.0001224,
61,0.0001176,
62,0.0001161,
63,0.0001136,
64,0.0001193,
65,0.0001015,
66,7.68e-05,
67,0.0001106,
68,9.86e-05,
69,9.67e-05,
70,0.000114,
71,0.0001133,
72,0.0001159,
73,0.0001154,
74,0.0001071,
75,0.0001204,
76,0.0001583,
77,0.0001321,
78,9.46e-05,
79,8.35e-05,
80,0.0001165,
81,0.0001142,
82,0.0001043,
83,7.92e-05,
84,0.0001085,
85,0.0001188,
86,0.0001178,
87,0.0001799,
88,0.0001206,
89,7.9e-05,
90,9.7e-05,
91,0.0001341,
92,9.88e-05,
93,6.39e-05,
94,0.0001162,
95,0.0001175,
96,5.94e-05,
97,0.000113,
98,0.0001003,
99,7.56e-05,
100,0.0001223,
101,0.0001255,
102,0.0001094,
103,0.0001218,
104,0.0001166,
105,6.12e-05,
106,0.0001113,
107,9.8e-05,
108,9.03e-05,
109,0.0001146,
110,9.3e-05,
111,0.0001193,
112,0.0001182,
113,0.0001188,
114,0.0001145,
115,0.000114,
116,0.0001026,
117,0.0001149,
118,0.0001167,
119,6.35e-05,
120,9.9e-05,
121,0.0001365,
122,0.0001137,
123,0.0001136,
124,0.0001062,
125,9.16e-05,
126,0.0001145,
127,0.0001159,
128,0.000118,
129,8.57e-05,
130,0.0001142,
131,0.0001142,
132,0.0001226,
133,9.51e-05,
134,0.0001551,
135,0.0001258,
136,0.0001232,
137,0.0001259,
138,9.75e-05,
139,0.0001194,
140,0.0001171,
141,0.0001162,
142,0.0001185,
143,0.000134,
144,0.0001018,
145,0.0001181,
146,0.0001156,
147,0.0001309,
148,0.0001146,
149,0.0001178,
150,0.0001354,
151,0.0001156,
152,0.0001072,
153,0.000105,
154,0.0001081,
155,0.000116,
156,0.0001143,
157,7.14e-05,
158,7.63e-05,
159,5.83e-05,
160,0.0001183,
161,0.0001168,
162,0.0001155,
163,0.0001062,
164,0.0001111,
165,0.0001082,
166,0.0001182,
167,0.0001072,
168,0.0001019,
169,0.0001245,
170,0.000117,
171,9.55e-05,
172,7.21e-05,
173,0.0001169,
174,9.14e-05,
175,0.0001162,
176,0.0001206,
177,0.0001161,
178,0.0001154,
179,0.0001143,
180,0.0001301,
181,9.12e-05,
