frame,time
0,0.0016522,
1,0.0017686,
2,9.85e-05,
3,9.56e-05,
4,0.0003068,
5,0.0006775,
6,9.54e-05,
7,9.38e-05,
8,9.48e-05,
9,0.0002471,
10,8.68e-05,
11,0.0003069,
12,9.48e-05,
13,9.07e-05,
14,0.0006988,
15,0.0001135,
16,8.79e-05,
17,9.53e-05,
18,0.0001097,
19,9.71e-05,
20,0.000302,
21,9.21e-05,
22,7.98e-05,
23,9.14e-05,
24,9.32e-05,
25,9.12e-05,
26,0.0001077,
27,0.0002017,
28,8.51e-05,
29,8.72e-05,
30,9.36e-05,
31,7.88e-05,
32,9.07e-05,
33,9.02e-05,
34,4.97e-05,
35,9.1e-05,
36,9.22e-05,
37,9.22e-05,
38,8.43e-05,
39,9.28e-05,
40,0.0001108,
41,9.06e-05,
42,4.99e-05,
43,8.66e-05,
44,7.72e-05,
45,5.71e-05,
46,9.21e-05,
47,9.03e-05,
48,8.74e-05,
49,9.15e-05,
50,7.95e-05,
51,9.1e-05,
52,5.85e-05,
53,6.23e-05,
54,0.0001003,
55,8.24e-05,
56,5.68e-05,
57,6.15e-05,
58,9.85e-05,
59,7.66e-05,
60,6.38e-05,
61,6.24e-05,
62,9.82e-05,
63,9.14e-05,
64,0.0001023,
65,0.0001157,
66,7.81e-05,
67,5.47e-05,
68,6.19e-05,
69,9.95e-05,
70,9.27e-05,
71,8.54e-05,
72,5.67e-05,
73,9.17e-05,
74,8.77e-05,
75,6.72e-05,
76,5.09e-05,
77,7.87e-05,
78,7.73e-05,
79,5.51e-05,
80,6.6e-05,
81,0.0001002,
82,9.15e-05,
83,5.97e-05,
84,7.73e-05,
85,8.35e-05,
86,9.27e-05,
87,9.79e-05,
88,5.44e-05,
89,9e-05,
90,7.96e-05,
91,9.25e-05,
92,8.65e-05,
93,7.44e-05,
94,5.54e-05,
95,5.65e-05,
96,8.06e-05,
97,7.45e-05,
98,5.45e-05,
99,5.84e-05,
100,9.5e-05,
101,9.16e-05,
102,6.03e-05,
103,0.0001001,
104,7.97e-05,
105,7.5e-05,
106,5.62e-05,
107,9.8e-05,
108,9.16e-05,
109,7.53e-05,
110,9.8e-05,
111,8.45e-05,
112,7.52e-05,
113,9.15e-05,
114,5.68e-05,
115,9.77e-05,
116,7.52e-05,
117,5.54e-05,
118,0.0001041,
119,0.0001038,
120,0.0001027,
121,0.0001462,
122,0.0001006,
123,9.06e-05,
124,9.16e-05,
125,5.85e-05,
126,9.96e-05,
127,8.11e-05,
128,8.6e-05,
129,5.55e-05,
130,9.72e-05,
131,9.25e-05,
132,6.72e-05,
133,6.26e-05,
134,9.89e-05,
135,9.06e-05,
136,7.55e-05,
137,5.58e-05,
138,9.99e-05,
139,8.87e-05,
140,9.61e-05,
141,6.6e-05,
142,8.73e-05,
143,7.65e-05,
144,6.49e-05,
145,6.47e-05,
146,9.9e-05,
147,8.2e-05,
148,5.49e-05,
149,5.98e-05,
150,5.28e-05,
151,9.2e-05,
152,8.29e-05,
153,6.35e-05,
154,8.58e-05,
155,8.53e-05,
156,6e-05,
157,5.98e-05,
158,9.02e-05,
159,9.11e-05,
160,7.68e-05,
161,5.52e-05,
162,9.7e-05,
163,9.23e-05,
164,9.05e-05,
165,9.15e-05,
166,9.86e-05,
167,7.69e-05,
168,9.15e-05,
169,7.49e-05,
170,6.15e-05,
171,5.7e-05,
172,9.04e-05,
173,4.86e-05,
174,9.1e-05,
175,9.62e-05,
176,0.0001001,
177,9.15e-05,
178,9.99e-05,
179,9.25e-05,
180,6.52e-05,
181,5.88e-05,
182,8.56e-05,
183,7.85e-05,
184,6.42e-05,
185,9.96e-05,
186,8.14e-05,
187,5.13e-05,
188,8.51e-05,
189,9.16e-05,
190,0.0001112,
191,9.13e-05,
192,7.94e-05,
193,9.18e-05,
194,9.03e-05,
195,9.01e-05,
196,9.06e-05,
197,7.43e-05,
198,9.19e-05,
199,9.6e-05,
200,8.99e-05,
201,7.45e-05,
202,7.58e-05,
203,9.07e-05,
204,5.78e-05,
205,0.000101,
206,9.83e-05,
207,9.78e-05,
208,4.9e-05,
209,7.94e-05,
210,8.15e-05,
211,9.48e-05,
212,9.17e-05,
213,9.84e-05,
214,6.95e-05,
215,8.95e-05,
216,7.72e-05,
217,6e-05,
218,9.8e-05,
219,9e-05,
220,8.45e-05,
221,8.17e-05,
222,9.19e-05,
223,7.52e-05,
224,5.54e-05,
225,9.9e-05,
226,9.63e-05,
227,9.28e-05,
228,0.0001016,
229,8.98e-05,
230,8.95e-05,
231,0.0001046,
232,8.08e-05,
233,5.84e-05,
234,9.87e-05,
235,9.88e-05,
236,7.49e-05,
237,5.51e-05,
238,5.92e-05,
239,9.93e-05,
240,7.75e-05,
241,0.0001004,
242,6.41e-05,
243,7.51e-05,
244,9.23e-05,
245,9.94e-05,
246,9.02e-05,
247,0.0001001,
248,0.0001019,
249,9.83e-05,
250,4.88e-05,
251,7.56e-05,
252,9.12e-05,
253,9.02e-05,
254,9.02e-05,
255,9.05e-05,
256,7.69e-05,
257,5.56e-05,
258,9.82e-05,
259,9.16e-05,
260,9.33e-05,
261,0.0001017,
262,7.43e-05,
263,9.23e-05,
264,7.68e-05,
265,5.61e-05,
266,5.95e-05,
267,9.82e-05,
268,9.44e-05,
269,9.9e-05,
270,5.44e-05,
271,9.07e-05,
272,7.34e-05,
273,4.54e-05,
274,9.01e-05,
275,8.18e-05,
276,9.29e-05,
277,9.07e-05,
278,9.18e-05,
279,7.54e-05,
280,7.36e-05,
281,8.93e-05,
282,7.44e-05,
283,5.48e-05,
284,0.0001027,
285,0.0001,
286,8.35e-05,
287,0.0001047,
288,0.0001058,
289,7.48e-05,
290,5.44e-05,
291,5.8e-05,
292,9.66e-05,
293,9.02e-05,
294,7.7e-05,
295,9.73e-05,
296,9e-05,
297,7.42e-05,
298,7.48e-05,
299,9.21e-05,
300,7.78e-05,
301,9.23e-05,
302,5.5e-05,
303,6.77e-05,
304,9.06e-05,
305,4.62e-05,
306,7.44e-05,
307,9.12e-05,
308,9.06e-05,
309,7.44e-05,
310,6.14e-05,
311,9.87e-05,
312,9.07e-05,
313,7.76e-05,
314,9.79e-05,
315,8.99e-05,
316,4.69e-05,
317,7.39e-05,
318,9.05e-05,
319,7.42e-05,
320,5.63e-05,
321,0.0001008,
322,5.44e-05,
323,9.49e-05,
324,9.12e-05,
325,6.5e-05,
326,0.0001119,
327,9.38e-05,
328,0.0001001,
329,7.14e-05,
330,9.29e-05,
331,9.79e-05,
332,9.12e-05,
333,9.18e-05,
334,9.2e-05,
335,5.74e-05,
336,9.33e-05,
337,9.54e-05,
338,7.53e-05,
339,9.43e-05,
340,0.0001055,
341,8.31e-05,
342,4.54e-05,
343,7.77e-05,
344,9.81e-05,
345,7.52e-05,
346,5.84e-05,
347,9.98e-05,
348,9.07e-05,
349,7.59e-05,
350,6.13e-05,
351,8.42e-05,
352,8.89e-05,
353,7.74e-05,
354,9.37e-05,
355,8.9e-05,
356,9.3e-05,
357,9.36e-05,
358,9.29e-05,
359,8.92e-05,
360,7.72e-05,
361,5.81e-05,
362,3.93e-05,
363,9.51e-05,
364,0.0001033,
365,9.12e-05,
366,4.87e-05,
367,7.94e-05,
368,7.69e-05,
369,5.65e-05,
370,6.08e-05,
371,0.0001005,
372,7.73e-05,
373,7.43e-05,
374,5.47e-05,
375,8.83e-05,
376,9.21e-05,
377,7.52e-05,
378,5.6e-05,
379,0.0001002,
380,7.62e-05,
381,5.35e-05,
382,5.16e-05,
383,9.94e-05,
384,9.11e-05,
385,9.09e-05,
386,4.87e-05,
387,7.98e-05,
388,9.12e-05,
389,7.44e-05,
390,7.96e-05,
391,9.05e-05,
392,4.89e-05,
393,7.45e-05,
394,9.63e-05,
395,8.91e-05,
396,4.85e-05,
397,9.17e-05,
398,7.29e-05,
399,7.82e-05,
400,4.62e-05,
401,9.69e-05,
402,9.32e-05,
403,9.52e-05,
404,0.0001694,
405,9.46e-05,
406,9.13e-05,
407,9.16e-05,
408,9.15e-05,
409,0.0001055,
410,8.98e-05,
411,0.0001534,
412,9.02e-05,
413,0.0001201,
414,0.0001507,
415,9.45e-05,
416,0.0001047,
417,0.000137,
418,9.03e-05,
419,9.5e-05,
420,9.39e-05,
421,0.0001745,
422,0.0001183,
423,8.99e-05,
424,9.5e-05,
425,0.0001134,
426,7.8e-05,
427,9.4e-05,
428,9.65e-05,
429,8.42e-05,
430,9.87e-05,
431,8.99e-05,
432,0.000146,
433,0.0001467,
434,0.0001405,
435,0.0001203,
436,0.0001367,
437,0.0001664,
438,0.0001099,
439,0.0001432,
440,0.000125,
441,9.32e-05,
442,9.17e-05,
443,9.18e-05,
444,9.5e-05,
445,9.25e-05,
446,9.13e-05,
447,7.73e-05,
448,9.2e-05,
449,9.12e-05,
450,0.0001411,
451,0.00013,
452,0.0001397,
453,8.99e-05,
454,0.0001088,
455,0.0001458,
456,9.21e-05,
457,0.0001222,
458,0.0001429,
459,0.0001207,
460,8.81e-05,
461,9.15e-05,
462,0.0001242,
463,9.3e-05,
464,0.000142,
465,5.51e-05,
466,0.000152,
467,0.0001201,
468,9.19e-05,
469,0.0001437,
470,0.0001437,
471,8.08e-05,
472,0.0001481,
473,0.0001339,
474,0.0001825,
475,0.0001429,
476,9.86e-05,
477,0.000121,
478,0.0001427,
479,0.0001669,
480,0.0001182,
481,9.73e-05,
482,7.59e-05,
483,0.0001175,
484,0.0001486,
485,9.06e-05,
486,0.0001162,
487,0.0001427,
488,0.0001367,
489,9.54e-05,
490,0.0001279,
491,9.07e-05,
492,0.0001177,
493,9.25e-05,
494,8.72e-05,
495,5.81e-05,
496,0.0001187,
497,0.0001478,
498,9.35e-05,
499,0.0001738,
500,0.0001401,
501,7.37e-05,
502,0.0001175,
503,0.0001387,
504,8.49e-05,
505,0.0001311,
506,0.0001357,
507,8.74e-05,
508,0.000151,
509,0.0001404,
510,5.98e-05,
511,0.0001436,
512,9.59e-05,
513,0.0001706,
514,9.27e-05,
515,0.0001355,
516,0.000179,
517,0.0001439,
518,0.0001461,
519,0.0001421,
520,9.15e-05,
521,8.06e-05,
522,8.1e-05,
523,0.0001724,
524,8.33e-05,
525,9.28e-05,
526,0.0001437,
527,0.0001775,
528,0.0001415,
529,0.0001452,
530,0.0001346,
531,0.0001552,
532,0.0001086,
533,9.67e-05,
534,8.28e-05,
535,6.38e-05,
536,9.09e-05,
537,0.000144,
538,0.0001319,
539,9.23e-05,
540,0.0001419,
541,9.25e-05,
542,0.0001801,
543,9.73e-05,
544,9.91e-05,
545,0.00016,
546,0.0001474,
547,0.0001166,
548,0.000142,
549,0.0001224,
550,0.000146,
551,7.99e-05,
552,0.0001408,
553,0.000121,
554,0.0001048,
555,9.06e-05,
556,0.0001037,
557,0.0001177,
558,0.0001406,
559,8.95e-05,
560,0.0001422,
561,0.0001203,
562,0.000142,
563,9.27e-05,
564,0.0001455,
565,0.0001262,
566,0.0001344,
567,0.0001429,
568,0.0001212,
569,0.000112,
570,9.27e-05,
571,0.000143,
572,8.71e-05,
573,0.0001186,
574,0.0001232,
575,7.01e-05,
576,0.0001545,
577,0.0001422,
578,0.0001788,
579,0.000143,
580,0.0001003,
581,9.14e-05,
582,0.0001431,
583,0.0001174,
584,6.54e-05,
585,0.0001408,
586,0.0001181,
587,0.0001436,
588,0.000149,
589,0.0001184,
590,9.78e-05,
591,0.0001411,
592,0.0001484,
593,7.77e-05,
594,0.000102,
595,0.0001376,
596,0.0001524,
597,0.0001402,
598,0.0001403,
599,0.0001745,
600,0.0001117,
601,9.16e-05,
602,0.0001436,
603,0.0001421,
604,9.47e-05,
605,8.14e-05,
606,0.0001423,
607,0.0001411,
608,0.0001492,
609,9.12e-05,
610,9.05e-05,
611,0.0001449,
612,0.0001245,
613,9.18e-05,
614,0.0001217,
615,0.00012,
616,8.05e-05,
617,8.93e-05,
618,0.0001428,
619,0.0001241,
620,0.0001463,
621,9.36e-05,
622,8.99e-05,
623,0.000151,
624,0.0001196,
625,9.25e-05,
626,0.0001183,
627,9.49e-05,
628,0.0001417,
629,0.0001463,
630,0.0001216,
631,0.0001511,
632,0.0001444,
633,0.0001214,
634,0.0001425,
635,0.0001288,
636,0.0001195,
637,0.000107,
638,0.0001029,
639,9.8e-05,
640,0.0001733,
641,9.17e-05,
642,0.0001467,
643,7.75e-05,
644,0.0001507,
645,0.0001255,
646,0.0001435,
647,0.0001708,
648,7.73e-05,
649,0.0001104,
650,0.0001482,
651,0.0001435,
652,0.0001416,
653,9.7e-05,
654,0.0001087,
655,0.0001077,
656,0.0001664,
657,0.0001546,
658,0.0001458,
659,0.0001428,
660,0.0001221,
661,9.41e-05,
662,7.84e-05,
663,9.79e-05,
664,9.39e-05,
665,6.75e-05,
666,0.0001419,
667,0.00014,
668,9.67e-05,
669,9.05e-05,
670,0.0001173,
671,0.0001429,
672,0.0001471,
673,0.0001427,
674,0.0001147,
675,0.0001024,
676,9.09e-05,
677,0.0001341,
678,9.1e-05,
679,0.0001467,
680,0.0001699,
681,0.0001397,
682,0.0001492,
683,0.0001512,
684,9.06e-05,
685,0.0001694,
686,9.18e-05,
687,0.0001202,
688,0.0001417,
689,0.000147,
690,8.89e-05,
691,0.0001479,
692,0.0001453,
693,9.47e-05,
694,0.0001037,
695,0.0001288,
696,0.0001509,
697,9.41e-05,
698,0.0001252,
699,9.06e-05,
700,0.0001435,
701,0.0001424,
702,0.0001504,
703,0.0001416,
704,0.0001468,
705,0.0001495,
706,0.0001266,
707,0.0001182,
708,0.0001196,
709,0.0001182,
710,0.0001405,
711,0.0001366,
712,0.000118,
713,0.0001477,
714,9.57e-05,
715,0.0001451,
716,7.31e-05,
717,0.0001476,
718,9.69e-05,
719,0.0001313,
720,9.45e-05,
721,9.6e-05,
722,5.64e-05,
723,9.12e-05,
724,0.000129,
725,9.23e-05,
726,0.0001434,
727,0.0001733,
728,0.0001018,
729,0.0001363,
730,0.0001653,
731,0.0001451,
732,0.0001465,
733,0.0001038,
734,0.0001058,
735,0.0001414,
736,8.55e-05,
737,8.86e-05,
738,0.0001203,
739,9.15e-05,
740,9.27e-05,
741,0.0001393,
742,0.0001273,
743,0.0001418,
744,9.44e-05,
745,0.00014,
746,0.0001443,
747,0.0001589,
748,0.0001452,
749,0.0001399,
750,0.0001391,
751,0.0001491,
752,0.0001428,
753,0.0001352,
754,7.89e-05,
755,0.0001481,
756,0.00014,
757,0.0001017,
758,0.0001463,
759,0.0001456,
760,0.0001238,
761,0.0001419,
762,0.0001502,
763,0.0001396,
764,8.23e-05,
765,0.0001402,
766,0.0001271,
767,9.69e-05,
768,8.16e-05,
769,8e-05,
770,0.0001021,
771,0.0001345,
772,0.00014,
773,0.0001203,
