frame,time
0,4.11e-05,
1,4.58e-05,
2,2.05e-05,
3,5.62e-05,
4,2.58e-05,
5,3.74e-05,
6,2.09e-05,
7,1.67e-05,
8,1.17e-05,
9,2.42e-05,
10,2.13e-05,
11,2.29e-05,
12,1.72e-05,
13,1.25e-05,
14,2.03e-05,
15,1.15e-05,
16,2.64e-05,
17,1.12e-05,
18,1.2e-05,
19,1.2e-05,
20,9.4e-06,
21,1.26e-05,
22,2.09e-05,
23,1.17e-05,
24,2.99e-05,
25,1.21e-05,
26,1.45e-05,
27,1.25e-05,
28,1.12e-05,
29,1.26e-05,
30,1.16e-05,
31,1.15e-05,
32,2.55e-05,
33,9.8e-06,
34,9.1e-06,
35,1.33e-05,
36,1.26e-05,
37,1.34e-05,
38,1.04e-05,
39,9.1e-06,
40,1.47e-05,
41,1.19e-05,
42,1.25e-05,
43,1.16e-05,
44,9.7e-06,
45,1.23e-05,
46,1.14e-05,
47,8.7e-06,
48,8.6e-06,
49,1.16e-05,
50,1.28e-05,
51,1.14e-05,
52,1.18e-05,
53,9.6e-06,
54,1.46e-05,
55,9.3e-06,
56,8.5e-06,
57,1.06e-05,
58,8.3e-06,
59,1.17e-05,
60,1.15e-05,
61,1.35e-05,
62,8.9e-06,
63,8.8e-06,
64,9.9e-06,
65,8.6e-06,
66,8.9e-06,
67,1.56e-05,
68,1.22e-05,
69,1.53e-05,
70,1.25e-05,
71,1.23e-05,
72,1.17e-05,
73,1.2e-05,
74,1.18e-05,
75,1.17e-05,
76,1.37e-05,
77,9e-06,
78,1.25e-05,
79,9.7e-06,
80,1.19e-05,
81,1.17e-05,
82,1.23e-05,
83,1.15e-05,
84,1.25e-05,
85,1.19e-05,
86,1.23e-05,
87,1.2e-05,
88,1.22e-05,
89,1.16e-05,
90,1.23e-05,
91,1.14e-05,
92,1.64e-05,
93,1.17e-05,
94,1.2e-05,
95,1.18e-05,
96,1.21e-05,
97,1.19e-05,
98,1.22e-05,
99,1.22e-05,
100,1.17e-05,
101,1.17e-05,
102,1.25e-05,
103,1.18e-05,
104,1.2e-05,
105,1.32e-05,
106,1.19e-05,
107,1.15e-05,
108,1.5e-05,
109,8.9e-06,
110,9.5e-06,
111,1.14e-05,
112,1.15e-05,
113,9.4e-06,
114,1.2e-05,
115,1.16e-05,
116,1.23e-05,
117,1.25e-05,
118,1.14e-05,
119,1.18e-05,
120,1.19e-05,
121,1.22e-05,
122,1.17e-05,
123,1.14e-05,
124,1.16e-05,
125,1.02e-05,
126,1.24e-05,
127,1.31e-05,
128,1.13e-05,
129,1.18e-05,
130,1.16e-05,
131,1.14e-05,
132,1.23e-05,
133,1.19e-05,
134,1.23e-05,
135,1e-05,
136,1.36e-05,
137,1.18e-05,
138,1.22e-05,
139,1.15e-05,
140,1.19e-05,
141,1.19e-05,
142,1.15e-05,
143,1.18e-05,
144,1.17e-05,
145,1.17e-05,
146,1.18e-05,
147,8.1e-06,
148,1.19e-05,
149,9.7e-06,
150,8.8e-06,
151,1.18e-05,
152,1.18e-05,
153,1.2e-05,
154,1.21e-05,
155,1.66e-05,
156,1.24e-05,
157,1.18e-05,
158,1.22e-05,
159,1.15e-05,
160,1.14e-05,
161,1.26e-05,
162,1.19e-05,
163,1.24e-05,
164,1.18e-05,
165,1.28e-05,
166,1.22e-05,
167,1.17e-05,
168,1.25e-05,
169,1.02e-05,
170,1.2e-05,
171,1.33e-05,
172,8.4e-06,
173,1.17e-05,
174,1.15e-05,
175,1.13e-05,
176,1.21e-05,
177,1.12e-05,
178,1.21e-05,
179,1.13e-05,
180,1.16e-05,
181,1.15e-05,
182,1.16e-05,
183,1.15e-05,
184,1.19e-05,
185,1.17e-05,
186,1.2e-05,
187,1.17e-05,
188,1.16e-05,
189,1.2e-05,
190,1.17e-05,
191,1.15e-05,
192,1.19e-05,
193,1.12e-05,
194,1.13e-05,
195,2.6e-05,
196,1.39e-05,
197,1.06e-05,
198,1.98e-05,
199,1.22e-05,
200,2.29e-05,
201,1.36e-05,
202,1.04e-05,
203,1.18e-05,
204,8.4e-06,
205,2.04e-05,
206,1.14e-05,
207,1.16e-05,
208,1.16e-05,
209,2.4e-05,
210,1.46e-05,
