frame,time
0,3.84e-05,
1,7.49e-05,
2,4.19e-05,
3,8.01e-05,
4,1.81e-05,
5,3.72e-05,
6,1.57e-05,
7,1.32e-05,
8,1.85e-05,
9,2.95e-05,
10,1.38e-05,
11,1.96e-05,
12,3.35e-05,
13,3.42e-05,
14,1.44e-05,
15,3.02e-05,
16,1.12e-05,
17,2.43e-05,
18,2.02e-05,
19,3.86e-05,
20,1.6e-05,
21,1.96e-05,
22,3.85e-05,
23,2.22e-05,
24,1.41e-05,
25,2.12e-05,
26,1.47e-05,
27,1.13e-05,
28,3.45e-05,
29,1.51e-05,
30,1.81e-05,
31,1.66e-05,
32,1.27e-05,
33,2.15e-05,
34,2.54e-05,
35,2.14e-05,
36,3.11e-05,
37,5.17e-05,
38,1.94e-05,
39,1.86e-05,
40,2.77e-05,
41,2.05e-05,
42,2.55e-05,
43,4.8e-05,
44,1.52e-05,
45,2.38e-05,
46,2.15e-05,
47,1.98e-05,
48,1.97e-05,
49,2.03e-05,
50,1.3e-05,
51,1.53e-05,
52,2.28e-05,
53,1.85e-05,
54,1.34e-05,
55,2.92e-05,
56,2.45e-05,
57,1.19e-05,
58,5.38e-05,
59,1.61e-05,
60,1.62e-05,
61,3.89e-05,
62,2.54e-05,
63,1.88e-05,
64,4.7e-05,
65,1.55e-05,
66,1.2e-05,
67,3.83e-05,
68,1.7e-05,
69,2.19e-05,
70,3.87e-05,
71,1.04e-05,
72,1.51e-05,
73,3.58e-05,
74,2.1e-05,
75,1.69e-05,
76,2.39e-05,
77,1.9e-05,
78,1.5e-05,
79,1.44e-05,
80,2.28e-05,
81,2.04e-05,
82,4.23e-05,
83,2.42e-05,
84,1.34e-05,
85,2.78e-05,
86,2.34e-05,
87,2.97e-05,
88,1.54e-05,
89,1.27e-05,
90,1.72e-05,
91,1.46e-05,
92,1.43e-05,
93,1.12e-05,
94,3.31e-05,
95,1.55e-05,
96,1.17e-05,
97,3.12e-05,
98,1.43e-05,
99,1.26e-05,
100,2.86e-05,
101,1.45e-05,
102,9.8e-06,
103,2.57e-05,
104,1.1e-05,
105,1.07e-05,
106,1.81e-05,
107,1.51e-05,
108,1.89e-05,
109,2.82e-05,
110,2.72e-05,
111,2.6e-05,
112,1.47e-05,
113,1.57e-05,
114,2.66e-05,
115,4.67e-05,
116,1.56e-05,
117,1.78e-05,
118,2.92e-05,
119,1.12e-05,
120,1.51e-05,
121,1.45e-05,
122,1.51e-05,
123,1.74e-05,
124,1.85e-05,
125,1.29e-05,
126,1.81e-05,
127,2.36e-05,
128,1.52e-05,
129,1.99e-05,
130,1.01e-05,
131,1.82e-05,
132,3.62e-05,
133,3.18e-05,
134,2.21e-05,
135,3.87e-05,
136,3.02e-05,
137,1.38e-05,
138,1.68e-05,
139,4.13e-05,
140,1.5e-05,
141,1.88e-05,
142,3.87e-05,
143,1.64e-05,
144,1.02e-05,
145,2.9e-05,
146,1.62e-05,
147,2.27e-05,
