frame,time
0,1.88e-05,
1,7.22e-05,
2,6.31e-05,
3,2.66e-05,
4,1.97e-05,
5,1.24e-05,
6,2.08e-05,
7,3.78e-05,
8,1.61e-05,
9,1.21e-05,
10,8.2e-06,
11,3.25e-05,
12,9.5e-06,
13,1.77e-05,
14,1.19e-05,
15,1.16e-05,
16,3e-05,
17,3.19e-05,
18,1.24e-05,
19,2.37e-05,
20,2.05e-05,
21,3.51e-05,
22,1.17e-05,
23,2.88e-05,
24,3.82e-05,
25,1.17e-05,
26,1.21e-05,
27,1.22e-05,
28,1.28e-05,
29,1.19e-05,
30,2.32e-05,
31,3.15e-05,
32,2.71e-05,
33,1.4e-05,
34,8.6e-06,
35,1.24e-05,
36,2.3e-05,
37,1.14e-05,
38,8.7e-06,
39,1.3e-05,
40,1.38e-05,
41,1.18e-05,
42,8.6e-06,
43,2.17e-05,
44,1.14e-05,
45,9.7e-06,
46,1.27e-05,
47,1.12e-05,
48,1.13e-05,
49,2.06e-05,
50,2.46e-05,
51,1.12e-05,
52,9.9e-06,
53,9.2e-06,
54,2.71e-05,
55,1.14e-05,
56,9.5e-06,
57,9.1e-06,
58,2.65e-05,
59,1.11e-05,
60,9.1e-06,
61,9e-06,
62,2.74e-05,
63,1.14e-05,
64,2.44e-05,
65,1.15e-05,
66,1.24e-05,
67,9.4e-06,
68,1.64e-05,
69,2.31e-05,
70,2.41e-05,
71,1.12e-05,
72,9e-06,
73,2.88e-05,
74,1.41e-05,
75,9e-06,
76,7.8e-06,
77,1.5e-05,
78,1.12e-05,
79,9.3e-06,
80,9.5e-06,
81,2.16e-05,
82,1.4e-05,
83,8.5e-06,
84,1.11e-05,
85,1.2e-05,
86,1.23e-05,
87,1.16e-05,
88,1.45e-05,
89,1.41e-05,
90,1.14e-05,
91,1.62e-05,
92,2.83e-05,
93,1.12e-05,
94,9.2e-06,
95,8.6e-06,
96,3.24e-05,
97,1.13e-05,
98,8.9e-06,
99,8.1e-06,
100,1.96e-05,
101,1.39e-05,
102,9.4e-06,
103,1.18e-05,
104,1.14e-05,
105,1.12e-05,
106,2.07e-05,
107,1.2e-05,
108,1.14e-05,
109,1.18e-05,
110,2.19e-05,
111,2.97e-05,
112,1.12e-05,
113,1.24e-05,
114,8.5e-06,
115,2.2e-05,
116,1.12e-05,
117,9e-06,
118,1.2e-05,
119,4.68e-05,
120,1.12e-05,
121,2.36e-05,
122,1.19e-05,
123,1.2e-05,
124,1.12e-05,
125,9.5e-06,
126,2.23e-05,
127,1.26e-05,
128,1.11e-05,
129,9.2e-06,
130,1.16e-05,
131,1.14e-05,
132,9.5e-06,
133,9.2e-06,
134,2.25e-05,
135,1.4e-05,
136,1.13e-05,
137,9e-06,
138,3.82e-05,
139,1.49e-05,
140,1.22e-05,
141,1.24e-05,
142,1.52e-05,
143,1.23e-05,
144,9.3e-06,
145,9.4e-06,
146,2.37e-05,
147,1.14e-05,
148,9.6e-06,
149,9.3e-06,
150,1.36e-05,
151,1.44e-05,
152,1.12e-05,
153,9.4e-06,
154,1.82e-05,
155,1.12e-05,
156,9.5e-06,
157,9.5e-06,
158,1.21e-05,
159,1.46e-05,
160,1.12e-05,
161,9.6e-06,
162,1.26e-05,
163,3.07e-05,
164,2.81e-05,
165,1.13e-05,
166,2.07e-05,
167,1.83e-05,
168,1.92e-05,
169,1.03e-05,
170,1.2e-05,
171,1.07e-05,
172,1.22e-05,
173,8.6e-06,
174,1.13e-05,
175,2.11e-05,
176,1.11e-05,
177,1.14e-05,
178,2.51e-05,
179,1.15e-05,
180,9.3e-06,
181,8.8e-06,
182,1.18e-05,
183,1.13e-05,
184,9.4e-06,
185,2.3e-05,
186,1.4e-05,
187,8.8e-06,
188,1.12e-05,
189,2.76e-05,
190,9.5e-06,
191,2.86e-05,
192,2.32e-05,
193,1.12e-05,
194,2.89e-05,
195,1.48e-05,
196,1.41e-05,
197,1.12e-05,
198,1.21e-05,
199,2.29e-05,
200,1.57e-05,
201,1.12e-05,
202,1.19e-05,
203,1.17e-05,
204,9.2e-06,
205,2.93e-05,
206,1.53e-05,
207,1.13e-05,
208,8.3e-06,
209,1.12e-05,
210,1.18e-05,
211,4.41e-05,
212,8.2e-06,
213,1.72e-05,
