frame,time
1,0.0039236,
2,0.0022796,
3,0.0008278,
4,0.0007545,
5,0.0004765,
6,0.0010687,
7,0.0004885,
8,0.0004281,
9,0.0007242,
10,0.0004758,
11,0.0009736,
12,0.000589,
13,0.000448,
14,0.0010188,
15,0.0004287,
16,0.0004049,
17,0.0005086,
18,0.0006923,
19,0.0004394,
20,0.0004292,
21,0.0005492,
22,0.0004489,
23,0.0005226,
24,0.0004597,
25,0.0009523,
26,0.0005944,
27,0.0008166,
28,0.0005518,
29,0.0010395,
30,0.0006206,
31,0.0004145,
32,0.0004438,
33,0.0003821,
34,0.0004893,
35,0.0008026,
36,0.000394,
37,0.0004924,
38,0.000542,
39,0.0005886,
40,0.0005302,
41,0.0005867,
42,0.0005469,
43,0.0005505,
44,0.0005617,
45,0.000565,
46,0.000559,
47,0.0005306,
48,0.0005621,
49,0.0005386,
50,0.000544,
51,0.0005565,
52,0.0005512,
53,0.0005076,
54,0.0005207,
55,0.001061,
56,0.0007683,
57,0.0005473,
58,0.0005517,
59,0.0005562,
60,0.0005452,
61,0.0005458,
62,0.0005562,
63,0.0005655,
64,0.0005399,
65,0.0005431,
66,0.0005572,
67,0.0005623,
68,0.0005548,
69,0.000552,
70,0.0005499,
71,0.0005518,
72,0.0005392,
73,0.0005713,
74,0.0006213,
75,0.0005038,
76,0.0005416,
77,0.0005339,
78,0.0005488,
79,0.0005633,
80,0.0005439,
81,0.0005656,
82,0.0005489,
83,0.0005526,
84,0.0007401,
85,0.0014481,
86,0.0005525,
87,0.0005572,
88,0.0005475,
89,0.0005538,
90,0.0005444,
91,0.0005642,
92,0.0005495,
93,0.0005443,
94,0.000556,
95,0.0005481,
96,0.0005514,
97,0.0005469,
98,0.0005552,
99,0.0005534,
100,0.0005156,
101,0.0005391,
102,0.0005443,
103,0.0006083,
104,0.0005496,
105,0.0005457,
106,0.0005472,
107,0.0005488,
108,0.0005543,
109,0.0005542,
110,0.0005473,
111,0.0005483,
112,0.0005471,
113,0.0005633,
114,0.0008985,
115,0.0005526,
116,0.0005595,
117,0.0005428,
118,0.0005499,
119,0.0005701,
120,0.0005524,
121,0.0005488,
122,0.0005407,
123,0.0005653,
124,0.0005341,
125,0.0005535,
126,0.0005463,
127,0.000599,
128,0.0005579,
129,0.0005477,
130,0.0005284,
131,0.0005497,
132,0.0005669,
133,0.0005557,
134,0.0005507,
135,0.0005555,
136,0.0005468,
137,0.0005557,
138,0.0005541,
139,0.0005503,
140,0.0005482,
141,0.0005568,
142,0.0010082,
143,0.0007544,
144,0.0005681,
145,0.0005523,
146,0.0005479,
147,0.000555,
