frame,time
1,0.0030766,
2,0.0024533,
3,0.0014658,
4,0.0004748,
5,0.0012222,
6,0.0006858,
7,0.0010536,
8,0.0006125,
9,0.0010024,
10,0.0005182,
11,0.0007334,
12,0.0004692,
13,0.0010278,
14,0.0008039,
15,0.0010802,
16,0.0009303,
17,0.0012042,
18,0.0010527,
19,0.0008767,
20,0.0008636,
21,0.0008729,
22,0.0008698,
23,0.000835,
24,0.0009144,
25,0.0008407,
26,0.0008718,
27,0.0008697,
28,0.000869,
29,0.0008643,
30,0.0008676,
31,0.0008418,
32,0.0009055,
33,0.0008623,
34,0.0008702,
35,0.0013232,
36,0.001067,
37,0.0008754,
38,0.000862,
39,0.0008873,
40,0.0008696,
41,0.0008603,
42,0.0008713,
43,0.0008648,
44,0.0008735,
45,0.000863,
46,0.0008798,
47,0.000858,
48,0.0008719,
49,0.0008738,
50,0.0008705,
51,0.0008671,
52,0.000845,
53,0.00112,
54,0.0011204,
55,0.0010975,
56,0.0008732,
57,0.0008647,
58,0.0008814,
59,0.0008694,
60,0.0008834,
61,0.0008713,
62,0.0008641,
63,0.0008723,
64,0.0008686,
65,0.000845,
66,0.0008937,
67,0.0008665,
68,0.0008682,
69,0.0008567,
70,0.0011367,
71,0.0006369,
72,0.0013063,
73,0.0010882,
74,0.0009113,
75,0.0008723,
76,0.0008791,
77,0.000865,
78,0.0008747,
79,0.0008702,
80,0.0008348,
81,0.0008626,
82,0.0009143,
83,0.000872,
84,0.0008743,
85,0.0008617,
86,0.0008463,
87,0.0009075,
88,0.0008221,
89,0.0008474,
90,0.0008855,
91,0.0015182,
92,0.0008871,
93,0.0008612,
94,0.0008559,
95,0.0008914,
96,0.0008584,
97,0.0008602,
98,0.000837,
99,0.0008956,
100,0.000879,
101,0.0008642,
102,0.0008488,
103,0.0008922,
104,0.0008754,
105,0.0008598,
106,0.000877,
107,0.000854,
108,0.0008669,
109,0.0013242,
110,0.0011321,
111,0.0008679,
112,0.0008704,
113,0.000877,
114,0.0008711,
115,0.0008497,
116,0.0008889,
117,0.0008674,
118,0.0008339,
119,0.000911,
120,0.0008682,
121,0.0008913,
