frame,time
0,0.0016625,
1,0.001629,
2,0.0006696,
3,0.0002483,
4,0.000822,
5,0.0001152,
6,0.0001628,
7,9.56e-05,
8,0.0001082,
9,0.0001697,
10,0.0001029,
11,0.0001175,
12,0.0001893,
13,0.0001151,
14,0.0001586,
15,0.0001074,
16,9.43e-05,
17,6.34e-05,
18,0.0001834,
19,0.0001859,
20,7.08e-05,
21,0.0001768,
22,0.0001027,
23,9.93e-05,
24,5.55e-05,
25,0.0001009,
26,0.0001554,
27,0.0001008,
28,9.6e-05,
29,8.09e-05,
30,0.0001002,
31,9.95e-05,
32,0.0001461,
33,0.0001821,
34,9.21e-05,
35,6.85e-05,
36,7.71e-05,
37,0.0001013,
38,0.0001557,
39,0.0001061,
40,0.0001356,
41,0.0001515,
42,8.78e-05,
43,9.86e-05,
44,0.000154,
45,0.0001524,
46,9.86e-05,
47,6.19e-05,
48,9.69e-05,
49,0.0001044,
50,0.0001259,
51,0.0001,
52,0.0002013,
53,0.0001865,
54,9.31e-05,
55,8.43e-05,
56,0.0001027,
57,8.11e-05,
58,0.0001007,
59,0.0001399,
60,0.0001028,
61,0.0001457,
62,7.46e-05,
63,0.0001854,
64,0.0001447,
65,0.0001214,
66,0.0001055,
67,0.0001791,
68,0.0002,
69,0.000135,
70,0.0001009,
71,9.85e-05,
72,0.0001881,
73,0.0001023,
74,0.0001835,
75,8.72e-05,
76,0.0001865,
77,0.0001459,
78,0.0001607,
79,0.0001887,
80,0.0001218,
81,0.0001023,
82,0.0001928,
83,0.0001849,
84,0.0001037,
85,0.0001866,
86,0.0001296,
87,0.0001493,
88,0.000103,
89,0.0001843,
90,0.0002061,
91,0.0002041,
92,0.0001308,
93,0.0001424,
94,0.0001248,
95,0.0001236,
96,0.0001011,
97,0.0001042,
98,0.0002117,
99,0.0001097,
100,9.63e-05,
101,0.0001097,
102,0.0001826,
103,0.0001016,
104,0.0001927,
105,0.0001834,
106,0.0001825,
107,0.0001012,
108,0.0001105,
109,8.28e-05,
110,0.0001561,
111,0.0001817,
112,8.94e-05,
113,0.0001033,
114,0.0001772,
115,0.0001071,
116,0.0001009,
117,0.0001531,
118,0.0001545,
119,8.98e-05,
120,0.0001808,
121,0.0001757,
122,0.0001101,
123,0.0001277,
124,0.0001865,
125,0.000104,
126,0.0001222,
127,0.0001887,
128,0.0001766,
129,0.0001162,
130,9.4e-05,
131,0.0001108,
132,9.88e-05,
133,0.0001043,
134,0.0001013,
135,0.0001059,
136,0.000104,
137,9.98e-05,
138,0.0001056,
139,0.0001039,
140,0.0001087,
141,0.0001037,
142,0.0001122,
143,0.0001062,
144,9.2e-05,
145,0.0001186,
146,0.0001895,
147,9.27e-05,
148,0.0001273,
149,0.0001024,
150,0.0001065,
151,9.14e-05,
152,0.0001832,
153,0.000114,
154,0.0001035,
155,0.0001027,
156,8.78e-05,
157,9.75e-05,
158,0.0001867,
159,0.0001849,
160,0.0001807,
161,0.0001282,
162,9.84e-05,
163,0.0001017,
164,0.0001512,
165,0.0001722,
166,0.0001025,
167,0.0001127,
168,0.0001891,
169,0.0001016,
170,9.51e-05,
171,0.0001747,
172,8.64e-05,
173,9.6e-05,
174,9.15e-05,
175,0.0001665,
176,8.01e-05,
177,9.16e-05,
178,0.0001471,
179,0.0001479,
