frame,time
0,0.0017133,
1,0.0016893,
2,9.89e-05,
3,9.71e-05,
4,0.0008476,
5,6.49e-05,
6,9.51e-05,
7,0.0002381,
8,7.7e-05,
9,0.0001595,
10,0.0003469,
11,0.0001088,
12,0.0006189,
13,9.19e-05,
14,8.95e-05,
15,8.59e-05,
16,0.000248,
17,9.02e-05,
18,9.45e-05,
19,8.13e-05,
20,9.04e-05,
21,8.94e-05,
22,8.91e-05,
23,9.36e-05,
24,9.04e-05,
25,8.87e-05,
26,9.11e-05,
27,9.74e-05,
28,8.92e-05,
29,8.9e-05,
30,8.9e-05,
31,9.21e-05,
32,9.88e-05,
33,8.93e-05,
34,8.92e-05,
35,9.14e-05,
36,4.6e-05,
37,8.94e-05,
38,4.22e-05,
39,8.92e-05,
40,8.92e-05,
41,4.46e-05,
42,8.9e-05,
43,4.29e-05,
44,4.42e-05,
45,3.97e-05,
46,8.99e-05,
47,4.25e-05,
48,8.92e-05,
49,8.96e-05,
50,8.96e-05,
51,8.95e-05,
52,5.51e-05,
53,9.58e-05,
54,9.01e-05,
55,8.95e-05,
56,9e-05,
57,4.39e-05,
58,8.93e-05,
59,8.95e-05,
60,9.48e-05,
61,9.13e-05,
62,8.94e-05,
63,8.94e-05,
64,8.92e-05,
65,5.64e-05,
66,8.88e-05,
67,8.93e-05,
68,8.91e-05,
69,4.6e-05,
70,0.0001749,
71,9.6e-05,
72,9.09e-05,
73,4.31e-05,
74,8.94e-05,
75,8.94e-05,
76,8.94e-05,
77,8.92e-05,
78,8.94e-05,
79,8.92e-05,
80,9.27e-05,
81,9.82e-05,
82,9.76e-05,
83,9.09e-05,
84,9.92e-05,
85,8.92e-05,
86,5.59e-05,
87,9.4e-05,
88,9.27e-05,
89,5.24e-05,
90,0.0001237,
91,9.71e-05,
92,9.88e-05,
93,9e-05,
94,4.52e-05,
95,9.38e-05,
96,8.93e-05,
97,8.9e-05,
98,5.65e-05,
99,8.97e-05,
100,8.94e-05,
101,8.92e-05,
102,5.56e-05,
103,8.97e-05,
104,9.29e-05,
105,5.26e-05,
106,8.98e-05,
107,4.38e-05,
108,9.03e-05,
109,9.05e-05,
110,9e-05,
111,9.04e-05,
112,8.92e-05,
113,8.91e-05,
114,8.9e-05,
115,5.6e-05,
116,8.96e-05,
117,8.91e-05,
118,9.08e-05,
119,9.65e-05,
120,8.91e-05,
121,9.22e-05,
122,7.34e-05,
123,5.96e-05,
124,6.12e-05,
125,9.93e-05,
126,9.19e-05,
127,9.75e-05,
128,4.74e-05,
129,9.47e-05,
130,7.31e-05,
131,5.4e-05,
132,6.22e-05,
133,9.88e-05,
134,9.27e-05,
135,6.4e-05,
136,6.09e-05,
137,9.15e-05,
138,9.3e-05,
139,9.8e-05,
140,0.0001059,
141,8.92e-05,
142,7.55e-05,
143,6.11e-05,
144,0.0001016,
145,0.0001006,
146,9.12e-05,
147,9.21e-05,
148,9.92e-05,
149,7.53e-05,
150,7.8e-05,
151,9.73e-05,
152,9.36e-05,
153,9.16e-05,
154,7.56e-05,
155,5.84e-05,
156,9.95e-05,
157,8.33e-05,
158,9.02e-05,
159,7.78e-05,
160,0.0001,
161,9.9e-05,
162,7.35e-05,
163,9.16e-05,
164,0.0001029,
165,8.54e-05,
166,8.12e-05,
167,8.12e-05,
168,8.73e-05,
169,9.02e-05,
170,7.34e-05,
171,5.86e-05,
172,0.0001014,
173,9.44e-05,
174,9.22e-05,
175,8.27e-05,
176,9.17e-05,
177,7.49e-05,
178,5.4e-05,
179,5.8e-05,
180,0.0001011,
181,7.61e-05,
182,5.32e-05,
183,5.69e-05,
184,0.0001022,
185,9.12e-05,
186,7.99e-05,
187,9.11e-05,
188,7.36e-05,
189,5.31e-05,
190,9.76e-05,
191,7.45e-05,
192,9.2e-05,
193,9.83e-05,
194,9.25e-05,
195,7.18e-05,
196,9.96e-05,
197,8.96e-05,
198,4.82e-05,
199,9.19e-05,
200,9.1e-05,
201,7.33e-05,
202,5.74e-05,
203,9.69e-05,
204,7.44e-05,
205,5.3e-05,
206,9.67e-05,
207,7.42e-05,
208,7.4e-05,
209,5.41e-05,
210,9.69e-05,
211,9.16e-05,
212,9.05e-05,
213,7.44e-05,
214,6.07e-05,
215,9.87e-05,
216,7.43e-05,
217,5.39e-05,
218,5.66e-05,
219,5.99e-05,
220,9.08e-05,
221,7.3e-05,
222,5.92e-05,
223,9.6e-05,
224,9.13e-05,
225,7.42e-05,
226,5.28e-05,
227,9.51e-05,
228,7.34e-05,
229,5.34e-05,
230,9.72e-05,
231,9.79e-05,
232,9.06e-05,
233,7.35e-05,
234,6.09e-05,
235,9.81e-05,
236,7.28e-05,
237,5.38e-05,
238,6.4e-05,
239,0.000102,
240,7.68e-05,
241,9.25e-05,
242,9.87e-05,
243,9.51e-05,
244,8.41e-05,
245,6.1e-05,
246,7.31e-05,
247,9.18e-05,
248,7.36e-05,
249,9.22e-05,
250,5.58e-05,
251,7.32e-05,
252,8.99e-05,
253,8.97e-05,
254,7.85e-05,
255,9.03e-05,
256,9.04e-05,
257,8.98e-05,
258,7.35e-05,
259,7.36e-05,
260,7.39e-05,
261,5.33e-05,
262,5.76e-05,
263,9.87e-05,
264,8.97e-05,
265,7.9e-05,
266,7.97e-05,
267,7.63e-05,
268,5.47e-05,
269,6.01e-05,
270,9.76e-05,
271,7.49e-05,
272,6.38e-05,
273,5.67e-05,
274,9.8e-05,
275,9.62e-05,
276,0.0001006,
277,7.37e-05,
278,9.1e-05,
279,7.37e-05,
280,5.4e-05,
281,5.89e-05,
282,9.78e-05,
283,9.12e-05,
284,4.72e-05,
285,7.35e-05,
286,9.15e-05,
287,9e-05,
288,7.31e-05,
289,5.37e-05,
290,9.84e-05,
291,7.57e-05,
292,5.54e-05,
293,5.95e-05,
294,9.88e-05,
295,9.05e-05,
296,7.37e-05,
297,5.35e-05,
298,8.82e-05,
299,9.04e-05,
300,8.98e-05,
301,7.97e-05,
302,9.02e-05,
303,9.07e-05,
304,7.61e-05,
305,5.46e-05,
306,9.82e-05,
307,9.09e-05,
308,7.4e-05,
309,5.46e-05,
310,9.65e-05,
311,9.07e-05,
312,7.32e-05,
313,6.13e-05,
314,8.68e-05,
315,7.4e-05,
316,5.4e-05,
317,6.5e-05,
318,9.79e-05,
319,9.5e-05,
320,7.32e-05,
321,5.36e-05,
322,8.82e-05,
323,7.39e-05,
324,5.42e-05,
325,5.34e-05,
326,9.13e-05,
327,7.86e-05,
328,6.39e-05,
329,5.76e-05,
330,9.81e-05,
331,8.66e-05,
332,8.44e-05,
333,5.43e-05,
334,9.77e-05,
335,9.07e-05,
336,7.62e-05,
337,0.0001047,
338,8.89e-05,
339,9.01e-05,
340,7.6e-05,
341,5.41e-05,
342,8.33e-05,
343,7.63e-05,
344,5.47e-05,
345,9.88e-05,
346,7.39e-05,
347,5.46e-05,
348,6.1e-05,
349,9.17e-05,
350,8.99e-05,
351,7.41e-05,
352,5.52e-05,
353,8.73e-05,
354,7.36e-05,
355,5.44e-05,
356,6.03e-05,
357,9.99e-05,
358,9.15e-05,
359,9.02e-05,
360,8.26e-05,
361,0.0001001,
362,9e-05,
363,7.53e-05,
364,6.31e-05,
365,0.0001002,
366,9.15e-05,
367,8.14e-05,
368,6.71e-05,
369,9.5e-05,
370,9e-05,
371,7.53e-05,
372,6.25e-05,
373,9.96e-05,
374,9.03e-05,
375,9.11e-05,
376,9.19e-05,
377,8.34e-05,
378,8.86e-05,
379,8.96e-05,
380,8.17e-05,
381,9.53e-05,
382,0.000102,
383,0.0001421,
384,0.0001074,
385,0.0001489,
386,0.0001385,
387,0.0001087,
388,9.02e-05,
389,5.5e-05,
390,0.000139,
391,0.0001431,
392,9.56e-05,
393,8.36e-05,
394,0.0001997,
395,7.95e-05,
396,0.0001252,
397,0.0001438,
398,7.61e-05,
399,0.0001214,
400,0.000144,
401,0.0001993,
402,0.0001171,
403,0.000106,
404,0.0001164,
405,0.0001442,
406,9.6e-05,
407,7.46e-05,
408,7.38e-05,
409,6.59e-05,
410,0.0001185,
411,9.11e-05,
412,0.000146,
413,0.000143,
414,5.7e-05,
415,0.0001431,
416,0.0001431,
417,7.8e-05,
418,0.0001479,
419,0.0001733,
420,0.0001126,
421,0.0001372,
422,9.51e-05,
423,8.45e-05,
424,0.0001089,
425,0.0001513,
426,0.0001175,
427,9.3e-05,
428,9.3e-05,
429,0.0001504,
430,0.0001717,
431,0.0001393,
432,0.0001733,
433,9.49e-05,
434,0.0001164,
435,0.0001463,
436,0.000165,
437,0.0001199,
438,0.0001031,
439,0.0001411,
440,9.1e-05,
441,8.55e-05,
442,9.3e-05,
443,0.0001314,
444,0.000145,
445,9.72e-05,
446,0.0001557,
447,8.06e-05,
448,0.0001453,
449,8.77e-05,
450,7.95e-05,
451,8.8e-05,
452,9.58e-05,
453,0.0001446,
454,0.0001438,
455,0.0001425,
456,0.0001004,
457,0.0001418,
458,0.0001447,
459,0.0001194,
460,0.0001538,
461,0.0001438,
462,7.57e-05,
463,0.0001326,
464,0.0001411,
465,0.0001721,
466,0.0001441,
467,0.0001441,
468,9.78e-05,
469,0.0001442,
470,0.0001047,
471,0.0001114,
472,0.0001435,
473,0.0001171,
474,0.0001022,
475,0.0001497,
476,9.27e-05,
477,7.58e-05,
478,0.0001388,
479,9.18e-05,
480,0.0001433,
481,0.0001178,
482,9.41e-05,
483,0.0001462,
484,7.81e-05,
485,0.0001434,
486,9.46e-05,
487,0.0001725,
488,7.71e-05,
489,6.55e-05,
490,8.03e-05,
491,0.0001416,
492,0.0001448,
493,0.000123,
494,7.33e-05,
495,9.16e-05,
496,0.0001447,
497,7.96e-05,
498,0.000149,
499,0.0001412,
500,9.64e-05,
501,0.0001422,
502,0.000104,
503,0.000139,
504,8.03e-05,
505,0.0001252,
506,9.22e-05,
507,0.0001083,
508,0.0001571,
509,0.0001348,
510,0.0001158,
511,0.0001231,
512,0.0001736,
513,0.0001472,
514,0.0001419,
515,9.3e-05,
516,0.0001446,
517,0.0001473,
518,0.0001213,
519,9.05e-05,
520,9.41e-05,
521,0.0001442,
522,0.000134,
523,0.0001439,
524,9.6e-05,
525,7.79e-05,
526,0.0001196,
527,0.0001444,
528,9.95e-05,
529,0.0001227,
530,0.0001719,
531,0.0001061,
532,9.35e-05,
533,0.0001167,
534,9.45e-05,
535,0.0001195,
536,9.22e-05,
537,0.0001,
538,0.0001228,
539,0.0001497,
540,0.0001395,
541,0.0001416,
542,0.0001163,
543,0.0001508,
544,0.0001571,
545,0.0001431,
546,9.36e-05,
547,0.000141,
548,0.0001431,
549,9.34e-05,
550,9.57e-05,
551,8.95e-05,
552,0.0001432,
