frame,time
0,2.68e-05,
1,4.6e-05,
2,1.35e-05,
3,2.9e-05,
4,1.41e-05,
5,2.1e-05,
6,1.4e-05,
7,2.07e-05,
8,1.26e-05,
9,2.18e-05,
10,1.74e-05,
11,1.42e-05,
12,1.05e-05,
13,8.8e-06,
14,1.06e-05,
15,1.71e-05,
16,1.17e-05,
17,1.22e-05,
18,1.76e-05,
19,1.22e-05,
20,2.25e-05,
21,1.26e-05,
22,1.23e-05,
23,3.02e-05,
24,1.23e-05,
25,1.18e-05,
26,1.21e-05,
27,3.54e-05,
28,1.26e-05,
29,1.23e-05,
30,9.7e-06,
31,1.17e-05,
32,1.11e-05,
33,1.16e-05,
34,1.09e-05,
35,1.09e-05,
36,8.4e-06,
37,1.14e-05,
38,1.22e-05,
39,1.21e-05,
40,1.15e-05,
41,1.1e-05,
42,1.24e-05,
43,1.1e-05,
44,1.77e-05,
45,1.2e-05,
46,1.26e-05,
47,1.26e-05,
48,1.1e-05,
49,1.23e-05,
50,8.4e-06,
51,1.09e-05,
52,1.2e-05,
53,7.8e-06,
54,7.2e-06,
55,1.11e-05,
56,1.09e-05,
57,1.17e-05,
58,1.17e-05,
59,1.17e-05,
60,8.1e-06,
61,8.3e-06,
62,7.1e-06,
63,1.1e-05,
64,7.4e-06,
65,7.5e-06,
66,1.17e-05,
67,1.11e-05,
68,1.11e-05,
69,1.2e-05,
70,1.1e-05,
71,1.21e-05,
72,8.2e-06,
73,3.4e-05,
74,1.56e-05,
75,1.5e-05,
76,1.19e-05,
77,9.4e-06,
78,7.9e-06,
79,1.1e-05,
80,1.11e-05,
81,1.25e-05,
82,1.14e-05,
83,1.12e-05,
84,1.34e-05,
85,1.25e-05,
86,1.12e-05,
87,1.13e-05,
88,1.1e-05,
89,1.15e-05,
90,7.6e-06,
91,1.1e-05,
92,1.1e-05,
93,1.22e-05,
94,1.11e-05,
95,1.21e-05,
96,1.18e-05,
97,1.09e-05,
98,1.21e-05,
99,1.1e-05,
100,1.23e-05,
101,9.3e-06,
102,8.4e-06,
103,1.12e-05,
104,1.19e-05,
105,1.25e-05,
106,1.18e-05,
107,1.24e-05,
108,1.17e-05,
109,1.19e-05,
110,1.16e-05,
111,1.2e-05,
112,1.47e-05,
113,9e-06,
114,8e-06,
115,7.6e-06,
116,7.5e-06,
117,7.2e-06,
118,1.91e-05,
119,1.12e-05,
120,1.12e-05,
121,1.14e-05,
122,8.8e-06,
123,8.1e-06,
124,7.6e-06,
125,7.2e-06,
126,7e-06,
127,1.1e-05,
128,1.11e-05,
129,1.73e-05,
130,1.09e-05,
131,7.6e-06,
132,1.1e-05,
133,1.17e-05,
134,1.2e-05,
135,1.2e-05,
136,1.14e-05,
137,1.1e-05,
138,1.21e-05,
139,1.21e-05,
140,1.1e-05,
141,1.21e-05,
142,1.16e-05,
143,7.7e-06,
144,1.12e-05,
145,1.1e-05,
146,1.14e-05,
147,1.1e-05,
148,1.2e-05,
149,1.21e-05,
150,1.1e-05,
151,1.19e-05,
152,1.13e-05,
153,3.79e-05,
154,1.18e-05,
155,7.7e-06,
156,7.4e-06,
157,7.4e-06,
158,7.2e-06,
159,7.7e-06,
160,7e-06,
161,1.11e-05,
162,1.11e-05,
163,2.44e-05,
164,8.3e-06,
165,1.1e-05,
166,1.21e-05,
167,1.12e-05,
168,1.12e-05,
169,1.22e-05,
170,1.19e-05,
171,1.09e-05,
172,1.13e-05,
173,7.7e-06,
174,7.8e-06,
175,7.7e-06,
176,7.3e-06,
177,7.3e-06,
178,1.12e-05,
