frame,time
0,5.57e-05,
1,5.2e-05,
2,1.31e-05,
3,1.9e-05,
4,1.97e-05,
5,1.61e-05,
6,1.17e-05,
7,1.3e-05,
8,3.17e-05,
9,2.93e-05,
10,2.66e-05,
11,1.29e-05,
12,2.64e-05,
13,2.95e-05,
14,2.39e-05,
15,1.21e-05,
16,2.55e-05,
17,1.62e-05,
18,2.25e-05,
19,3.21e-05,
20,1.94e-05,
21,2.2e-05,
22,3.83e-05,
23,1.22e-05,
24,2.09e-05,
25,1.56e-05,
26,2.16e-05,
27,2.16e-05,
28,1.54e-05,
29,1.51e-05,
30,3.93e-05,
31,1.44e-05,
32,2.71e-05,
33,2.32e-05,
34,1.19e-05,
35,1.54e-05,
36,1.37e-05,
37,1.54e-05,
38,2.27e-05,
39,2.82e-05,
40,1.26e-05,
41,2.76e-05,
42,1.24e-05,
43,1.7e-05,
44,2.14e-05,
45,5.95e-05,
46,1.14e-05,
47,1.58e-05,
48,1.45e-05,
49,1.52e-05,
50,1.71e-05,
51,5.42e-05,
52,1.35e-05,
53,2.86e-05,
54,2.04e-05,
55,1.44e-05,
56,2.07e-05,
57,1.2e-05,
58,2.25e-05,
59,2.23e-05,
60,2.63e-05,
61,1.31e-05,
62,1.37e-05,
63,3.67e-05,
64,2.71e-05,
65,2.24e-05,
66,2.97e-05,
67,1.37e-05,
68,1.51e-05,
69,6.12e-05,
70,1.62e-05,
71,1.26e-05,
72,7.17e-05,
73,2.77e-05,
74,1.39e-05,
75,1.63e-05,
76,2.66e-05,
77,2.2e-05,
78,3.23e-05,
79,5.62e-05,
80,3.39e-05,
81,1.85e-05,
82,2.17e-05,
83,2.75e-05,
84,2.79e-05,
85,2.71e-05,
86,2.17e-05,
87,2.81e-05,
88,1.3e-05,
89,2.58e-05,
90,6.06e-05,
91,3.95e-05,
92,2.84e-05,
93,2.18e-05,
94,1.78e-05,
95,2.18e-05,
96,1.62e-05,
97,1.51e-05,
98,2.37e-05,
99,1.37e-05,
100,1.54e-05,
101,1.62e-05,
102,3.1e-05,
103,1.36e-05,
104,2.51e-05,
105,2.42e-05,
106,2.61e-05,
107,4.14e-05,
108,2.42e-05,
109,1.21e-05,
110,2.39e-05,
111,2.97e-05,
112,1.31e-05,
113,3.56e-05,
114,2.72e-05,
