frame,time
0,4.45e-05,
1,2.45e-05,
2,2.76e-05,
3,1.85e-05,
4,3.36e-05,
5,1.23e-05,
6,2.74e-05,
7,1.12e-05,
8,1.16e-05,
9,2.43e-05,
10,1.19e-05,
11,1.98e-05,
12,1.03e-05,
13,1.29e-05,
14,2.85e-05,
15,3.45e-05,
16,1.22e-05,
17,1.11e-05,
18,3.48e-05,
19,9.7e-06,
20,1.11e-05,
21,1.14e-05,
22,1.24e-05,
23,1.16e-05,
24,1.17e-05,
25,1.11e-05,
26,1.1e-05,
27,1.1e-05,
28,1.1e-05,
29,1.09e-05,
30,1.1e-05,
31,1.11e-05,
32,1.38e-05,
33,1.11e-05,
34,1.16e-05,
35,2.6e-05,
36,8.1e-06,
37,1.12e-05,
38,8e-06,
39,1.13e-05,
40,1.09e-05,
41,8.7e-06,
42,1.19e-05,
43,7.9e-06,
44,7.9e-06,
45,7.6e-06,
46,1.17e-05,
47,8.4e-06,
48,1.13e-05,
49,1.12e-05,
50,1.1e-05,
51,1.13e-05,
52,9.6e-06,
53,2.17e-05,
54,1.14e-05,
55,1.1e-05,
56,1.1e-05,
57,8.5e-06,
58,1.12e-05,
59,1.12e-05,
60,1.3e-05,
61,1.15e-05,
62,1.16e-05,
63,1.18e-05,
64,1.1e-05,
65,8.5e-06,
66,1.1e-05,
67,1.13e-05,
68,1.09e-05,
69,9e-06,
70,2.37e-05,
71,1.2e-05,
72,1.14e-05,
73,8e-06,
74,1.2e-05,
75,1.15e-05,
76,1.1e-05,
77,1.16e-05,
78,1.09e-05,
79,1.09e-05,
80,1.12e-05,
81,1.23e-05,
82,1.14e-05,
83,1.1e-05,
84,1.11e-05,
85,1.11e-05,
86,8.5e-06,
87,1.44e-05,
88,1.19e-05,
89,8.5e-06,
90,2.54e-05,
91,7.9e-06,
92,1.13e-05,
93,1.09e-05,
94,7.7e-06,
95,1.12e-05,
96,1.11e-05,
97,1.1e-05,
98,8.7e-06,
99,1.1e-05,
100,1.21e-05,
101,1.17e-05,
102,8.3e-06,
103,1.09e-05,
104,3.36e-05,
105,9e-06,
