Label,      DepthPrepass,   DispatchMesh,   Misc
Lucy0,      49.17,          209.92,         34.606
LucyPM0,    52.37,          155.65,         26.924
Lucy1,      49.4340,        268.29,         22.052
LucyPM1,    52.35,          142.74,         29.8      
Lucy2,      52.3980,        240.64,         30.002
LucyPM2,    51.23,          130.05,         28.704
Lucy3,      49.178,         220.16,         33.798
LucyPM3,    50.31,          126.98,         30.294
Lucy4,      47.677,         235.52,         31.651
LucyPM4,    51.26,          142.34,         30.016
