frame,visible_nodes
1,23352,
2,23352,
3,23352,
4,23389,
5,23417,
6,23443,
7,23420,
8,23478,
9,23546,
10,23565,
11,23614,
12,23638,
13,23622,
14,23658,
15,23692,
16,23737,
17,23779,
18,23762,
19,23747,
20,23709,
21,23699,
22,23706,
23,23720,
24,23688,
25,23688,
26,23665,
27,23661,
28,23641,
29,23615,
30,23621,
31,23610,
32,23568,
33,23565,
34,23545,
35,23542,
36,23527,
37,23513,
38,23501,
39,23512,
40,23463,
41,23436,
42,23425,
43,23411,
44,23404,
45,23393,
46,23389,
47,23353,
48,23333,
49,23317,
50,23265,
51,23253,
52,23182,
53,23137,
54,23130,
55,23125,
56,23098,
57,23117,
58,23131,
59,23114,
60,23079,
61,23079,
62,23056,
63,23042,
64,23055,
65,23034,
66,22997,
67,22996,
68,22963,
69,23006,
70,22986,
71,23022,
72,23010,
73,23012,
74,22993,
75,23004,
76,22987,
77,22998,
78,22993,
79,22974,
80,23004,
81,22968,
82,22980,
83,23010,
84,23014,
85,23017,
86,23007,
87,22993,
88,23010,
89,23002,
90,23022,
91,23024,
92,22961,
93,23020,
94,22988,
95,22988,
96,22987,
97,22974,
98,22975,
99,22970,
100,22990,
101,22980,
102,22952,
103,22955,
104,22971,
105,22973,
106,22987,
107,22997,
108,22980,
109,22994,
110,23000,
111,23001,
112,23022,
113,23010,
114,23038,
115,23027,
116,23018,
117,23004,
118,23011,
119,22982,
120,22985,
121,22978,
122,22976,
123,22987,
124,22999,
125,22982,
126,23005,
127,23004,
128,23006,
129,23006,
130,23029,
131,23047,
132,23030,
133,23026,
134,23042,
135,23062,
136,23066,
137,23060,
138,23060,
139,23055,
140,23081,
141,23085,
142,23100,
143,23091,
144,23103,
145,23118,
146,23110,
147,23148,
148,23146,
149,23139,
150,23164,
151,23153,
152,23178,
153,23177,
154,23189,
155,23200,
156,23196,
157,23200,
158,23214,
159,23243,
160,23260,
161,23254,
162,23258,
163,23264,
164,23264,
165,23291,
166,23301,
167,23283,
168,23280,
169,23258,
170,23255,
171,23260,
172,23222,
173,23229,
174,23172,
175,23159,
176,23146,
177,23142,
178,23100,
179,23115,
180,23116,
181,23070,
182,23100,
183,23109,
184,23095,
185,23075,
186,23081,
187,23088,
188,23078,
189,23105,
190,23099,
191,23098,
192,23072,
193,23044,
194,23080,
195,23066,
196,23055,
197,23063,
198,23051,
199,23030,
200,23042,
201,23063,
202,23062,
203,23066,
204,23060,
205,23051,
206,23039,
207,23065,
208,23028,
209,23034,
210,23035,
211,23031,
212,23023,
213,23021,
214,22998,
215,22996,
216,23014,
217,23007,
218,22998,
219,22993,
220,22984,
221,23015,
222,23017,
223,23012,
224,23010,
225,23012,
226,23019,
227,23041,
228,23063,
229,23059,
230,23051,
231,23070,
232,23076,
233,23091,
234,23082,
235,23066,
236,23075,
237,23081,
238,23090,
239,23080,
240,23094,
241,23070,
242,23074,
243,23058,
244,23037,
245,23029,
246,23032,
247,23029,
248,23037,
249,23036,
250,23016,
251,23011,
252,22981,
253,23001,
254,22978,
255,22982,
256,22977,
257,22956,
258,22937,
259,22942,
260,22937,
261,22937,
262,22931,
263,22915,
264,22877,
265,22892,
266,22886,
267,22863,
268,22843,
269,22826,
270,22832,
271,22833,
272,22827,
273,22805,
274,22835,
275,22791,
276,22787,
277,22781,
278,22790,
279,22762,
280,22752,
281,22714,
282,22690,
283,22682,
284,22639,
285,22579,
286,22566,
287,22517,
288,22495,
289,22475,
290,22436,
291,22398,
292,22368,
293,22338,
294,22352,
295,22322,
296,22300,
297,22273,
298,22231,
299,22208,
300,22212,
301,22168,
302,22176,
303,22168,
304,22152,
305,22144,
306,22148,
307,22165,
308,22181,
309,22158,
310,22147,
311,22164,
312,22136,
313,22132,
314,22147,
315,22136,
316,22123,
317,22124,
318,22089,
319,22090,
320,22094,
321,22056,
322,22053,
323,22046,
324,22021,
325,21987,
326,21975,
327,21972,
328,21947,
329,21936,
330,21927,
331,21937,
332,21918,
333,21907,
334,21883,
335,21882,
336,21844,
337,21853,
338,21824,
339,21840,
340,21818,
341,21780,
342,21771,
343,21760,
344,21781,
345,21740,
346,21736,
347,21747,
348,21709,
349,21705,
350,21701,
351,21694,
352,21670,
353,21639,
354,21642,
355,21630,
356,21604,
357,21584,
358,21592,
359,21565,
360,21541,
361,21535,
362,21525,
363,21489,
364,21484,
365,21470,
366,21455,
367,21457,
368,21426,
369,21406,
370,21433,
371,21404,
372,21391,
373,21352,
374,21358,
375,21349,
376,21339,
377,21313,
378,21298,
379,21281,
380,21289,
381,21276,
382,21268,
383,21286,
384,21307,
385,21297,
386,21271,
387,21262,
388,21215,
389,21193,
390,21115,
391,21077,
392,21029,
393,21028,
394,21004,
395,20971,
396,20962,
397,20922,
398,20886,
399,20853,
400,20812,
401,20793,
402,20820,
403,20796,
404,20761,
405,20731,
406,20694,
407,20652,
408,20663,
409,20624,
410,20608,
411,20606,
412,20569,
413,20538,
414,20535,
415,20510,
416,20511,
417,20446,
418,20373,
419,20367,
420,20344,
421,20351,
422,20304,
423,20289,
424,20261,
425,20277,
426,20250,
427,20192,
428,20185,
429,20152,
430,20153,
431,20089,
432,20049,
433,20058,
434,20059,
435,20065,
436,20022,
437,20068,
438,20030,
439,20019,
440,20023,
441,19985,
442,19997,
443,19987,
444,19996,
445,19970,
446,19933,
447,19904,
448,19899,
449,19924,
450,19916,
451,19929,
452,19880,
453,19929,
454,19860,
455,19869,
456,19842,
457,19807,
458,19746,
459,19735,
460,19707,
461,19695,
462,19663,
463,19649,
464,19609,
465,19599,
466,19589,
467,19549,
468,19579,
469,19564,
470,19502,
471,19530,
472,19519,
473,19472,
474,19472,
475,19458,
476,19410,
477,19370,
478,19324,
479,19348,
480,19335,
481,19300,
482,19282,
483,19279,
484,19239,
485,19243,
486,19229,
487,19178,
488,19190,
489,19163,
490,19180,
491,19148,
492,19108,
493,19100,
494,19109,
495,19101,
496,19052,
497,19036,
498,19016,
499,19016,
500,19002,
501,19011,
502,18981,
503,18994,
504,18957,
505,18972,
506,18959,
507,18958,
508,18952,
509,18925,
510,18909,
511,18908,
512,18918,
513,18922,
514,18906,
515,18890,
516,18884,
517,18911,
518,18877,
519,18855,
520,18866,
521,18837,
522,18841,
523,18828,
524,18816,
525,18812,
526,18810,
527,18833,
528,18814,
529,18781,
530,18767,
531,18766,
532,18739,
533,18738,
534,18727,
535,18700,
536,18663,
537,18653,
538,18630,
539,18629,
540,18604,
541,18609,
542,18571,
543,18534,
544,18543,
545,18549,
546,18532,
547,18523,
548,18541,
549,18503,
550,18532,
551,18520,
552,18518,
553,18510,
554,18520,
555,18492,
556,18505,
557,18511,
558,18516,
559,18491,
560,18506,
561,18511,
562,18481,
563,18498,
564,18482,
565,18473,
566,18496,
567,18498,
568,18488,
569,18481,
570,18510,
571,18505,
572,18519,
573,18545,
574,18522,
575,18540,
576,18551,
577,18564,
578,18590,
579,18597,
580,18587,
581,18585,
582,18585,
583,18594,
584,18608,
585,18635,
586,18627,
587,18690,
588,18673,
589,18675,
590,18664,
591,18680,
592,18688,
593,18678,
594,18709,
595,18708,
596,18713,
597,18712,
598,18716,
599,18712,
600,18702,
601,18688,
602,18696,
603,18693,
604,18705,
605,18727,
606,18728,
607,18725,
608,18698,
609,18720,
610,18732,
611,18734,
612,18737,
613,18768,
614,18773,
615,18779,
616,18786,
617,18788,
618,18795,
619,18809,
620,18820,
621,18809,
622,18817,
623,18860,
624,18869,
625,18884,
626,18887,
627,18913,
628,18928,
629,18940,
630,18936,
631,18948,
632,18937,
633,18945,
634,18981,
635,18981,
636,18975,
637,18985,
638,18986,
639,18977,
640,19014,
641,19027,
642,19013,
643,19027,
644,19035,
645,19051,
646,19068,
647,19067,
648,19081,
649,19100,
650,19117,
651,19145,
652,19166,
653,19172,
654,19206,
655,19192,
656,19230,
657,19245,
658,19243,
659,19299,
660,19299,
661,19341,
662,19399,
663,19454,
664,19526,
665,19585,
666,19635,
667,19604,
668,19592,
669,19593,
670,19658,
671,19739,
672,19730,
673,19751,
674,19766,
675,19827,
676,19941,
677,19906,
678,19938,
679,19945,
680,19938,
681,19938,
682,19981,
683,19952,
684,19997,
685,20030,
686,20080,
687,20001,
688,20054,
689,19986,
690,19939,
691,20028,
692,20022,
693,20113,
694,20146,
695,20240,
696,20205,
697,20246,
698,20285,
699,20306,
700,20384,
701,20389,
702,20381,
703,20380,
704,20352,
705,20328,
706,20291,
707,20282,
708,20261,
709,20267,
710,20295,
711,20288,
712,20277,
713,20253,
714,20255,
715,20246,
716,20244,
717,20237,
718,20257,
719,20228,
720,20228,
721,20239,
722,20226,
723,20211,
724,20223,
725,20213,
726,20208,
727,20203,
728,20162,
729,20159,
730,20165,
731,20170,
732,20173,
733,20187,
734,20159,
735,20160,
736,20159,
737,20146,
738,20132,
739,20147,
740,20154,
