frame,visible_nodes
1,20798,
2,20798,
3,20798,
4,20798,
5,20824,
6,20800,
7,20804,
8,20856,
9,20845,
10,20857,
11,20881,
12,20870,
13,20852,
14,20867,
15,20889,
16,20858,
17,20879,
18,20897,
19,20873,
20,20883,
21,20877,
22,20883,
23,20884,
24,20901,
25,20899,
26,20905,
27,20903,
28,20885,
29,20887,
30,20870,
31,20889,
32,20873,
33,20869,
34,20865,
35,20853,
36,20847,
37,20860,
38,20866,
39,20869,
40,20857,
41,20866,
42,20881,
43,20854,
44,20844,
45,20845,
46,20786,
47,20796,
48,20775,
49,20754,
50,20753,
51,20737,
52,20745,
53,20746,
54,20746,
55,20762,
56,20756,
57,20741,
58,20755,
59,20751,
60,20764,
61,20755,
62,20747,
63,20762,
64,20769,
65,20760,
66,20776,
67,20749,
68,20747,
69,20771,
70,20769,
71,20762,
72,20762,
73,20735,
74,20760,
75,20744,
76,20758,
77,20752,
78,20758,
79,20769,
80,20761,
81,20756,
82,20760,
83,20746,
84,20734,
85,20721,
86,20736,
87,20745,
88,20722,
89,20704,
90,20711,
91,20706,
92,20673,
93,20652,
94,20677,
95,20664,
96,20641,
97,20658,
98,20648,
99,20639,
100,20656,
101,20623,
102,20632,
103,20630,
104,20616,
105,20617,
106,20603,
107,20586,
108,20592,
109,20599,
110,20599,
111,20592,
112,20572,
113,20549,
114,20558,
115,20552,
116,20558,
117,20566,
118,20553,
119,20560,
120,20532,
121,20525,
122,20495,
123,20495,
124,20489,
125,20487,
126,20472,
127,20472,
128,20474,
129,20469,
130,20464,
131,20460,
132,20442,
133,20422,
134,20436,
135,20431,
136,20410,
137,20415,
138,20418,
139,20402,
140,20415,
141,20408,
142,20413,
143,20389,
144,20391,
145,20394,
146,20385,
147,20386,
148,20414,
149,20376,
150,20385,
151,20384,
152,20395,
153,20397,
154,20430,
155,20424,
156,20387,
157,20397,
158,20384,
159,20384,
160,20388,
161,20358,
162,20373,
163,20351,
164,20331,
165,20341,
166,20324,
167,20324,
168,20294,
169,20308,
170,20282,
171,20269,
172,20257,
173,20260,
174,20236,
175,20252,
176,20236,
177,20222,
178,20232,
179,20234,
180,20218,
181,20215,
182,20209,
183,20218,
184,20198,
185,20192,
186,20178,
187,20188,
188,20152,
189,20152,
190,20148,
191,20148,
192,20148,
193,20154,
194,20152,
195,20150,
196,20151,
197,20129,
198,20127,
199,20119,
200,20140,
201,20141,
202,20124,
203,20139,
204,20133,
205,20133,
206,20139,
207,20138,
208,20135,
209,20101,
210,20102,
211,20108,
212,20124,
213,20117,
214,20120,
215,20125,
216,20132,
217,20117,
218,20134,
219,20098,
220,20109,
221,20127,
222,20105,
223,20106,
224,20108,
225,20130,
226,20122,
227,20128,
228,20112,
229,20119,
230,20121,
231,20116,
232,20101,
233,20086,
234,20081,
235,20106,
236,20085,
237,20095,
238,20099,
239,20092,
240,20106,
241,20117,
242,20118,
243,20132,
244,20128,
245,20126,
246,20143,
247,20114,
248,20114,
249,20122,
250,20111,
251,20107,
252,20121,
253,20112,
254,20096,
255,20127,
256,20127,
257,20114,
258,20134,
259,20130,
260,20172,
261,20166,
262,20163,
263,20165,
264,20172,
265,20188,
266,20147,
267,20147,
268,20182,
269,20157,
270,20178,
271,20160,
272,20183,
273,20177,
274,20169,
275,20200,
276,20198,
277,20212,
278,20207,
279,20229,
280,20258,
281,20246,
282,20264,
283,20278,
284,20275,
285,20253,
286,20261,
287,20251,
288,20237,
289,20229,
290,20241,
291,20241,
292,20241,
293,20232,
294,20265,
295,20243,
296,20241,
297,20259,
298,20263,
299,20277,
300,20287,
301,20258,
302,20277,
303,20260,
304,20254,
305,20269,
306,20270,
307,20255,
308,20246,
309,20271,
310,20285,
311,20274,
312,20291,
313,20292,
314,20325,
315,20344,
316,20340,
317,20344,
318,20338,
319,20364,
320,20374,
321,20373,
322,20403,
323,20411,
324,20387,
325,20390,
326,20415,
327,20405,
328,20416,
329,20444,
330,20432,
331,20453,
332,20460,
