frame,visible_voxels
1,765806,
2,765806,
3,765806,
4,768015,
5,768588,
6,769107,
7,768045,
8,772032,
9,775116,
10,775725,
11,778061,
12,779696,
13,779466,
14,781658,
15,783114,
16,785108,
17,787632,
18,786650,
19,786188,
20,784617,
21,783273,
22,783658,
23,784457,
24,782468,
25,782111,
26,781083,
27,781433,
28,779759,
29,778551,
30,778828,
31,778335,
32,776451,
33,776323,
34,775218,
35,775155,
36,774894,
37,773741,
38,772702,
39,772995,
40,770784,
41,769591,
42,768716,
43,768018,
44,767196,
45,767174,
46,766927,
47,764746,
48,763481,
49,762422,
50,760137,
51,758864,
52,755566,
53,752635,
54,752322,
55,751460,
56,750516,
57,751376,
58,752080,
59,751689,
60,749827,
61,749268,
62,748340,
63,747562,
64,748690,
65,747030,
66,745562,
67,745361,
68,743867,
69,746225,
70,745207,
71,747403,
72,746943,
73,747455,
74,746329,
75,747164,
76,746506,
77,747113,
78,746716,
79,745655,
80,747759,
81,745759,
82,746338,
83,747670,
84,748049,
85,747673,
86,747058,
87,746191,
88,746576,
89,745704,
90,746748,
91,746755,
92,743515,
93,746633,
94,744263,
95,744223,
96,743974,
97,743636,
98,743744,
99,743233,
100,744385,
101,743870,
102,742052,
103,742454,
104,742881,
105,742841,
106,743710,
107,744392,
108,742992,
109,743885,
110,744376,
111,743710,
112,744879,
113,743781,
114,745100,
115,744510,
116,744091,
117,743331,
118,743900,
119,742813,
120,743339,
121,742883,
122,742129,
123,742918,
124,743399,
125,742288,
126,743293,
127,743032,
128,743315,
129,743302,
130,744296,
131,745197,
132,744272,
133,744275,
134,744422,
135,745582,
136,746346,
137,745697,
138,745811,
139,745878,
140,746939,
141,747444,
142,747838,
143,747229,
144,747726,
145,748763,
146,748402,
147,750822,
148,750419,
149,749936,
150,751048,
151,751014,
152,752111,
153,752073,
154,752775,
155,753380,
156,753091,
157,753298,
158,753841,
159,755536,
160,756053,
161,755704,
162,756862,
163,756666,
164,757315,
165,758048,
166,758788,
167,757645,
168,757876,
169,756843,
170,756293,
171,756164,
172,754243,
173,754445,
174,752420,
175,751457,
176,750948,
177,750712,
178,748199,
179,749139,
180,748983,
181,746587,
182,748193,
183,748638,
184,748224,
185,746912,
186,746459,
187,747233,
188,746534,
189,747760,
190,747204,
191,747589,
192,746380,
193,744683,
194,746249,
195,745412,
196,745051,
197,745166,
198,744722,
199,743740,
200,744037,
201,745071,
202,745533,
203,745712,
204,745896,
205,745210,
206,744327,
207,745845,
208,743945,
209,744252,
210,744149,
211,743782,
212,743625,
213,743666,
214,742845,
215,742656,
216,743747,
217,743861,
218,743679,
219,743365,
220,743228,
221,744235,
222,744721,
223,744533,
224,744452,
225,744909,
226,745714,
227,747198,
228,748259,
229,748041,
230,747491,
231,748493,
232,748754,
233,749666,
234,749408,
235,748690,
236,749524,
237,749840,
238,750250,
239,750047,
240,750863,
241,749712,
242,749998,
243,748904,
244,748513,
245,748201,
246,748022,
247,747772,
248,748065,
249,748009,
250,746719,
251,746474,
252,745007,
253,746092,
254,745005,
255,745205,
256,744802,
257,743902,
258,742867,
259,743525,
260,743117,
261,743109,
262,742660,
263,741808,
264,739993,
265,739943,
266,740451,
267,739437,
268,738147,
269,737768,
270,737585,
271,737260,
272,737586,
273,736963,
274,738912,
275,736580,
276,737005,
277,737472,
278,737991,
279,736167,
280,736280,
281,734397,
282,733470,
283,733229,
284,731492,
285,729437,
286,728677,
287,727219,
288,725851,
289,725061,
290,723653,
291,722410,
292,721413,
293,719939,
294,720768,
295,719929,
296,719035,
297,718273,
298,717007,
299,716204,
300,717323,
301,715599,
302,716381,
303,716738,
304,716267,
305,716714,
306,716781,
307,717942,
308,719132,
309,718472,
310,718598,
311,719386,
312,718423,
313,718584,
314,719315,
315,719017,
316,718402,
317,719346,
318,718010,
319,717705,
320,717942,
321,716252,
322,716684,
323,716295,
324,715128,
325,714373,
326,713396,
327,713379,
328,713031,
329,713020,
330,712471,
331,712816,
332,711764,
333,711465,
334,710281,
335,710805,
336,709338,
337,710451,
338,709062,
339,709924,
340,709206,
341,707632,
342,707841,
343,707248,
344,708831,
345,707209,
346,706942,
347,707648,
348,706037,
349,705908,
350,706107,
351,706152,
352,705422,
353,704799,
354,704820,
355,704339,
356,702900,
357,702304,
358,703073,
359,702288,
360,701297,
361,701366,
362,701261,
363,700022,
364,700547,
365,700013,
366,699533,
367,700039,
368,699264,
369,698486,
370,699655,
371,698355,
372,698030,
373,696518,
374,696672,
375,696494,
