frame,visible_voxels
1,650614,
2,650614,
3,650614,
4,650614,
5,652039,
6,651948,
7,652029,
8,652362,
9,651958,
10,652609,
11,652434,
12,652835,
13,652651,
14,653151,
15,653220,
16,652954,
17,653740,
18,654242,
19,654370,
20,654471,
21,654245,
22,654252,
23,654073,
24,654641,
25,655377,
26,655493,
27,655655,
28,655692,
29,656277,
30,655809,
31,656639,
32,656504,
33,656681,
34,656886,
35,656655,
36,657179,
37,657293,
38,657481,
39,657491,
40,657702,
41,657701,
42,657752,
43,657637,
44,657887,
45,658064,
46,657401,
47,657417,
48,657689,
49,657210,
50,657365,
51,656762,
52,657038,
53,656366,
54,656533,
55,656419,
56,656015,
57,655790,
58,655749,
59,655803,
60,655684,
61,655397,
62,655312,
63,655353,
64,654807,
65,654921,
66,654644,
67,654620,
68,654513,
69,654554,
70,654079,
71,654101,
72,653951,
73,653612,
74,653505,
75,653291,
76,653075,
77,653004,
78,652861,
79,652493,
80,652581,
81,652061,
82,652176,
83,651874,
84,651529,
85,651500,
86,651219,
87,651370,
88,650937,
89,650503,
90,650759,
91,650360,
92,650021,
93,649627,
94,649375,
95,649154,
96,648753,
97,648538,
98,647914,
99,647911,
100,648038,
101,647442,
102,647025,
103,646806,
104,646798,
105,646326,
106,646077,
107,645927,
108,645348,
109,645034,
110,644752,
111,644623,
112,643789,
113,643508,
114,643148,
115,642744,
116,642300,
117,642096,
118,642031,
119,641371,
120,641128,
121,640770,
122,640193,
123,639970,
124,639682,
125,639458,
126,638855,
127,638613,
128,638165,
129,638096,
130,637645,
131,637184,
132,636788,
133,636474,
134,636705,
135,636182,
136,635699,
137,635698,
138,635394,
139,635285,
140,634923,
141,634734,
142,634502,
143,634258,
144,634223,
145,634278,
146,633816,
147,633740,
148,633497,
149,632926,
150,632647,
151,632586,
152,632649,
153,632067,
154,631970,
155,631970,
156,631302,
157,631040,
158,630857,
159,630448,
160,630436,
161,630180,
162,629911,
163,629438,
164,629163,
165,628740,
166,628332,
167,628332,
168,627808,
169,627704,
170,627288,
171,627267,
172,627123,
173,626642,
174,626310,
175,626261,
176,625869,
177,625616,
178,625638,
179,625346,
180,625263,
181,625024,
182,624751,
183,624707,
184,624522,
185,624076,
186,624029,
187,624067,
188,623802,
189,623779,
190,623595,
191,623595,
192,623350,
193,623336,
194,622963,
195,622971,
196,622997,
197,622994,
198,622957,
199,622784,
200,622993,
201,622555,
202,622549,
203,622545,
204,622702,
205,622724,
206,622511,
207,622514,
208,622307,
209,622345,
210,622285,
211,622486,
212,622583,
213,622474,
214,622719,
215,622791,
216,622772,
217,622978,
218,622924,
219,622987,
220,623209,
221,623130,
222,623084,
223,622858,
224,622802,
225,623108,
226,623112,
227,622974,
228,623046,
229,623110,
230,623093,
231,622784,
232,623118,
233,622857,
234,622759,
235,623111,
236,623233,
237,623141,
238,623214,
239,623046,
240,623447,
241,623445,
242,623360,
243,623480,
244,623561,
245,623687,
246,624064,
247,623922,
248,623857,
249,624068,
250,624017,
251,624109,
252,624166,
253,624529,
254,624489,
255,624878,
256,624990,
257,625157,
258,625506,
259,625663,
260,626206,
261,626516,
262,626602,
263,627062,
264,627250,
265,627433,
266,627681,
267,627681,
268,628124,
269,628472,
270,628411,
271,628422,
272,628803,
273,628843,
274,628833,
275,629015,
276,629417,
277,629104,
278,629210,
279,628987,
280,628971,
281,628655,
282,628521,
283,628623,
284,628322,
285,628100,
286,627903,
287,627745,
288,627820,
289,627620,
290,627046,
291,627046,
292,627046,
293,626528,
294,626712,
295,626217,
296,626380,
297,626522,
298,626281,
299,626604,
300,626567,
301,626011,
302,626056,
303,625640,
304,625805,
305,626141,
306,626015,
307,625715,
308,625567,
309,625473,
310,625753,
311,625326,
312,625558,
313,625384,
314,625683,
315,625403,
316,625434,
317,625650,
318,625433,
319,625782,
320,625459,
321,625645,
322,625805,
323,625563,
324,625320,
325,625271,
326,625408,
327,625601,
328,625721,
329,625457,
330,625112,
331,625551,
332,625366,
333,625344,
334,625315,
335,625349,
336,625261,
337,625183,
338,624981,
339,624934,
340,624945,
341,624881,
342,625079,
343,625045,
344,625026,
345,624805,
346,625017,
347,624487,
348,624109,
349,623958,
350,623625,
351,623273,
352,622970,
353,622685,
354,622634,
355,622644,
356,622101,
357,621937,
358,621868,
359,621452,
360,621319,
361,621210,
362,620937,
363,620814,
364,620729,
365,620459,
366,620200,
367,619905,
368,619858,
369,619545,
370,619350,
371,619091,
372,618793,
373,618603,
374,618583,
375,618093,
376,618617,
377,618255,
378,617648,
379,617506,
380,617619,
381,617199,
382,617355,
383,617022,
384,616751,
385,616342,
386,615983,
387,615632,
388,615468,
389,614878,
390,614313,
391,613677,
392,613391,
393,612887,
394,612496,
395,612013,
396,611782,
397,611313,
398,610848,
399,610459,
400,610002,
401,609810,
402,609458,
403,609446,
404,608740,
405,608606,
406,608210,
407,608032,
408,607775,
409,607554,
410,607350,
411,607148,
412,606811,
413,606433,
414,606116,
415,605714,
416,605650,
417,605067,
418,605497,
419,604755,
420,604564,
421,604085,
422,604150,
423,603763,
424,603353,
425,602742,
426,602619,
427,602007,
428,601579,
429,601195,
430,600781,
431,600942,
432,600368,
433,599984,
434,600008,
435,599406,
436,599152,
437,599292,
438,598522,
439,598345,
440,597823,
441,598029,
442,597357,
443,597330,
444,597493,
445,597124,
446,596637,
447,596386,
448,596492,
449,595827,
450,596009,
451,595156,
452,595271,
453,595237,
454,594589,
455,594467,
456,593888,
457,593648,
458,593809,
459,592983,
460,593019,
461,592697,
462,592167,
463,592234,
464,592125,
465,591655,
466,592044,
467,591662,
468,591689,
469,591194,
470,591287,
471,591202,
472,590494,
473,590859,
474,590444,
475,590203,
476,590154,
477,589997,
478,590016,
479,589789,
480,589774,
481,589393,
482,589506,
483,589314,
484,589166,
485,589520,
486,588802,
487,588710,
488,588474,
489,588454,
490,588244,
491,588195,
492,588065,
493,587620,
494,587427,
495,587187,
496,587248,
497,587069,
498,586763,
499,586629,
500,586356,
501,585950,
502,585899,
503,585428,
504,585354,
