frame,visible_nodes
1,3493,
2,3493,
3,3502,
4,3502,
5,3506,
6,3495,
7,3505,
8,3520,
9,3551,
10,3581,
11,3557,
12,3568,
13,3568,
14,3572,
15,3593,
16,3604,
17,3607,
18,3620,
19,3629,
20,3627,
21,3627,
22,3649,
23,3655,
24,3693,
25,3693,
26,3723,
27,3726,
28,3732,
29,3732,
30,3740,
31,3736,
32,3727,
33,3731,
34,3724,
35,3724,
36,3730,
37,3720,
38,3720,
39,3729,
40,3724,
41,3721,
42,3717,
43,3718,
44,3732,
45,3732,
46,3737,
47,3735,
48,3728,
49,3725,
50,3725,
51,3729,
52,3734,
53,3734,
54,3737,
55,3737,
56,3737,
57,3736,
58,3731,
59,3729,
60,3727,
61,3718,
62,3714,
63,3724,
64,3723,
65,3720,
66,3722,
67,3715,
68,3706,
69,3699,
70,3708,
71,3706,
72,3706,
73,3710,
74,3707,
75,3707,
76,3712,
77,3713,
78,3702,
79,3699,
80,3701,
81,3703,
82,3697,
83,3697,
84,3701,
85,3706,
86,3697,
87,3697,
88,3694,
89,3693,
90,3693,
91,3693,
92,3694,
93,3694,
94,3694,
95,3692,
96,3682,
97,3678,
98,3686,
99,3675,
100,3676,
101,3668,
102,3669,
103,3669,
104,3668,
105,3675,
106,3676,
107,3670,
108,3675,
109,3677,
110,3667,
111,3670,
112,3666,
113,3669,
114,3668,
115,3666,
116,3657,
117,3657,
118,3655,
119,3657,
120,3661,
121,3667,
122,3664,
123,3666,
124,3670,
125,3667,
126,3665,
127,3666,
128,3669,
129,3664,
130,3656,
131,3655,
132,3655,
133,3655,
134,3655,
135,3652,
136,3649,
137,3649,
138,3654,
139,3654,
140,3648,
141,3651,
142,3651,
143,3657,
144,3660,
145,3657,
146,3657,
147,3653,
148,3651,
149,3650,
150,3651,
151,3651,
152,3645,
153,3642,
154,3641,
155,3640,
156,3640,
157,3641,
158,3637,
159,3628,
160,3628,
161,3633,
162,3626,
163,3611,
164,3602,
165,3599,
166,3597,
167,3600,
168,3596,
169,3588,
170,3584,
171,3580,
172,3580,
173,3581,
174,3576,
175,3568,
176,3569,
177,3569,
178,3575,
179,3585,
180,3579,
181,3579,
182,3571,
183,3571,
184,3573,
185,3569,
186,3569,
187,3579,
188,3572,
189,3569,
190,3575,
191,3580,
192,3580,
193,3580,
194,3576,
195,3576,
196,3577,
197,3584,
198,3584,
199,3572,
200,3570,
201,3570,
202,3577,
203,3571,
204,3571,
205,3571,
206,3575,
207,3565,
208,3565,
209,3564,
210,3566,
211,3563,
212,3563,
213,3559,
214,3564,
215,3562,
216,3560,
217,3557,
218,3557,
219,3557,
220,3563,
221,3565,
222,3565,
223,3565,
224,3555,
225,3553,
226,3548,
227,3547,
228,3549,
229,3548,
230,3548,
231,3550,
232,3545,
233,3546,
234,3542,
235,3541,
236,3545,
237,3540,
238,3540,
239,3533,
240,3522,
241,3521,
242,3519,
243,3523,
244,3520,
245,3523,
246,3519,
247,3507,
248,3505,
249,3503,
250,3498,
251,3495,
252,3495,
253,3490,
254,3486,
255,3484,
256,3488,
257,3490,
258,3487,
259,3487,
260,3480,
261,3469,
262,3467,
263,3461,
264,3457,
265,3452,
266,3462,
267,3455,
268,3448,
269,3453,
270,3453,
271,3458,
272,3455,
273,3449,
274,3449,
275,3442,
276,3445,
277,3448,
278,3448,
279,3449,
280,3426,
281,3411,
282,3411,
283,3407,
284,3393,
285,3395,
286,3390,
287,3380,
288,3380,
289,3369,
290,3368,
291,3364,
292,3358,
293,3358,
294,3358,
295,3357,
296,3355,
297,3372,
298,3354,
299,3355,
300,3359,
301,3363,
302,3357,
303,3361,
304,3355,
305,3348,
306,3347,
307,3341,
308,3341,
309,3341,
310,3353,
311,3362,
312,3363,
313,3351,
314,3351,
315,3351,
316,3348,
317,3344,
318,3350,
319,3350,
320,3350,
321,3357,
322,3357,
323,3361,
324,3370,
325,3369,
326,3376,
327,3378,
328,3366,
329,3366,
330,3364,
331,3364,
332,3364,
333,3369,
334,3373,
335,3389,
336,3383,
337,3383,
338,3376,
339,3386,
340,3394,
341,3393,
342,3393,
343,3393,
344,3394,
345,3403,
346,3403,
347,3406,
348,3416,
349,3416,
350,3417,
351,3415,
352,3428,
353,3422,
354,3432,
355,3434,
356,3431,
357,3431,
358,3432,
359,3437,
360,3429,
361,3430,
362,3428,
363,3428,
364,3422,
365,3421,
366,3425,
367,3419,
368,3431,
369,3432,
370,3422,
371,3429,
372,3425,
373,3425,
374,3426,
375,3430,
376,3432,
377,3438,
378,3443,
379,3437,
380,3435,
381,3440,
382,3440,
383,3437,
384,3437,
385,3432,
386,3435,
387,3435,
388,3428,
389,3429,
390,3437,
391,3440,
392,3440,
393,3440,
394,3436,
395,3435,
396,3436,
397,3433,
398,3440,
399,3437,
400,3437,
401,3432,
402,3432,
403,3427,
404,3422,
405,3422,
406,3423,
407,3425,
408,3426,
409,3426,
410,3428,
411,3433,
412,3421,
413,3417,
414,3424,
415,3423,
416,3423,
417,3422,
418,3422,
419,3419,
420,3428,
421,3426,
422,3421,
423,3422,
424,3424,
425,3424,
426,3427,
427,3427,
428,3422,
429,3419,
430,3421,
431,3421,
432,3427,
433,3425,
434,3425,
435,3423,
436,3423,
437,3424,
438,3424,
439,3432,
440,3435,
441,3438,
442,3444,
443,3442,
444,3442,
445,3449,
446,3454,
447,3450,
448,3444,
449,3439,
450,3446,
451,3446,
452,3447,
453,3447,
454,3454,
455,3456,
456,3455,
457,3455,
458,3451,
459,3452,
460,3450,
461,3452,
462,3452,
463,3454,
464,3460,
465,3452,
466,3460,
467,3463,
468,3457,
469,3461,
470,3456,
471,3456,
472,3457,
473,3456,
474,3451,
475,3451,
476,3453,
477,3461,
478,3461,
479,3462,
480,3465,
481,3461,
482,3461,
483,3461,
484,3465,
485,3464,
486,3471,
487,3467,
488,3467,
489,3465,
490,3465,
491,3466,
492,3469,
493,3469,
494,3471,
495,3471,
496,3466,
497,3474,
498,3476,
499,3477,
500,3480,
501,3471,
502,3472,
503,3472,
504,3477,
505,3483,
506,3486,
507,3484,
508,3482,
509,3483,
510,3486,
511,3487,
512,3487,
513,3489,
514,3489,
515,3490,
516,3487,
517,3488,
518,3484,
519,3485,
520,3497,
521,3497,
522,3495,
523,3496,
524,3491,
525,3489,
526,3500,
527,3500,
528,3499,
529,3499,
530,3501,
531,3505,
532,3510,
533,3510,
534,3510,
535,3515,
536,3506,
537,3506,
538,3506,
539,3512,
540,3519,
541,3518,
542,3510,
543,3517,
544,3513,
545,3514,
546,3512,
547,3515,
548,3515,
549,3520,
550,3524,
551,3525,
552,3527,
553,3532,
554,3526,
555,3518,
556,3515,
557,3512,
558,3518,
559,3519,
560,3525,
561,3534,
562,3529,
563,3526,
564,3519,
565,3515,
566,3515,
567,3525,
568,3523,
569,3526,
570,3528,
571,3525,
572,3528,
573,3534,
574,3529,
575,3534,
576,3535,
577,3526,
578,3526,
579,3523,
580,3513,
581,3516,
582,3517,
583,3515,
584,3489,
585,3487,
586,3487,
587,3469,
588,3466,
589,3458,
590,3439,
591,3441,
592,3410,
593,3405,
594,3388,
595,3376,
596,3362,
597,3336,
598,3336,
599,3324,
600,3345,
601,3345,
602,3336,
603,3326,
604,3335,
605,3324,
606,3326,
607,3340,
608,3340,
609,3344,
610,3324,
611,3324,
612,3341,
613,3338,
614,3338,
615,3342,
616,3335,
617,3341,
618,3348,
619,3359,
620,3374,
621,3403,
622,3416,
623,3428,
624,3437,
625,3426,
626,3433,
627,3435,
628,3445,
629,3463,
630,3480,
631,3487,
632,3505,
633,3505,
634,3510,
635,3518,
636,3509,
637,3519,
638,3529,
639,3533,
640,3523,
641,3523,
642,3524,
643,3515,
644,3519,
645,3509,
646,3519,
647,3524,
648,3526,
649,3531,
650,3528,
651,3531,
652,3534,
653,3533,
654,3533,
655,3526,
656,3527,
657,3522,
658,3529,
659,3526,
660,3541,
661,3541,
662,3540,
663,3536,
664,3536,
665,3536,
666,3542,
667,3538,
668,3541,
669,3545,
670,3548,
671,3542,
672,3544,
673,3545,
674,3543,
675,3540,
676,3541,
677,3546,
678,3549,
679,3551,
680,3561,
681,3563,
682,3561,
683,3570,
684,3570,
685,3570,
686,3571,
687,3570,
688,3563,
689,3560,
690,3565,
691,3578,
692,3583,
693,3586,
694,3582,
695,3584,
696,3581,
697,3585,
698,3580,
699,3580,
700,3582,
701,3585,
702,3581,
703,3589,
704,3591,
705,3593,
706,3589,
707,3590,
708,3588,
709,3589,
710,3600,
711,3599,
712,3603,
713,3603,
714,3609,
715,3610,
716,3610,
717,3611,
718,3605,
719,3617,
720,3617,
721,3618,
722,3619,
723,3617,
724,3622,
725,3622,
726,3626,
727,3608,
728,3608,
729,3603,
730,3603,
731,3601,
732,3604,
733,3605,
734,3604,
735,3603,
736,3601,
737,3604,
738,3608,
739,3608,
740,3608,
741,3611,
742,3611,
743,3614,
744,3609,
745,3611,
746,3616,
747,3622,
748,3619,
749,3618,
750,3619,
751,3619,
752,3624,
753,3621,
754,3617,
755,3612,
756,3612,
757,3617,
758,3623,
759,3629,
760,3629,
761,3623,
762,3618,
763,3617,
764,3617,
765,3614,
766,3619,
767,3615,
768,3610,
769,3603,
770,3604,
771,3600,
772,3605,
773,3605,
774,3597,
775,3587,
776,3587,
777,3601,
778,3601,
779,3603,
780,3613,
781,3616,
782,3605,
783,3602,
784,3600,
785,3600,
786,3597,
787,3589,
788,3589,
789,3591,
790,3591,
791,3590,
792,3579,
793,3566,
794,3566,
795,3568,
796,3568,
797,3564,
798,3566,
799,3571,
800,3569,
801,3579,
802,3569,
803,3569,
804,3581,
805,3581,
806,3576,
807,3575,
808,3572,
809,3570,
810,3570,
811,3564,
812,3577,
813,3578,
814,3566,
815,3578,
816,3575,
817,3575,
818,3570,
819,3562,
820,3562,
821,3562,
822,3566,
823,3557,
824,3560,
825,3569,
826,3566,
827,3583,
828,3583,
829,3572,
830,3575,
831,3570,
832,3564,
833,3564,
834,3581,
835,3578,
836,3578,
837,3578,
838,3566,
839,3566,
840,3564,
841,3562,
842,3570,
843,3566,
844,3567,
845,3567,
846,3563,
847,3555,
848,3557,
849,3560,
850,3554,
851,3550,
852,3544,
853,3544,
854,3547,
855,3547,
856,3545,
857,3548,
858,3548,
859,3542,
860,3542,
861,3523,
862,3532,
863,3535,
864,3535,
865,3531,
866,3531,
867,3529,
868,3523,
869,3522,
870,3522,
871,3521,
872,3524,
873,3522,
874,3507,
875,3497,
876,3502,
877,3502,
878,3493,
879,3492,
880,3492,
881,3478,
882,3475,
883,3475,
884,3483,
885,3483,
886,3480,
887,3470,
888,3470,
889,3467,
890,3462,
891,3472,
892,3459,
893,3455,
894,3456,
895,3457,
896,3446,
897,3433,
898,3436,
899,3440,
900,3420,
901,3432,
902,3431,
903,3415,
904,3417,
905,3417,
906,3422,
907,3422,
908,3419,
909,3407,
910,3399,
911,3411,
912,3405,
913,3405,
914,3408,
915,3412,
916,3416,
917,3417,
918,3411,
919,3409,
920,3413,
921,3411,
922,3413,
923,3410,
924,3418,
925,3423,
926,3430,
927,3439,
928,3439,
929,3441,
930,3447,
931,3447,
932,3459,
933,3459,
934,3460,
935,3458,
936,3459,
937,3459,
938,3455,
939,3449,
940,3449,
941,3456,
942,3457,
943,3457,
944,3462,
945,3461,
946,3462,
947,3463,
948,3459,
949,3455,
950,3453,
951,3451,
952,3451,
953,3446,
954,3447,
955,3446,
956,3451,
957,3444,
958,3450,
959,3450,
960,3457,
961,3458,
962,3458,
963,3462,
964,3462,
965,3462,
966,3454,
967,3457,
968,3452,
969,3456,
970,3456,
971,3457,
972,3466,
973,3466,
974,3459,
975,3462,
976,3462,
977,3463,
978,3459,
979,3458,
980,3458,
981,3458,
982,3462,
983,3463,
984,3466,
985,3468,
986,3461,
987,3460,
988,3460,
989,3460,
990,3460,
991,3461,
992,3461,
993,3460,
994,3449,
995,3449,
996,3451,
997,3449,
998,3447,
999,3443,
1000,3442,
1001,3442,
1002,3437,
1003,3433,
1004,3435,
1005,3437,
1006,3438,
1007,3438,
1008,3439,
1009,3439,
1010,3437,
1011,3437,
1012,3437,
1013,3434,
1014,3426,
1015,3423,
1016,3422,
1017,3413,
1018,3414,
1019,3418,
1020,3423,
1021,3410,
1022,3418,
1023,3413,
1024,3410,
1025,3411,
1026,3409,
1027,3399,
1028,3399,
1029,3407,
1030,3409,
1031,3405,
1032,3405,
1033,3398,
1034,3398,
1035,3402,
1036,3397,
1037,3389,
1038,3390,
1039,3393,
1040,3399,
1041,3399,
1042,3398,
1043,3398,
1044,3398,
1045,3394,
1046,3394,
1047,3400,
1048,3400,
1049,3401,
1050,3406,
1051,3406,
1052,3403,
1053,3402,
1054,3408,
1055,3405,
1056,3408,
1057,3403,
1058,3396,
1059,3396,
1060,3402,
1061,3405,
1062,3398,
1063,3391,
1064,3391,
1065,3393,
1066,3388,
1067,3387,
1068,3376,
1069,3373,
1070,3381,
1071,3385,
1072,3385,
1073,3387,
1074,3389,
1075,3384,
1076,3379,
1077,3382,
1078,3375,
1079,3371,
1080,3371,
1081,3377,
1082,3377,
1083,3378,
1084,3370,
1085,3362,
1086,3360,
1087,3360,
1088,3358,
1089,3351,
1090,3351,
1091,3350,
1092,3350,
1093,3356,
1094,3353,
1095,3347,
1096,3354,
1097,3352,
1098,3353,
1099,3353,
1100,3351,
1101,3341,
1102,3339,
1103,3334,
1104,3335,
1105,3333,
1106,3333,
1107,3339,
1108,3342,
1109,3348,
1110,3342,
1111,3342,
1112,3338,
1113,3329,
1114,3326,
1115,3326,
1116,3327,
1117,3323,
1118,3324,
1119,3323,
1120,3322,
1121,3314,
1122,3314,
1123,3314,
1124,3313,
1125,3309,
1126,3311,
1127,3310,
1128,3310,
1129,3310,
1130,3310,
1131,3313,
1132,3313,
1133,3307,
1134,3310,
1135,3310,
1136,3310,
1137,3313,
1138,3313,
1139,3307,
1140,3309,
1141,3307,
1142,3304,
1143,3304,
1144,3313,
1145,3301,
1146,3305,
