frame,visible_nodes
1,2259,
2,2259,
3,2264,
4,2264,
5,2264,
6,2240,
7,2240,
8,2242,
9,2244,
10,2248,
11,2244,
12,2250,
13,2250,
14,2241,
15,2237,
16,2239,
17,2236,
18,2235,
19,2233,
20,2226,
21,2228,
22,2231,
23,2220,
24,2231,
25,2231,
26,2223,
27,2217,
28,2215,
29,2215,
30,2220,
31,2214,
32,2214,
33,2206,
34,2206,
35,2218,
36,2218,
37,2202,
38,2190,
39,2200,
40,2199,
41,2194,
42,2194,
43,2194,
44,2189,
45,2191,
46,2192,
47,2187,
48,2190,
49,2182,
50,2182,
51,2173,
52,2188,
53,2176,
54,2174,
55,2166,
56,2171,
57,2170,
58,2170,
59,2167,
60,2166,
61,2162,
62,2162,
63,2163,
64,2168,
65,2154,
66,2155,
67,2158,
68,2158,
69,2149,
70,2149,
71,2149,
72,2147,
73,2149,
74,2145,
75,2147,
76,2134,
77,2133,
78,2131,
79,2131,
80,2129,
81,2131,
82,2132,
83,2132,
84,2129,
85,2123,
86,2125,
87,2120,
88,2122,
89,2118,
90,2122,
91,2117,
92,2121,
93,2112,
94,2114,
95,2120,
96,2122,
97,2117,
98,2117,
99,2116,
100,2116,
101,2118,
102,2118,
103,2117,
104,2113,
105,2118,
106,2113,
107,2096,
108,2096,
109,2098,
110,2094,
111,2100,
112,2091,
113,2097,
114,2089,
115,2088,
116,2087,
117,2086,
118,2086,
119,2076,
120,2075,
121,2075,
122,2071,
123,2071,
124,2068,
125,2062,
126,2056,
127,2059,
128,2058,
129,2050,
130,2053,
131,2065,
132,2054,
133,2047,
134,2047,
135,2059,
136,2041,
137,2048,
138,2052,
139,2049,
140,2043,
141,2043,
142,2038,
143,2034,
144,2034,
145,2036,
146,2038,
147,2023,
148,2035,
149,2035,
150,2030,
151,2028,
152,2031,
153,2028,
154,2030,
155,2030,
156,2026,
157,2022,
158,2036,
159,2031,
160,2033,
161,2025,
162,2030,
163,2035,
164,2028,
165,2031,
166,2024,
167,2019,
168,2023,
169,2023,
170,2022,
171,2022,
172,2025,
173,2017,
174,2017,
175,2024,
176,2024,
177,2026,
178,2021,
179,2015,
180,2016,
181,2029,
182,2027,
183,2020,
184,2026,
185,2026,
186,2023,
187,2027,
188,2028,
189,2023,
190,2025,
191,2019,
192,2024,
193,2028,
194,2028,
195,2022,
196,2038,
197,2038,
198,2028,
199,2026,
200,2032,
201,2044,
202,2034,
203,2034,
204,2040,
205,2035,
206,2037,
207,2040,
208,2037,
209,2046,
210,2039,
211,2046,
212,2049,
213,2048,
214,2048,
215,2038,
216,2047,
217,2047,
218,2050,
219,2054,
220,2052,
221,2055,
222,2051,
223,2051,
224,2049,
225,2049,
226,2049,
227,2053,
228,2053,
229,2056,
230,2050,
231,2049,
232,2050,
233,2053,
234,2046,
235,2058,
236,2053,
237,2053,
238,2045,
239,2062,
240,2057,
241,2043,
242,2052,
243,2052,
244,2044,
245,2048,
246,2043,
247,2043,
248,2044,
249,2036,
250,2044,
251,2043,
252,2043,
253,2044,
254,2043,
255,2042,
256,2048,
257,2048,
258,2050,
259,2042,
260,2051,
261,2039,
262,2045,
263,2045,
264,2049,
265,2049,
266,2044,
267,2039,
268,2051,
269,2051,
270,2049,
271,2050,
