frame,visible_voxels
1,138080,
2,138080,
3,138589,
4,138589,
5,138733,
6,138543,
7,139239,
8,139910,
9,141703,
10,143199,
11,142000,
12,142756,
13,142756,
14,143163,
15,144191,
16,144834,
17,144939,
18,145796,
19,146398,
20,146066,
21,146066,
22,147258,
23,147819,
24,149667,
25,149667,
26,151653,
27,151738,
28,152126,
29,152126,
30,152395,
31,152174,
32,151713,
33,151936,
34,151518,
35,151518,
36,151989,
37,151447,
38,151447,
39,151946,
40,151873,
41,151777,
42,151540,
43,151539,
44,152439,
45,152439,
46,152756,
47,152661,
48,152268,
49,152153,
50,152179,
51,152406,
52,152620,
53,152620,
54,152918,
55,152919,
56,152919,
57,152827,
58,152522,
59,152433,
60,152402,
61,151917,
62,151639,
63,152244,
64,152166,
65,151860,
66,151964,
67,151601,
68,151135,
69,150765,
70,151161,
71,151129,
72,151188,
73,151489,
74,151424,
75,151424,
76,151745,
77,151782,
78,151203,
79,151049,
80,151050,
81,151076,
82,150810,
83,150810,
84,151018,
85,151202,
86,150748,
87,150688,
88,150441,
89,150226,
90,150226,
91,150399,
92,150565,
93,150565,
94,150513,
95,150437,
96,149929,
97,149817,
98,150120,
99,149593,
100,149702,
101,149248,
102,149391,
103,149391,
104,149269,
105,149643,
106,149730,
107,149477,
108,149566,
109,149755,
110,149395,
111,149570,
112,149320,
113,149315,
114,149296,
115,149248,
116,148891,
117,148891,
118,148795,
119,148790,
120,148966,
121,149260,
122,149189,
123,149137,
124,149429,
125,149371,
126,149409,
127,149426,
128,149562,
129,149286,
130,148908,
131,148885,
132,148885,
133,148956,
134,148956,
135,148684,
136,148674,
137,148674,
138,148854,
139,148879,
140,148547,
141,148526,
142,148526,
143,148850,
144,149060,
145,149053,
146,149053,
147,148829,
148,148711,
149,148569,
150,148668,
151,148668,
152,148638,
153,148252,
154,148238,
155,148234,
156,148297,
157,148340,
158,148173,
159,147852,
160,147852,
161,148117,
162,147844,
163,147206,
164,146688,
165,146602,
166,146586,
167,146639,
168,146421,
169,145967,
170,145748,
171,145418,
172,145533,
173,145518,
174,145308,
175,144899,
176,144919,
177,144919,
178,145202,
179,145908,
180,145535,
181,145487,
182,144958,
183,144958,
184,145103,
185,144975,
186,144975,
187,145307,
188,145005,
189,145066,
190,145227,
191,145678,
192,145719,
193,145719,
194,145392,
195,145392,
196,145437,
197,146037,
198,146037,
199,145524,
200,145535,
201,145535,
202,145740,
203,145542,
204,145586,
205,145586,
206,145671,
207,145284,
208,145402,
209,145447,
210,145489,
211,145248,
212,145248,
213,145177,
214,145490,
215,145444,
216,145436,
217,145304,
218,145304,
219,145282,
220,145686,
