frame,visible_voxels
1,90645,
2,90645,
3,90569,
4,90569,
5,90569,
6,90434,
7,90434,
8,90531,
9,90463,
10,90481,
11,90464,
12,90370,
13,90370,
14,90342,
15,90263,
16,90243,
17,90159,
18,90106,
19,90137,
20,90130,
21,90113,
22,90098,
23,89898,
24,89911,
25,89911,
26,89876,
27,89745,
28,89743,
29,89743,
30,89733,
31,89645,
32,89512,
33,89447,
34,89337,
35,89243,
36,89243,
37,89222,
38,89196,
39,89152,
40,89090,
41,88966,
42,88966,
43,89007,
44,88988,
45,88943,
46,88876,
47,88838,
48,88800,
49,88744,
50,88744,
51,88667,
52,88598,
53,88561,
54,88538,
55,88421,
56,88397,
57,88387,
58,88387,
59,88376,
60,88271,
61,88182,
62,88182,
63,88053,
64,87990,
65,87983,
66,87992,
67,87870,
68,87870,
69,87817,
70,87759,
71,87759,
72,87712,
73,87611,
74,87575,
75,87570,
76,87456,
77,87389,
78,87397,
79,87408,
80,87328,
81,87277,
82,87298,
83,87266,
84,87147,
85,87218,
86,87120,
87,87051,
88,87032,
89,86981,
90,86948,
91,86931,
92,86838,
93,86861,
94,86784,
95,86748,
96,86672,
97,86696,
98,86696,
99,86611,
100,86501,
101,86463,
102,86463,
103,86440,
104,86438,
105,86375,
106,86372,
107,86141,
108,86141,
109,86128,
110,86035,
111,85940,
112,85984,
113,85906,
114,85864,
115,85937,
116,85824,
117,85687,
118,85687,
119,85634,
120,85622,
121,85622,
122,85581,
123,85581,
124,85455,
125,85355,
126,85286,
127,85290,
128,85280,
129,85210,
130,85240,
131,85158,
132,85120,
133,85069,
134,85069,
135,85030,
136,84990,
137,84944,
138,84910,
139,84878,
140,84817,
141,84817,
142,84700,
143,84735,
144,84735,
145,84710,
146,84601,
147,84618,
148,84582,
149,84582,
150,84489,
151,84382,
152,84476,
153,84456,
154,84391,
155,84391,
156,84316,
157,84343,
158,84267,
159,84345,
160,84299,
161,84255,
162,84303,
163,84194,
164,84188,
165,84226,
166,84210,
167,84150,
168,84095,
169,84100,
170,84111,
171,84111,
172,84155,
173,84022,
174,84022,
175,84095,
176,84049,
177,83957,
178,84007,
179,84021,
180,84003,
181,84001,
182,84004,
183,83937,
184,83949,
185,83949,
186,83953,
187,83936,
188,84012,
189,84000,
190,83903,
191,83922,
192,83937,
193,83898,
194,83953,
195,83908,
196,84006,
197,84006,
198,83947,
199,84028,
200,84029,
201,84004,
202,83973,
203,83973,
204,84012,
205,83982,
206,84050,
207,84111,
208,84140,
209,84132,
210,84069,
211,84101,
212,84161,
213,84228,
214,84228,
215,84117,
216,84127,
217,84209,
218,84200,
219,84244,
220,84273,
221,84287,
222,84280,
223,84280,
224,84349,
225,84308,
226,84308,
227,84245,
228,84245,
229,84463,
230,84493,
231,84295,
232,84402,
233,84454,
234,84378,
235,84382,
236,84443,
237,84443,
238,84433,
239,84399,
240,84471,
241,84427,
242,84473,
243,84473,
244,84409,
245,84509,
246,84331,
247,84331,
248,84414,
249,84338,
250,84433,
251,84347,
252,84420,
253,84465,
254,84375,
255,84383,
256,84390,
257,84390,
258,84472,
259,84411,
260,84425,
261,84426,
262,84409,
263,84409,
264,84508,
265,84508,
266,84461,
267,84526,
268,84515,
269,84494,
270,84400,
271,84554,
272,84320,
273,84320,
274,84775,
275,84775,
276,84662,
277,84676,
278,84706,
279,84688,
280,84560,
281,84729,
282,84711,
283,84695,
284,84678,
285,84759,
286,84759,
287,84736,
288,84852,
289,84833,
290,84721,
291,84916,
292,84916,
293,84894,
294,84844,
295,84914,
296,84954,
297,85028,
298,84984,
299,85119,
300,85119,
301,84945,
302,85219,
303,85219,
304,85112,
305,85203,
306,85149,
307,85234,
308,85325,
309,85325,
310,85381,
311,85357,
312,85473,
313,85473,
314,85423,
315,85489,
316,85467,
317,85501,
318,85526,
319,85516,
320,85454,
321,85576,
322,85654,
323,85654,
324,85670,
325,85724,
326,85724,
327,85625,
328,85625,
329,85713,
330,85871,
331,85886,
332,85879,
333,85879,
334,85999,
335,85959,
336,85837,
337,85837,
338,86017,
339,86063,
340,86196,
341,86196,
342,86319,
343,86319,
344,86444,
345,86490,
346,86587,
347,86776,
348,86602,
349,86602,
350,86803,
351,86803,
352,86970,
353,87008,
354,87083,
355,87214,
356,87200,
357,87266,
358,87367,
359,87392,
360,87449,
361,87526,
362,87575,
363,87595,
364,87651,
365,87764,
366,87764,
367,87851,
368,88006,
369,87978,
370,87978,
371,88110,
372,88139,
373,88329,
374,88329,
375,88253,
376,88310,
377,88310,
378,88638,
379,88544,
380,88727,
381,88677,
382,88746,
383,88796,
384,88937,
385,88920,
386,89034,
387,89114,
388,89239,
389,89239,
390,89253,
391,89253,
392,89414,
393,89414,
394,89503,
395,89503,
396,89675,
397,89732,
398,89927,
399,89927,
400,90015,
401,89879,
402,89910,
403,90190,
404,90112,
405,90302,
406,90158,
407,90526,
408,90278,
409,90399,
410,90571,
411,90542,
412,90656,
413,90656,
414,90749,
415,90811,
416,90899,
417,90999,
418,91160,
419,91238,
420,91349,
421,91349,
422,91759,
423,91668,
424,91859,
425,91859,
426,91909,
427,92037,
428,92288,
429,92288,
430,92274,
431,92347,
432,92523,
433,92582,
434,92684,
435,92919,
436,92919,
437,92984,
438,92984,
439,93192,
440,93118,
441,93118,
442,93276,
443,93451,
444,93521,
445,93521,
446,93567,
447,93642,
448,93642,
449,93771,
450,93660,
451,93900,
452,93833,
453,93966,
454,93966,
455,94185,
456,94230,
457,94254,
458,94457,
459,94697,
460,94697,
461,94881,
462,94959,
463,94959,
464,95015,
465,95149,
466,95149,
467,95405,
468,95412,
469,95697,
470,95763,
471,95763,
472,95911,
473,95911,
474,96042,
475,96042,
476,96115,
477,96439,
478,96273,
479,96660,
480,96660,
481,96787,
482,96913,
483,97195,
484,97151,
485,97485,
486,97855,
487,97855,
488,98214,
489,98206,
490,98206,
491,98360,
492,98863,
493,98863,
494,98979,
495,99305,
496,99544,
497,99692,
498,99858,
499,100187,
500,100299,
501,100377,
502,100561,
503,100678,
504,100795,
505,101037,
506,101139,
507,101284,
508,101284,
509,101591,
510,101644,
511,101670,
512,102098,
513,101992,
514,102067,
515,102428,
516,102414,
517,102431,
518,102635,
519,102586,
520,102819,
521,102907,
522,102845,
523,103078,
524,103282,
525,103304,
526,103497,
527,103636,
528,103624,
529,103738,
530,103791,
531,103915,
532,104168,
533,104189,
534,104189,
535,104361,
536,104361,
537,104485,
538,104485,
539,104827,
540,104959,
541,105028,
542,104930,
543,104930,
544,105142,
545,105080,
546,105203,
547,105203,
548,105274,
549,105479,
550,105256,
551,105540,
552,105540,
553,105388,
554,105457,
555,105674,
556,105562,
557,105838,
558,105651,
559,105709,
560,105900,
561,105639,
562,106007,
563,106098,
564,105939,
565,105778,
566,106074,
567,106074,
568,106092,
569,106102,
570,106150,
571,106163,
572,106300,
573,106240,
574,106240,
575,106288,
576,106780,
577,106357,
578,106357,
579,106559,
580,106559,
581,106583,
582,106007,
583,106521,
584,106932,
585,106438,
586,106423,
587,106423,
588,106459,
589,106635,
590,106158,
591,106761,
592,106366,
593,106366,
594,106229,
595,106213,
596,106287,
597,106013,
