frame,visible_nodes
1,7981,
2,7981,
3,7981,
4,7992,
5,7977,
6,7980,
7,7997,
8,8001,
9,7997,
10,7997,
11,8011,
12,8012,
13,8026,
14,8039,
15,8040,
16,8031,
17,8040,
18,8073,
19,8073,
20,8062,
21,8075,
22,8084,
23,8095,
24,8111,
25,8114,
26,8128,
27,8144,
28,8141,
29,8152,
30,8169,
31,8170,
32,8176,
33,8180,
34,8190,
35,8202,
36,8219,
37,8238,
38,8251,
39,8263,
40,8269,
41,8289,
42,8311,
43,8336,
44,8357,
45,8387,
46,8401,
47,8428,
48,8452,
49,8504,
50,8518,
51,8599,
52,8643,
53,8735,
54,8755,
55,8785,
56,8777,
57,8804,
58,8813,
59,8808,
60,8817,
61,8835,
62,8850,
63,8847,
64,8864,
65,8874,
66,8889,
67,8897,
68,8899,
69,8904,
70,8910,
71,8936,
72,8952,
73,8960,
74,8975,
75,8972,
76,8990,
77,9002,
78,9003,
79,9000,
80,9001,
81,9006,
82,9020,
83,9013,
84,9022,
85,9023,
86,9036,
87,9031,
88,9044,
89,9041,
90,9064,
91,9058,
92,9062,
93,9072,
94,9067,
95,9066,
96,9063,
97,9058,
98,9043,
99,9025,
100,9022,
101,9016,
102,8997,
103,8983,
104,8974,
105,8973,
106,8964,
107,8968,
108,8956,
109,8945,
110,8947,
111,8932,
112,8946,
113,8947,
114,8934,
115,8932,
116,8917,
117,8921,
118,8917,
119,8914,
120,8914,
121,8903,
122,8893,
123,8901,
124,8903,
125,8875,
126,8878,
127,8874,
128,8877,
129,8863,
130,8874,
131,8866,
132,8858,
133,8855,
134,8865,
135,8845,
136,8843,
137,8847,
138,8836,
139,8834,
140,8824,
141,8833,
142,8828,
143,8821,
144,8819,
145,8818,
146,8810,
147,8813,
148,8802,
149,8809,
150,8803,
151,8802,
152,8802,
153,8798,
154,8806,
155,8800,
156,8798,
157,8792,
158,8790,
159,8794,
160,8785,
161,8787,
162,8778,
163,8778,
164,8780,
165,8781,
166,8765,
167,8764,
168,8775,
169,8760,
170,8750,
171,8733,
172,8725,
173,8696,
174,8679,
175,8663,
176,8650,
177,8630,
178,8625,
