frame,visible_nodes
1,3704,
2,3704,
3,3704,
4,3692,
5,3697,
6,3695,
7,3702,
8,3706,
9,3718,
10,3733,
11,3739,
12,3744,
13,3741,
14,3752,
15,3744,
16,3749,
17,3763,
18,3779,
19,3768,
20,3785,
21,3770,
22,3795,
23,3787,
24,3796,
25,3804,
26,3790,
27,3790,
28,3799,
29,3805,
30,3809,
31,3808,
32,3813,
33,3811,
34,3813,
35,3811,
36,3821,
37,3811,
38,3819,
39,3812,
40,3806,
41,3813,
42,3804,
43,3820,
44,3798,
45,3808,
46,3816,
47,3794,
48,3807,
49,3813,
50,3804,
51,3803,
52,3806,
53,3805,
54,3803,
55,3812,
56,3805,
57,3807,
58,3813,
59,3811,
60,3815,
61,3813,
62,3814,
63,3839,
64,3828,
65,3831,
66,3836,
67,3845,
68,3854,
69,3852,
70,3854,
71,3867,
72,3871,
73,3877,
74,3881,
75,3886,
76,3884,
77,3890,
78,3897,
79,3899,
80,3916,
81,3907,
82,3913,
83,3918,
84,3915,
85,3918,
86,3923,
87,3930,
88,3924,
89,3934,
90,3938,
91,3935,
92,3940,
93,3937,
94,3948,
95,3952,
96,3960,
97,3954,
98,3956,
99,3964,
100,3968,
101,3972,
102,3978,
103,3979,
104,3977,
105,3979,
106,3980,
107,3984,
108,3987,
109,3994,
110,3997,
111,3994,
112,4001,
113,4001,
114,4002,
115,4013,
116,4020,
117,4012,
118,4027,
119,4033,
120,4030,
121,4034,
122,4051,
123,4036,
124,4036,
125,4060,
126,4038,
127,4049,
128,4052,
129,4046,
130,4049,
131,4054,
132,4057,
133,4053,
134,4050,
135,4056,
136,4056,
137,4064,
138,4058,
139,4066,
140,4067,
141,4064,
142,4069,
143,4069,
144,4074,
145,4085,
146,4083,
147,4074,
148,4079,
149,4075,
150,4074,
151,4078,
152,4083,
153,4074,
154,4089,
155,4076,
156,4081,
157,4081,
158,4088,
159,4076,
160,4091,
161,4076,
162,4078,
163,4080,
164,4080,
165,4078,
166,4080,
167,4081,
168,4081,
169,4075,
170,4080,
171,4082,
172,4080,
173,4078,
174,4079,
175,4075,
176,4081,
177,4074,
178,4074,
179,4075,
180,4075,
181,4079,
182,4075,
183,4069,
184,4070,
185,4073,
186,4069,
187,4064,
188,4066,
189,4071,
190,4074,
191,4072,
192,4065,
193,4067,
194,4071,
195,4072,
196,4068,
197,4067,
