frame,visible_voxels
1,382924,
2,382924,
3,382924,
4,383797,
5,382846,
6,383343,
7,384550,
8,384566,
9,384360,
10,384360,
11,385199,
12,385233,
13,386242,
14,386992,
15,387117,
16,386712,
17,387285,
18,389281,
19,389226,
20,388569,
21,389362,
22,390025,
23,390686,
24,391694,
25,391838,
26,392651,
27,393603,
28,393343,
29,394151,
30,395297,
31,395209,
32,395695,
33,395941,
34,396583,
35,397322,
36,398439,
37,399583,
38,400400,
39,401260,
40,401554,
41,402947,
42,404235,
43,405799,
44,407185,
45,409146,
46,410038,
47,411842,
48,413453,
49,416749,
50,417609,
51,422642,
52,424850,
53,428894,
54,429817,
55,431689,
56,431275,
57,432975,
58,433534,
59,433351,
60,433866,
61,435018,
62,436051,
63,435792,
64,436853,
65,437542,
66,438483,
67,439009,
68,439137,
69,439509,
70,439845,
71,441013,
72,441484,
73,441715,
74,442805,
75,442551,
76,443658,
77,444446,
78,444543,
79,444363,
80,444373,
81,444786,
82,445733,
83,445190,
84,445698,
85,445829,
86,446585,
87,446118,
88,446950,
89,446858,
90,447881,
91,447641,
92,447816,
93,448426,
94,448117,
95,448094,
96,447945,
97,447836,
98,447272,
99,446332,
100,446284,
101,445895,
102,445085,
103,444087,
104,443587,
105,443483,
106,442923,
107,443167,
108,442404,
109,441683,
110,441727,
111,440895,
112,441769,
113,441848,
114,441023,
115,440804,
116,439939,
117,440215,
118,439884,
119,439929,
120,439876,
121,439193,
122,438606,
123,439134,
124,439076,
125,437353,
126,437511,
127,437279,
128,437442,
129,436628,
130,437250,
131,436848,
132,436266,
133,436064,
134,436646,
135,435472,
136,435267,
137,435520,
138,434843,
139,434820,
140,434180,
141,434804,
142,434532,
143,433952,
144,433860,
145,433844,
146,433236,
147,433428,
148,432782,
149,433230,
150,432756,
151,432772,
152,432724,
153,432494,
154,432980,
155,432708,
156,432580,
157,432148,
158,432096,
159,432244,
160,431763,
161,431796,
162,431316,
163,431460,
164,431662,
165,431571,
166,430772,
167,430589,
168,431364,
169,430280,
170,429767,
171,429330,
172,429019,
173,427523,
174,426816,
175,425814,
176,425040,
177,423907,
178,423406,
179,422632,
180,423126,
181,422253,
182,421040,
183,420909,
184,421867,
185,420885,
186,421635,
187,420471,
188,420359,
189,420619,
190,420437,
191,419273,
192,419433,
193,418809,
194,417854,
195,418066,
196,417082,
197,417193,
198,416341,
199,416965,
200,416245,
201,416677,
202,415757,
203,415581,
204,415669,
205,414713,
206,414237,
207,413305,
208,413353,
209,413113,
210,413041,
211,413625,
212,412265,
213,412313,
214,412813,
215,412545,
216,413297,
217,411441,
218,411477,
219,411625,
220,412129,
221,411953,
222,412161,
223,411784,
224,413001,
225,412577,
226,413189,
227,412925,
228,413169,
229,413601,
230,413585,
231,413837,
232,414817,
233,414845,
234,414573,
235,415009,
236,415349,
237,415641,
238,416033,
239,415705,
240,416793,
241,417157,
242,416865,
243,417049,
244,417861,
245,417697,
246,417541,
247,417897,
248,417513,
249,419089,
250,418921,
251,419237,
252,418827,
253,419273,
254,419409,
255,420155,
256,420309,
257,420313,
258,420171,
259,420789,
260,420809,
261,420569,
262,420635,
263,421227,
264,421257,
265,422229,
266,422303,
267,421701,
268,422373,
269,421937,
270,422343,
271,422469,
272,422137,
273,422523,
274,423215,
275,423531,
276,423933,
277,424397,
278,425283,
279,425156,
280,425866,
281,426132,
282,426711,
283,427248,
284,427696,
285,428376,
286,429464,
287,429772,
288,429657,
289,429745,
290,430149,
291,429985,
292,430221,
293,430571,
294,430507,
295,431669,
296,431777,
297,431017,
298,431365,
299,431941,
300,431664,
301,431837,
302,432685,
303,432293,
304,432853,
305,433507,
306,433718,
307,433511,
308,433889,
309,433973,
310,433813,
311,434224,
312,435610,
313,435264,
314,435808,
315,436788,
316,436481,
317,436838,
318,436694,
319,437803,
320,437826,
321,438224,
322,439028,
323,439705,
324,439849,
325,439328,
326,440065,
327,440693,
328,440309,
329,441174,
330,441626,
331,441339,
332,441087,
333,441343,
334,441415,
335,441420,
336,442316,
337,442789,
338,442405,
339,442281,
340,443261,
341,442884,
342,443721,
343,443049,
344,442995,
345,443363,
346,443303,
347,443543,
348,443595,
349,444407,
350,443267,
351,444109,
352,443545,
353,444221,
354,444151,
355,443611,
356,444192,
357,444232,
358,444332,
359,444439,
360,444817,
361,445276,
362,445557,
363,444482,
364,444971,
365,444584,
366,444910,
367,444728,
368,445242,
369,444174,
370,445210,
371,445228,
372,445016,
373,445102,
374,444590,
375,444718,
376,445584,
377,444365,
378,444818,
379,444984,
380,444810,
381,444698,
382,444625,
383,444305,
384,443898,
385,444912,
386,444759,
387,444313,
388,443793,
389,444206,
390,444853,
391,444802,
392,444248,
393,444808,
394,444424,
395,444704,
396,444143,
397,444698,
398,443924,
399,443799,
400,444250,
401,444974,
402,444940,
403,444726,
404,443620,
405,443900,
406,444140,
407,443996,
408,443495,
409,444132,
410,443900,
411,443840,
412,444116,
413,444080,
414,443835,
415,443864,
416,442760,
417,443260,
418,443516,
419,443356,
420,442908,
421,443484,
422,443020,
423,442844,
424,443260,
425,443056,
426,443184,
427,442604,
428,443116,
429,442780,
430,442716,
431,442200,
432,442508,
433,442104,
434,441500,
435,441756,
436,441968,
437,441980,
438,441516,
439,441744,
440,441228,
441,441596,
442,440744,
443,440747,
444,440861,
445,441153,
446,439900,
447,440716,
448,440348,
449,440012,
450,439763,
451,439619,
452,438996,
453,438808,
454,438808,
455,438232,
456,438263,
457,438217,
458,437936,
459,437570,
460,437520,
461,435945,
462,436963,
463,435877,
464,435421,
465,435773,
466,435749,
467,435537,
468,435445,
469,435773,
470,435673,
471,434997,
472,434589,
473,435181,
474,435209,
475,435349,
476,434501,
477,435333,
478,433461,
479,433873,
480,434193,
481,433201,
482,433137,
483,433382,
484,432738,
485,432866,
486,433237,
487,433140,
488,433140,
489,432807,
490,432257,
491,431580,
492,431414,
493,431797,
494,429845,
495,430101,
496,429838,
497,430069,
498,429615,
499,429668,
500,428008,
501,427630,
502,427733,
503,426464,
504,426025,
505,424993,
506,423374,
507,422555,
508,421819,
509,420926,
510,420209,
511,419682,
512,419586,
513,418293,
514,418706,
515,418146,
516,418830,
517,417747,
518,416782,
519,415711,
520,416499,
521,415871,
522,414999,
523,414066,
524,414662,
525,414774,
526,414434,
527,413262,
528,413190,
529,412235,
530,411870,
531,412018,
532,411989,
533,411751,
534,410510,
535,410800,
536,410852,
537,410521,
538,409497,
539,408642,
540,408710,
541,408231,
542,408967,
543,408499,
544,407591,
545,407166,
546,407459,
547,407150,
548,407154,
549,406582,
550,406170,
551,406354,
552,406562,
553,405290,
554,404950,
555,405249,
556,404041,
557,403626,
558,403166,
559,403630,
560,403179,
561,403326,
562,402756,
563,402842,
564,402803,
565,402275,
566,402243,
567,402395,
568,401218,
569,400655,
570,401552,
571,400089,
572,400141,
573,400205,
574,399750,
575,399186,
576,398196,
577,397540,
578,397685,
579,398435,
580,396143,
581,395597,
582,395465,
583,394601,
584,394111,
585,394291,
586,394671,
587,392738,
588,392046,
589,392848,
590,390937,
591,391448,
592,390400,
593,389077,
594,388742,
595,387847,
596,387892,
597,388448,
598,387700,
599,387128,
600,387759,
601,388416,
602,388500,
603,387970,
604,388550,
605,387860,
606,388071,
607,387223,
608,387967,
609,387359,
610,387675,
611,386607,
612,388009,
613,386515,
614,386271,
615,386415,
616,386466,
617,387434,
618,388156,
619,388056,
620,389484,
621,390766,
622,392372,
623,393676,
624,395223,
625,396914,
626,397339,
627,398745,
628,401189,
629,404103,
630,405491,
631,406372,
632,407396,
633,408436,
634,408247,
635,408586,
636,408959,
637,408712,
638,409055,
639,409163,
640,409055,
641,408687,
642,408573,
643,407959,
644,408122,
645,407487,
646,407220,
647,407007,
648,406828,
649,405234,
650,405116,
651,405196,
652,405404,
653,405029,
654,404282,
655,404064,
656,403834,
657,403383,
658,403965,
659,403310,
660,403764,
661,403031,
662,402958,
663,402930,
664,402082,
665,401990,
666,402367,
667,402219,
668,402495,
669,402467,
670,402135,
671,401870,
672,402126,
673,401336,
674,401556,
675,401239,
676,401571,
677,400790,
678,401107,
679,400902,
680,400249,
681,399529,
682,399835,
683,400344,
684,399815,
685,399579,
686,399086,
687,399225,
688,399898,
689,399635,
690,399675,
691,399509,
692,398943,
693,398733,
694,397976,
695,397976,
696,397108,
697,397108,
698,396722,
699,396467,
700,396592,
701,395995,
702,396096,
703,395515,
704,395021,
705,395023,
706,394227,
707,393325,
708,393582,
709,391881,
710,391881,
711,391670,
712,390550,
713,390051,
714,389475,
715,389389,
716,388551,
717,388586,
718,388200,
719,387874,
720,387808,
721,386684,
722,386321,
723,385975,
724,386065,
725,384764,
726,385095,
727,384194,
728,384056,
729,383183,
730,382781,
731,382926,
732,382170,
733,381740,
734,382106,
735,381046,
736,381055,
737,380913,
738,380273,
739,380298,
740,380793,
741,380973,
742,380777,
743,380448,
744,380385,
745,380788,
746,380210,
747,380054,
748,379722,
749,379746,
750,378842,
751,377888,
752,378611,
753,377005,
754,376806,
755,376390,
756,375758,
757,375236,
758,374871,
759,374390,
760,374145,
761,373605,
762,373189,
763,372247,
764,371793,
765,371615,
766,371262,
767,370272,
768,369568,
769,369466,
770,369109,
771,368828,
772,368353,
773,367741,
774,367711,
775,367129,
776,366055,
777,366042,
778,364485,
779,364558,
780,364627,
781,363745,
782,363327,
783,362722,
784,362917,
785,362748,
786,362310,
787,362306,
788,362080,
789,361079,
790,361221,
791,360683,
792,360924,
793,360528,
794,360123,
795,360184,
796,359087,
797,359109,
798,359021,
799,358514,
800,358505,
801,358729,
802,358235,
803,357697,
804,357760,
805,357754,
806,357344,
807,357173,
808,356590,
809,356449,
810,355738,
811,355681,
812,355189,
813,355222,
814,355052,
815,354198,
816,354015,
817,354459,
818,353929,
819,353672,
820,354046,
821,353791,
822,353493,
823,353512,
824,353316,
825,352906,
826,353175,
827,353235,
828,352713,
829,352904,
830,353100,
831,353474,
832,352253,
833,353077,
834,352529,
835,352504,
836,352128,
837,352108,
838,352521,
839,352571,
840,352949,
841,351978,
842,352433,
843,353005,
844,352304,
845,352041,
846,352270,
847,352605,
848,352170,
849,352571,
850,351192,
851,351666,
852,351957,
853,351363,
854,351266,
855,350501,
856,348519,
857,347385,
858,346172,
859,344995,
860,343946,
861,343402,
862,342896,
863,343623,
864,342024,
865,342320,
866,342013,
867,342201,
868,341219,
869,341606,
870,340259,
871,340173,
872,340507,
873,340990,
874,340226,
875,339756,
876,340237,
877,340021,
878,339492,
879,339752,
880,339124,
881,338710,
882,338682,
883,338135,
884,338260,
885,337897,
886,337523,
887,337650,
888,337195,
889,337324,
890,336577,
891,335940,
892,336148,
893,336222,
894,335388,
895,336069,
896,335818,
897,335963,
898,335672,
899,336220,
900,336355,
901,336287,
902,336560,
903,335982,
904,335706,
905,335540,
906,334878,
907,333755,
908,333753,
909,333608,
910,332425,
911,332938,
912,332302,
913,331940,
914,331541,
915,331306,
916,331224,
917,331073,
918,331055,
919,330730,
920,330450,
921,330461,
922,329835,
923,330016,
924,330212,
925,329921,
926,330638,
927,329902,
928,330031,
929,329233,
930,328913,
931,328819,
932,327528,
933,325942,
934,324413,
935,321314,
936,318968,
937,316865,
938,317395,
939,314987,
940,316965,
941,314896,
942,315669,
943,316316,
944,316147,
945,317332,
946,316036,
947,318892,
948,320889,
949,322745,
950,322633,
951,323996,
952,325756,
953,325382,
954,324933,
955,323637,
956,323909,
957,324746,
958,325386,
959,326281,
960,326010,
961,326510,
962,326287,
963,327659,
964,327524,
965,328689,
966,328749,
967,328697,
968,328422,
969,329121,
970,328947,
971,328311,
972,329626,
973,329014,
974,328667,
975,329973,
976,333400,
977,337992,
978,338291,
979,338096,
980,338287,
981,339169,
982,340375,
983,339439,
984,340958,
985,340924,
