frame,visible_voxels
1,180831,
2,180831,
3,180831,
4,181135,
5,181181,
6,181484,
7,181833,
8,181868,
9,182471,
10,182760,
11,183067,
12,183803,
13,184248,
14,184624,
15,185220,
16,185367,
17,185469,
18,185859,
19,186169,
20,186503,
21,186959,
22,187116,
23,187324,
24,187610,
25,187949,
26,188157,
27,188521,
28,188622,
29,188840,
30,189082,
31,189301,
32,189488,
33,189786,
34,189957,
35,190144,
36,190435,
37,190690,
38,190962,
39,191257,
40,191461,
41,191675,
42,191887,
43,191984,
44,192183,
45,192405,
46,192715,
47,192882,
48,193249,
49,193586,
50,194037,
51,194479,
52,194995,
53,195676,
54,195978,
55,196153,
56,196225,
57,196420,
58,196540,
59,196659,
60,196857,
61,197005,
62,197115,
63,197230,
64,197302,
65,197373,
66,197622,
67,197833,
68,197947,
69,198126,
70,198347,
71,198575,
72,198657,
73,198888,
74,199073,
75,199255,
76,199335,
77,199514,
78,199663,
79,199754,
80,199887,
81,200009,
82,200159,
83,200177,
84,200279,
85,200399,
86,200501,
87,200538,
88,200661,
89,200753,
90,200835,
91,200844,
92,201067,
93,201015,
94,201237,
95,201333,
96,201383,
97,201528,
98,201632,
99,201584,
100,201762,
101,201818,
102,202031,
103,202057,
104,202069,
105,202197,
106,202279,
107,202463,
108,202600,
109,202618,
110,202723,
111,202749,
112,202924,
113,202891,
114,203034,
115,203031,
116,203235,
117,203312,
118,203390,
119,203559,
120,203570,
121,203614,
122,203690,
123,203708,
124,203708,
125,203761,
126,203770,
127,203818,
128,203853,
129,203949,
130,203993,
131,203929,
132,204097,
133,204101,
134,204157,
135,204211,
136,204268,
137,204313,
138,204383,
139,204419,
140,204536,
141,204486,
142,204511,
143,204594,
144,204617,
145,204578,
146,204641,
147,204729,
148,204711,
149,204730,
150,204791,
151,204795,
152,204922,
153,204869,
154,204927,
155,204947,
156,204893,
157,204858,
158,205068,
159,204957,
160,205046,
161,205087,
162,204969,
163,204953,
164,205092,
165,205114,
166,205023,
167,205141,
168,205111,
169,205135,
170,205170,
171,205178,
172,205182,
173,205185,
174,205200,
175,205235,
176,205270,
177,205270,
178,205283,
179,205283,
180,205268,
181,205284,
182,205268,
183,205313,
184,205336,
185,205393,
186,205358,
187,205434,
188,205420,
189,205425,
190,205397,
191,205419,
192,205392,
193,205446,
194,205391,
195,205481,
196,205413,
197,205321,
198,205422,
199,205526,
200,205462,
201,205442,
202,205507,
203,205516,
204,205620,
205,205526,
206,205569,
207,205610,
208,205589,
209,205533,
210,205652,
211,205571,
212,205667,
213,205639,
214,205646,
215,205644,
216,205599,
217,205634,
218,205617,
219,205676,
220,205711,
221,205611,
222,205712,
223,205712,
224,205674,
225,205644,
226,205645,
227,205751,
228,205692,
229,205783,
230,205790,
231,205735,
232,205746,
233,205820,
234,205809,
235,205805,
236,205805,
237,205881,
238,205902,
239,205926,
240,205925,
241,205917,
242,205890,
243,205928,
244,205946,
245,206003,
246,206023,
247,205959,
248,206066,
249,206052,
250,206061,
251,206079,
252,206122,
253,206104,
254,206077,
255,206077,
256,205984,
257,205870,
258,205773,
259,205593,
260,205374,
261,205365,
262,205017,
263,205017,
264,204924,
265,204750,
266,204750,
267,204671,
268,204471,
269,204471,
270,204404,
271,204396,
272,204268,
273,204249,
274,204269,
275,204203,
276,204196,
277,204120,
278,204096,
279,204051,
280,204060,
281,203988,
282,204007,
283,204001,
284,203932,
285,203844,
286,203879,
287,203826,
288,203826,
289,203747,
290,203651,
291,203769,
292,203648,
293,203661,
294,203661,
295,203620,
296,203518,
297,203600,
298,203500,
299,203494,
300,203483,
301,203513,
302,203456,
303,203444,
304,203385,
305,203308,
306,203308,
307,203219,
308,203280,
309,203291,
310,203225,
311,203225,
312,203229,
313,203105,
314,203277,
315,203085,
316,203135,
317,203040,
318,203045,
319,203040,
320,203116,
321,203080,
322,202930,
323,202930,
324,202924,
325,202904,
326,202904,
327,202911,
328,202911,
329,202903,
330,202809,
331,202835,
332,202898,
333,202850,
334,202793,
335,202515,
336,202771,
337,202687,
338,202650,
339,202714,
340,202580,
341,202580,
342,202578,
343,202535,
344,202535,
345,202166,
346,202166,
347,202590,
348,202227,
349,202314,
350,202191,
351,202253,
352,202521,
353,202281,
354,202244,
355,202398,
356,201917,
357,201917,
358,202153,
359,202153,
360,202333,
361,202008,
362,202008,
363,202209,
364,202193,
365,202049,
366,202213,
367,202325,
368,202173,
369,202244,
370,202244,
371,202380,
372,202456,
373,202456,
374,202479,
375,202532,
376,202500,
377,202820,
378,202820,
379,202666,
380,202484,
381,202603,
382,202692,
383,202797,
384,202727,
385,202727,
