frame,visible_nodes
0,0,
1,0,
2,0,
3,8582,
4,8586,
5,8576,
6,8577,
7,8576,
8,8563,
9,8567,
10,8546,
11,8526,
12,8545,
13,8557,
14,8579,
15,8593,
16,8579,
17,8583,
18,8605,
19,8647,
20,8683,
21,8722,
22,8757,
23,8804,
24,8849,
25,8901,
26,8942,
27,8966,
28,8968,
29,8952,
30,8953,
31,8943,
32,8944,
33,8941,
34,8964,
35,8949,
36,8971,
37,8956,
38,8960,
39,8965,
40,8983,
41,8980,
42,8971,
43,8979,
44,8977,
45,8982,
46,8987,
47,9007,
48,8998,
49,9013,
50,9010,
51,9014,
52,8997,
53,8968,
54,8911,
55,8897,
56,8864,
57,8841,
58,8803,
59,8797,
60,8783,
61,8751,
62,8731,
63,8726,
64,8714,
65,8707,
66,8727,
67,8741,
68,8732,
69,8717,
70,8713,
71,8710,
72,8714,
73,8719,
74,8715,
75,8719,
76,8695,
77,8688,
78,8686,
79,8676,
80,8673,
81,8669,
82,8652,
83,8664,
84,8675,
85,8692,
86,8666,
87,8638,
88,8569,
89,8510,
90,8467,
91,8418,
92,8369,
93,8300,
94,8232,
95,8140,
96,8057,
97,7956,
98,7902,
99,7811,
100,7744,
101,7701,
102,7647,
103,7592,
104,7549,
105,7511,
106,7478,
107,7442,
108,7405,
109,7366,
110,7342,
111,7306,
112,7286,
113,7268,
114,7235,
115,7210,
116,7189,
117,7168,
118,7136,
119,7088,
120,7058,
121,7023,
122,6982,
123,6956,
124,6921,
125,6865,
126,6820,
127,6802,
128,6804,
129,6783,
130,6771,
131,6740,
132,6723,
133,6719,
134,6705,
135,6689,
136,6650,
137,6614,
138,6579,
139,6565,
140,6547,
141,6526,
142,6477,
143,6447,
144,6427,
145,6419,
146,6388,
147,6317,
148,6213,
149,6146,
150,6078,
151,5999,
152,5919,
153,5829,
154,5763,
155,5227,
156,5049,
157,4959,
158,4860,
159,4577,
160,4426,
161,4399,
162,4299,
163,4260,
164,4199,
165,4173,
166,4172,
167,4141,
168,4117,
169,4106,
170,4112,
171,4081,
172,4095,
173,4109,
174,4102,
175,4116,
176,4128,
177,4130,
178,4151,
179,4165,
180,4196,
181,4227,
182,4248,
183,4262,
184,4296,
185,4350,
186,4370,
187,4406,
188,4458,
189,4503,
190,4579,
191,4627,
192,4710,
193,4756,
194,4853,
195,5265,
196,5432,
197,5430,
198,5445,
199,5430,
200,5473,
201,5577,
202,5619,
203,5633,
204,5652,
205,5675,
206,5745,
207,5792,
208,5811,
209,5841,
210,5869,
211,5914,
212,5962,
213,6002,
214,6012,
215,6032,
216,6065,
217,6104,
218,6122,
219,6148,
220,6161,
221,6198,
222,6230,
223,6277,
224,6301,
225,6343,
226,6369,
227,6401,
228,6428,
229,6471,
230,6502,
231,6536,
232,6568,
233,6616,
234,6664,
235,6691,
236,6701,
237,6744,
238,6764,
239,6804,
240,6838,
241,6857,
242,6891,
243,6933,
244,6947,
245,6974,
246,7030,
247,7067,
248,7101,
249,7129,
250,7153,
251,7196,
252,7228,
253,7272,
254,7288,
255,7344,
256,7371,
257,7414,
258,7448,
259,7511,
260,7511,
261,7546,
262,7570,
263,7601,
264,7640,
265,7656,
266,7698,
267,7745,
268,7795,
269,7839,
270,7880,
271,7926,
272,7969,
273,8016,
274,8047,
275,8099,
276,8144,
277,8181,
278,8194,
279,8224,
280,8242,
281,8247,
282,8272,
283,8278,
284,8289,
285,8306,
286,8325,
287,8328,
288,8337,
289,8361,
290,8366,
291,8365,
292,8406,
293,8408,
294,8436,
295,8446,
296,8468,
297,8465,
298,8476,
299,8494,
300,8493,
301,8512,
302,8496,
303,8498,
304,8485,
305,8473,
306,8475,
307,8463,
308,8467,
309,8462,
310,8443,
311,8444,
312,8439,
313,8427,
314,8433,
315,8458,
316,8469,
317,8495,
318,8517,
319,8516,
320,8537,
321,8542,
322,8557,
323,8566,
324,8585,
325,8571,
326,8584,
327,8582,
328,8585,
329,8587,
330,8591,
331,8586,
332,8580,
333,8572,
334,8561,
335,8568,
336,8557,
337,8577,
338,8583,
339,8569,
340,8596,
341,8591,
342,8609,
343,8624,
344,8646,
345,8637,
346,8657,
347,8660,
348,8669,
349,8674,
350,8690,
351,8688,
352,8697,
353,8701,
354,8727,
