frame,visible_nodes
1,4363,
2,4363,
3,4367,
4,4367,
5,4370,
6,4364,
7,4370,
8,4348,
9,4348,
10,4344,
11,4352,
12,4343,
13,4355,
14,4337,
15,4321,
16,4334,
17,4329,
18,4338,
19,4338,
20,4299,
21,4308,
22,4324,
23,4311,
24,4319,
25,4323,
26,4314,
27,4305,
28,4306,
29,4295,
30,4287,
31,4290,
32,4268,
33,4280,
34,4263,
35,4250,
36,4240,
37,4241,
38,4241,
39,4224,
40,4221,
41,4215,
42,4231,
43,4222,
44,4205,
45,4205,
46,4219,
47,4211,
48,4217,
49,4212,
50,4217,
51,4214,
52,4219,
53,4218,
54,4223,
55,4226,
56,4234,
57,4232,
58,4219,
59,4230,
60,4216,
61,4219,
62,4214,
63,4204,
64,4208,
65,4198,
66,4198,
67,4191,
68,4190,
69,4183,
70,4187,
71,4182,
72,4179,
73,4167,
74,4182,
75,4182,
76,4175,
77,4168,
78,4172,
79,4169,
80,4165,
81,4169,
82,4160,
83,4161,
84,4159,
85,4156,
86,4145,
87,4135,
88,4153,
89,4136,
90,4141,
91,4136,
92,4134,
93,4136,
94,4144,
95,4134,
96,4129,
97,4133,
98,4133,
99,4133,
100,4134,
101,4126,
102,4135,
103,4143,
104,4136,
105,4145,
106,4153,
107,4160,
108,4157,
109,4162,
110,4162,
111,4161,
112,4153,
113,4162,
114,4149,
115,4154,
116,4147,
117,4146,
118,4142,
119,4149,
120,4141,
121,4134,
122,4132,
123,4136,
124,4131,
125,4132,
126,4125,
127,4119,
128,4123,
129,4122,
130,4130,
131,4118,
132,4118,
133,4112,
134,4110,
135,4111,
136,4097,
137,4078,
138,4082,
139,4056,
140,4055,
141,4063,
142,4052,
143,4049,
144,4037,
145,4046,
146,4034,
147,4035,
148,4037,
149,4021,
150,4033,
151,4022,
152,4033,
153,4042,
154,4032,
155,4026,
156,4021,
157,4034,
158,4026,
159,4028,
160,4025,
161,4027,
162,4024,
163,3999,
164,4003,
165,3996,
166,3988,
167,3980,
168,3976,
169,3970,
170,3962,
171,3959,
172,3955,
173,3965,
174,3961,
175,3964,
176,3961,
177,3958,
178,3956,
179,3952,
180,3945,
181,3935,
182,3936,
183,3928,
184,3932,
185,3921,
186,3912,
187,3910,
188,3913,
189,3905,
190,3890,
191,3888,
192,3878,
193,3870,
194,3875,
195,3866,
196,3852,
197,3854,
198,3839,
199,3823,
200,3815,
201,3810,
202,3801,
203,3781,
204,3747,
205,3746,
206,3746,
207,3727,
208,3717,
209,3703,
210,3690,
211,3679,
212,3676,
213,3649,
214,3643,
215,3638,
216,3634,
217,3629,
218,3631,
219,3617,
220,3617,
221,3620,
222,3591,
223,3591,
224,3609,
225,3595,
226,3593,
227,3589,
228,3589,
229,3595,
230,3575,
231,3575,
232,3555,
233,3555,
234,3562,
235,3553,
236,3553,
237,3544,
238,3535,
239,3540,
240,3540,
241,3533,
242,3537,
243,3527,
244,3519,
245,3508,
246,3508,
247,3496,
248,3496,
