frame,visible_voxels
1,399012,
2,399012,
3,399012,
4,399165,
5,398706,
6,398434,
7,398303,
8,397348,
9,397369,
10,396322,
11,395406,
12,396548,
13,397053,
14,398724,
15,399274,
16,398863,
17,398992,
18,400545,
19,402877,
20,404894,
21,407307,
22,409613,
23,412049,
24,414326,
25,417289,
26,419001,
27,420394,
28,420481,
29,419674,
30,419608,
31,419321,
32,419437,
33,419401,
34,420400,
35,419904,
36,421041,
37,420073,
38,420572,
39,420513,
40,421561,
41,421483,
42,420848,
43,421315,
44,421189,
45,421449,
46,421669,
47,422599,
48,422068,
49,422628,
50,422675,
51,422570,
52,421434,
53,419774,
54,416700,
55,416029,
56,413474,
57,412270,
58,410061,
59,409343,
60,408587,
61,406470,
62,405031,
63,404848,
64,404147,
65,403900,
66,405156,
67,406090,
68,405670,
69,405132,
70,404927,
71,404883,
72,405687,
73,406081,
74,406155,
75,406580,
76,405411,
77,405110,
78,405276,
79,404777,
80,404680,
81,405045,
82,404498,
83,405954,
84,406963,
85,408634,
86,407516,
87,406192,
88,402785,
89,399819,
90,397719,
91,395087,
92,392781,
93,389028,
94,385881,
95,381093,
96,377064,
97,371771,
98,369461,
99,365112,
100,361524,
101,359412,
102,356657,
103,353946,
104,351484,
105,349527,
106,347699,
107,346317,
108,344200,
109,342309,
110,341166,
111,339682,
112,338934,
113,338160,
114,336656,
115,335264,
116,334401,
117,333505,
118,331960,
119,329647,
120,328220,
121,326650,
122,324411,
123,322970,
124,321470,
125,319171,
126,316926,
127,316151,
128,316348,
129,315379,
130,314869,
131,313165,
132,312395,
133,312154,
134,311632,
135,310848,
136,308820,
137,306966,
138,304966,
139,303957,
140,303083,
141,302171,
142,299535,
143,297687,
144,296818,
145,296500,
146,294726,
147,290999,
148,285328,
149,280994,
150,276837,
151,271662,
152,266892,
153,261580,
154,258818,
155,227131,
156,216170,
157,210704,
158,204512,
159,194018,
160,188331,
161,187686,
162,182890,
163,181450,
164,178149,
165,177329,
166,177590,
167,176381,
168,175055,
169,175080,
170,175749,
171,174268,
172,175216,
173,176450,
174,176248,
175,177339,
176,178061,
177,178543,
178,180393,
179,181164,
180,183096,
181,185380,
182,186710,
183,187966,
184,190228,
185,193627,
186,195699,
187,197886,
188,200784,
189,203785,
190,207464,
191,209563,
192,213836,
193,215967,
194,219918,
195,236188,
196,242810,
197,242767,
198,243857,
199,243129,
200,246020,
201,252301,
202,254771,
203,255658,
204,256913,
205,258352,
206,261970,
207,264247,
208,265182,
209,267150,
210,268376,
211,270970,
212,273528,
213,275794,
214,276474,
215,277533,
216,279335,
217,281506,
218,282500,
219,283678,
220,284202,
221,286005,
222,287891,
223,290317,
224,291440,
225,293568,
226,294766,
227,296465,
228,297574,
229,299866,
230,301551,
231,303011,
232,304570,
233,307106,
234,309484,
235,310930,
236,311457,
237,313702,
238,314782,
239,316783,
240,318544,
241,319182,
242,320928,
243,323202,
244,323707,
245,324795,
246,327592,
247,329535,
248,331070,
249,332490,
250,333893,
251,336388,
252,338079,
253,340578,
254,341492,
255,344495,
256,346117,
257,348625,
258,350596,
259,354064,
260,354064,
261,355754,
262,357064,
263,358817,
264,360951,
265,361880,
266,363971,
267,366160,
268,368577,
269,370626,
270,372871,
271,374904,
272,377159,
273,379628,
274,381209,
275,383754,
276,385800,
277,387518,
278,387929,
279,389038,
280,389694,
281,389959,
282,391225,
283,391491,
284,391738,
285,392317,
286,393375,
287,393365,
288,393408,
289,394832,
290,394808,
291,394478,
292,396766,
293,396162,
294,397588,
295,397617,
296,398738,
297,398375,
298,398731,
299,399710,
300,399615,
301,400425,
302,399589,
303,399626,
304,398669,
305,398169,
306,398132,
307,397346,
308,397599,
309,397239,
310,396157,
311,396166,
312,395850,
313,395287,
314,395396,
315,396890,
316,397266,
317,398659,
318,399966,
319,399896,
320,400893,
321,401114,
322,401936,
323,402148,
324,403150,
325,402107,
326,402842,
327,402758,
328,402934,
329,403185,
330,403099,
331,403113,
332,402314,
333,401872,
334,401528,
335,401878,
336,401050,
337,402137,
338,402705,
339,401896,
340,403771,
341,403346,
342,404548,
343,405434,
344,406770,
345,406146,
346,407365,
347,407201,
348,407632,
349,407791,
350,408503,
351,408469,
352,408957,
353,409366,
354,410940,
355,410502,
356,411019,
357,411172,
358,410921,
359,413156,
360,414316,
361,412713,
362,414568,
363,416358,
364,415400,
365,416834,
366,417757,
367,418531,
368,418382,
369,419985,
370,420822,
371,420136,
372,421228,
373,420525,
374,421716,
375,421293,
376,421710,
377,421052,
378,421827,
379,420706,
380,420351,
381,420211,
382,420175,
383,420545,
384,420216,
385,420669,
386,419417,
387,420386,
388,420213,
389,420137,
390,420796,
391,419698,
392,420704,
393,419492,
394,420421,
395,419455,
396,419344,
397,420358,
398,419628,
399,420254,
400,419763,
401,420932,
402,420998,
403,420514,
404,420391,
405,421063,
406,421234,
407,420734,
408,420984,
409,420733,
410,420806,
411,420785,
412,421120,
413,420662,
414,420276,
415,420278,
416,419550,
417,418247,
418,417478,
419,416035,
420,415375,
421,414900,
422,413531,
423,411551,
424,410512,
425,410308,
426,408548,
427,407856,
428,406140,
429,405858,
430,404824,
431,403512,
432,404265,
433,401277,
434,401866,
435,400800,
436,398916,
437,397751,
438,396963,
439,397301,
440,395942,
441,396038,
442,396446,
443,394913,
444,396876,
445,394770,
446,394663,
447,394992,
448,395100,
449,394880,
450,395555,
451,395156,
452,396571,
453,395511,
454,396501,
455,396032,
456,396656,
457,396486,
458,396486,
459,397073,
460,396806,
461,397245,
462,396764,
463,396985,
464,397053,
465,397324,
466,396853,
467,397644,
468,397698,
469,397850,
470,397603,
471,397542,
472,397738,
473,397846,
474,398386,
475,397449,
476,398041,
477,397696,
478,397642,
479,399030,
480,399130,
481,398731,
482,400535,
483,400825,
484,401792,
485,402262,
486,402969,
487,404863,
488,404650,
489,405012,
490,405030,
491,405902,
492,405589,
493,405310,
494,405272,
495,406013,
496,405459,
497,406436,
498,407195,
499,407144,
500,407168,
501,407570,
502,407148,
503,407852,
504,408249,
505,408753,
506,408332,
507,409447,
508,411059,
509,410681,
510,412169,
511,412137,
512,412621,
513,413737,
514,415708,
515,414233,
516,416426,
517,417002,
518,417432,
519,418897,
520,420321,
521,421109,
522,422240,
523,423045,
524,424274,
525,424918,
526,425975,
527,427230,
528,427350,
529,427527,
530,427257,
531,427679,
532,427473,
533,428035,
534,427609,
535,427456,
536,427610,
537,427657,
538,427958,
539,427578,
540,428128,
541,428393,
542,428095,
543,428094,
544,427973,
545,428003,
546,428065,
547,427642,
548,427520,
549,427623,
550,427346,
551,426786,
552,426070,
553,425677,
554,425441,
555,424587,
556,424028,
557,422275,
558,421914,
559,422346,
560,421243,
561,420934,
562,420277,
563,419987,
564,419541,
565,419218,
566,417738,
567,417260,
568,416320,
569,415310,
570,414022,
571,412133,
572,411333,
573,411281,
574,408951,
575,406909,
576,405878,
577,404873,
578,403098,
579,402449,
580,402072,
581,400251,
582,398498,
583,396074,
584,395594,
585,395284,
586,395252,
587,391826,
588,389003,
589,387669,
590,393439,
591,394010,
592,387976,
593,388002,
594,389787,
595,388238,
596,387361,
597,389658,
598,390715,
599,391082,
600,388469,
601,389658,
602,391341,
603,390944,
604,391133,
605,390641,
606,390482,
607,391389,
608,390130,
609,388103,
610,388700,
611,390561,
612,387915,
613,387085,
614,386979,
615,384776,
616,384941,
617,384296,
618,381506,
619,381468,
620,383211,
621,382015,
622,378610,
623,378143,
624,377100,
625,374721,
626,373581,
627,374700,
628,373400,
629,371725,
630,373487,
631,373945,
632,369925,
633,369505,
634,371007,
635,369242,
636,368489,
637,368037,
638,367463,
639,364611,
640,363763,
641,365362,
642,362340,
643,359746,
644,360270,
645,360170,
646,362146,
647,360697,
648,361234,
649,362442,
650,363534,
651,363656,
652,363423,
653,364759,
654,366917,
655,366519,
656,366701,
657,367880,
658,367510,
659,366820,
660,366031,
661,366178,
662,365462,
663,363761,
664,362728,
665,361738,
666,361091,
667,359481,
668,356403,
669,354613,
670,353714,
671,352194,
672,350032,
673,348599,
674,347222,
675,346519,
676,345266,
677,342987,
678,341938,
679,340510,
680,337872,
681,334105,
682,332958,
683,330078,
684,328031,
685,325997,
686,325415,
687,323033,
688,319856,
689,317634,
690,314427,
691,314789,
692,314074,
693,312226,
694,310698,
695,308006,
696,307761,
697,305649,
698,303647,
699,300540,
700,298710,
701,298480,
702,296813,
703,294341,
704,292207,
705,289642,
706,287954,
