frame,visible_voxels
1,196500,
2,196500,
3,196819,
4,196819,
5,196647,
6,196592,
7,196632,
8,196839,
9,196839,
10,196766,
11,196851,
12,196920,
13,196695,
14,196666,
15,196703,
16,196759,
17,196580,
18,196879,
19,196996,
20,196681,
21,196903,
22,196925,
23,197005,
24,197109,
25,197145,
26,197261,
27,197405,
28,197147,
29,197040,
30,197145,
31,197151,
32,197257,
33,197330,
34,197442,
35,197449,
36,197518,
37,197618,
38,197618,
39,197578,
40,197709,
41,197789,
42,197896,
43,198031,
44,198161,
45,198161,
46,198263,
47,198418,
48,198513,
49,198513,
50,198882,
51,198864,
52,199021,
53,199227,
54,199387,
55,199391,
56,199820,
57,199902,
58,199904,
59,200023,
60,200195,
61,200276,
62,200536,
63,200608,
64,200716,
65,200926,
66,200946,
67,200863,
68,200658,
69,200617,
70,200424,
71,200357,
72,200189,
73,200091,
74,199878,
75,199878,
76,199545,
77,199596,
78,199524,
79,199375,
80,199279,
81,199108,
82,198883,
83,198757,
84,198691,
85,198588,
86,198552,
87,198323,
88,198249,
89,198201,
90,198015,
91,197965,
92,197925,
93,197794,
94,197761,
95,197697,
96,197551,
97,197694,
98,197694,
99,197694,
100,197668,
101,197815,
102,197685,
103,197924,
104,198002,
105,198060,
106,198143,
107,198288,
108,198235,
109,198246,
110,198536,
111,198317,
112,198417,
113,198076,
114,198090,
115,197928,
116,197665,
117,197486,
118,197515,
119,197371,
120,197055,
121,196943,
122,196815,
123,196940,
124,196665,
125,196574,
126,196304,
127,196163,
128,196196,
129,196174,
130,195970,
131,195833,
132,195617,
133,195616,
134,195481,
135,195534,
136,195063,
137,194977,
138,194904,
139,194717,
140,194749,
141,194520,
142,194516,
143,194256,
144,194276,
145,193936,
146,193868,
147,193741,
148,193714,
149,193325,
150,193332,
151,193219,
152,193164,
153,193053,
154,192764,
155,192587,
156,192426,
157,192171,
158,192195,
159,191897,
160,191631,
161,191471,
162,191282,
163,190975,
164,190920,
165,190745,
166,190537,
167,190393,
168,190296,
169,190188,
170,189942,
171,189874,
172,189749,
173,189712,
174,189747,
175,189326,
176,189260,
177,189031,
178,188948,
179,188766,
180,188389,
181,188236,
182,188296,
183,188205,
184,187992,
185,187892,
186,187892,
187,187810,
188,187497,
189,187364,
190,187057,
191,186907,
192,186604,
193,186302,
194,185992,
195,185715,
196,185252,
197,184869,
198,184304,
199,183823,
200,183361,
201,182866,
202,182238,
203,181758,
204,180402,
205,180362,
206,180362,
207,179853,
208,179492,
209,179162,
210,178618,
211,178311,
212,177899,
213,177362,
214,177161,
215,176447,
216,176185,
217,175905,
218,175518,
219,174951,
220,174951,
221,174722,
222,174041,
223,174041,
224,173791,
225,173495,
226,173293,
227,172988,
228,172864,
229,172531,
230,171930,
231,171930,
232,171405,
233,171405,
234,171307,
235,170836,
236,170836,
237,170586,
238,170143,
239,169911,
240,169911,
241,169688,
242,169378,
243,169206,
244,168928,
245,168729,
246,168447,
247,168092,
248,168092,
249,167813,
250,167584,
251,167326,
252,166997,
253,166997,
254,166798,
255,166707,
256,166543,
257,166309,
258,166112,
259,165841,
260,165841,
261,165606,
262,165272,
263,165180,
264,164900,
265,164704,
266,164556,
267,164268,
268,164124,
269,163896,
270,163680,
271,163219,
272,163219,
273,163133,
274,162955,
275,162718,
276,162584,
277,162288,
278,162224,
279,161985,
280,161769,
281,161507,
282,161507,
283,161350,
284,160915,
285,160915,
286,160735,
287,160360,
288,160360,
289,160208,
290,160041,
291,159733,
292,159634,
293,159357,
294,159194,
295,159114,
296,158690,
297,158549,
298,158442,
299,158026,
300,157874,
301,157601,
302,157173,
303,157173,
304,156922,
305,156796,
306,156446,
307,156300,
308,155989,
309,155830,
310,155284,
311,155284,
312,154755,
313,154755,
314,154585,
315,154343,
316,153960,
317,153755,
318,153399,
319,152999,
320,152703,
321,152158,
322,152158,
323,151759,
324,151451,
325,151055,
326,150854,
327,150503,
328,150003,
329,149920,
330,149300,
331,149195,
332,148676,
333,148176,
334,147434,
335,147134,
336,147134,
337,146608,
338,146288,
339,145928,
340,145501,
341,145164,
342,144624,
343,144120,
344,143902,
345,143196,
346,142713,
347,142249,
348,141907,
349,141530,
350,141026,
351,140027,
352,139827,
353,139827,
354,139242,
355,138773,
356,137435,
357,137435,
358,137296,
359,136661,
360,136145,
361,136145,
362,135114,
363,135374,
364,135374,
365,128606,
366,123875,
367,120021,
368,115718,
369,114491,
370,109999,
371,108204,
372,107385,
373,106079,
374,104768,
375,104203,
376,104203,
377,102992,
378,102262,
379,100827,
380,100593,
381,99726,
382,99173,
383,99094,
384,98613,
385,98613,
386,97578,
387,97796,
388,97232,
389,96975,
390,96683,
391,96487,
392,96436,
393,96436,
394,96016,
395,95830,
396,95912,
397,95776,
398,95509,
399,95504,
400,95504,
401,95516,
402,95516,
403,95439,
404,95439,
405,95462,
406,95473,
407,95761,
408,95920,
409,95860,
410,96005,
411,96005,
412,96582,
413,96582,
414,97127,
415,97070,
416,97433,
417,97607,
418,97903,
419,98334,
420,98810,
421,99006,
422,99248,
423,99534,
424,100264,
425,100647,
426,100774,
427,100939,
428,100939,
429,101730,
430,102949,
431,102949,
432,104297,
433,105164,
434,106010,
435,106682,
436,108002,
437,108739,
438,109924,
439,109924,
440,110920,
441,111509,
442,112248,
443,113347,
444,113913,
445,114404,
446,114404,
447,115128,
448,115584,
449,116234,
450,116791,
451,117258,
452,118287,
453,118287,
454,119247,
455,119247,
456,120120,
457,120120,
458,120461,
459,121080,
460,121373,
461,122248,
462,122248,
463,123265,
464,123265,
465,123609,
466,124061,
467,124488,
468,125229,
469,125822,
470,125822,
471,126576,
472,126924,
473,126924,
474,127599,
475,128076,
476,128508,
477,128891,
478,128891,
479,129305,
480,129710,
481,130063,
482,130893,
483,131278,
484,131674,
485,132079,
486,132500,
487,132500,
488,132870,
489,133678,
490,134112,
491,134112,
492,134692,
493,135152,
494,135618,
495,135804,
496,136173,
497,136173,
498,136574,
499,136927,
500,137380,
501,138086,
502,138394,
503,138775,
504,138775,
505,139123,
506,139373,
507,139851,
508,140085,
509,140536,
510,140677,
511,141544,
512,141829,
513,141829,
514,142624,
515,142957,
516,142957,
517,143735,
518,144166,
519,144422,
520,144890,
521,145299,
522,145668,
523,146179,
524,146433,
525,146883,
526,147273,
527,147589,
528,147589,
529,148095,
530,148427,
531,148828,
532,149127,
533,149491,
534,149803,
535,150569,
536,150894,
537,150894,
538,151262,
539,151521,
540,151858,
541,152254,
542,152996,
543,153425,
544,153805,
545,154196,
546,154196,
547,154618,
548,154911,
549,155718,
550,156072,
551,156539,
552,156658,
553,157078,
554,157315,
555,157779,
556,158234,
557,158624,
558,159004,
559,159333,
560,159663,
561,160156,
562,160342,
563,160781,
564,161168,
565,161168,
566,161845,
567,162300,
568,162704,
569,162704,
570,163493,
571,163493,
572,164404,
573,164819,
574,165295,
575,165847,
576,166139,
577,166702,
578,167177,
579,167177,
580,168170,
581,168170,
582,168780,
583,169306,
584,170090,
585,170363,
586,170762,
587,171078,
588,171434,
589,171829,
590,171829,
591,172331,
592,172662,
593,172920,
594,172920,
595,173595,
596,173826,
597,174066,
598,174066,
599,174599,
600,174836,
601,175045,
602,175262,
603,175422,
604,175422,
605,175619,
606,175742,
607,175954,
608,176044,
609,176251,
610,176712,
611,176782,
612,177037,
613,177037,
614,177172,
615,177380,
616,177627,
617,177705,
618,177823,
619,177986,
620,177986,
621,178117,
622,178525,
623,178414,
624,178599,
625,178932,
626,178734,
627,178734,
628,178931,
629,179174,
630,179336,
631,179336,
632,179601,
633,179373,
634,179373,
635,179890,
636,179882,
637,180096,
638,179939,
639,180162,
640,180517,
641,180415,
642,180357,
643,180493,
644,180493,
645,180805,
646,180726,
647,181023,
648,180839,
649,181042,
650,181275,
651,181194,
652,181437,
653,181417,
654,181467,
655,181467,
656,181709,
657,181723,
658,181883,
659,181967,
660,182118,
661,182145,
662,182145,
663,182273,
664,182438,
665,182327,
666,182651,
667,182651,
668,183291,
669,183291,
670,183113,
671,183391,
672,183430,
673,183664,
674,183679,
675,183656,
676,183754,
677,183921,
678,184111,
679,184130,
680,184175,
681,184187,
682,184415,
683,184440,
684,184495,
685,184594,
686,184645,
687,184625,
688,184821,
689,184734,
690,185069,
691,184953,
692,184935,
693,185086,
694,185344,
695,185483,
696,185449,
697,185661,
698,185793,
699,185909,
700,186136,
701,186206,
702,186355,
703,186572,
704,186658,
705,186597,
706,186808,
707,186937,
708,187004,
709,187132,
710,187249,
711,187227,
712,187277,
713,187282,
714,187342,
715,187323,
716,187454,
717,187485,
718,187703,
719,187756,
720,187875,
721,187826,
722,188040,
723,188041,
724,188377,
725,188368,
726,188554,
727,188793,
728,188779,
729,188916,
730,189049,
731,189155,
732,189395,
733,189635,
734,189726,
735,189941,
736,190079,
737,190290,
738,190326,
739,190568,
740,190770,
741,190794,
742,191200,
743,191235,
744,191386,
745,191494,
746,191589,
747,191609,
748,191652,
749,191842,
750,191840,
751,191820,
752,191947,
753,192039,
754,192212,
755,192248,
756,192396,
757,192457,
758,192664,
759,192831,
760,192991,
761,193108,
762,193284,
763,193436,
764,193612,
765,193818,
766,194023,
767,194148,
768,194448,
769,194623,
770,194749,
771,194917,
772,195197,
773,195372,
774,195572,
775,195712,
776,195748,
777,195862,
778,195880,
779,195969,
780,196032,
781,196051,
782,196129,
783,195940,
784,195700,
785,195199,
786,195199,
787,195200,
788,194981,
789,194929,
790,194696,
791,194211,
792,194139,
793,193767,
794,193767,
795,193659,
796,193549,
797,193463,
798,193287,
799,193220,
800,193226,
